step,epoch,loss,grad_norm,learning_rate,eval_mit-movie,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.003,0.8818,40.382572174072266,0.0,,,,,,,,,,,
2,0.007,1.0014,46.53154754638672,2.777904193701827e-06,,,,,,,,,,,
3,0.01,0.9813,48.96537399291992,4.4028739776134346e-06,,,,,,,,,,,
4,0.013,0.8971,41.28309631347656,5.555808387403654e-06,,,,,,,,,,,
5,0.016,0.6359,22.867965698242188,6.4500937922616966e-06,,,,,,,,,,,
6,0.02,0.4058,14.857881546020508,7.180778171315261e-06,,,,,,,,,,,
7,0.023,0.3063,13.484972953796387,7.798563011193284e-06,,,,,,,,,,,
8,0.026,0.2328,5.328714370727539,8.33371258110548e-06,,,,,,,,,,,
9,0.029,0.2915,21.54416847229004,8.805747955226869e-06,,,,,,,,,,,
10,0.033,0.1771,7.190768241882324,9.227997985963526e-06,,,,,,,,,,,
11,0.036,0.2284,15.216379165649414,9.609969601237248e-06,,,,,,,,,,,
12,0.039,0.1823,8.612744331359863,9.958682365017088e-06,,,,,,,,,,,
13,0.042,0.0931,2.9557952880859375,1.0279467011564946e-05,,,,,,,,,,,
14,0.046,0.0982,3.3968608379364014,1.057646720489511e-05,,,,,,,,,,,
15,0.049,0.1059,3.7221882343292236,1.0852967769875131e-05,,,,,,,,,,,
16,0.052,0.1014,2.67378830909729,1.1111616774807308e-05,,,,,,,,,,,
17,0.056,0.1026,3.3063528537750244,1.1354580168309704e-05,,,,,,,,,,,
18,0.059,0.0507,1.4996140003204346,1.1583652148928695e-05,,,,,,,,,,,
19,0.062,0.0903,3.166370153427124,1.1800335654136308e-05,,,,,,,,,,,
20,0.065,0.0569,2.0452380180358887,1.200590217966535e-05,,,,,,,,,,,
21,0.069,0.0608,2.198598623275757,1.2201436988806718e-05,,,,,,,,,,,
22,0.072,0.0531,2.9765329360961914,1.2387873794939074e-05,,,,,,,,,,,
23,0.075,0.0538,3.0300960540771484,1.2566021728200815e-05,,,,,,,,,,,
24,0.078,0.0447,1.8917137384414673,1.2736586558718915e-05,,,,,,,,,,,
25,0.082,0.0585,1.9544132947921753,1.2900187584523393e-05,,,,,,,,,,,
26,0.085,0.0447,1.8409018516540527,1.3057371205266773e-05,,,,,,,,,,,
27,0.088,0.0274,0.8993127942085266,1.3208621932840304e-05,,,,,,,,,,,
28,0.092,0.0678,2.50224232673645,1.3354371398596937e-05,,,,,,,,,,,
29,0.095,0.0467,1.5129621028900146,1.3495005779288657e-05,,,,,,,,,,,
30,0.098,0.0524,1.722595453262329,1.3630871963576958e-05,,,,,,,,,,,
31,0.101,0.0555,1.4963223934173584,1.3762282707045817e-05,,,,,,,,,,,
32,0.105,0.0425,1.0075139999389648,1.3889520968509133e-05,,,,,,,,,,,
33,0.108,0.0392,1.3474223613739014,1.4012843578850681e-05,,,,,,,,,,,
34,0.111,0.0451,1.5584837198257446,1.413248436201153e-05,,,,,,,,,,,
35,0.114,0.0385,1.2341058254241943,1.4248656803454982e-05,,,,,,,,,,,
36,0.118,0.0354,1.2040283679962158,1.4361556342630522e-05,,,,,,,,,,,
37,0.121,0.0242,0.9958794116973877,1.4471362351274756e-05,,,,,,,,,,,
38,0.124,0.0519,1.886948585510254,1.4578239847838136e-05,,,,,,,,,,,
39,0.127,0.0492,2.0577147006988525,1.468234098917838e-05,,,,,,,,,,,
40,0.131,0.0676,2.6413509845733643,1.4783806373367179e-05,,,,,,,,,,,
41,0.134,0.0671,1.5535839796066284,1.4882766181604204e-05,,,,,,,,,,,
42,0.137,0.0408,2.358360528945923,1.4979341182508544e-05,,,,,,,,,,,
43,0.141,0.0609,1.9395779371261597,1.5073643618223373e-05,,,,,,,,,,,
44,0.144,0.053,4.028463840484619,1.51657779886409e-05,,,,,,,,,,,
45,0.147,0.0506,1.875590443611145,1.5255841747488564e-05,,,,,,,,,,,
46,0.15,0.0516,1.8729476928710938,1.5343925921902642e-05,,,,,,,,,,,
47,0.154,0.0266,0.794989824295044,1.5430115665364723e-05,,,,,,,,,,,
48,0.157,0.0444,1.276155710220337,1.5514490752420744e-05,,,,,,,,,,,
49,0.16,0.0457,2.013780355453491,1.5597126022386567e-05,,,,,,,,,,,
50,0.163,0.0639,1.2515554428100586,1.5678091778225222e-05,,,,,,,,,,,
51,0.167,0.0713,1.506263017654419,1.5757454145923137e-05,,,,,,,,,,,
52,0.17,0.0572,2.2953107357025146,1.58352753989686e-05,,,,,,,,,,,
53,0.173,0.0448,0.9417445063591003,1.5911614251921585e-05,,,,,,,,,,,
54,0.176,0.031,0.7359231114387512,1.598652612654213e-05,,,,,,,,,,,
55,0.18,0.0393,1.408515214920044,1.6060063393498945e-05,,,,,,,,,,,
56,0.183,0.0432,0.9318360090255737,1.6132275592298766e-05,,,,,,,,,,,
57,0.186,0.055,1.3028860092163086,1.6203209631749744e-05,,,,,,,,,,,
58,0.19,0.0384,1.091862440109253,1.6272909972990483e-05,,,,,,,,,,,
59,0.193,0.0344,1.0410900115966797,1.6341418796873162e-05,,,,,,,,,,,
60,0.196,0.0329,0.7268765568733215,1.6408776157278784e-05,,,,,,,,,,,
61,0.199,0.0299,0.9361962676048279,1.6475020121759948e-05,,,,,,,,,,,
62,0.203,0.0561,1.1698887348175049,1.6540186900747646e-05,,,,,,,,,,,
63,0.206,0.0186,0.8206520676612854,1.660431096642015e-05,,,,,,,,,,,
64,0.209,0.0841,1.395308017730713,1.666742516221096e-05,,,,,,,,,,,
65,0.212,0.0542,1.1283174753189087,1.672956080382664e-05,,,,,,,,,,,
66,0.216,0.0353,0.9206889867782593,1.6790747772552507e-05,,,,,,,,,,,
67,0.219,0.0629,1.1596235036849976,1.6851014601541966e-05,,,,,,,,,,,
68,0.222,0.0312,0.7213752865791321,1.6910388555713357e-05,,,,,,,,,,,
69,0.225,0.0487,0.6368558406829834,1.696889570581425e-05,,,,,,,,,,,
70,0.229,0.053,1.9971089363098145,1.702656099715681e-05,,,,,,,,,,,
71,0.232,0.0317,0.8928244113922119,1.7083408313477785e-05,,,,,,,,,,,
72,0.235,0.0337,1.3042386770248413,1.713946053633235e-05,,,,,,,,,,,
73,0.239,0.0299,0.9409580826759338,1.719473960039136e-05,,,,,,,,,,,
74,0.242,0.0371,0.9900434613227844,1.7249266544976585e-05,,,,,,,,,,,
75,0.245,0.0168,1.1613118648529053,1.7303061562136828e-05,,,,,,,,,,,
76,0.248,0.0337,1.8236258029937744,1.7356144041539965e-05,,,,,,,,,,,
77,0.252,0.0366,0.9886595010757446,1.7408532612430532e-05,,,,,,,,,,,
78,0.255,0.0464,0.9506984949111938,1.7460245182880206e-05,,,,,,,,,,,
79,0.258,0.0426,1.0100442171096802,1.7511298976538014e-05,,,,,,,,,,,
80,0.261,0.0296,1.0036721229553223,1.7561710567069004e-05,,,,,,,,,,,
81,0.265,0.0355,0.8259305357933044,1.7611495910453738e-05,,,,,,,,,,,
82,0.268,0.0262,1.2119795083999634,1.766067037530603e-05,,,,,,,,,,,
83,0.271,0.0232,0.8098181486129761,1.7709248771353133e-05,,,,,,,,,,,
84,0.275,0.0726,2.1129932403564453,1.775724537621037e-05,,,,,,,,,,,
85,0.278,0.0217,0.6447889804840088,1.78046739605714e-05,,,,,,,,,,,
86,0.281,0.042,1.7310621738433838,1.78515478119252e-05,,,,,,,,,,,
87,0.284,0.0604,7.040544033050537,1.789787975690209e-05,,,,,,,,,,,
88,0.288,0.0627,6.3280558586120605,1.794368218234273e-05,,,,,,,,,,,
89,0.291,0.0506,1.3743610382080078,1.7988967055176675e-05,,,,,,,,,,,
90,0.294,0.0323,1.2634649276733398,1.8033745941190393e-05,,,,,,,,,,,
91,0.297,0.0475,0.9545621275901794,1.8078030022758228e-05,,,,,,,,,,,
92,0.301,0.0309,5.155832767486572,1.8121830115604468e-05,,,,,,,,,,,
93,0.304,0.0457,3.240499258041382,1.8165156684659252e-05,,,,,,,,,,,
94,0.307,0.0172,0.2595255672931671,1.820801985906655e-05,,,,,,,,,,,
95,0.31,0.0475,1.2629400491714478,1.8250429446398005e-05,,,,,,,,,,,
96,0.314,0.0388,0.9152275919914246,1.829239494612257e-05,,,,,,,,,,,
97,0.317,0.0583,1.5076824426651,1.8333925562378166e-05,,,,,,,,,,,
98,0.32,0.0364,2.0201971530914307,1.8375030216088396e-05,,,,,,,,,,,
99,0.324,0.0524,1.27721107006073,1.8415717556464116e-05,,,,,,,,,,,
100,0.327,0.0327,0.712883710861206,1.845599597192705e-05,,,,,,,,,,,
101,0.33,0.0292,4.256210803985596,1.8495873600489872e-05,,,,,,,,,,,
102,0.333,0.0425,1.0965821743011475,1.8535358339624962e-05,,,,,,,,,,,
103,0.337,0.0364,0.9114763736724854,1.857445785565174e-05,,,,,,,,,,,
104,0.34,0.0397,0.9225406646728516,1.8613179592670426e-05,,,,,,,,,,,
105,0.343,0.0343,0.6605569124221802,1.8651530781068415e-05,,,,,,,,,,,
106,0.346,0.0321,0.969352662563324,1.868951844562341e-05,,,,,,,,,,,
107,0.35,0.0407,0.8857342004776001,1.872714941322616e-05,,,,,,,,,,,
108,0.353,0.0561,1.1327632665634155,1.876443032024396e-05,,,,,,,,,,,
109,0.356,0.0298,0.6379770040512085,1.880136761954479e-05,,,,,,,,,,,
110,0.359,0.0436,1.0396323204040527,1.883796758720077e-05,,,,,,,,,,,
111,0.363,0.034,0.6978209614753723,1.887423632888819e-05,,,,,,,,,,,
112,0.366,0.0515,0.824442446231842,1.8910179786000588e-05,,,,,,,,,,,
113,0.369,0.0512,1.298752784729004,1.8945803741490124e-05,,,,,,,,,,,
114,0.373,0.0464,0.5312864184379578,1.898111382545157e-05,,,,,,,,,,,
115,0.376,0.036,0.828856348991394,1.901611552046251e-05,,,,,,,,,,,
116,0.379,0.0454,1.1953784227371216,1.905081416669231e-05,,,,,,,,,,,
117,0.382,0.0281,0.6417417526245117,1.9085214966791815e-05,,,,,,,,,,,
118,0.386,0.0272,0.7779504060745239,1.9119322990574988e-05,,,,,,,,,,,
119,0.389,0.0273,0.6856900453567505,1.9153143179502987e-05,,,,,,,,,,,
120,0.392,0.0454,0.9541429281234741,1.918668035098061e-05,,,,,,,,,,,
121,0.395,0.0362,0.706929624080658,1.9219939202474497e-05,,,,,,,,,,,
122,0.399,0.0352,0.6227526068687439,1.9252924315461777e-05,,,,,,,,,,,
123,0.402,0.0423,0.7626231908798218,1.9285640159217637e-05,,,,,,,,,,,
124,0.405,0.0294,0.6670892238616943,1.9318091094449472e-05,,,,,,,,,,,
125,0.408,0.0367,1.0548664331436157,1.9350281376785095e-05,,,,,,,,,,,
126,0.412,0.0202,0.4556838572025299,1.938221516012198e-05,,,,,,,,,,,
127,0.415,0.0246,0.5202150344848633,1.9413896499844137e-05,,,,,,,,,,,
128,0.418,0.0271,0.7763050198554993,1.9445329355912786e-05,,,,,,,,,,,
129,0.422,0.0552,1.4583189487457275,1.9476517595836804e-05,,,,,,,,,,,
130,0.425,0.0354,0.5524378418922424,1.950746499752847e-05,,,,,,,,,,,
