step,epoch,loss,grad_norm,learning_rate,eval_crossner_science,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.02,1.0977,19.665010452270508,0.0,,,,,,,,,,,
2,0.04,1.2773,20.783519744873047,4.362085839710631e-06,,,,,,,,,,,
3,0.06,1.1045,17.496423721313477,6.9137424808681075e-06,,,,,,,,,,,
4,0.08,1.1318,20.937929153442383,8.724171679421262e-06,,,,,,,,,,,
5,0.1,0.6934,15.091226577758789,1.0128449663534445e-05,,,,,,,,,,,
6,0.12,0.5522,11.668255805969238,1.1275828320578736e-05,,,,,,,,,,,
7,0.14,0.4233,12.344280242919922,1.2245923152549418e-05,,,,,,,,,,,
8,0.16,0.3916,12.352792739868164,1.3086257519131893e-05,,,,,,,,,,,
9,0.18,0.2981,8.340250015258789,1.3827484961736215e-05,,,,,,,,,,,
10,0.2,0.2961,8.960949897766113,1.449053550324508e-05,,,,,,,,,,,
11,0.22,0.1832,3.7897284030914307,1.5090337677104985e-05,,,,,,,,,,,
12,0.24,0.1868,5.277706146240234,1.563791416028937e-05,,,,,,,,,,,
13,0.26,0.1426,3.2499067783355713,1.6141635695206056e-05,,,,,,,,,,,
14,0.28,0.1748,9.944600105285645,1.660800899226005e-05,,,,,,,,,,,
15,0.3,0.1062,3.6581432819366455,1.7042192144402555e-05,,,,,,,,,,,
16,0.32,0.1527,5.510207176208496,1.7448343358842524e-05,,,,,,,,,,,
17,0.34,0.0932,3.687607765197754,1.782986378016149e-05,,,,,,,,,,,
18,0.36,0.1156,3.665532112121582,1.8189570801446844e-05,,,,,,,,,,,
19,0.38,0.0751,2.8418095111846924,1.8529824454509456e-05,,,,,,,,,,,
20,0.4,0.0628,2.9803271293640137,1.885262134295571e-05,,,,,,,,,,,
21,0.42,0.1792,5.435825347900391,1.9159665633417526e-05,,,,,,,,,,,
22,0.44,0.06,2.394843339920044,1.9452423516815614e-05,,,,,,,,,,,
23,0.46,0.0625,1.7965024709701538,1.9732165553570022e-05,,,,,,,,,,,
