step,epoch,loss,grad_norm,learning_rate,eval_crossner_politics,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.02,1.8105,12.505192756652832,0.0,,,,,,,,,,,
2,0.04,1.6211,9.704390525817871,4.362085839710631e-06,,,,,,,,,,,
3,0.06,1.5117,8.502753257751465,6.9137424808681075e-06,,,,,,,,,,,
4,0.08,1.4219,8.959519386291504,8.724171679421262e-06,,,,,,,,,,,
5,0.1,1.498,9.527650833129883,1.0128449663534445e-05,,,,,,,,,,,
6,0.12,1.3828,7.346933841705322,1.1275828320578736e-05,,,,,,,,,,,
7,0.14,1.5664,10.950756072998047,1.2245923152549418e-05,,,,,,,,,,,
8,0.16,1.3408,7.427700996398926,1.3086257519131893e-05,,,,,,,,,,,
9,0.18,1.2656,8.181124687194824,1.3827484961736215e-05,,,,,,,,,,,
10,0.2,1.2266,6.090320587158203,1.449053550324508e-05,,,,,,,,,,,
11,0.22,1.1328,5.759604454040527,1.5090337677104985e-05,,,,,,,,,,,
12,0.24,1.3066,7.79892635345459,1.563791416028937e-05,,,,,,,,,,,
13,0.26,1.085,5.735898017883301,1.6141635695206056e-05,,,,,,,,,,,
14,0.28,1.1426,6.09243631362915,1.660800899226005e-05,,,,,,,,,,,
15,0.3,1.1289,6.367393970489502,1.7042192144402555e-05,,,,,,,,,,,
16,0.32,0.8467,3.7697343826293945,1.7448343358842524e-05,,,,,,,,,,,
17,0.34,0.7666,4.227906227111816,1.782986378016149e-05,,,,,,,,,,,
18,0.36,0.7617,3.6041202545166016,1.8189570801446844e-05,,,,,,,,,,,
19,0.38,0.8135,3.72904634475708,1.8529824454509456e-05,,,,,,,,,,,
20,0.4,0.7256,3.50812029838562,1.885262134295571e-05,,,,,,,,,,,
21,0.42,0.8359,4.740532398223877,1.9159665633417526e-05,,,,,,,,,,,
22,0.44,0.6982,3.560945987701416,1.9452423516815614e-05,,,,,,,,,,,
23,0.46,0.6631,3.771960973739624,1.9732165553570022e-05,,,,,,,,,,,
24,0.48,0.6846,3.912607192993164,2e-05,,,,,,,,,,,
25,0.5,0.627,4.303043842315674,2e-05,,,,,,,,,,,
25,0.5,,,,0.0,0.0,11.761,8.503,0.085,,,,,,
26,0.52,0.5576,3.0914840698242188,1.996527777777778e-05,,,,,,,,,,,
27,0.54,0.5303,3.183424472808838,1.9930555555555556e-05,,,,,,,,,,,
28,0.56,0.4595,3.7268710136413574,1.9895833333333334e-05,,,,,,,,,,,
29,0.58,0.4229,3.065190076828003,1.9861111111111114e-05,,,,,,,,,,,
30,0.6,0.542,3.947096824645996,1.982638888888889e-05,,,,,,,,,,,
31,0.62,0.4683,3.2984917163848877,1.979166666666667e-05,,,,,,,,,,,
32,0.64,0.4209,2.881819248199463,1.9756944444444446e-05,,,,,,,,,,,
33,0.66,0.52,3.014655828475952,1.9722222222222224e-05,,,,,,,,,,,
34,0.68,0.3862,2.286010503768921,1.96875e-05,,,,,,,,,,,
35,0.7,0.499,3.0136301517486572,1.9652777777777778e-05,,,,,,,,,,,
36,0.72,0.3813,2.66249418258667,1.961805555555556e-05,,,,,,,,,,,
37,0.74,0.4414,3.024895191192627,1.9583333333333333e-05,,,,,,,,,,,
38,0.76,0.2737,1.9503285884857178,1.9548611111111113e-05,,,,,,,,,,,
39,0.78,0.3691,2.3712024688720703,1.951388888888889e-05,,,,,,,,,,,
40,0.8,0.3594,2.7438230514526367,1.9479166666666668e-05,,,,,,,,,,,
41,0.82,0.3477,2.0006027221679688,1.9444444444444445e-05,,,,,,,,,,,
42,0.84,0.3647,2.5594687461853027,1.9409722222222226e-05,,,,,,,,,,,
43,0.86,0.2815,1.946699857711792,1.9375e-05,,,,,,,,,,,
44,0.88,0.2375,1.528260588645935,1.9340277777777777e-05,,,,,,,,,,,
45,0.9,0.3296,2.3369176387786865,1.9305555555555558e-05,,,,,,,,,,,
46,0.92,0.3098,2.309238910675049,1.9270833333333335e-05,,,,,,,,,,,
47,0.94,0.3921,2.6399354934692383,1.9236111111111113e-05,,,,,,,,,,,
48,0.96,0.2942,2.4270896911621094,1.920138888888889e-05,,,,,,,,,,,
49,0.98,0.3013,2.059535503387451,1.916666666666667e-05,,,,,,,,,,,
50,1.0,0.271,1.7407151460647583,1.9131944444444445e-05,,,,,,,,,,,
50,1.0,,,,0.1285231115682936,0.1285231115682936,9.9309,10.07,0.101,,,,,,
51,1.02,0.2285,1.8939818143844604,1.9097222222222225e-05,,,,,,,,,,,
52,1.04,0.2134,1.6276416778564453,1.9062500000000003e-05,,,,,,,,,,,
53,1.06,0.3083,1.6492286920547485,1.902777777777778e-05,,,,,,,,,,,
54,1.08,0.2239,2.008726119995117,1.8993055555555557e-05,,,,,,,,,,,
55,1.1,0.2415,2.0439679622650146,1.8958333333333334e-05,,,,,,,,,,,
56,1.12,0.2683,1.744933009147644,1.8923611111111112e-05,,,,,,,,,,,
57,1.14,0.1785,1.782933235168457,1.888888888888889e-05,,,,,,,,,,,
58,1.16,0.2119,1.4712858200073242,1.885416666666667e-05,,,,,,,,,,,
59,1.18,0.2151,1.5081311464309692,1.8819444444444447e-05,,,,,,,,,,,
60,1.2,0.24,1.8559821844100952,1.8784722222222224e-05,,,,,,,,,,,
61,1.22,0.1837,1.4346117973327637,1.8750000000000002e-05,,,,,,,,,,,
62,1.24,0.2163,1.4247093200683594,1.871527777777778e-05,,,,,,,,,,,
63,1.26,0.175,1.5762392282485962,1.8680555555555556e-05,,,,,,,,,,,
64,1.28,0.224,1.5824189186096191,1.8645833333333334e-05,,,,,,,,,,,
65,1.3,0.1973,1.4767264127731323,1.8611111111111114e-05,,,,,,,,,,,
66,1.32,0.2168,1.7424907684326172,1.8576388888888888e-05,,,,,,,,,,,
67,1.34,0.1697,1.5128194093704224,1.854166666666667e-05,,,,,,,,,,,
68,1.36,0.229,2.012815237045288,1.8506944444444446e-05,,,,,,,,,,,
69,1.38,0.175,2.0042130947113037,1.8472222222222224e-05,,,,,,,,,,,
70,1.4,0.1589,1.4855916500091553,1.84375e-05,,,,,,,,,,,
71,1.42,0.1545,1.443704605102539,1.8402777777777778e-05,,,,,,,,,,,
72,1.44,0.2258,1.7317607402801514,1.836805555555556e-05,,,,,,,,,,,
73,1.46,0.2024,1.6195887327194214,1.8333333333333333e-05,,,,,,,,,,,
74,1.48,0.187,2.0033464431762695,1.8298611111111114e-05,,,,,,,,,,,
75,1.5,0.1802,1.6152307987213135,1.826388888888889e-05,,,,,,,,,,,
75,1.5,,,,0.2610837437923351,0.2610837437923351,9.9927,10.007,0.1,,,,,,
76,1.52,0.1005,1.3457854986190796,1.8229166666666668e-05,,,,,,,,,,,
77,1.54,0.2056,2.1007156372070312,1.8194444444444445e-05,,,,,,,,,,,
78,1.56,0.1956,1.444395899772644,1.8159722222222226e-05,,,,,,,,,,,
79,1.58,0.1902,1.540698528289795,1.8125e-05,,,,,,,,,,,
80,1.6,0.1606,1.790520191192627,1.8090277777777777e-05,,,,,,,,,,,
81,1.62,0.1859,1.7762080430984497,1.8055555555555558e-05,,,,,,,,,,,
82,1.64,0.1698,1.6063228845596313,1.8020833333333335e-05,,,,,,,,,,,
83,1.66,0.1873,1.6432998180389404,1.7986111111111113e-05,,,,,,,,,,,
84,1.68,0.1581,1.4493660926818848,1.795138888888889e-05,,,,,,,,,,,
85,1.7,0.1587,1.6176812648773193,1.7916666666666667e-05,,,,,,,,,,,
86,1.72,0.1226,1.3229161500930786,1.7881944444444445e-05,,,,,,,,,,,
87,1.74,0.0835,1.0273596048355103,1.7847222222222225e-05,,,,,,,,,,,
88,1.76,0.166,1.8489301204681396,1.7812500000000003e-05,,,,,,,,,,,
89,1.78,0.1432,1.5916577577590942,1.7777777777777777e-05,,,,,,,,,,,
90,1.8,0.1569,1.5191408395767212,1.7743055555555557e-05,,,,,,,,,,,
91,1.82,0.1953,1.7407628297805786,1.7708333333333335e-05,,,,,,,,,,,
92,1.84,0.1599,1.4033210277557373,1.7673611111111112e-05,,,,,,,,,,,
93,1.86,0.1121,1.1790238618850708,1.763888888888889e-05,,,,,,,,,,,
94,1.88,0.11,1.1446878910064697,1.760416666666667e-05,,,,,,,,,,,
95,1.9,0.1449,1.3978068828582764,1.7569444444444447e-05,,,,,,,,,,,
96,1.92,0.1194,1.3108471632003784,1.7534722222222225e-05,,,,,,,,,,,
97,1.94,0.1333,1.1602888107299805,1.7500000000000002e-05,,,,,,,,,,,
98,1.96,0.1071,1.3976221084594727,1.746527777777778e-05,,,,,,,,,,,
99,1.98,0.1078,1.618401288986206,1.7430555555555556e-05,,,,,,,,,,,
100,2.0,0.1354,1.038297414779663,1.7395833333333334e-05,,,,,,,,,,,
100,2.0,,,,0.31920199496241664,0.31920199496241664,10.0006,9.999,0.1,,,,,,
101,2.02,0.0892,1.0097066164016724,1.7361111111111114e-05,,,,,,,,,,,
102,2.04,0.1259,1.2297298908233643,1.732638888888889e-05,,,,,,,,,,,
103,2.06,0.1255,1.0735200643539429,1.729166666666667e-05,,,,,,,,,,,
104,2.08,0.1145,1.5071589946746826,1.7256944444444446e-05,,,,,,,,,,,
105,2.1,0.1053,0.922104001045227,1.7222222222222224e-05,,,,,,,,,,,
106,2.12,0.114,1.1171239614486694,1.71875e-05,,,,,,,,,,,
107,2.14,0.0968,1.6672435998916626,1.715277777777778e-05,,,,,,,,,,,
108,2.16,0.1157,1.1822969913482666,1.7118055555555556e-05,,,,,,,,,,,
109,2.18,0.0814,1.0222141742706299,1.7083333333333333e-05,,,,,,,,,,,
110,2.2,0.1033,1.0833560228347778,1.7048611111111114e-05,,,,,,,,,,,
111,2.22,0.158,1.8523739576339722,1.701388888888889e-05,,,,,,,,,,,
112,2.24,0.1184,0.9743905067443848,1.6979166666666668e-05,,,,,,,,,,,
113,2.26,0.1121,1.4083755016326904,1.6944444444444446e-05,,,,,,,,,,,
114,2.28,0.0635,0.9176415205001831,1.6909722222222223e-05,,,,,,,,,,,
115,2.3,0.1046,0.9593877196311951,1.6875e-05,,,,,,,,,,,
116,2.32,0.1217,1.4020752906799316,1.6840277777777778e-05,,,,,,,,,,,
117,2.34,0.1028,1.414109706878662,1.6805555555555558e-05,,,,,,,,,,,
118,2.36,0.0642,0.9021522998809814,1.6770833333333336e-05,,,,,,,,,,,
119,2.38,0.1202,1.2924309968948364,1.6736111111111113e-05,,,,,,,,,,,
120,2.4,0.0957,0.9921563863754272,1.670138888888889e-05,,,,,,,,,,,
121,2.42,0.0652,1.5296229124069214,1.6666666666666667e-05,,,,,,,,,,,
122,2.44,0.1102,1.315137267112732,1.6631944444444445e-05,,,,,,,,,,,
123,2.46,0.104,1.1925991773605347,1.6597222222222225e-05,,,,,,,,,,,
124,2.48,0.1508,1.2945250272750854,1.6562500000000003e-05,,,,,,,,,,,
125,2.5,0.1475,1.4953173398971558,1.6527777777777777e-05,,,,,,,,,,,
125,2.5,,,,0.43515358356769773,0.43515358356769773,9.9901,10.01,0.1,,,,,,
126,2.52,0.1378,2.1459667682647705,1.6493055555555557e-05,,,,,,,,,,,
127,2.54,0.0875,1.2857706546783447,1.6458333333333335e-05,,,,,,,,,,,
128,2.56,0.0746,0.9478957653045654,1.6423611111111112e-05,,,,,,,,,,,
129,2.58,0.1046,1.4823769330978394,1.638888888888889e-05,,,,,,,,,,,
130,2.6,0.081,1.2427860498428345,1.635416666666667e-05,,,,,,,,,,,
131,2.62,0.0766,1.2172118425369263,1.6319444444444444e-05,,,,,,,,,,,
132,2.64,0.1091,1.0436997413635254,1.6284722222222225e-05,,,,,,,,,,,
133,2.66,0.0828,1.2117019891738892,1.6250000000000002e-05,,,,,,,,,,,
134,2.68,0.087,0.9711901545524597,1.621527777777778e-05,,,,,,,,,,,
135,2.7,0.063,0.9026342630386353,1.6180555555555557e-05,,,,,,,,,,,
136,2.72,0.1157,1.2503505945205688,1.6145833333333334e-05,,,,,,,,,,,
137,2.74,0.0665,1.1120496988296509,1.6111111111111115e-05,,,,,,,,,,,
138,2.76,0.0653,0.9939948320388794,1.607638888888889e-05,,,,,,,,,,,
139,2.78,0.1093,1.0257309675216675,1.604166666666667e-05,,,,,,,,,,,
140,2.8,0.0548,1.0591284036636353,1.6006944444444447e-05,,,,,,,,,,,
141,2.82,0.158,1.6733276844024658,1.5972222222222224e-05,,,,,,,,,,,
142,2.84,0.0844,1.042040228843689,1.59375e-05,,,,,,,,,,,
143,2.86,0.0903,1.933987021446228,1.590277777777778e-05,,,,,,,,,,,
144,2.88,0.1016,2.6549415588378906,1.5868055555555556e-05,,,,,,,,,,,
145,2.9,0.0785,1.036421537399292,1.5833333333333333e-05,,,,,,,,,,,
146,2.92,0.1064,1.5411206483840942,1.5798611111111114e-05,,,,,,,,,,,
147,2.94,0.0763,0.9671265482902527,1.576388888888889e-05,,,,,,,,,,,
148,2.96,0.1389,1.7846310138702393,1.572916666666667e-05,,,,,,,,,,,
149,2.98,0.0597,1.0657432079315186,1.5694444444444446e-05,,,,,,,,,,,
150,3.0,0.0978,0.9824787974357605,1.5659722222222223e-05,,,,,,,,,,,
150,3.0,,,,0.4871155444220728,0.4871155444220728,10.0381,9.962,0.1,,,,,,
151,3.02,0.1329,1.3707225322723389,1.5625e-05,,,,,,,,,,,
152,3.04,0.0751,1.0204392671585083,1.5590277777777778e-05,,,,,,,,,,,
153,3.06,0.0818,1.1118863821029663,1.555555555555556e-05,,,,,,,,,,,
154,3.08,0.105,1.2233150005340576,1.5520833333333332e-05,,,,,,,,,,,
155,3.1,0.1006,1.2589685916900635,1.5486111111111113e-05,,,,,,,,,,,
156,3.12,0.1138,0.9666992425918579,1.545138888888889e-05,,,,,,,,,,,
157,3.14,0.082,1.3224503993988037,1.5416666666666668e-05,,,,,,,,,,,
158,3.16,0.0856,1.034643292427063,1.5381944444444445e-05,,,,,,,,,,,
159,3.18,0.067,0.9133530855178833,1.5347222222222226e-05,,,,,,,,,,,
160,3.2,0.0966,1.3182810544967651,1.5312500000000003e-05,,,,,,,,,,,
161,3.22,0.0627,1.2185133695602417,1.5277777777777777e-05,,,,,,,,,,,
162,3.24,0.0541,0.884565532207489,1.5243055555555558e-05,,,,,,,,,,,
163,3.26,0.0736,0.6929248571395874,1.5208333333333333e-05,,,,,,,,,,,
164,3.28,0.0515,0.9938905239105225,1.5173611111111112e-05,,,,,,,,,,,
165,3.3,0.0871,1.3629350662231445,1.513888888888889e-05,,,,,,,,,,,
166,3.32,0.0844,1.7746498584747314,1.5104166666666668e-05,,,,,,,,,,,
167,3.34,0.0731,0.9266270399093628,1.5069444444444446e-05,,,,,,,,,,,
168,3.36,0.1254,1.1938196420669556,1.5034722222222225e-05,,,,,,,,,,,
169,3.38,0.0921,1.193843960762024,1.5000000000000002e-05,,,,,,,,,,,
170,3.4,0.1071,1.1022666692733765,1.4965277777777778e-05,,,,,,,,,,,
171,3.42,0.052,0.6615040302276611,1.4930555555555557e-05,,,,,,,,,,,
172,3.44,0.0986,1.0902177095413208,1.4895833333333334e-05,,,,,,,,,,,
173,3.46,0.0767,0.8697506189346313,1.4861111111111113e-05,,,,,,,,,,,
174,3.48,0.0729,1.3135381937026978,1.482638888888889e-05,,,,,,,,,,,
175,3.5,0.0919,0.9957575798034668,1.479166666666667e-05,,,,,,,,,,,
175,3.5,,,,0.5069049552708309,0.5069049552708309,9.9938,10.006,0.1,,,,,,
176,3.52,0.0626,0.88272625207901,1.4756944444444445e-05,,,,,,,,,,,
