step,epoch,eval_crossner_music,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,loss,grad_norm,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
2,0.5,0.0,0.0,8.2918,12.06,0.121,,,,,,,,,
4,1.0,0.0,0.0,8.3724,11.944,0.119,,,,,,,,,
5,1.25,,,,,,0.8099,44.180824279785156,1.9130434782608697e-05,,,,,,
6,1.5,0.008820286621242353,0.008820286621242353,8.3522,11.973,0.12,,,,,,,,,
8,2.0,0.2578616351786869,0.2578616351786869,8.3479,11.979,0.12,,,,,,,,,
10,2.5,,,,,,0.1868,5.1911187171936035,1.6956521739130437e-05,,,,,,
10,2.5,0.5250403876724569,0.5250403876724569,8.2098,12.181,0.122,,,,,,,,,
12,3.0,0.5236111110612337,0.5236111110612337,8.3494,11.977,0.12,,,,,,,,,
14,3.5,0.7090909090408274,0.7090909090408274,8.3411,11.989,0.12,,,,,,,,,
15,3.75,,,,,,0.0385,2.103609561920166,1.4782608695652174e-05,,,,,,
16,4.0,0.7029930928125818,0.7029930928125818,6.3364,15.782,0.158,,,,,,,,,
18,4.5,0.6977087952196679,0.6977087952196679,8.346,11.982,0.12,,,,,,,,,
20,5.0,,,,,,0.0109,0.7391601800918579,1.2608695652173915e-05,,,,,,
20,5.0,0.7050997782204059,0.7050997782204059,7.9556,12.57,0.126,,,,,,,,,
22,5.5,0.7359635811335292,0.7359635811335292,6.3367,15.781,0.158,,,,,,,,,
24,6.0,0.7574598316255312,0.7574598316255312,6.3339,15.788,0.158,,,,,,,,,
25,6.25,,,,,,0.0045,0.5615761876106262,1.0434782608695653e-05,,,,,,
26,6.5,0.7598187310677292,0.7598187310677292,6.4295,15.553,0.156,,,,,,,,,
28,7.0,0.7650111192975514,0.7650111192975514,6.4254,15.563,0.156,,,,,,,,,
30,7.5,,,,,,0.0015,0.09880439192056656,8.260869565217392e-06,,,,,,
30,7.5,0.7712609970173409,0.7712609970173409,6.4304,15.551,0.156,,,,,,,,,
32,8.0,0.7686622320267529,0.7686622320267529,6.4275,15.558,0.156,,,,,,,,,
34,8.5,0.7721893490623117,0.7721893490623117,8.3393,11.991,0.12,,,,,,,,,
35,8.75,,,,,,0.0005,0.16733840107917786,6.086956521739132e-06,,,,,,
36,9.0,0.76296296291285,0.76296296291285,8.3407,11.989,0.12,,,,,,,,,
38,9.5,0.7660208643314077,0.7660208643314077,8.3397,11.991,0.12,,,,,,,,,
40,10.0,,,,,,0.0002,0.0503387413918972,3.91304347826087e-06,,,,,,
40,10.0,0.7446016380734942,0.7446016380734942,8.351,11.975,0.12,,,,,,,,,
42,10.5,0.7654504839409522,0.7654504839409522,8.3439,11.985,0.12,,,,,,,,,
44,11.0,0.7520476544547292,0.7520476544547292,8.347,11.98,0.12,,,,,,,,,
45,11.25,,,,,,0.0002,0.023803235962986946,1.7391304347826088e-06,,,,,,
46,11.5,0.7466467957770142,0.7466467957770142,8.3529,11.972,0.12,,,,,,,,,
48,12.0,0.7699180937696931,0.7699180937696931,8.3435,11.985,0.12,,,,,,,,,
48,12.0,,,,,,,,,216.4344,5.544,0.222,4098003870679040.0,4.09800387067904,0.10969456317495012
