step,epoch,eval_crossner_science,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,loss,grad_norm,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
4,0.571,0.0,0.0,8.1242,12.309,0.123,,,,,,,,,
5,0.714,,,,,,0.7153,18.441804885864258,2e-05,,,,,,
7,1.0,0.10178117043387783,0.10178117043387783,8.0035,12.495,0.125,,,,,,,,,
10,1.429,,,,,,0.208,13.362163543701172,1.8750000000000002e-05,,,,,,
10,1.429,0.113744075785778,0.113744075785778,7.9997,12.501,0.125,,,,,,,,,
14,2.0,0.5743473325265155,0.5743473325265155,6.465,15.468,0.155,,,,,,,,,
15,2.143,,,,,,0.0627,1.6134833097457886,1.7500000000000002e-05,,,,,,
18,2.571,0.5874999999504201,0.5874999999504201,7.0618,14.161,0.142,,,,,,,,,
20,2.857,,,,,,0.0336,2.941823720932007,1.6250000000000002e-05,,,,,,
21,3.0,0.7435897435400789,0.7435897435400789,6.9157,14.46,0.145,,,,,,,,,
24,3.429,0.6935483870466186,0.6935483870466186,7.0549,14.175,0.142,,,,,,,,,
25,3.571,,,,,,0.0146,0.3823324739933014,1.5000000000000002e-05,,,,,,
28,4.0,0.7468785470554208,0.7468785470554208,7.3212,13.659,0.137,,,,,,,,,
30,4.286,,,,,,0.0089,0.6589715480804443,1.375e-05,,,,,,
32,4.571,0.7356321838578834,0.7356321838578834,7.799,12.822,0.128,,,,,,,,,
35,5.0,,,,,,0.0023,0.40618574619293213,1.25e-05,,,,,,
35,5.0,0.739693757311436,0.739693757311436,7.1687,13.95,0.139,,,,,,,,,
38,5.429,0.7497142856641291,0.7497142856641291,6.9117,14.468,0.145,,,,,,,,,
40,5.714,,,,,,0.0016,0.3662731647491455,1.125e-05,,,,,,
42,6.0,0.7708095780570267,0.7708095780570267,6.9107,14.47,0.145,,,,,,,,,
45,6.429,,,,,,0.0014,0.06875617057085037,1e-05,,,,,,
46,6.571,0.7502850626636447,0.7502850626636447,6.9136,14.464,0.145,,,,,,,,,
49,7.0,0.743383199029236,0.743383199029236,6.9132,14.465,0.145,,,,,,,,,
50,7.143,,,,,,0.0015,0.144841268658638,8.750000000000001e-06,,,,,,
52,7.429,0.7711962833412264,0.7711962833412264,6.9186,14.454,0.145,,,,,,,,,
55,7.857,,,,,,0.0012,0.8781647086143494,7.500000000000001e-06,,,,,,
56,8.0,0.7540603247758114,0.7540603247758114,6.9132,14.465,0.145,,,,,,,,,
60,8.571,,,,,,0.0003,0.013251143507659435,6.25e-06,,,,,,
60,8.571,0.73903002304452,0.73903002304452,7.2009,13.887,0.139,,,,,,,,,
63,9.0,0.746820809198384,0.746820809198384,6.9096,14.473,0.145,,,,,,,,,
65,9.286,,,,,,0.0004,0.011099510826170444,5e-06,,,,,,
66,9.429,0.7757437070436569,0.7757437070436569,6.9061,14.48,0.145,,,,,,,,,
70,10.0,,,,,,0.0002,0.017109958454966545,3.7500000000000005e-06,,,,,,
70,10.0,0.7612456746903121,0.7612456746903121,6.915,14.461,0.145,,,,,,,,,
74,10.571,0.7526132403679436,0.7526132403679436,6.9122,14.467,0.145,,,,,,,,,
75,10.714,,,,,,0.0001,0.012566802091896534,2.5e-06,,,,,,
77,11.0,0.7649769584751736,0.7649769584751736,6.9099,14.472,0.145,,,,,,,,,
80,11.429,,,,,,0.0001,0.007703987415879965,1.25e-06,,,,,,
80,11.429,0.7586206896050047,0.7586206896050047,6.9099,14.472,0.145,,,,,,,,,
84,12.0,0.7583815028399996,0.7583815028399996,6.9121,14.467,0.145,,,,,,,,,
84,12.0,,,,,,,,,226.8209,10.581,0.37,7571061176532992.0,7.571061176532992,0.06263020578002657
