step,epoch,loss,grad_norm,learning_rate,eval_mit-restaurant,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.083,1.5602,24.390226364135742,9.559230870669094e-06,,,,,,,,,,,
10,0.167,0.3881,9.70286750793457,1.3676167519877784e-05,,,,,,,,,,,
15,0.25,0.2242,6.923754692077637,1.6084421077509477e-05,,,,,,,,,,,
20,0.333,0.1082,6.138663291931152,1.779310416908647e-05,,,,,,,,,,,
25,0.417,0.0712,1.3813437223434448,1.9118461741338187e-05,,,,,,,,,,,
30,0.5,0.0557,1.1719478368759155,2e-05,,,,,,,,,,,
30,0.5,,,,0.7558685445505939,0.7558685445505939,10.3728,9.641,0.096,,,,,,
35,0.583,0.0588,1.7317814826965332,1.9855282199710566e-05,,,,,,,,,,,
40,0.667,0.0502,1.0550048351287842,1.971056439942113e-05,,,,,,,,,,,
45,0.75,0.0548,1.2339731454849243,1.9565846599131693e-05,,,,,,,,,,,
50,0.833,0.0482,0.867517352104187,1.942112879884226e-05,,,,,,,,,,,
55,0.917,0.0435,0.9395237565040588,1.9276410998552825e-05,,,,,,,,,,,
60,1.0,0.0443,1.1244393587112427,1.913169319826339e-05,,,,,,,,,,,
60,1.0,,,,0.7641509433458704,0.7641509433458704,9.6551,10.357,0.104,,,,,,
65,1.083,0.0386,0.8229016065597534,1.8986975397973952e-05,,,,,,,,,,,
70,1.167,0.0385,0.9043217897415161,1.8842257597684516e-05,,,,,,,,,,,
75,1.25,0.0356,0.7691003084182739,1.869753979739508e-05,,,,,,,,,,,
80,1.333,0.0342,0.57161545753479,1.8552821997105644e-05,,,,,,,,,,,
85,1.417,0.0396,0.4683658182621002,1.840810419681621e-05,,,,,,,,,,,
90,1.5,0.034,0.7839986681938171,1.8263386396526775e-05,,,,,,,,,,,
90,1.5,,,,0.7933491685957041,0.7933491685957041,1.6427,60.876,0.609,,,,,,
95,1.583,0.0363,0.6013721823692322,1.811866859623734e-05,,,,,,,,,,,
100,1.667,0.0358,0.8408194184303284,1.7973950795947903e-05,,,,,,,,,,,
105,1.75,0.0358,0.444988489151001,1.7829232995658467e-05,,,,,,,,,,,
110,1.833,0.036,0.40810295939445496,1.768451519536903e-05,,,,,,,,,,,
115,1.917,0.0338,0.9504488110542297,1.7539797395079595e-05,,,,,,,,,,,
120,2.0,0.0332,0.5085285902023315,1.7395079594790162e-05,,,,,,,,,,,
120,2.0,,,,0.7737226276868738,0.7737226276868738,1.5841,63.129,0.631,,,,,,
125,2.083,0.0254,0.3994506597518921,1.7250361794500726e-05,,,,,,,,,,,
130,2.167,0.025,0.667383074760437,1.710564399421129e-05,,,,,,,,,,,
135,2.25,0.0235,0.4794231951236725,1.6960926193921854e-05,,,,,,,,,,,
140,2.333,0.0266,0.9312199950218201,1.6816208393632418e-05,,,,,,,,,,,
145,2.417,0.0243,0.3557509779930115,1.6671490593342982e-05,,,,,,,,,,,
150,2.5,0.0266,0.5379453897476196,1.6526772793053546e-05,,,,,,,,,,,
150,2.5,,,,0.7913669064244433,0.7913669064244433,1.6108,62.082,0.621,,,,,,
155,2.583,0.0237,0.5427281856536865,1.6382054992764113e-05,,,,,,,,,,,
160,2.667,0.0207,0.5180009007453918,1.6237337192474677e-05,,,,,,,,,,,
165,2.75,0.0274,0.8864028453826904,1.609261939218524e-05,,,,,,,,,,,
170,2.833,0.0241,0.3302996754646301,1.5947901591895805e-05,,,,,,,,,,,
175,2.917,0.0269,0.46099144220352173,1.580318379160637e-05,,,,,,,,,,,
180,3.0,0.0214,0.5115524530410767,1.5658465991316933e-05,,,,,,,,,,,
