step,epoch,loss,grad_norm,learning_rate,eval_crossner_literature,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.04,0.2693,7.465131759643555,0.0,,,,,,,,,,,
2,0.08,0.1869,6.403459072113037,5.578858913022597e-06,,,,,,,,,,,
3,0.12,0.2318,6.802621841430664,8.842282173954808e-06,,,,,,,,,,,
4,0.16,0.2651,9.324344635009766,1.1157717826045193e-05,,,,,,,,,,,
5,0.2,0.1427,4.557498455047607,1.295370924755994e-05,,,,,,,,,,,
6,0.24,0.1286,6.23004150390625,1.4421141086977404e-05,,,,,,,,,,,
7,0.28,0.0949,2.757988214492798,1.5661837028938922e-05,,,,,,,,,,,
8,0.32,0.0888,3.414574384689331,1.6736576739067793e-05,,,,,,,,,,,
9,0.36,0.0468,2.1223692893981934,1.7684564347909616e-05,,,,,,,,,,,
10,0.4,0.0842,3.1904704570770264,1.853256816058254e-05,,,,,,,,,,,
11,0.44,0.0697,2.2951467037200928,1.929968091962688e-05,,,,,,,,,,,
12,0.48,0.076,1.7079977989196777,2e-05,,,,,,,,,,,
12,0.48,,,,0.5071664828606413,0.5071664828606413,26.8162,3.729,0.037,,,,,,
13,0.52,0.0514,1.6934317350387573,2e-05,,,,,,,,,,,
14,0.56,0.0388,1.4803645610809326,1.9930555555555556e-05,,,,,,,,,,,
15,0.6,0.0306,1.140455961227417,1.9861111111111114e-05,,,,,,,,,,,
16,0.64,0.0483,1.47547447681427,1.979166666666667e-05,,,,,,,,,,,
17,0.68,0.0513,1.9817652702331543,1.9722222222222224e-05,,,,,,,,,,,
18,0.72,0.0648,1.8486106395721436,1.9652777777777778e-05,,,,,,,,,,,
19,0.76,0.0258,0.7510520219802856,1.9583333333333333e-05,,,,,,,,,,,
20,0.8,0.0367,1.0955320596694946,1.951388888888889e-05,,,,,,,,,,,
21,0.84,0.0351,1.1987265348434448,1.9444444444444445e-05,,,,,,,,,,,
22,0.88,0.0451,2.372061014175415,1.9375e-05,,,,,,,,,,,
23,0.92,0.0226,0.9036317467689514,1.9305555555555558e-05,,,,,,,,,,,
24,0.96,0.0498,1.5662181377410889,1.9236111111111113e-05,,,,,,,,,,,
25,1.0,0.0332,1.2161957025527954,1.916666666666667e-05,,,,,,,,,,,
25,1.0,,,,0.6501766783951272,0.6501766783951272,26.742,3.739,0.037,,,,,,
26,1.04,0.0132,0.2819748818874359,1.9097222222222225e-05,,,,,,,,,,,
27,1.08,0.0457,1.8168219327926636,1.902777777777778e-05,,,,,,,,,,,
28,1.12,0.0224,2.1879451274871826,1.8958333333333334e-05,,,,,,,,,,,
29,1.16,0.01,0.6044620871543884,1.888888888888889e-05,,,,,,,,,,,
30,1.2,0.0097,0.5655061602592468,1.8819444444444447e-05,,,,,,,,,,,
31,1.24,0.0042,0.3203696012496948,1.8750000000000002e-05,,,,,,,,,,,
32,1.28,0.0109,0.6348105072975159,1.8680555555555556e-05,,,,,,,,,,,
33,1.32,0.0471,4.672359466552734,1.8611111111111114e-05,,,,,,,,,,,
34,1.36,0.031,2.373702049255371,1.854166666666667e-05,,,,,,,,,,,
35,1.4,0.0121,0.6661752462387085,1.8472222222222224e-05,,,,,,,,,,,
36,1.44,0.0397,1.0948430299758911,1.8402777777777778e-05,,,,,,,,,,,
37,1.48,0.0508,2.3025214672088623,1.8333333333333333e-05,,,,,,,,,,,
38,1.52,0.0087,1.0538063049316406,1.826388888888889e-05,,,,,,,,,,,
38,1.52,,,,0.7139588100184867,0.7139588100184867,26.7109,3.744,0.037,,,,,,
39,1.56,0.0502,4.810708045959473,1.8194444444444445e-05,,,,,,,,,,,
40,1.6,0.0106,0.4315783977508545,1.8125e-05,,,,,,,,,,,
41,1.64,0.0551,1.6922245025634766,1.8055555555555558e-05,,,,,,,,,,,
42,1.68,0.0305,1.370024561882019,1.7986111111111113e-05,,,,,,,,,,,
43,1.72,0.0603,1.3660186529159546,1.7916666666666667e-05,,,,,,,,,,,
44,1.76,0.0228,0.9079030156135559,1.7847222222222225e-05,,,,,,,,,,,
45,1.8,0.0417,1.0200920104980469,1.7777777777777777e-05,,,,,,,,,,,
46,1.84,0.0347,1.6687783002853394,1.7708333333333335e-05,,,,,,,,,,,
47,1.88,0.0205,0.7802234888076782,1.763888888888889e-05,,,,,,,,,,,
48,1.92,0.0214,1.3860536813735962,1.7569444444444447e-05,,,,,,,,,,,
49,1.96,0.0163,0.4984339475631714,1.7500000000000002e-05,,,,,,,,,,,
50,2.0,0.0161,0.4822598993778229,1.7430555555555556e-05,,,,,,,,,,,
50,2.0,,,,0.5100222716648385,0.5100222716648385,26.7083,3.744,0.037,,,,,,
51,2.04,0.0162,0.7762012481689453,1.7361111111111114e-05,,,,,,,,,,,
52,2.08,0.0088,0.2821342647075653,1.729166666666667e-05,,,,,,,,,,,
53,2.12,0.0193,2.473763942718506,1.7222222222222224e-05,,,,,,,,,,,
54,2.16,0.0028,0.21873682737350464,1.715277777777778e-05,,,,,,,,,,,
55,2.2,0.0075,1.010866403579712,1.7083333333333333e-05,,,,,,,,,,,
56,2.24,0.0012,0.14380775392055511,1.701388888888889e-05,,,,,,,,,,,
57,2.28,0.0101,0.49455997347831726,1.6944444444444446e-05,,,,,,,,,,,
58,2.32,0.007,0.6031810641288757,1.6875e-05,,,,,,,,,,,
59,2.36,0.005,0.7016012668609619,1.6805555555555558e-05,,,,,,,,,,,
60,2.4,0.0117,1.2824583053588867,1.6736111111111113e-05,,,,,,,,,,,
61,2.44,0.0141,1.2164931297302246,1.6666666666666667e-05,,,,,,,,,,,
62,2.48,0.006,0.31097665429115295,1.6597222222222225e-05,,,,,,,,,,,
62,2.48,,,,0.6526082130464531,0.6526082130464531,26.0245,3.843,0.038,,,,,,
63,2.52,0.0116,0.7228705883026123,1.6527777777777777e-05,,,,,,,,,,,
64,2.56,0.0025,0.26707977056503296,1.6458333333333335e-05,,,,,,,,,,,
65,2.6,0.0061,0.7087796926498413,1.638888888888889e-05,,,,,,,,,,,
66,2.64,0.0082,0.8743939995765686,1.6319444444444444e-05,,,,,,,,,,,
67,2.68,0.0272,1.086083173751831,1.6250000000000002e-05,,,,,,,,,,,
68,2.72,0.0046,0.48854681849479675,1.6180555555555557e-05,,,,,,,,,,,
69,2.76,0.0199,1.3254637718200684,1.6111111111111115e-05,,,,,,,,,,,
70,2.8,0.0061,0.5155125856399536,1.604166666666667e-05,,,,,,,,,,,
71,2.84,0.0102,1.4248576164245605,1.5972222222222224e-05,,,,,,,,,,,
72,2.88,0.0427,1.7947845458984375,1.590277777777778e-05,,,,,,,,,,,
73,2.92,0.0235,1.056899070739746,1.5833333333333333e-05,,,,,,,,,,,
74,2.96,0.0059,0.24144388735294342,1.576388888888889e-05,,,,,,,,,,,
75,3.0,0.0046,1.175945520401001,1.5694444444444446e-05,,,,,,,,,,,
75,3.0,,,,0.6998867496667189,0.6998867496667189,26.7024,3.745,0.037,,,,,,
76,3.04,0.0038,0.2476201057434082,1.5625e-05,,,,,,,,,,,
77,3.08,0.0059,0.455900102853775,1.555555555555556e-05,,,,,,,,,,,
78,3.12,0.0118,0.8799482583999634,1.5486111111111113e-05,,,,,,,,,,,
79,3.16,0.0082,0.40213608741760254,1.5416666666666668e-05,,,,,,,,,,,
80,3.2,0.001,0.05259266868233681,1.5347222222222226e-05,,,,,,,,,,,
81,3.24,0.0396,1.4582568407058716,1.5277777777777777e-05,,,,,,,,,,,
82,3.28,0.0056,0.352383553981781,1.5208333333333333e-05,,,,,,,,,,,
83,3.32,0.0063,0.5749477744102478,1.513888888888889e-05,,,,,,,,,,,
84,3.36,0.0019,0.14490339159965515,1.5069444444444446e-05,,,,,,,,,,,
85,3.4,0.0025,0.1270143985748291,1.5000000000000002e-05,,,,,,,,,,,
86,3.44,0.0065,0.3692719638347626,1.4930555555555557e-05,,,,,,,,,,,
87,3.48,0.0027,0.18132169544696808,1.4861111111111113e-05,,,,,,,,,,,
88,3.52,0.0083,0.8561484813690186,1.479166666666667e-05,,,,,,,,,,,
88,3.52,,,,0.7352625937335231,0.7352625937335231,26.7898,3.733,0.037,,,,,,
89,3.56,0.0034,0.223894402384758,1.4722222222222224e-05,,,,,,,,,,,
90,3.6,0.0023,0.19512471556663513,1.4652777777777779e-05,,,,,,,,,,,
91,3.64,0.0046,0.6594738364219666,1.4583333333333333e-05,,,,,,,,,,,
92,3.68,0.0013,0.10250703245401382,1.451388888888889e-05,,,,,,,,,,,
93,3.72,0.0014,0.1019209697842598,1.4444444444444446e-05,,,,,,,,,,,
94,3.76,0.0064,0.4178979992866516,1.4375e-05,,,,,,,,,,,
95,3.8,0.0007,0.0760025605559349,1.4305555555555557e-05,,,,,,,,,,,
96,3.84,0.0028,0.8249624967575073,1.4236111111111113e-05,,,,,,,,,,,
97,3.88,0.0023,0.5316222906112671,1.416666666666667e-05,,,,,,,,,,,
98,3.92,0.0232,1.4738118648529053,1.4097222222222224e-05,,,,,,,,,,,
99,3.96,0.008,0.702699601650238,1.4027777777777779e-05,,,,,,,,,,,
100,4.0,0.0105,0.8864358067512512,1.3958333333333333e-05,,,,,,,,,,,
100,4.0,,,,0.726042840987048,0.726042840987048,26.7352,3.74,0.037,,,,,,
101,4.04,0.0002,0.0281660258769989,1.388888888888889e-05,,,,,,,,,,,
102,4.08,0.0008,0.528555691242218,1.3819444444444446e-05,,,,,,,,,,,
