step,epoch,loss,grad_norm,learning_rate,eval_mit-restaurant,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.004,0.4586,17.777061462402344,0.0,,,,,,,,,,,
2,0.008,0.4344,16.409086227416992,2.921631592648489e-06,,,,,,,,,,,
3,0.013,0.4554,17.80948257446289,4.630676515270083e-06,,,,,,,,,,,
4,0.017,0.4326,17.58060073852539,5.843263185296978e-06,,,,,,,,,,,
5,0.021,0.3444,13.021055221557617,6.7838184778810356e-06,,,,,,,,,,,
6,0.025,0.2002,6.2433648109436035,7.552308107918572e-06,,,,,,,,,,,
7,0.029,0.1422,5.291083335876465,8.202056832060732e-06,,,,,,,,,,,
8,0.033,0.1281,4.8261637687683105,8.764894777945466e-06,,,,,,,,,,,
9,0.038,0.1083,2.3798606395721436,9.261353030540167e-06,,,,,,,,,,,
10,0.042,0.0873,2.060028553009033,9.705450070529527e-06,,,,,,,,,,,
11,0.046,0.0724,1.7406880855560303,1.0107184709617828e-05,,,,,,,,,,,
12,0.05,0.1107,2.5409557819366455,1.0473939700567063e-05,,,,,,,,,,,
13,0.054,0.0816,3.608686923980713,1.0811321587212284e-05,,,,,,,,,,,
14,0.059,0.0569,2.1886913776397705,1.112368842470922e-05,,,,,,,,,,,
15,0.063,0.0824,3.2980105876922607,1.1414494993151119e-05,,,,,,,,,,,
16,0.067,0.0421,1.739113688468933,1.1686526370593955e-05,,,,,,,,,,,
17,0.071,0.0471,1.0988949537277222,1.1942060570773745e-05,,,,,,,,,,,
18,0.075,0.0576,1.2870311737060547,1.2182984623188654e-05,,,,,,,,,,,
19,0.079,0.0463,1.0613161325454712,1.2410879226557518e-05,,,,,,,,,,,
20,0.084,0.0543,0.949544370174408,1.2627081663178013e-05,,,,,,,,,,,
21,0.088,0.0705,1.6434673070907593,1.2832733347330815e-05,,,,,,,,,,,
22,0.092,0.0455,0.9527856707572937,1.3028816302266316e-05,,,,,,,,,,,
23,0.096,0.0361,0.7888798713684082,1.3216181522118964e-05,,,,,,,,,,,
24,0.1,0.0414,1.0241907835006714,1.339557129321555e-05,,,,,,,,,,,
25,0.105,0.0368,0.5790769457817078,1.3567636955762071e-05,,,,,,,,,,,
26,0.109,0.0408,0.7523338794708252,1.3732953179860774e-05,,,,,,,,,,,
27,0.113,0.0318,0.6926219463348389,1.389202954581025e-05,,,,,,,,,,,
28,0.117,0.0485,0.7601744532585144,1.4045320017357708e-05,,,,,,,,,,,
29,0.121,0.018,0.6011680364608765,1.419323075185066e-05,,,,,,,,,,,
30,0.126,0.0276,0.7094510793685913,1.4336126585799608e-05,,,,,,,,,,,
31,0.13,0.0633,0.8935198783874512,1.4474336456608873e-05,,,,,,,,,,,
32,0.134,0.0278,0.5649591088294983,1.4608157963242445e-05,,,,,,,,,,,
33,0.138,0.0508,1.029943585395813,1.473786122488791e-05,,,,,,,,,,,
34,0.142,0.035,0.8000473976135254,1.4863692163422237e-05,,,,,,,,,,,
35,0.146,0.0368,0.6532300114631653,1.4985875309941766e-05,,,,,,,,,,,
36,0.151,0.032,0.8406487107276917,1.5104616215837144e-05,,,,,,,,,,,
37,0.155,0.0529,1.1392556428909302,1.5220103533450539e-05,,,,,,,,,,,
38,0.159,0.0496,1.0063706636428833,1.5332510819206004e-05,,,,,,,,,,,
39,0.163,0.0466,1.031417727470398,1.5441998102482367e-05,,,,,,,,,,,
40,0.167,0.0696,2.124142646789551,1.5548713255826503e-05,,,,,,,,,,,
41,0.172,0.0744,1.5427970886230469,1.5652793195949435e-05,,,,,,,,,,,
42,0.176,0.0429,1.076879620552063,1.5754364939979307e-05,,,,,,,,,,,
43,0.18,0.0325,0.5534719824790955,1.5853546537412653e-05,,,,,,,,,,,
44,0.184,0.0494,1.1991909742355347,1.5950447894914806e-05,,,,,,,,,,,
45,0.188,0.0456,1.0698611736297607,1.6045171508421204e-05,,,,,,,,,,,
46,0.192,0.0384,0.9158031940460205,1.6137813114767454e-05,,,,,,,,,,,
47,0.197,0.035,0.9069058299064636,1.6228462273234477e-05,,,,,,,,,,,
48,0.201,0.046,0.9895203709602356,1.631720288586404e-05,,,,,,,,,,,
49,0.205,0.0346,0.8401994109153748,1.6404113664121464e-05,,,,,,,,,,,
50,0.209,0.0536,0.7805081605911255,1.648926854841056e-05,,,,,,,,,,,
51,0.213,0.0438,0.7991052269935608,1.657273708604383e-05,,,,,,,,,,,
52,0.218,0.0358,0.5672958493232727,1.6654584772509265e-05,,,,,,,,,,,
53,0.222,0.0373,0.7817357778549194,1.6734873360229337e-05,,,,,,,,,,,
54,0.226,0.0339,0.7739063501358032,1.6813661138458738e-05,,,,,,,,,,,
55,0.23,0.0382,0.7969357967376709,1.6891003187498864e-05,,,,,,,,,,,
56,0.234,0.0385,0.7266884446144104,1.69669516100062e-05,,,,,,,,,,,
57,0.238,0.0696,0.8292244076728821,1.7041555741827603e-05,,,,,,,,,,,
58,0.243,0.0504,0.5320367813110352,1.711486234449915e-05,,,,,,,,,,,
59,0.247,0.0397,0.4376668334007263,1.71869157812896e-05,,,,,,,,,,,
60,0.251,0.0317,0.46704426407814026,1.7257758178448095e-05,,,,,,,,,,,
61,0.255,0.0387,0.4631554186344147,1.7327429573123714e-05,,,,,,,,,,,
62,0.259,0.0298,0.30032622814178467,1.7395968049257365e-05,,,,,,,,,,,
63,0.264,0.0342,0.3309299349784851,1.74634098626009e-05,,,,,,,,,,,
64,0.268,0.0321,0.5054660439491272,1.752978955589093e-05,,,,,,,,,,,
65,0.272,0.0298,0.33661916851997375,1.759514006509332e-05,,,,,,,,,,,
66,0.276,0.0516,0.7304655909538269,1.7659492817536398e-05,,,,,,,,,,,
67,0.28,0.0188,0.34351590275764465,1.7722877822664924e-05,,,,,,,,,,,
68,0.285,0.0489,0.484469473361969,1.7785323756070726e-05,,,,,,,,,,,
69,0.289,0.041,0.9191020131111145,1.784685803738905e-05,,,,,,,,,,,
70,0.293,0.0331,0.4851810038089752,1.790750690259026e-05,,,,,,,,,,,
71,0.297,0.0429,0.5194146037101746,1.7967295471143923e-05,,,,,,,,,,,
72,0.301,0.0342,0.49456673860549927,1.8026247808485632e-05,,,,,,,,,,,
73,0.305,0.0361,0.3530330955982208,1.8084386984175355e-05,,,,,,,,,,,
74,0.31,0.032,0.416174978017807,1.814173512609903e-05,,,,,,,,,,,
75,0.314,0.0297,0.3894500732421875,1.8198313471032153e-05,,,,,,,,,,,
76,0.318,0.0282,0.493511825799942,1.8254142411854497e-05,,,,,,,,,,,
77,0.322,0.0342,0.47091978788375854,1.830924154167856e-05,,,,,,,,,,,
78,0.326,0.0201,0.22006048262119293,1.8363629695130857e-05,,,,,,,,,,,
79,0.331,0.0344,0.5306689143180847,1.8417324987003552e-05,,,,,,,,,,,
80,0.335,0.0311,0.4019404649734497,1.847034484847499e-05,,,,,,,,,,,
81,0.339,0.0542,0.5424869656562805,1.8522706061080333e-05,,,,,,,,,,,
82,0.343,0.024,0.36935195326805115,1.8574424788597928e-05,,,,,,,,,,,
83,0.347,0.0417,0.6159643530845642,1.8625516607003035e-05,,,,,,,,,,,
84,0.351,0.0351,0.5591580867767334,1.8675996532627793e-05,,,,,,,,,,,
85,0.356,0.0336,0.48473602533340454,1.872587904865478e-05,,,,,,,,,,,
86,0.36,0.0386,0.4740900695323944,1.877517813006114e-05,,,,,,,,,,,
87,0.364,0.0383,0.4386558532714844,1.882390726712074e-05,,,,,,,,,,,
88,0.368,0.0248,0.5229162573814392,1.8872079487563295e-05,,,,,,,,,,,
