step,epoch,loss,grad_norm,learning_rate,eval_crossner_politics,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.019,6.0924,116.14457702636719,6.655682788551919e-06,,,,,,,,,,,
10,0.038,2.2395,23.197893142700195,9.522129343553784e-06,,,,,,,,,,,
15,0.057,0.6101,28.829072952270508,1.1198893088551218e-05,,,,,,,,,,,
20,0.076,0.5471,10.955273628234863,1.2388575898555646e-05,,,,,,,,,,,
25,0.095,0.4794,9.14144515991211,1.3311365577103839e-05,,,,,,,,,,,
30,0.115,0.381,11.561317443847656,1.4065339643553083e-05,,,,,,,,,,,
35,0.134,0.2975,6.965607643127441,1.4702815633551465e-05,,,,,,,,,,,
40,0.153,0.2216,5.675257205963135,1.525502245355751e-05,,,,,,,,,,,
45,0.172,0.2334,4.411293029785156,1.5742103388550514e-05,,,,,,,,,,,
50,0.191,0.2392,4.592140197753906,1.6177812132105704e-05,,,,,,,,,,,
55,0.21,0.2616,5.198859214782715,1.657195863405932e-05,,,,,,,,,,,
60,0.229,0.1835,3.1951847076416016,1.6931786198554942e-05,,,,,,,,,,,
65,0.248,0.1654,8.694136619567871,1.726279547060952e-05,,,,,,,,,,,
70,0.267,0.1709,6.065906524658203,1.756926218855333e-05,,,,,,,,,,,
75,0.286,0.1966,16.57939338684082,1.7854575877103134e-05,,,,,,,,,,,
80,0.305,0.222,5.633522987365723,1.8121469008559374e-05,,,,,,,,,,,
85,0.324,0.1817,5.875036239624023,1.8372176568552083e-05,,,,,,,,,,,
90,0.344,0.1367,2.9351823329925537,1.8608549943552376e-05,,,,,,,,,,,
95,0.363,0.1538,5.946784019470215,1.8832139975359918e-05,,,,,,,,,,,
100,0.382,0.1976,4.554624080657959,1.904425868710757e-05,,,,,,,,,,,
105,0.401,0.1599,4.596545696258545,1.924602593355076e-05,,,,,,,,,,,
110,0.42,0.1268,2.3704745769500732,1.9438405189061186e-05,,,,,,,,,,,
115,0.439,0.1228,2.839313507080078,1.9622231373829038e-05,,,,,,,,,,,
120,0.458,0.1584,2.4683799743652344,1.9798232753556807e-05,,,,,,,,,,,
125,0.477,0.1445,3.2244787216186523,1.996704836565576e-05,,,,,,,,,,,
130,0.496,0.1421,6.011517524719238,1.9980119284294236e-05,,,,,,,,,,,
131,0.5,,,,0.3924581005099395,0.3924581005099395,14.3602,307.169,1.602,,,,,,
135,0.515,0.1421,3.627488851547241,1.994698475811796e-05,,,,,,,,,,,
140,0.534,0.1827,5.095364570617676,1.9913850231941686e-05,,,,,,,,,,,
145,0.553,0.1154,2.8821513652801514,1.988071570576541e-05,,,,,,,,,,,
150,0.573,0.1348,11.027932167053223,1.9847581179589133e-05,,,,,,,,,,,
155,0.592,0.1712,1.6730599403381348,1.9814446653412858e-05,,,,,,,,,,,
160,0.611,0.1553,3.126095771789551,1.9781312127236583e-05,,,,,,,,,,,
165,0.63,0.1151,1.231131911277771,1.9748177601060304e-05,,,,,,,,,,,
170,0.649,0.2247,4.108044147491455,1.971504307488403e-05,,,,,,,,,,,
175,0.668,0.1171,2.442065715789795,1.9681908548707754e-05,,,,,,,,,,,
180,0.687,0.1164,3.552696466445923,1.964877402253148e-05,,,,,,,,,,,
185,0.706,0.1533,6.530848026275635,1.9615639496355204e-05,,,,,,,,,,,
190,0.725,0.1494,6.194662094116211,1.958250497017893e-05,,,,,,,,,,,
