step,epoch,loss,grad_norm,learning_rate,eval_mit-restaurant,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.009,5.9045,108.19332122802734,5.768873987190341e-06,,,,,,,,,,,
10,0.018,1.8883,22.487260818481445,8.253392779952611e-06,,,,,,,,,,,
15,0.027,0.6285,21.424312591552734,9.706743106055534e-06,,,,,,,,,,,
20,0.036,0.5798,8.38252067565918,1.0737911572714876e-05,,,,,,,,,,,
25,0.045,0.524,4.925138473510742,1.1537747974380681e-05,,,,,,,,,,,
30,0.054,0.4565,6.516908168792725,1.21912618988178e-05,,,,,,,,,,,
35,0.064,0.3532,7.0171308517456055,1.2743800048996109e-05,,,,,,,,,,,
40,0.073,0.2804,7.609120845794678,1.3222430365477144e-05,,,,,,,,,,,
45,0.082,0.2513,3.610328197479248,1.3644612224920727e-05,,,,,,,,,,,
50,0.091,0.1895,3.3346407413482666,1.4022266767142951e-05,,,,,,,,,,,
55,0.1,0.1766,4.119444847106934,1.4363896855970699e-05,,,,,,,,,,,
60,0.109,0.1784,3.5058035850524902,1.4675780691580068e-05,,,,,,,,,,,
65,0.118,0.1779,4.454483985900879,1.4962686008395792e-05,,,,,,,,,,,
70,0.127,0.1712,2.943718433380127,1.522831884175838e-05,,,,,,,,,,,
75,0.136,0.1664,2.352118968963623,1.5475617093245874e-05,,,,,,,,,,,
80,0.145,0.1357,2.9662320613861084,1.570694915823941e-05,,,,,,,,,,,
85,0.154,0.1291,2.4119184017181396,1.5924252230994265e-05,,,,,,,,,,,
90,0.163,0.1399,2.6219587326049805,1.6129131017682994e-05,,,,,,,,,,,
95,0.172,0.1303,1.6387085914611816,1.6322929724632822e-05,,,,,,,,,,,
100,0.181,0.1294,1.5476932525634766,1.6506785559905222e-05,,,,,,,,,,,
105,0.191,0.1503,2.565251111984253,1.66816691678613e-05,,,,,,,,,,,
110,0.2,0.1258,2.047024726867676,1.6848415648732967e-05,,,,,,,,,,,
115,0.209,0.1184,2.175241708755493,1.7007748677238435e-05,,,,,,,,,,,
120,0.218,0.1305,3.3912203311920166,1.7160299484342336e-05,,,,,,,,,,,
125,0.227,0.0994,1.571462869644165,1.7306621961571025e-05,,,,,,,,,,,
130,0.236,0.1362,1.4811038970947266,1.7447204801158062e-05,,,,,,,,,,,
135,0.245,0.0978,2.340932846069336,1.7582481343785917e-05,,,,,,,,,,,
140,0.254,0.1079,1.8098574876785278,1.7712837634520643e-05,,,,,,,,,,,
145,0.263,0.1152,1.8393486738204956,1.7838619064466737e-05,,,,,,,,,,,
150,0.272,0.115,4.265236854553223,1.7960135886008142e-05,,,,,,,,,,,
155,0.281,0.1316,2.2049856185913086,1.8077667823380024e-05,,,,,,,,,,,
160,0.29,0.1275,2.0650761127471924,1.819146795100168e-05,,,,,,,,,,,
165,0.299,0.1021,0.9858869910240173,1.8301765974835886e-05,,,,,,,,,,,
170,0.309,0.1177,4.096896648406982,1.8408771023756533e-05,,,,,,,,,,,
175,0.318,0.1243,2.036398410797119,1.8512674036186452e-05,,,,,,,,,,,
180,0.327,0.1101,1.9520516395568848,1.861364981044526e-05,,,,,,,,,,,
185,0.336,0.1167,1.255205750465393,1.871185877411411e-05,,,,,,,,,,,
190,0.345,0.1181,2.046038866043091,1.8807448517395087e-05,,,,,,,,,,,
195,0.354,0.126,1.678063154220581,1.8900555127260988e-05,,,,,,,,,,,
200,0.363,0.1203,2.1355466842651367,1.8991304352667487e-05,,,,,,,,,,,
205,0.372,0.1123,2.0854685306549072,1.907981262586513e-05,,,,,,,,,,,
210,0.381,0.1126,2.0383317470550537,1.916618796062357e-05,,,,,,,,,,,
215,0.39,0.1046,1.806891918182373,1.925053074475124e-05,,,,,,,,,,,
220,0.399,0.12,1.4989207983016968,1.9332934441495235e-05,,,,,,,,,,,
225,0.408,0.112,3.251002788543701,1.9413486212111068e-05,,,,,,,,,,,
230,0.417,0.1249,2.0344932079315186,1.9492267470000703e-05,,,,,,,,,,,
235,0.426,0.0872,1.2489087581634521,1.956935437525122e-05,,,,,,,,,,,
240,0.436,0.1152,2.0732102394104004,1.9644818277104604e-05,,,,,,,,,,,
245,0.445,0.1039,1.3136725425720215,1.971872611080188e-05,,,,,,,,,,,
250,0.454,0.1274,1.4492954015731812,1.9791140754333293e-05,,,,,,,,,,,
255,0.463,0.1162,1.3313623666763306,1.9862121349859452e-05,,,,,,,,,,,
260,0.472,0.1345,0.9289373159408569,1.993172359392033e-05,,,,,,,,,,,
265,0.481,0.1146,1.5348646640777588,1.9999999999999998e-05,,,,,,,,,,,
270,0.49,0.117,1.6307165622711182,1.9987395619977943e-05,,,,,,,,,,,
275,0.499,0.1141,1.1186975240707397,1.9971640144950373e-05,,,,,,,,,,,
276,0.501,,,,0.6365688487083123,0.6365688487083123,3.4352,275.094,1.456,,,,,,
280,0.508,0.1031,1.4065989255905151,1.99558846699228e-05,,,,,,,,,,,
285,0.517,0.1145,1.4526917934417725,1.994012919489523e-05,,,,,,,,,,,
290,0.526,0.1042,1.3242501020431519,1.9924373719867655e-05,,,,,,,,,,,
295,0.535,0.126,1.868119478225708,1.9908618244840085e-05,,,,,,,,,,,
300,0.544,0.1025,1.1705079078674316,1.989286276981251e-05,,,,,,,,,,,
305,0.554,0.1015,1.6076066493988037,1.9877107294784937e-05,,,,,,,,,,,
310,0.563,0.1059,1.1252411603927612,1.9861351819757367e-05,,,,,,,,,,,
315,0.572,0.0887,1.7773901224136353,1.9845596344729796e-05,,,,,,,,,,,
320,0.581,0.1134,1.6027966737747192,1.9829840869702223e-05,,,,,,,,,,,
325,0.59,0.0932,1.1132932901382446,1.9814085394674652e-05,,,,,,,,,,,
330,0.599,0.0991,0.9953824281692505,1.979832991964708e-05,,,,,,,,,,,
335,0.608,0.1124,1.1443372964859009,1.9782574444619508e-05,,,,,,,,,,,
340,0.617,0.0847,1.092124104499817,1.9766818969591934e-05,,,,,,,,,,,
