step,epoch,loss,grad_norm,learning_rate,eval_crossner_music,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.041,4.8993,61.304283142089844,7.861760963081327e-06,,,,,,,,,,,
10,0.081,1.3491,21.516977310180664,1.1247637115056958e-05,,,,,,,,,,,
15,0.122,0.3654,11.95537281036377,1.3228247696048747e-05,,,,,,,,,,,
20,0.163,0.245,4.272075653076172,1.4633513267032583e-05,,,,,,,,,,,
25,0.203,0.1852,5.140446662902832,1.5723521926162654e-05,,,,,,,,,,,
30,0.244,0.1566,7.664139747619629,1.6614123848024376e-05,,,,,,,,,,,
35,0.285,0.1697,4.163245677947998,1.736711704380757e-05,,,,,,,,,,,
40,0.325,0.1517,3.74953556060791,1.8019389419008214e-05,,,,,,,,,,,
45,0.366,0.1462,2.1214632987976074,1.8594734429016163e-05,,,,,,,,,,,
50,0.407,0.1348,2.533682107925415,1.9109398078138283e-05,,,,,,,,,,,
55,0.447,0.1282,2.2060680389404297,1.9574967980015803e-05,,,,,,,,,,,
60,0.488,0.1609,2.598738193511963,2e-05,,,,,,,,,,,
62,0.504,,,,0.2924411399760846,0.2924411399760846,18.6383,224.377,1.127,,,,,,
65,0.528,0.1191,11.405953407287598,1.9943502824858758e-05,,,,,,,,,,,
70,0.569,0.1187,3.662940740585327,1.9872881355932205e-05,,,,,,,,,,,
75,0.61,0.1382,6.616206645965576,1.980225988700565e-05,,,,,,,,,,,
80,0.65,0.138,3.465595245361328,1.9731638418079098e-05,,,,,,,,,,,
85,0.691,0.115,17.325284957885742,1.9661016949152545e-05,,,,,,,,,,,
90,0.732,0.1217,7.954118251800537,1.959039548022599e-05,,,,,,,,,,,
95,0.772,0.1161,1.8809107542037964,1.9519774011299438e-05,,,,,,,,,,,
100,0.813,0.1007,2.3951454162597656,1.944915254237288e-05,,,,,,,,,,,
105,0.854,0.0814,2.2093565464019775,1.937853107344633e-05,,,,,,,,,,,
110,0.894,0.0883,3.589923620223999,1.9307909604519777e-05,,,,,,,,,,,
115,0.935,0.1471,3.952444076538086,1.923728813559322e-05,,,,,,,,,,,
120,0.976,0.1036,1.2973248958587646,1.916666666666667e-05,,,,,,,,,,,
123,1.0,,,,0.5162200281587869,0.5162200281587869,79.0069,52.932,0.266,,,,,,
125,1.016,0.0965,1.7515798807144165,1.9096045197740114e-05,,,,,,,,,,,
130,1.057,0.0693,0.9313059449195862,1.902542372881356e-05,,,,,,,,,,,
135,1.098,0.0417,1.467274785041809,1.8954802259887007e-05,,,,,,,,,,,
140,1.138,0.0846,1.8370707035064697,1.8884180790960454e-05,,,,,,,,,,,
145,1.179,0.074,2.9200387001037598,1.88135593220339e-05,,,,,,,,,,,
150,1.22,0.0713,2.3426573276519775,1.8742937853107347e-05,,,,,,,,,,,
155,1.26,0.074,1.8822649717330933,1.8672316384180793e-05,,,,,,,,,,,
160,1.301,0.0857,1.7744667530059814,1.8601694915254237e-05,,,,,,,,,,,
165,1.341,0.1192,1.3843865394592285,1.8531073446327686e-05,,,,,,,,,,,
170,1.382,0.0631,1.623641848564148,1.846045197740113e-05,,,,,,,,,,,
175,1.423,0.0803,4.418020725250244,1.8389830508474576e-05,,,,,,,,,,,
180,1.463,0.0825,2.190526008605957,1.8319209039548026e-05,,,,,,,,,,,
184,1.496,,,,0.4847277555945624,0.4847277555945624,13.7918,303.224,1.523,,,,,,
185,1.504,0.0623,1.739444613456726,1.824858757062147e-05,,,,,,,,,,,
190,1.545,0.1246,7.01802921295166,1.8177966101694916e-05,,,,,,,,,,,
195,1.585,0.0815,1.7949084043502808,1.8107344632768363e-05,,,,,,,,,,,
200,1.626,0.0657,1.4616156816482544,1.803672316384181e-05,,,,,,,,,,,
205,1.667,0.1116,2.005241870880127,1.7966101694915256e-05,,,,,,,,,,,
210,1.707,0.0754,1.4917945861816406,1.7895480225988702e-05,,,,,,,,,,,
215,1.748,0.073,3.1950578689575195,1.782485875706215e-05,,,,,,,,,,,
220,1.789,0.0682,4.13266134262085,1.7754237288135596e-05,,,,,,,,,,,
225,1.829,0.0464,1.7750595808029175,1.7683615819209042e-05,,,,,,,,,,,
230,1.87,0.0633,1.5361756086349487,1.7612994350282485e-05,,,,,,,,,,,
235,1.911,0.0749,2.0810117721557617,1.7542372881355932e-05,,,,,,,,,,,
240,1.951,0.0481,1.9785761833190918,1.7471751412429382e-05,,,,,,,,,,,
245,1.992,0.0666,2.786545515060425,1.7401129943502825e-05,,,,,,,,,,,
246,2.0,,,,0.5436766622713785,0.5436766622713785,13.4447,311.051,1.562,,,,,,
250,2.033,0.0303,0.7985195517539978,1.733050847457627e-05,,,,,,,,,,,
255,2.073,0.0351,1.045849084854126,1.7259887005649718e-05,,,,,,,,,,,
260,2.114,0.0909,1.8711665868759155,1.7189265536723165e-05,,,,,,,,,,,
265,2.154,0.0345,0.9501568078994751,1.711864406779661e-05,,,,,,,,,,,
270,2.195,0.0725,4.043335437774658,1.7048022598870058e-05,,,,,,,,,,,
275,2.236,0.05,0.7323397397994995,1.6977401129943505e-05,,,,,,,,,,,
280,2.276,0.0423,0.7394422888755798,1.690677966101695e-05,,,,,,,,,,,
285,2.317,0.0471,0.843113124370575,1.6836158192090398e-05,,,,,,,,,,,
290,2.358,0.0443,2.2324111461639404,1.676553672316384e-05,,,,,,,,,,,
295,2.398,0.018,1.3580797910690308,1.669491525423729e-05,,,,,,,,,,,
300,2.439,0.0596,1.5153204202651978,1.6624293785310737e-05,,,,,,,,,,,
305,2.48,0.062,0.9097575545310974,1.655367231638418e-05,,,,,,,,,,,
308,2.504,,,,0.5216802167524617,0.5216802167524617,13.5916,307.691,1.545,,,,,,
310,2.52,0.0406,2.14808988571167,1.648305084745763e-05,,,,,,,,,,,
315,2.561,0.0289,0.6592333912849426,1.6412429378531074e-05,,,,,,,,,,,
320,2.602,0.0666,2.449532985687256,1.634180790960452e-05,,,,,,,,,,,
325,2.642,0.0414,0.8250457644462585,1.6271186440677967e-05,,,,,,,,,,,
330,2.683,0.0475,1.0960816144943237,1.6200564971751414e-05,,,,,,,,,,,
335,2.724,0.0234,0.4316597580909729,1.612994350282486e-05,,,,,,,,,,,
340,2.764,0.0314,0.5705280900001526,1.6059322033898307e-05,,,,,,,,,,,
345,2.805,0.038,0.906387984752655,1.5988700564971753e-05,,,,,,,,,,,
