step,epoch,loss,grad_norm,learning_rate,eval_crossner_literature,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.042,1.2603,13.656489372253418,7.927400573059717e-06,,,,,,,,,,,
10,0.084,0.4842,3.994004726409912,1.1341546166334124e-05,,,,,,,,,,,
15,0.126,0.1547,3.9019484519958496,1.3338693310402031e-05,,,,,,,,,,,
20,0.168,0.1016,3.818033218383789,1.4755691759608524e-05,,,,,,,,,,,
25,0.21,0.0804,1.5199962854385376,1.5854801146119433e-05,,,,,,,,,,,
30,0.252,0.0654,1.5251173973083496,1.6752838903676433e-05,,,,,,,,,,,
35,0.294,0.0598,0.9200214743614197,1.751211900895989e-05,,,,,,,,,,,
40,0.336,0.0519,0.5991823673248291,1.8169837352882926e-05,,,,,,,,,,,
45,0.378,0.045,0.43632206320762634,1.8749986047744344e-05,,,,,,,,,,,
50,0.42,0.042,0.28390631079673767,1.926894673939384e-05,,,,,,,,,,,
55,0.462,0.0411,0.5194873213768005,1.9738403789064383e-05,,,,,,,,,,,
60,0.504,0.0375,0.5639439225196838,1.9985401459854017e-05,,,,,,,,,,,
60,0.504,,,,0.0658436213813477,0.0658436213813477,99.5476,34.878,0.181,,,,,,
65,0.546,0.0357,0.7205864191055298,1.9912408759124088e-05,,,,,,,,,,,
70,0.588,0.0407,0.6360965371131897,1.9839416058394162e-05,,,,,,,,,,,
75,0.63,0.034,0.5230193734169006,1.9766423357664237e-05,,,,,,,,,,,
80,0.672,0.0293,0.236810103058815,1.969343065693431e-05,,,,,,,,,,,
85,0.714,0.0307,0.4248088002204895,1.962043795620438e-05,,,,,,,,,,,
90,0.756,0.0267,0.9445239901542664,1.9547445255474453e-05,,,,,,,,,,,
95,0.798,0.0247,0.5125124454498291,1.9474452554744527e-05,,,,,,,,,,,
100,0.84,0.0226,0.474909245967865,1.9401459854014598e-05,,,,,,,,,,,
105,0.882,0.019,0.41324475407600403,1.9328467153284672e-05,,,,,,,,,,,
110,0.924,0.0213,0.5446388721466064,1.9255474452554746e-05,,,,,,,,,,,
115,0.966,0.0213,0.4104917049407959,1.918248175182482e-05,,,,,,,,,,,
119,1.0,,,,0.37259615379620414,0.37259615379620414,128.943,26.927,0.14,,,,,,
120,1.008,0.0191,0.6099382638931274,1.910948905109489e-05,,,,,,,,,,,
125,1.05,0.0153,0.40425413846969604,1.9036496350364966e-05,,,,,,,,,,,
130,1.092,0.0148,0.3255445063114166,1.8963503649635036e-05,,,,,,,,,,,
135,1.134,0.0142,0.3917502462863922,1.889051094890511e-05,,,,,,,,,,,
140,1.176,0.0141,0.44899246096611023,1.8817518248175185e-05,,,,,,,,,,,
145,1.218,0.0151,0.28754839301109314,1.874452554744526e-05,,,,,,,,,,,
150,1.261,0.0157,0.6326242089271545,1.867153284671533e-05,,,,,,,,,,,
155,1.303,0.0143,0.32347071170806885,1.85985401459854e-05,,,,,,,,,,,
160,1.345,0.0138,0.2622755467891693,1.8525547445255475e-05,,,,,,,,,,,
165,1.387,0.012,0.5354666113853455,1.845255474452555e-05,,,,,,,,,,,
170,1.429,0.0136,0.761335015296936,1.8379562043795624e-05,,,,,,,,,,,
175,1.471,0.0136,0.3074159026145935,1.8306569343065695e-05,,,,,,,,,,,
178,1.496,,,,0.5072951739117408,0.5072951739117408,114.4106,30.347,0.157,,,,,,
180,1.513,0.016,0.39703211188316345,1.823357664233577e-05,,,,,,,,,,,
185,1.555,0.0139,0.4529484510421753,1.816058394160584e-05,,,,,,,,,,,
190,1.597,0.0125,0.708395779132843,1.8087591240875914e-05,,,,,,,,,,,
195,1.639,0.0153,0.49145305156707764,1.801459854014599e-05,,,,,,,,,,,
200,1.681,0.0121,0.2068750560283661,1.794160583941606e-05,,,,,,,,,,,
205,1.723,0.0132,0.2607136368751526,1.7868613138686133e-05,,,,,,,,,,,
210,1.765,0.0103,0.23867923021316528,1.7795620437956204e-05,,,,,,,,,,,
215,1.807,0.0106,0.252533495426178,1.772262773722628e-05,,,,,,,,,,,
220,1.849,0.0115,0.46306073665618896,1.764963503649635e-05,,,,,,,,,,,
225,1.891,0.0126,0.7189565300941467,1.7576642335766424e-05,,,,,,,,,,,
230,1.933,0.0133,0.5926087498664856,1.7503649635036498e-05,,,,,,,,,,,
