step,epoch,loss,grad_norm,learning_rate,eval_crossner_ai,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.042,2.5531,14.979249000549316,7.927400573059717e-06,,,,,,,,,,,
10,0.084,2.3484,12.345778465270996,1.1341546166334124e-05,,,,,,,,,,,
15,0.126,1.8883,9.420434951782227,1.3338693310402031e-05,,,,,,,,,,,
20,0.168,1.3406,5.582986354827881,1.4755691759608524e-05,,,,,,,,,,,
25,0.21,0.9521,3.3809900283813477,1.5854801146119433e-05,,,,,,,,,,,
30,0.252,0.7033,2.2029619216918945,1.6752838903676433e-05,,,,,,,,,,,
35,0.294,0.5258,1.5845484733581543,1.751211900895989e-05,,,,,,,,,,,
40,0.336,0.3767,1.3040452003479004,1.8169837352882926e-05,,,,,,,,,,,
45,0.378,0.2829,0.9608144164085388,1.8749986047744344e-05,,,,,,,,,,,
50,0.42,0.2042,0.7358245849609375,1.926894673939384e-05,,,,,,,,,,,
55,0.462,0.1721,0.6479090452194214,1.9738403789064383e-05,,,,,,,,,,,
60,0.504,0.1421,0.6569195985794067,2e-05,,,,,,,,,,,
60,0.504,,,,0.0,0.0,60.9705,53.173,0.279,,,,,,
65,0.546,0.1352,0.6364508271217346,2e-05,,,,,,,,,,,
70,0.588,0.1227,0.43769368529319763,2e-05,,,,,,,,,,,
75,0.63,0.1028,0.5170990228652954,2e-05,,,,,,,,,,,
80,0.672,0.1033,0.47555842995643616,2e-05,,,,,,,,,,,
85,0.714,0.0883,0.367051362991333,2e-05,,,,,,,,,,,
90,0.756,0.0853,0.46916332840919495,2e-05,,,,,,,,,,,
95,0.798,0.0842,0.3484434187412262,2e-05,,,,,,,,,,,
100,0.84,0.0842,0.3282049298286438,2e-05,,,,,,,,,,,
105,0.882,0.0794,0.4156353175640106,2e-05,,,,,,,,,,,
110,0.924,0.0736,0.37031522393226624,2e-05,,,,,,,,,,,
115,0.966,0.076,0.32039913535118103,2e-05,,,,,,,,,,,
119,1.0,,,,0.0,0.0,60.2038,53.85,0.282,,,,,,
120,1.008,0.0692,0.3151703178882599,2e-05,,,,,,,,,,,
125,1.05,0.0727,0.30059531331062317,2e-05,,,,,,,,,,,
130,1.092,0.0711,0.3752576410770416,2e-05,,,,,,,,,,,
135,1.134,0.0669,0.2250663787126541,2e-05,,,,,,,,,,,
140,1.176,0.0659,0.31604552268981934,2e-05,,,,,,,,,,,
145,1.218,0.0681,0.34116262197494507,2e-05,,,,,,,,,,,
150,1.261,0.0662,0.36996734142303467,2e-05,,,,,,,,,,,
155,1.303,0.0658,0.40952369570732117,2e-05,,,,,,,,,,,
160,1.345,0.0588,0.3299979865550995,2e-05,,,,,,,,,,,
165,1.387,0.0603,0.23122884333133698,2e-05,,,,,,,,,,,
170,1.429,0.062,0.2364785075187683,2e-05,,,,,,,,,,,
175,1.471,0.0586,0.32459384202957153,2e-05,,,,,,,,,,,
