step,epoch,loss,grad_norm,learning_rate,eval_crossner_music,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.041,2.6094,14.728009223937988,7.861760963081327e-06,,,,,,,,,,,
10,0.081,2.5617,11.923951148986816,1.1247637115056958e-05,,,,,,,,,,,
15,0.122,2.0559,7.880273342132568,1.3228247696048747e-05,,,,,,,,,,,
20,0.163,1.5242,5.57939338684082,1.4633513267032583e-05,,,,,,,,,,,
25,0.203,1.167,3.407716989517212,1.5723521926162654e-05,,,,,,,,,,,
30,0.244,0.8883,2.601972818374634,1.6614123848024376e-05,,,,,,,,,,,
35,0.285,0.6971,1.7381154298782349,1.736711704380757e-05,,,,,,,,,,,
40,0.325,0.5354,1.4481126070022583,1.8019389419008214e-05,,,,,,,,,,,
45,0.366,0.4312,1.1716300249099731,1.8594734429016163e-05,,,,,,,,,,,
50,0.407,0.3339,1.0597000122070312,1.9109398078138283e-05,,,,,,,,,,,
55,0.447,0.2931,0.9171910881996155,1.9574967980015803e-05,,,,,,,,,,,
60,0.488,0.2524,0.7432470917701721,2e-05,,,,,,,,,,,
62,0.504,,,,0.0,0.0,88.0702,47.485,0.238,,,,,,
65,0.528,0.2233,0.5827549695968628,2e-05,,,,,,,,,,,
70,0.569,0.2039,0.7171165943145752,2e-05,,,,,,,,,,,
75,0.61,0.1839,0.54871666431427,2e-05,,,,,,,,,,,
80,0.65,0.1694,0.5979318618774414,2e-05,,,,,,,,,,,
85,0.691,0.161,0.4923931360244751,2e-05,,,,,,,,,,,
90,0.732,0.1567,0.48410874605178833,2e-05,,,,,,,,,,,
95,0.772,0.1488,0.421444833278656,2e-05,,,,,,,,,,,
100,0.813,0.1422,0.3549477159976959,2e-05,,,,,,,,,,,
105,0.854,0.1299,0.5140008926391602,2e-05,,,,,,,,,,,
110,0.894,0.1376,0.4646190404891968,2e-05,,,,,,,,,,,
115,0.935,0.1315,0.3372960090637207,2e-05,,,,,,,,,,,
120,0.976,0.1248,0.5115296244621277,2e-05,,,,,,,,,,,
123,1.0,,,,0.0,0.0,80.4023,52.013,0.261,,,,,,
125,1.016,0.1244,0.45269572734832764,2e-05,,,,,,,,,,,
130,1.057,0.1262,0.36367955803871155,2e-05,,,,,,,,,,,
135,1.098,0.1146,0.42446398735046387,2e-05,,,,,,,,,,,
140,1.138,0.1122,0.3366290032863617,2e-05,,,,,,,,,,,
145,1.179,0.1124,0.2979341447353363,2e-05,,,,,,,,,,,
150,1.22,0.1107,0.41125309467315674,2e-05,,,,,,,,,,,
