step,epoch,loss,grad_norm,learning_rate,eval_crossner_ai,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.042,4.769,162.83230590820312,7.927400573059717e-06,,,,,,,,,,,
10,0.084,0.8973,34.4212532043457,1.1341546166334124e-05,,,,,,,,,,,
15,0.126,0.3451,11.164823532104492,1.3338693310402031e-05,,,,,,,,,,,
20,0.168,0.2611,18.941410064697266,1.4755691759608524e-05,,,,,,,,,,,
25,0.21,0.1847,9.41425895690918,1.5854801146119433e-05,,,,,,,,,,,
30,0.252,0.1927,9.742383003234863,1.6752838903676433e-05,,,,,,,,,,,
35,0.294,0.1715,11.560731887817383,1.751211900895989e-05,,,,,,,,,,,
40,0.336,0.2026,59.49136734008789,1.8169837352882926e-05,,,,,,,,,,,
45,0.378,0.3281,38.928863525390625,1.8749986047744344e-05,,,,,,,,,,,
50,0.42,0.1887,11.415124893188477,1.926894673939384e-05,,,,,,,,,,,
55,0.462,0.1144,3.973616361618042,1.9738403789064383e-05,,,,,,,,,,,
60,0.504,0.1657,9.721555709838867,1.9985401459854017e-05,,,,,,,,,,,
60,0.504,,,,0.40249999995000063,0.40249999995000063,7.5496,429.426,2.252,,,,,,
65,0.546,0.1397,4.7651686668396,1.9912408759124088e-05,,,,,,,,,,,
70,0.588,0.1255,14.22938060760498,1.9839416058394162e-05,,,,,,,,,,,
75,0.63,0.1408,7.025938510894775,1.9766423357664237e-05,,,,,,,,,,,
80,0.672,0.106,4.925553321838379,1.969343065693431e-05,,,,,,,,,,,
85,0.714,0.1022,11.445524215698242,1.962043795620438e-05,,,,,,,,,,,
90,0.756,0.1401,6.41878080368042,1.9547445255474453e-05,,,,,,,,,,,
95,0.798,0.1852,9.395099639892578,1.9474452554744527e-05,,,,,,,,,,,
100,0.84,0.0817,3.8273534774780273,1.9401459854014598e-05,,,,,,,,,,,
105,0.882,0.1113,2.409479856491089,1.9328467153284672e-05,,,,,,,,,,,
110,0.924,0.1567,7.466249465942383,1.9255474452554746e-05,,,,,,,,,,,
115,0.966,0.1117,5.855839252471924,1.918248175182482e-05,,,,,,,,,,,
119,1.0,,,,0.5027685492312506,0.5027685492312506,7.431,436.279,2.288,,,,,,
120,1.008,0.1015,11.206509590148926,1.910948905109489e-05,,,,,,,,,,,
125,1.05,0.0757,7.1133599281311035,1.9036496350364966e-05,,,,,,,,,,,
130,1.092,0.0519,2.4266395568847656,1.8963503649635036e-05,,,,,,,,,,,
135,1.134,0.1323,5.14640998840332,1.889051094890511e-05,,,,,,,,,,,
140,1.176,0.0669,4.099488258361816,1.8817518248175185e-05,,,,,,,,,,,
145,1.218,0.0598,2.1639091968536377,1.874452554744526e-05,,,,,,,,,,,
150,1.261,0.0677,3.716181993484497,1.867153284671533e-05,,,,,,,,,,,
155,1.303,0.085,4.185938358306885,1.85985401459854e-05,,,,,,,,,,,
160,1.345,0.0785,6.035447597503662,1.8525547445255475e-05,,,,,,,,,,,
165,1.387,0.044,12.483685493469238,1.845255474452555e-05,,,,,,,,,,,
170,1.429,0.1011,1.6527948379516602,1.8379562043795624e-05,,,,,,,,,,,
175,1.471,0.062,0.6961874961853027,1.8306569343065695e-05,,,,,,,,,,,
178,1.496,,,,0.519083969415556,0.519083969415556,7.3965,438.316,2.298,,,,,,
180,1.513,0.0594,0.9060825705528259,1.823357664233577e-05,,,,,,,,,,,
185,1.555,0.0536,4.74282169342041,1.816058394160584e-05,,,,,,,,,,,
190,1.597,0.0658,5.249477863311768,1.8087591240875914e-05,,,,,,,,,,,
195,1.639,0.0828,3.599569797515869,1.801459854014599e-05,,,,,,,,,,,
200,1.681,0.0557,5.515998840332031,1.794160583941606e-05,,,,,,,,,,,
205,1.723,0.0949,10.206053733825684,1.7868613138686133e-05,,,,,,,,,,,
210,1.765,0.1013,2.3629801273345947,1.7795620437956204e-05,,,,,,,,,,,
215,1.807,0.0473,3.791140079498291,1.772262773722628e-05,,,,,,,,,,,
220,1.849,0.0841,2.245248556137085,1.764963503649635e-05,,,,,,,,,,,
225,1.891,0.0405,7.3961567878723145,1.7576642335766424e-05,,,,,,,,,,,
230,1.933,0.1262,7.805111408233643,1.7503649635036498e-05,,,,,,,,,,,
235,1.975,0.0852,4.129881381988525,1.7430656934306572e-05,,,,,,,,,,,
238,2.0,,,,0.5290023201361383,0.5290023201361383,7.6029,426.415,2.236,,,,,,
240,2.017,0.0656,5.505192756652832,1.7357664233576643e-05,,,,,,,,,,,
245,2.059,0.0401,0.7839301824569702,1.7284671532846717e-05,,,,,,,,,,,
250,2.101,0.0355,1.4988492727279663,1.7211678832116788e-05,,,,,,,,,,,
255,2.143,0.0594,2.520437717437744,1.7138686131386862e-05,,,,,,,,,,,
260,2.185,0.047,2.335549831390381,1.7065693430656937e-05,,,,,,,,,,,
265,2.227,0.0436,2.4762725830078125,1.699270072992701e-05,,,,,,,,,,,
270,2.269,0.0624,5.401718616485596,1.6919708029197082e-05,,,,,,,,,,,
