step,epoch,loss,grad_norm,learning_rate,eval_mit-restaurant,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.009,1.5912,28.664562225341797,5.768873987190341e-06,,,,,,,,,,,
10,0.018,0.5594,12.127135276794434,8.253392779952611e-06,,,,,,,,,,,
15,0.027,0.2498,12.783624649047852,9.706743106055534e-06,,,,,,,,,,,
20,0.036,0.1844,5.871055603027344,1.0737911572714876e-05,,,,,,,,,,,
25,0.045,0.1133,6.3206400871276855,1.1537747974380681e-05,,,,,,,,,,,
30,0.054,0.0663,4.245777130126953,1.21912618988178e-05,,,,,,,,,,,
35,0.064,0.0548,2.5150439739227295,1.2743800048996109e-05,,,,,,,,,,,
40,0.073,0.039,1.4540647268295288,1.3222430365477144e-05,,,,,,,,,,,
45,0.082,0.0348,0.920786440372467,1.3644612224920727e-05,,,,,,,,,,,
50,0.091,0.0242,1.0122697353363037,1.4022266767142951e-05,,,,,,,,,,,
55,0.1,0.0317,1.213260293006897,1.4363896855970699e-05,,,,,,,,,,,
60,0.109,0.0248,1.0033096075057983,1.4675780691580068e-05,,,,,,,,,,,
65,0.118,0.026,1.070191502571106,1.4962686008395792e-05,,,,,,,,,,,
70,0.127,0.0247,0.8683302998542786,1.522831884175838e-05,,,,,,,,,,,
75,0.136,0.0236,0.6504626274108887,1.5475617093245874e-05,,,,,,,,,,,
80,0.145,0.0234,1.6328130960464478,1.570694915823941e-05,,,,,,,,,,,
85,0.154,0.0196,0.6529861092567444,1.5924252230994265e-05,,,,,,,,,,,
90,0.163,0.0248,0.5402441024780273,1.6129131017682994e-05,,,,,,,,,,,
95,0.172,0.0192,0.5625870227813721,1.6322929724632822e-05,,,,,,,,,,,
100,0.181,0.0173,0.5973868370056152,1.6506785559905222e-05,,,,,,,,,,,
105,0.191,0.0182,1.0254803895950317,1.66816691678613e-05,,,,,,,,,,,
110,0.2,0.0213,0.6555324196815491,1.6848415648732967e-05,,,,,,,,,,,
115,0.209,0.0205,0.5812464952468872,1.7007748677238435e-05,,,,,,,,,,,
120,0.218,0.0208,0.5871378779411316,1.7160299484342336e-05,,,,,,,,,,,
125,0.227,0.0177,0.8226110935211182,1.7306621961571025e-05,,,,,,,,,,,
130,0.236,0.0197,0.7044317722320557,1.7447204801158062e-05,,,,,,,,,,,
135,0.245,0.0178,0.7698454856872559,1.7582481343785917e-05,,,,,,,,,,,
140,0.254,0.021,0.5715963244438171,1.7712837634520643e-05,,,,,,,,,,,
145,0.263,0.0161,0.29914024472236633,1.7838619064466737e-05,,,,,,,,,,,
150,0.272,0.0184,0.6840506792068481,1.7960135886008142e-05,,,,,,,,,,,
155,0.281,0.0163,1.0798816680908203,1.8077667823380024e-05,,,,,,,,,,,
160,0.29,0.0206,0.6503151059150696,1.819146795100168e-05,,,,,,,,,,,
165,0.299,0.0155,0.748080313205719,1.8301765974835886e-05,,,,,,,,,,,
170,0.309,0.0139,0.4017171263694763,1.8408771023756533e-05,,,,,,,,,,,
175,0.318,0.019,0.7329996228218079,1.8512674036186452e-05,,,,,,,,,,,
180,0.327,0.0175,0.6338679790496826,1.861364981044526e-05,,,,,,,,,,,
185,0.336,0.0154,0.34195685386657715,1.871185877411411e-05,,,,,,,,,,,
190,0.345,0.0188,0.47066929936408997,1.8807448517395087e-05,,,,,,,,,,,
195,0.354,0.0161,0.3684203624725342,1.8900555127260988e-05,,,,,,,,,,,
200,0.363,0.017,0.5730341672897339,1.8991304352667487e-05,,,,,,,,,,,
205,0.372,0.0144,0.5747949481010437,1.907981262586513e-05,,,,,,,,,,,
210,0.381,0.0143,0.49632903933525085,1.916618796062357e-05,,,,,,,,,,,
215,0.39,0.0141,0.5730161070823669,1.925053074475124e-05,,,,,,,,,,,
220,0.399,0.0165,0.49841195344924927,1.9332934441495235e-05,,,,,,,,,,,
225,0.408,0.0144,0.5369770526885986,1.9413486212111068e-05,,,,,,,,,,,
230,0.417,0.0161,0.6212522983551025,1.9492267470000703e-05,,,,,,,,,,,
235,0.426,0.0117,0.28399792313575745,1.956935437525122e-05,,,,,,,,,,,
240,0.436,0.0172,0.3504466712474823,1.9644818277104604e-05,,,,,,,,,,,
245,0.445,0.0153,0.3667755126953125,1.971872611080188e-05,,,,,,,,,,,
250,0.454,0.0155,0.5137717127799988,1.9791140754333293e-05,,,,,,,,,,,
255,0.463,0.0145,0.3615207374095917,1.9862121349859452e-05,,,,,,,,,,,
260,0.472,0.0162,0.43676990270614624,1.993172359392033e-05,,,,,,,,,,,
265,0.481,0.0127,0.3390074372291565,1.9999999999999998e-05,,,,,,,,,,,
270,0.49,0.0144,0.42936888337135315,1.9987395619977943e-05,,,,,,,,,,,
275,0.499,0.0154,0.4580281674861908,1.9971640144950373e-05,,,,,,,,,,,
276,0.501,,,,0.7437641722853771,0.7437641722853771,7.3896,127.882,0.677,,,,,,
280,0.508,0.0152,0.5686928629875183,1.99558846699228e-05,,,,,,,,,,,
285,0.517,0.0162,1.019836664199829,1.994012919489523e-05,,,,,,,,,,,
290,0.526,0.0142,0.5494047999382019,1.9924373719867655e-05,,,,,,,,,,,
295,0.535,0.0141,0.3197730481624603,1.9908618244840085e-05,,,,,,,,,,,
300,0.544,0.0139,0.3567540645599365,1.989286276981251e-05,,,,,,,,,,,
305,0.554,0.011,0.3901112675666809,1.9877107294784937e-05,,,,,,,,,,,
310,0.563,0.0142,1.4332880973815918,1.9861351819757367e-05,,,,,,,,,,,
315,0.572,0.013,0.4839930534362793,1.9845596344729796e-05,,,,,,,,,,,
320,0.581,0.0133,0.35801437497138977,1.9829840869702223e-05,,,,,,,,,,,
325,0.59,0.0119,0.26265349984169006,1.9814085394674652e-05,,,,,,,,,,,
330,0.599,0.0165,0.36790844798088074,1.979832991964708e-05,,,,,,,,,,,
335,0.608,0.0146,0.7522916197776794,1.9782574444619508e-05,,,,,,,,,,,
340,0.617,0.0126,1.494101643562317,1.9766818969591934e-05,,,,,,,,,,,
345,0.626,0.0166,0.6285830736160278,1.975106349456436e-05,,,,,,,,,,,
350,0.635,0.0153,0.9716032147407532,1.973530801953679e-05,,,,,,,,,,,
355,0.644,0.0134,0.6428608298301697,1.971955254450922e-05,,,,,,,,,,,
360,0.653,0.0143,1.8926438093185425,1.9703797069481646e-05,,,,,,,,,,,
365,0.662,0.0126,0.5471178889274597,1.9688041594454076e-05,,,,,,,,,,,
370,0.672,0.0148,0.8695696592330933,1.9672286119426502e-05,,,,,,,,,,,
375,0.681,0.012,0.6294224858283997,1.9656530644398932e-05,,,,,,,,,,,
380,0.69,0.0131,0.27792808413505554,1.9640775169371358e-05,,,,,,,,,,,
385,0.699,0.0129,0.2990049719810486,1.9625019694343784e-05,,,,,,,,,,,
390,0.708,0.0135,0.4429858922958374,1.9609264219316214e-05,,,,,,,,,,,
395,0.717,0.0138,0.6311419010162354,1.9593508744288643e-05,,,,,,,,,,,
400,0.726,0.0133,0.39755794405937195,1.957775326926107e-05,,,,,,,,,,,
405,0.735,0.0117,0.34595414996147156,1.95619977942335e-05,,,,,,,,,,,
410,0.744,0.0118,0.23179854452610016,1.9546242319205926e-05,,,,,,,,,,,
415,0.753,0.0134,0.2841040790081024,1.9530486844178352e-05,,,,,,,,,,,
420,0.762,0.0104,0.2200840711593628,1.951473136915078e-05,,,,,,,,,,,
425,0.771,0.0131,0.2235809564590454,1.9498975894123208e-05,,,,,,,,,,,
430,0.78,0.011,0.2965345084667206,1.9483220419095637e-05,,,,,,,,,,,
435,0.789,0.0127,0.3244488537311554,1.9467464944068067e-05,,,,,,,,,,,
440,0.799,0.0141,1.1039003133773804,1.9451709469040493e-05,,,,,,,,,,,
445,0.808,0.0135,0.47650519013404846,1.9435953994012923e-05,,,,,,,,,,,
450,0.817,0.0122,0.24540583789348602,1.942019851898535e-05,,,,,,,,,,,
455,0.826,0.0132,0.46809160709381104,1.9404443043957775e-05,,,,,,,,,,,
460,0.835,0.0109,0.4284263551235199,1.9388687568930205e-05,,,,,,,,,,,
465,0.844,0.0133,0.41594794392585754,1.937293209390263e-05,,,,,,,,,,,
470,0.853,0.0137,0.3161451518535614,1.935717661887506e-05,,,,,,,,,,,
475,0.862,0.0104,0.43223387002944946,1.9341421143847487e-05,,,,,,,,,,,
480,0.871,0.0121,0.43146491050720215,1.9325665668819917e-05,,,,,,,,,,,
485,0.88,0.0118,0.49439433217048645,1.9309910193792346e-05,,,,,,,,,,,
490,0.889,0.0107,0.23675614595413208,1.9294154718764773e-05,,,,,,,,,,,
495,0.898,0.0125,0.2145797610282898,1.92783992437372e-05,,,,,,,,,,,
500,0.907,0.0111,0.572808563709259,1.926264376870963e-05,,,,,,,,,,,
505,0.917,0.0116,0.2391240894794464,1.9246888293682055e-05,,,,,,,,,,,
510,0.926,0.0104,0.33155226707458496,1.9231132818654484e-05,,,,,,,,,,,
515,0.935,0.0117,0.3358818292617798,1.921537734362691e-05,,,,,,,,,,,
520,0.944,0.0089,0.19709300994873047,1.919962186859934e-05,,,,,,,,,,,
525,0.953,0.0102,0.3435281217098236,1.918386639357177e-05,,,,,,,,,,,
530,0.962,0.009,0.2943492531776428,1.9168110918544196e-05,,,,,,,,,,,
535,0.971,0.0092,0.2601211667060852,1.9152355443516622e-05,,,,,,,,,,,
540,0.98,0.0086,0.20973004400730133,1.9136599968489052e-05,,,,,,,,,,,
545,0.989,0.0118,0.3892735540866852,1.9120844493461478e-05,,,,,,,,,,,
550,0.998,0.0108,0.2594834566116333,1.9105089018433908e-05,,,,,,,,,,,
551,1.0,,,,0.7139588100183988,0.7139588100183988,6.6551,141.996,0.751,,,,,,
555,1.007,0.0091,0.3944132924079895,1.9089333543406334e-05,,,,,,,,,,,
560,1.016,0.0091,0.3695218861103058,1.9073578068378764e-05,,,,,,,,,,,
565,1.025,0.0075,0.1485021412372589,1.9057822593351193e-05,,,,,,,,,,,
570,1.034,0.0087,0.3956630527973175,1.904206711832362e-05,,,,,,,,,,,
575,1.044,0.0104,0.4315278232097626,1.9026311643296046e-05,,,,,,,,,,,
580,1.053,0.0104,0.2853306531906128,1.9010556168268476e-05,,,,,,,,,,,
585,1.062,0.0097,0.6748714447021484,1.8994800693240902e-05,,,,,,,,,,,
590,1.071,0.0066,0.25181853771209717,1.897904521821333e-05,,,,,,,,,,,
595,1.08,0.0088,0.3139953017234802,1.8963289743185758e-05,,,,,,,,,,,
600,1.089,0.0091,0.35697051882743835,1.8947534268158187e-05,,,,,,,,,,,
605,1.098,0.0092,0.3443140983581543,1.8931778793130614e-05,,,,,,,,,,,
610,1.107,0.0093,0.2530224621295929,1.8916023318103043e-05,,,,,,,,,,,
615,1.116,0.0069,0.19525845348834991,1.890026784307547e-05,,,,,,,,,,,
620,1.125,0.0064,0.21281087398529053,1.88845123680479e-05,,,,,,,,,,,
625,1.134,0.0063,0.17468157410621643,1.8868756893020325e-05,,,,,,,,,,,
630,1.143,0.0083,0.2604428231716156,1.8853001417992755e-05,,,,,,,,,,,
635,1.152,0.0065,0.2459734082221985,1.883724594296518e-05,,,,,,,,,,,
640,1.162,0.0068,0.25001534819602966,1.882149046793761e-05,,,,,,,,,,,
645,1.171,0.0076,0.4301123023033142,1.8805734992910037e-05,,,,,,,,,,,
650,1.18,0.0075,0.2199055254459381,1.8789979517882467e-05,,,,,,,,,,,
655,1.189,0.0084,0.25421446561813354,1.8774224042854893e-05,,,,,,,,,,,
660,1.198,0.0077,0.15774130821228027,1.8758468567827323e-05,,,,,,,,,,,
665,1.207,0.0073,0.6044139266014099,1.874271309279975e-05,,,,,,,,,,,
670,1.216,0.0066,0.18878896534442902,1.872695761777218e-05,,,,,,,,,,,
675,1.225,0.0084,0.24949663877487183,1.8711202142744605e-05,,,,,,,,,,,
680,1.234,0.0079,0.2182115912437439,1.869544666771703e-05,,,,,,,,,,,
685,1.243,0.006,0.24905253946781158,1.867969119268946e-05,,,,,,,,,,,
690,1.252,0.0067,0.21649818122386932,1.866393571766189e-05,,,,,,,,,,,
695,1.261,0.0094,0.25504598021507263,1.8648180242634316e-05,,,,,,,,,,,
700,1.27,0.007,0.2453078329563141,1.8632424767606746e-05,,,,,,,,,,,
