step,epoch,loss,grad_norm,learning_rate,eval_mit-movie,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.006,1.6764,24.694875717163086,5.43584091395317e-06,,,,,,,,,,,
10,0.013,0.6052,20.72205924987793,7.77693016900905e-06,,,,,,,,,,,
15,0.019,0.2357,13.994379043579102,9.146379594057966e-06,,,,,,,,,,,
20,0.026,0.1651,3.0779075622558594,1.0118019424064926e-05,,,,,,,,,,,
25,0.032,0.1208,5.037776947021484,1.087168182790634e-05,,,,,,,,,,,
30,0.039,0.108,3.5998952388763428,1.1487468849113843e-05,,,,,,,,,,,
35,0.045,0.0815,2.512000322341919,1.200810935711046e-05,,,,,,,,,,,
40,0.051,0.0735,2.34956955909729,1.2459108679120806e-05,,,,,,,,,,,
45,0.058,0.0599,4.013366222381592,1.2856918274162757e-05,,,,,,,,,,,
50,0.064,0.0549,1.8453848361968994,1.3212771082962219e-05,,,,,,,,,,,
55,0.071,0.0552,2.0341992378234863,1.3534679104945514e-05,,,,,,,,,,,
60,0.077,0.0391,1.3070918321609497,1.382855810416972e-05,,,,,,,,,,,
65,0.084,0.0341,2.1360342502593994,1.4098900577075285e-05,,,,,,,,,,,
70,0.09,0.029,1.6372864246368408,1.4349198612166341e-05,,,,,,,,,,,
75,0.097,0.0294,1.3673256635665894,1.4582220508011133e-05,,,,,,,,,,,
80,0.103,0.0316,1.7932238578796387,1.4800197934176684e-05,,,,,,,,,,,
85,0.109,0.0313,5.11180305480957,1.5004956252044514e-05,,,,,,,,,,,
90,0.116,0.0257,1.3902204036712646,1.5198007529218637e-05,,,,,,,,,,,
95,0.122,0.023,1.0064313411712646,1.5380618371932186e-05,,,,,,,,,,,
100,0.129,0.0524,5.65697717666626,1.55538603380181e-05,,,,,,,,,,,
105,0.135,0.034,1.6359663009643555,1.5718648037215253e-05,,,,,,,,,,,
110,0.142,0.0283,1.052357792854309,1.5875768360001393e-05,,,,,,,,,,,
115,0.148,0.021,1.5112072229385376,1.6025903203857795e-05,,,,,,,,,,,
120,0.154,0.0211,1.2718453407287598,1.61696473592256e-05,,,,,,,,,,,
125,0.161,0.0279,1.2412828207015991,1.6307522741859515e-05,,,,,,,,,,,
130,0.167,0.0261,3.34982967376709,1.6439989832131163e-05,,,,,,,,,,,
135,0.174,0.0209,0.9273967742919922,1.6567456954267552e-05,,,,,,,,,,,
140,0.18,0.0185,0.7443771958351135,1.6690287867222218e-05,,,,,,,,,,,
145,0.187,0.0188,0.6894153952598572,1.6808808022911993e-05,,,,,,,,,,,
150,0.193,0.0196,1.0594295263290405,1.6923309763067014e-05,,,,,,,,,,,
155,0.199,0.0169,1.1127722263336182,1.7034056663637364e-05,,,,,,,,,,,
160,0.206,0.0163,0.7607670426368713,1.7141287189232564e-05,,,,,,,,,,,
165,0.212,0.0197,0.7255737781524658,1.7245217785050307e-05,,,,,,,,,,,
170,0.219,0.0196,1.1328336000442505,1.7346045507100393e-05,,,,,,,,,,,
175,0.225,0.0196,1.4954124689102173,1.7443950271063636e-05,,,,,,,,,,,
180,0.232,0.0185,0.9150564074516296,1.7539096784274516e-05,,,,,,,,,,,
185,0.238,0.0161,0.7418349385261536,1.7631636212941787e-05,,,,,,,,,,,
190,0.245,0.018,0.532228410243988,1.7721707626988064e-05,,,,,,,,,,,
195,0.251,0.0203,1.0702019929885864,1.780943925718008e-05,,,,,,,,,,,
200,0.257,0.0173,2.79793381690979,1.7894949593073975e-05,,,,,,,,,,,
205,0.264,0.0174,0.439658522605896,1.797834834536765e-05,,,,,,,,,,,
210,0.27,0.0147,0.42529475688934326,1.8059737292271135e-05,,,,,,,,,,,
215,0.277,0.0153,0.41653046011924744,1.8139211026274675e-05,,,,,,,,,,,
220,0.283,0.0146,0.8962609767913818,1.821685761505727e-05,,,,,,,,,,,
225,0.29,0.0159,0.3140909671783447,1.829275918811593e-05,,,,,,,,,,,
230,0.296,0.0138,0.354909211397171,1.8366992458913676e-05,,,,,,,,,,,
235,0.302,0.0098,0.4210737645626068,1.843962919086886e-05,,,,,,,,,,,
240,0.309,0.0159,0.5652700662612915,1.851073661428148e-05,,,,,,,,,,,
245,0.315,0.0138,1.0282728672027588,1.8580377800267753e-05,,,,,,,,,,,
250,0.322,0.0133,0.42482689023017883,1.864861199691539e-05,,,,,,,,,,,
255,0.328,0.0133,1.0641264915466309,1.8715494932149304e-05,,,,,,,,,,,
260,0.335,0.0158,0.565510094165802,1.878107908718704e-05,,,,,,,,,,,
265,0.341,0.0162,0.6917153000831604,1.884541394394586e-05,,,,,,,,,,,
270,0.347,0.018,1.0729297399520874,1.8908546209323433e-05,,,,,,,,,,,
275,0.354,0.0176,0.7826909422874451,1.8970520018898686e-05,,,,,,,,,,,
280,0.36,0.0173,0.49884605407714844,1.9031377122278096e-05,,,,,,,,,,,
285,0.367,0.0143,0.38244953751564026,1.9091157052036978e-05,,,,,,,,,,,
290,0.373,0.015,0.411201149225235,1.914989727796787e-05,,,,,,,,,,,
295,0.38,0.0111,0.34940701723098755,1.9207633348143327e-05,,,,,,,,,,,
300,0.386,0.0127,0.32645708322525024,1.9264399018122892e-05,,,,,,,,,,,
305,0.393,0.0119,0.48908549547195435,1.9320226369480355e-05,,,,,,,,,,,
310,0.399,0.0111,0.4912879168987274,1.9375145918693242e-05,,,,,,,,,,,
315,0.405,0.0132,0.5641054511070251,1.9429186717320048e-05,,,,,,,,,,,
320,0.412,0.0126,0.27561327815055847,1.948237644428844e-05,,,,,,,,,,,
325,0.418,0.0125,0.3621092736721039,1.9534741491028455e-05,,,,,,,,,,,
330,0.425,0.0113,0.5887353420257568,1.9586307040106185e-05,,,,,,,,,,,
335,0.431,0.0146,0.6397716999053955,1.9637097137944473e-05,,,,,,,,,,,
340,0.438,0.0096,0.5037743449211121,1.968713476215627e-05,,,,,,,,,,,
345,0.444,0.0109,0.8194018602371216,1.9736441883962593e-05,,,,,,,,,,,
350,0.45,0.0088,0.35338467359542847,1.978503952611951e-05,,,,,,,,,,,
355,0.457,0.0106,0.6053622364997864,1.983294781673642e-05,,,,,,,,,,,
360,0.463,0.0129,0.4958173334598541,1.9880186039330394e-05,,,,,,,,,,,
365,0.47,0.0107,0.38397324085235596,1.9926772679428174e-05,,,,,,,,,,,
370,0.476,0.0118,0.4466969668865204,1.9972725467997668e-05,,,,,,,,,,,
375,0.483,0.0092,0.31411343812942505,1.9997765612780698e-05,,,,,,,,,,,
380,0.489,0.0086,0.25033077597618103,1.9986593676684173e-05,,,,,,,,,,,
385,0.495,0.0122,0.32544487714767456,1.9975421740587648e-05,,,,,,,,,,,
388,0.499,,,,0.8392484341876632,0.8392484341876632,9.135,116.037,0.657,,,,,,
390,0.502,0.0108,0.36330077052116394,1.996424980449112e-05,,,,,,,,,,,
395,0.508,0.0093,0.24375037848949432,1.9953077868394594e-05,,,,,,,,,,,
400,0.515,0.0098,0.8687647581100464,1.994190593229807e-05,,,,,,,,,,,
405,0.521,0.0126,0.31764012575149536,1.9930733996201544e-05,,,,,,,,,,,
