step,epoch,eval_crossner_literature,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,loss,grad_norm,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
2,0.5,0.0,0.0,15.7268,6.359,0.064,,,,,,,,,
4,1.0,0.0,0.0,10.4207,9.596,0.096,,,,,,,,,
5,1.25,,,,,,0.8979,9.82503604888916,1.9130434782608697e-05,,,,,,
6,1.5,0.0,0.0,10.4063,9.61,0.096,,,,,,,,,
8,2.0,0.01710941014393158,0.01710941014393158,10.4435,9.575,0.096,,,,,,,,,
10,2.5,,,,,,0.3059,2.57460355758667,1.6956521739130437e-05,,,,,,
10,2.5,0.12133072404591282,0.12133072404591282,10.1842,9.819,0.098,,,,,,,,,
12,3.0,0.2314720811688394,0.2314720811688394,10.4433,9.575,0.096,,,,,,,,,
14,3.5,0.3814569535935673,0.3814569535935673,10.419,9.598,0.096,,,,,,,,,
15,3.75,,,,,,0.089,1.4898056983947754,1.4782608695652174e-05,,,,,,
16,4.0,0.31438935907948284,0.31438935907948284,10.4184,9.598,0.096,,,,,,,,,
18,4.5,0.4370860926651901,0.4370860926651901,10.4129,9.603,0.096,,,,,,,,,
20,5.0,,,,,,0.0362,0.5727723240852356,1.2608695652173915e-05,,,,,,
20,5.0,0.4814814814316945,0.4814814814316945,10.4157,9.601,0.096,,,,,,,,,
22,5.5,0.4747474746979173,0.4747474746979173,10.4127,9.604,0.096,,,,,,,,,
24,6.0,0.49030786768078904,0.49030786768078904,10.4161,9.6,0.096,,,,,,,,,
25,6.25,,,,,,0.0139,0.36829912662506104,1.0434782608695653e-05,,,,,,
26,6.5,0.5129358829645184,0.5129358829645184,10.4156,9.601,0.096,,,,,,,,,
28,7.0,0.50582750577741,0.50582750577741,10.4167,9.6,0.096,,,,,,,,,
30,7.5,,,,,,0.0036,0.2558681070804596,8.260869565217392e-06,,,,,,
30,7.5,0.5159010600206003,0.5159010600206003,10.413,9.603,0.096,,,,,,,,,
32,8.0,0.5225433525510433,0.5225433525510433,10.414,9.602,0.096,,,,,,,,,
34,8.5,0.5325714285213069,0.5325714285213069,10.4135,9.603,0.096,,,,,,,,,
35,8.75,,,,,,0.001,0.14350004494190216,6.086956521739132e-06,,,,,,
36,9.0,0.5302013422317808,0.5302013422317808,10.4159,9.601,0.096,,,,,,,,,
38,9.5,0.5294771968353432,0.5294771968353432,10.4157,9.601,0.096,,,,,,,,,
40,10.0,,,,,,0.0004,0.01156068779528141,3.91304347826087e-06,,,,,,
40,10.0,0.5306577479989615,0.5306577479989615,10.414,9.602,0.096,,,,,,,,,
42,10.5,0.5278396436024738,0.5278396436024738,10.4159,9.601,0.096,,,,,,,,,
44,11.0,0.5371809100498083,0.5371809100498083,10.4203,9.597,0.096,,,,,,,,,
45,11.25,,,,,,0.0001,0.006107883527874947,1.7391304347826088e-06,,,,,,
46,11.5,0.5284280935953946,0.5284280935953946,10.42,9.597,0.096,,,,,,,,,
48,12.0,0.5377777777276938,0.5377777777276938,10.43,9.588,0.096,,,,,,,,,
48,12.0,,,,,,,,,284.1618,4.223,0.169,6779765931376640.0,6.77976593137664,0.1404297624491543
