step,epoch,loss,grad_norm,learning_rate,eval_crossner_music,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.041,0.9088,13.000555038452148,7.861760963081327e-06,,,,,,,,,,,
10,0.081,0.3554,5.441685199737549,1.1247637115056958e-05,,,,,,,,,,,
15,0.122,0.1239,3.9274837970733643,1.3228247696048747e-05,,,,,,,,,,,
20,0.163,0.0477,1.0617425441741943,1.4633513267032583e-05,,,,,,,,,,,
25,0.203,0.0192,0.3600161671638489,1.5723521926162654e-05,,,,,,,,,,,
30,0.244,0.01,0.5461096167564392,1.6614123848024376e-05,,,,,,,,,,,
35,0.285,0.005,0.49474263191223145,1.736711704380757e-05,,,,,,,,,,,
40,0.325,0.0022,0.23570267856121063,1.8019389419008214e-05,,,,,,,,,,,
45,0.366,0.0013,0.2730117440223694,1.8594734429016163e-05,,,,,,,,,,,
50,0.407,0.0007,0.024676242843270302,1.9109398078138283e-05,,,,,,,,,,,
55,0.447,0.0003,0.028166141360998154,1.9574967980015803e-05,,,,,,,,,,,
60,0.488,0.0005,0.03370374068617821,2e-05,,,,,,,,,,,
62,0.504,,,,0.5832127351163678,0.5832127351163678,216.0574,19.356,0.097,,,,,,
65,0.528,0.0001,0.008338551968336105,1.9943502824858758e-05,,,,,,,,,,,
70,0.569,0.0001,0.026812946423888206,1.9872881355932205e-05,,,,,,,,,,,
75,0.61,0.0,0.002074298681691289,1.980225988700565e-05,,,,,,,,,,,
80,0.65,0.0,0.0014298356836661696,1.9731638418079098e-05,,,,,,,,,,,
85,0.691,0.0,0.0015039222780615091,1.9661016949152545e-05,,,,,,,,,,,
90,0.732,0.0,0.000854321988299489,1.959039548022599e-05,,,,,,,,,,,
95,0.772,0.0,0.000984919024631381,1.9519774011299438e-05,,,,,,,,,,,
100,0.813,0.0,0.0008515644585713744,1.944915254237288e-05,,,,,,,,,,,
105,0.854,0.0,0.0005996008403599262,1.937853107344633e-05,,,,,,,,,,,
110,0.894,0.0,0.00044906511902809143,1.9307909604519777e-05,,,,,,,,,,,
115,0.935,0.0,0.0003761020489037037,1.923728813559322e-05,,,,,,,,,,,
120,0.976,0.0,0.00034191765007562935,1.916666666666667e-05,,,,,,,,,,,
123,1.0,,,,0.6042428675431892,0.6042428675431892,204.7455,20.425,0.103,,,,,,
125,1.016,0.0,0.0003180390631314367,1.9096045197740114e-05,,,,,,,,,,,
130,1.057,0.0,0.00037422546301968396,1.902542372881356e-05,,,,,,,,,,,
135,1.098,0.0,0.0002710931294132024,1.8954802259887007e-05,,,,,,,,,,,
140,1.138,0.0,0.0002698085445445031,1.8884180790960454e-05,,,,,,,,,,,
145,1.179,0.0,0.0002457112423144281,1.88135593220339e-05,,,,,,,,,,,
150,1.22,0.0,0.00023062864784151316,1.8742937853107347e-05,,,,,,,,,,,
155,1.26,0.0,0.00022267601161729544,1.8672316384180793e-05,,,,,,,,,,,
160,1.301,0.0,0.00023368457914330065,1.8601694915254237e-05,,,,,,,,,,,
165,1.341,0.0,0.00026050693122670054,1.8531073446327686e-05,,,,,,,,,,,
170,1.382,0.0,0.00019375761621631682,1.846045197740113e-05,,,,,,,,,,,
175,1.423,0.0,0.00019730541680473834,1.8389830508474576e-05,,,,,,,,,,,
180,1.463,0.0,0.00020549546752590686,1.8319209039548026e-05,,,,,,,,,,,
184,1.496,,,,0.6027798097524066,0.6027798097524066,202.3792,20.664,0.104,,,,,,
185,1.504,0.0,0.00019907468231394887,1.824858757062147e-05,,,,,,,,,,,
190,1.545,0.0,0.00019081193022429943,1.8177966101694916e-05,,,,,,,,,,,
195,1.585,0.0,0.00017097665113396943,1.8107344632768363e-05,,,,,,,,,,,
200,1.626,0.0,0.00018188575631938875,1.803672316384181e-05,,,,,,,,,,,
205,1.667,0.0,0.00018442772852722555,1.7966101694915256e-05,,,,,,,,,,,
210,1.707,0.0,0.00016227127343881875,1.7895480225988702e-05,,,,,,,,,,,
215,1.748,0.0,0.00017234178085345775,1.782485875706215e-05,,,,,,,,,,,
220,1.789,0.0,0.00015222594083752483,1.7754237288135596e-05,,,,,,,,,,,
225,1.829,0.0,0.00013631208275910467,1.7683615819209042e-05,,,,,,,,,,,
230,1.87,0.0,0.00013496042811311781,1.7612994350282485e-05,,,,,,,,,,,
235,1.911,0.0,0.00013362134632188827,1.7542372881355932e-05,,,,,,,,,,,
240,1.951,0.0,0.00014277284208219498,1.7471751412429382e-05,,,,,,,,,,,
245,1.992,0.0,0.00011891699978150427,1.7401129943502825e-05,,,,,,,,,,,
246,2.0,,,,0.601744185996442,0.601744185996442,202.5692,20.645,0.104,,,,,,
250,2.033,0.0,0.00011643854668363929,1.733050847457627e-05,,,,,,,,,,,
255,2.073,0.0,0.00012379820691421628,1.7259887005649718e-05,,,,,,,,,,,
260,2.114,0.0,0.00012759826495312154,1.7189265536723165e-05,,,,,,,,,,,
265,2.154,0.0,0.00011999721027677879,1.711864406779661e-05,,,,,,,,,,,
270,2.195,0.0,0.00011297824676148593,1.7048022598870058e-05,,,,,,,,,,,
275,2.236,0.0,0.00010800133895827457,1.6977401129943505e-05,,,,,,,,,,,
280,2.276,0.0,0.00010680586274247617,1.690677966101695e-05,,,,,,,,,,,
285,2.317,0.0,9.946298087015748e-05,1.6836158192090398e-05,,,,,,,,,,,
290,2.358,0.0,0.00010759473661892116,1.676553672316384e-05,,,,,,,,,,,
295,2.398,0.0,9.783073619473726e-05,1.669491525423729e-05,,,,,,,,,,,
300,2.439,0.0,9.987145313061774e-05,1.6624293785310737e-05,,,,,,,,,,,
305,2.48,0.0,9.802215936360881e-05,1.655367231638418e-05,,,,,,,,,,,
308,2.504,,,,0.6113537117403193,0.6113537117403193,203.081,20.593,0.103,,,,,,
310,2.52,0.0,0.00011490150791360065,1.648305084745763e-05,,,,,,,,,,,
315,2.561,0.0,9.706944547360763e-05,1.6412429378531074e-05,,,,,,,,,,,
320,2.602,0.0,9.423289156984538e-05,1.634180790960452e-05,,,,,,,,,,,
325,2.642,0.0,8.774585148785263e-05,1.6271186440677967e-05,,,,,,,,,,,
330,2.683,0.0,8.959919068729505e-05,1.6200564971751414e-05,,,,,,,,,,,
335,2.724,0.0,9.528491500532255e-05,1.612994350282486e-05,,,,,,,,,,,
340,2.764,0.0,8.517809328623116e-05,1.6059322033898307e-05,,,,,,,,,,,
345,2.805,0.0,8.375595643883571e-05,1.5988700564971753e-05,,,,,,,,,,,
350,2.846,0.0,8.86401321622543e-05,1.5918079096045196e-05,,,,,,,,,,,
355,2.886,0.0,7.668697071494535e-05,1.5847457627118646e-05,,,,,,,,,,,
360,2.927,0.0,8.454030466964468e-05,1.5776836158192093e-05,,,,,,,,,,,
365,2.967,0.0,8.453911868855357e-05,1.5706214689265536e-05,,,,,,,,,,,
369,3.0,,,,0.6030589948516014,0.6030589948516014,202.1512,20.687,0.104,,,,,,
370,3.008,0.0,8.456791692879051e-05,1.5635593220338986e-05,,,,,,,,,,,
375,3.049,0.0,6.724302511429414e-05,1.556497175141243e-05,,,,,,,,,,,
380,3.089,0.0,6.307380681391805e-05,1.5494350282485876e-05,,,,,,,,,,,
385,3.13,0.0,7.638768875040114e-05,1.5423728813559326e-05,,,,,,,,,,,
390,3.171,0.0,7.01915705576539e-05,1.535310734463277e-05,,,,,,,,,,,
395,3.211,0.0,7.1756549004931e-05,1.5282485875706216e-05,,,,,,,,,,,
400,3.252,0.0,6.571173435077071e-05,1.5211864406779662e-05,,,,,,,,,,,
405,3.293,0.0,7.57551533752121e-05,1.5141242937853109e-05,,,,,,,,,,,
410,3.333,0.0,7.454533624695614e-05,1.5070621468926554e-05,,,,,,,,,,,
415,3.374,0.0,6.80242374073714e-05,1.5000000000000002e-05,,,,,,,,,,,
420,3.415,0.0,7.514203025493771e-05,1.4929378531073449e-05,,,,,,,,,,,
425,3.455,0.0,7.575026393169537e-05,1.4858757062146894e-05,,,,,,,,,,,
430,3.496,0.0,6.277363718254492e-05,1.478813559322034e-05,,,,,,,,,,,
430,3.496,,,,0.613818181768109,0.613818181768109,202.2498,20.677,0.104,,,,,,
435,3.537,0.0,6.372632924467325e-05,1.4717514124293785e-05,,,,,,,,,,,
440,3.577,0.0,6.0586775362025946e-05,1.4646892655367233e-05,,,,,,,,,,,
445,3.618,0.0,6.129949179012328e-05,1.4576271186440678e-05,,,,,,,,,,,
450,3.659,0.0,6.263579416554421e-05,1.4505649717514125e-05,,,,,,,,,,,
455,3.699,0.0,6.250364822335541e-05,1.4435028248587573e-05,,,,,,,,,,,
460,3.74,0.0,5.850675734109245e-05,1.4364406779661018e-05,,,,,,,,,,,
465,3.78,0.0,6.56767442706041e-05,1.4293785310734465e-05,,,,,,,,,,,
470,3.821,0.0,5.667122968588956e-05,1.422316384180791e-05,,,,,,,,,,,
475,3.862,0.0,6.089911039453e-05,1.4152542372881358e-05,,,,,,,,,,,
480,3.902,0.0,6.34624229860492e-05,1.4081920903954804e-05,,,,,,,,,,,
485,3.943,0.0,6.030635631759651e-05,1.4011299435028249e-05,,,,,,,,,,,
490,3.984,0.0,5.2897452405886725e-05,1.3940677966101697e-05,,,,,,,,,,,
492,4.0,,,,0.613818181768109,0.613818181768109,202.1608,20.687,0.104,,,,,,
495,4.024,0.0,5.322670403984375e-05,1.3870056497175142e-05,,,,,,,,,,,
500,4.065,0.0,5.567225889535621e-05,1.3799435028248589e-05,,,,,,,,,,,
505,4.106,0.0,5.17235130246263e-05,1.3728813559322034e-05,,,,,,,,,,,
510,4.146,0.0,5.6117634812835604e-05,1.3658192090395482e-05,,,,,,,,,,,
515,4.187,0.0,5.3223047871142626e-05,1.3587570621468929e-05,,,,,,,,,,,
520,4.228,0.0,5.051785774412565e-05,1.3516949152542374e-05,,,,,,,,,,,
525,4.268,0.0,5.977341425023042e-05,1.344632768361582e-05,,,,,,,,,,,
530,4.309,0.0,4.738121424452402e-05,1.3375706214689265e-05,,,,,,,,,,,
535,4.35,0.0,4.609103052644059e-05,1.3305084745762713e-05,,,,,,,,,,,
540,4.39,0.0,5.700566543964669e-05,1.323446327683616e-05,,,,,,,,,,,
545,4.431,0.0,5.4881991673028097e-05,1.3163841807909605e-05,,,,,,,,,,,
