step,epoch,loss,grad_norm,learning_rate,eval_mit-movie,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.006,1.6984,20.575599670410156,5.43584091395317e-06,,,,,,,,,,,
10,0.013,0.6486,11.754266738891602,7.77693016900905e-06,,,,,,,,,,,
15,0.019,0.1754,3.4520483016967773,9.146379594057966e-06,,,,,,,,,,,
20,0.026,0.0924,2.000134229660034,1.0118019424064926e-05,,,,,,,,,,,
25,0.032,0.0558,0.9655007719993591,1.087168182790634e-05,,,,,,,,,,,
30,0.039,0.0499,1.4716737270355225,1.1487468849113843e-05,,,,,,,,,,,
35,0.045,0.0412,0.7537203431129456,1.200810935711046e-05,,,,,,,,,,,
40,0.051,0.0312,0.8176425695419312,1.2459108679120806e-05,,,,,,,,,,,
45,0.058,0.0249,0.4814649820327759,1.2856918274162757e-05,,,,,,,,,,,
50,0.064,0.0284,0.767305850982666,1.3212771082962219e-05,,,,,,,,,,,
55,0.071,0.0207,0.3667031526565552,1.3534679104945514e-05,,,,,,,,,,,
60,0.077,0.02,0.3280199468135834,1.382855810416972e-05,,,,,,,,,,,
65,0.084,0.022,0.46726417541503906,1.4098900577075285e-05,,,,,,,,,,,
70,0.09,0.0203,0.36040639877319336,1.4349198612166341e-05,,,,,,,,,,,
75,0.097,0.0168,0.40043482184410095,1.4582220508011133e-05,,,,,,,,,,,
80,0.103,0.0204,0.4415472745895386,1.4800197934176684e-05,,,,,,,,,,,
85,0.109,0.0186,0.35508835315704346,1.5004956252044514e-05,,,,,,,,,,,
90,0.116,0.017,0.290190726518631,1.5198007529218637e-05,,,,,,,,,,,
95,0.122,0.0157,0.5116136074066162,1.5380618371932186e-05,,,,,,,,,,,
100,0.129,0.0158,0.40634992718696594,1.55538603380181e-05,,,,,,,,,,,
105,0.135,0.0151,0.2606789469718933,1.5718648037215253e-05,,,,,,,,,,,
110,0.142,0.0162,0.6668508648872375,1.5875768360001393e-05,,,,,,,,,,,
115,0.148,0.0117,0.23424994945526123,1.6025903203857795e-05,,,,,,,,,,,
120,0.154,0.0134,0.28258582949638367,1.61696473592256e-05,,,,,,,,,,,
125,0.161,0.0142,0.4311789870262146,1.6307522741859515e-05,,,,,,,,,,,
130,0.167,0.0141,0.2972120940685272,1.6439989832131163e-05,,,,,,,,,,,
135,0.174,0.0146,0.36318740248680115,1.6567456954267552e-05,,,,,,,,,,,
140,0.18,0.0122,0.3662092685699463,1.6690287867222218e-05,,,,,,,,,,,
145,0.187,0.0134,0.2930586040019989,1.6808808022911993e-05,,,,,,,,,,,
150,0.193,0.0138,0.5763481259346008,1.6923309763067014e-05,,,,,,,,,,,
155,0.199,0.0113,0.24147745966911316,1.7034056663637364e-05,,,,,,,,,,,
