step,epoch,eval_crossner_music,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,loss,grad_norm,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
2,0.5,0.0,0.0,14.6479,6.827,0.068,,,,,,,,,
4,1.0,0.0,0.0,10.701,9.345,0.093,,,,,,,,,
5,1.25,,,,,,0.8331,8.07146167755127,1.9130434782608697e-05,,,,,,
6,1.5,0.026086956471758974,0.026086956471758974,10.1021,9.899,0.099,,,,,,,,,
8,2.0,0.025714285707390608,0.025714285707390608,10.0965,9.904,0.099,,,,,,,,,
10,2.5,,,,,,0.2057,2.6949243545532227,1.6956521739130437e-05,,,,,,
10,2.5,0.16373374134253096,0.16373374134253096,10.1235,9.878,0.099,,,,,,,,,
12,3.0,0.3412322274419964,0.3412322274419964,10.0998,9.901,0.099,,,,,,,,,
14,3.5,0.4017595307417352,0.4017595307417352,10.1094,9.892,0.099,,,,,,,,,
15,3.75,,,,,,0.0579,1.4631106853485107,1.4782608695652174e-05,,,,,,
16,4.0,0.5023112480239628,0.5023112480239628,10.1021,9.899,0.099,,,,,,,,,
18,4.5,0.48031496058004397,0.48031496058004397,10.1001,9.901,0.099,,,,,,,,,
20,5.0,,,,,,0.0216,0.3358425498008728,1.2608695652173915e-05,,,,,,
20,5.0,0.4680851063329409,0.4680851063329409,10.0979,9.903,0.099,,,,,,,,,
22,5.5,0.5167173251779184,0.5167173251779184,10.1024,9.899,0.099,,,,,,,,,
24,6.0,0.5570007650609099,0.5570007650609099,10.0982,9.903,0.099,,,,,,,,,
25,6.25,,,,,,0.008,0.23176833987236023,1.0434782608695653e-05,,,,,,
26,6.5,0.5694444443944433,0.5694444443944433,10.0997,9.901,0.099,,,,,,,,,
28,7.0,0.5372217958057002,0.5372217958057002,10.0989,9.902,0.099,,,,,,,,,
30,7.5,,,,,,0.0019,0.03493361175060272,8.260869565217392e-06,,,,,,
30,7.5,0.5502645502144877,0.5502645502144877,10.099,9.902,0.099,,,,,,,,,
32,8.0,0.5550527902968405,0.5550527902968405,10.0991,9.902,0.099,,,,,,,,,
34,8.5,0.5544703230152911,0.5544703230152911,10.0977,9.903,0.099,,,,,,,,,
35,8.75,,,,,,0.001,0.17772933840751648,6.086956521739132e-06,,,,,,
36,9.0,0.5499999999499425,0.5499999999499425,10.1015,9.9,0.099,,,,,,,,,
38,9.5,0.5497342444450123,0.5497342444450123,10.1013,9.9,0.099,,,,,,,,,
40,10.0,,,,,,0.0002,0.03606462478637695,3.91304347826087e-06,,,,,,
40,10.0,0.570128885469274,0.570128885469274,10.098,9.903,0.099,,,,,,,,,
42,10.5,0.5648503453068471,0.5648503453068471,10.1048,9.896,0.099,,,,,,,,,
44,11.0,0.5605483624785148,0.5605483624785148,10.0998,9.901,0.099,,,,,,,,,
45,11.25,,,,,,0.0001,0.005924532655626535,1.7391304347826088e-06,,,,,,
46,11.5,0.561591430707428,0.561591430707428,10.0986,9.902,0.099,,,,,,,,,
48,12.0,0.5556408288064647,0.5556408288064647,10.0992,9.902,0.099,,,,,,,,,
48,12.0,,,,,,,,,277.6535,4.322,0.173,6886675988873216.0,6.886675988873216,0.11767347506793158
