step,epoch,eval_crossner_politics,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,loss,grad_norm,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
4,0.571,0.0,0.0,17.5597,5.695,0.057,,,,,,,,,
5,0.714,,,,,,0.8054,19.4797306060791,2e-05,,,,,,
7,1.0,0.0,0.0,10.5398,9.488,0.095,,,,,,,,,
10,1.429,,,,,,0.3552,4.3427734375,1.8750000000000002e-05,,,,,,
10,1.429,0.08047105000059478,0.08047105000059478,10.5489,9.48,0.095,,,,,,,,,
14,2.0,0.2765714285281786,0.2765714285281786,10.5476,9.481,0.095,,,,,,,,,
15,2.143,,,,,,0.0753,1.2136801481246948,1.7500000000000002e-05,,,,,,
18,2.571,0.4641350210469741,0.4641350210469741,10.5504,9.478,0.095,,,,,,,,,
20,2.857,,,,,,0.0321,0.7630550861358643,1.6250000000000002e-05,,,,,,
21,3.0,0.6031195840054274,0.6031195840054274,10.5517,9.477,0.095,,,,,,,,,
24,3.429,0.6179966043641709,0.6179966043641709,10.5507,9.478,0.095,,,,,,,,,
25,3.571,,,,,,0.0145,0.521034836769104,1.5000000000000002e-05,,,,,,
28,4.0,0.6767422333671844,0.6767422333671844,10.552,9.477,0.095,,,,,,,,,
30,4.286,,,,,,0.0099,0.25839704275131226,1.375e-05,,,,,,
32,4.571,0.7240506328612761,0.7240506328612761,10.5483,9.48,0.095,,,,,,,,,
35,5.0,,,,,,0.0057,0.62804114818573,1.25e-05,,,,,,
35,5.0,0.7154882154380985,0.7154882154380985,10.5475,9.481,0.095,,,,,,,,,
38,5.429,0.7086481947441732,0.7086481947441732,10.5501,9.479,0.095,,,,,,,,,
40,5.714,,,,,,0.0032,0.14683915674686432,1.125e-05,,,,,,
42,6.0,0.6903973509432666,0.6903973509432666,10.5473,9.481,0.095,,,,,,,,,
45,6.429,,,,,,0.001,0.05463232845067978,1e-05,,,,,,
46,6.571,0.6990931574107333,0.6990931574107333,10.547,9.481,0.095,,,,,,,,,
49,7.0,0.6827643629806942,0.6827643629806942,10.5489,9.48,0.095,,,,,,,,,
50,7.143,,,,,,0.0006,0.015237502753734589,8.750000000000001e-06,,,,,,
52,7.429,0.6789606034704234,0.6789606034704234,10.5479,9.481,0.095,,,,,,,,,
55,7.857,,,,,,0.0002,0.01015576720237732,7.500000000000001e-06,,,,,,
56,8.0,0.6767676767175663,0.6767676767175663,10.5494,9.479,0.095,,,,,,,,,
60,8.571,,,,,,0.0001,0.009715761058032513,6.25e-06,,,,,,
60,8.571,0.6734177214688798,0.6734177214688798,10.5477,9.481,0.095,,,,,,,,,
63,9.0,0.6638513513012462,0.6638513513012462,10.5485,9.48,0.095,,,,,,,,,
65,9.286,,,,,,0.0001,0.006108012981712818,5e-06,,,,,,
66,9.429,0.6700421940427199,0.6700421940427199,10.5479,9.481,0.095,,,,,,,,,
70,10.0,,,,,,0.0001,0.003375612897798419,3.7500000000000005e-06,,,,,,
70,10.0,0.6739864864363796,0.6739864864363796,10.5483,9.48,0.095,,,,,,,,,
74,10.571,0.6717428087485418,0.6717428087485418,10.547,9.481,0.095,,,,,,,,,
75,10.714,,,,,,0.0001,0.00379648944362998,2.5e-06,,,,,,
77,11.0,0.6756756756255684,0.6756756756255684,10.5468,9.482,0.095,,,,,,,,,
80,11.429,,,,,,0.0001,0.003939988557249308,1.25e-06,,,,,,
80,11.429,0.6717428087485418,0.6717428087485418,10.5468,9.482,0.095,,,,,,,,,
84,12.0,0.671174978817181,0.671174978817181,10.548,9.48,0.095,,,,,,,,,
84,12.0,,,,,,,,,315.1868,7.615,0.267,1.2404633142034432e+16,12.404633142034433,0.07759542188190001
