step,epoch,loss,grad_norm,learning_rate,eval_crossner_politics,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.019,1.1605,17.50555992126465,6.655682788551919e-06,,,,,,,,,,,
10,0.038,0.5805,4.963051795959473,9.522129343553784e-06,,,,,,,,,,,
15,0.057,0.1441,4.471470832824707,1.1198893088551218e-05,,,,,,,,,,,
20,0.076,0.0714,1.2092491388320923,1.2388575898555646e-05,,,,,,,,,,,
25,0.095,0.0692,7.476943016052246,1.3311365577103839e-05,,,,,,,,,,,
30,0.115,0.0549,1.0096287727355957,1.4065339643553083e-05,,,,,,,,,,,
35,0.134,0.0449,1.025236964225769,1.4702815633551465e-05,,,,,,,,,,,
40,0.153,0.0406,0.6608030796051025,1.525502245355751e-05,,,,,,,,,,,
45,0.172,0.0389,0.6168568730354309,1.5742103388550514e-05,,,,,,,,,,,
50,0.191,0.0388,0.8634251952171326,1.6177812132105704e-05,,,,,,,,,,,
55,0.21,0.0397,0.6992217302322388,1.657195863405932e-05,,,,,,,,,,,
60,0.229,0.0394,0.49650120735168457,1.6931786198554942e-05,,,,,,,,,,,
65,0.248,0.0339,0.31263217329978943,1.726279547060952e-05,,,,,,,,,,,
70,0.267,0.0345,0.35596489906311035,1.756926218855333e-05,,,,,,,,,,,
75,0.286,0.0317,0.4262886643409729,1.7854575877103134e-05,,,,,,,,,,,
80,0.305,0.0285,0.34965935349464417,1.8121469008559374e-05,,,,,,,,,,,
85,0.324,0.0272,0.667910099029541,1.8372176568552083e-05,,,,,,,,,,,
90,0.344,0.0241,0.46220651268959045,1.8608549943552376e-05,,,,,,,,,,,
95,0.363,0.0282,1.4243125915527344,1.8832139975359918e-05,,,,,,,,,,,
100,0.382,0.0264,1.2993462085723877,1.904425868710757e-05,,,,,,,,,,,
105,0.401,0.0242,0.3905692398548126,1.924602593355076e-05,,,,,,,,,,,
110,0.42,0.0213,0.27222663164138794,1.9438405189061186e-05,,,,,,,,,,,
115,0.439,0.0187,0.5068623423576355,1.9622231373829038e-05,,,,,,,,,,,
120,0.458,0.0211,0.624664843082428,1.9798232753556807e-05,,,,,,,,,,,
125,0.477,0.0196,0.5912095308303833,1.996704836565576e-05,,,,,,,,,,,
130,0.496,0.0218,0.5231341123580933,1.9980119284294236e-05,,,,,,,,,,,
131,0.5,,,,0.23703703698759,0.23703703698759,147.7001,29.865,0.156,,,,,,
135,0.515,0.0244,0.48430582880973816,1.994698475811796e-05,,,,,,,,,,,
140,0.534,0.018,1.0250123739242554,1.9913850231941686e-05,,,,,,,,,,,
145,0.553,0.0184,0.4392649233341217,1.988071570576541e-05,,,,,,,,,,,
150,0.573,0.0189,0.4168652296066284,1.9847581179589133e-05,,,,,,,,,,,
155,0.592,0.0155,0.4262049198150635,1.9814446653412858e-05,,,,,,,,,,,
160,0.611,0.0159,0.47167712450027466,1.9781312127236583e-05,,,,,,,,,,,
165,0.63,0.0183,0.9951720237731934,1.9748177601060304e-05,,,,,,,,,,,
170,0.649,0.0187,0.5234053134918213,1.971504307488403e-05,,,,,,,,,,,
175,0.668,0.0129,0.35193219780921936,1.9681908548707754e-05,,,,,,,,,,,
180,0.687,0.0169,0.2132948935031891,1.964877402253148e-05,,,,,,,,,,,
