step,epoch,loss,grad_norm,learning_rate,eval_crossner_science,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.023,1.1965,16.671958923339844,6.8884950399405484e-06,,,,,,,,,,,
10,0.045,0.5792,4.389001846313477,9.855208374047785e-06,,,,,,,,,,,
15,0.068,0.1651,2.211073398590088,1.159062442488995e-05,,,,,,,,,,,
20,0.09,0.0978,1.79988431930542,1.2821921708155018e-05,,,,,,,,,,,
25,0.113,0.0648,0.9499196410179138,1.3776990079881097e-05,,,,,,,,,,,
30,0.135,0.0527,0.6043135523796082,1.4557337758997188e-05,,,,,,,,,,,
35,0.158,0.0505,0.912367582321167,1.521711232078042e-05,,,,,,,,,,,
40,0.18,0.0471,0.4719732105731964,1.5788635042262254e-05,,,,,,,,,,,
45,0.203,0.048,1.1010866165161133,1.6292753809839353e-05,,,,,,,,,,,
50,0.225,0.0401,1.2214586734771729,1.6743703413988334e-05,,,,,,,,,,,
55,0.248,0.0418,0.4679674804210663,1.7151636951383997e-05,,,,,,,,,,,
60,0.27,0.0393,1.248064637184143,1.752405109310442e-05,,,,,,,,,,,
65,0.293,0.0401,2.044833183288574,1.7866638893809745e-05,,,,,,,,,,,
70,0.315,0.0346,0.6717504858970642,1.818382565488766e-05,,,,,,,,,,,
75,0.338,0.0321,0.4374522566795349,1.8479119464830498e-05,,,,,,,,,,,
80,0.36,0.0348,0.9762275815010071,1.875534837636949e-05,,,,,,,,,,,
85,0.383,0.0311,0.7322843074798584,1.9014825553745778e-05,,,,,,,,,,,
90,0.405,0.0309,0.6535758972167969,1.9259467143946592e-05,,,,,,,,,,,
95,0.428,0.0276,0.7384394407272339,1.9490878236394627e-05,,,,,,,,,,,
100,0.45,0.0254,0.5543798804283142,1.971041674809557e-05,,,,,,,,,,,
105,0.473,0.0226,0.7692392468452454,1.9919241705729823e-05,,,,,,,,,,,
110,0.495,0.0214,0.296599417924881,1.9984356667970278e-05,,,,,,,,,,,
111,0.5,,,,0.14691151915810827,0.14691151915810827,95.4386,34.19,0.178,,,,,,
115,0.518,0.0226,0.2249588966369629,1.9945248337895972e-05,,,,,,,,,,,
120,0.541,0.0202,0.46183887124061584,1.9906140007821667e-05,,,,,,,,,,,
125,0.563,0.0205,0.457933247089386,1.986703167774736e-05,,,,,,,,,,,
130,0.586,0.0183,0.5183252692222595,1.9827923347673055e-05,,,,,,,,,,,
135,0.608,0.0196,0.3822959363460541,1.978881501759875e-05,,,,,,,,,,,
140,0.631,0.019,0.5013949871063232,1.9749706687524444e-05,,,,,,,,,,,
145,0.653,0.0192,0.7178738117218018,1.971059835745014e-05,,,,,,,,,,,
150,0.676,0.018,0.5588929057121277,1.9671490027375833e-05,,,,,,,,,,,
155,0.698,0.0165,0.14058390259742737,1.9632381697301527e-05,,,,,,,,,,,
160,0.721,0.0143,0.36497068405151367,1.959327336722722e-05,,,,,,,,,,,
165,0.743,0.0132,0.1545138955116272,1.9554165037152916e-05,,,,,,,,,,,
