step,epoch,loss,grad_norm,learning_rate,eval_mit-movie,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.006,2.0454,25.23758316040039,5.43584091395317e-06,,,,,,,,,,,
10,0.013,0.995,32.56819152832031,7.77693016900905e-06,,,,,,,,,,,
15,0.019,0.3305,18.145118713378906,9.146379594057966e-06,,,,,,,,,,,
20,0.026,0.1966,2.6171255111694336,1.0118019424064926e-05,,,,,,,,,,,
25,0.032,0.1438,4.029624938964844,1.087168182790634e-05,,,,,,,,,,,
30,0.039,0.1334,2.5064034461975098,1.1487468849113843e-05,,,,,,,,,,,
35,0.045,0.1104,2.6820640563964844,1.200810935711046e-05,,,,,,,,,,,
40,0.051,0.0981,1.186675786972046,1.2459108679120806e-05,,,,,,,,,,,
45,0.058,0.088,1.703660011291504,1.2856918274162757e-05,,,,,,,,,,,
50,0.064,0.0706,1.619815707206726,1.3212771082962219e-05,,,,,,,,,,,
55,0.071,0.06,1.7609392404556274,1.3534679104945514e-05,,,,,,,,,,,
60,0.077,0.0496,1.0700017213821411,1.382855810416972e-05,,,,,,,,,,,
65,0.084,0.0497,1.5530661344528198,1.4098900577075285e-05,,,,,,,,,,,
70,0.09,0.0407,1.19839608669281,1.4349198612166341e-05,,,,,,,,,,,
75,0.097,0.0336,0.6000465750694275,1.4582220508011133e-05,,,,,,,,,,,
80,0.103,0.0298,0.49854835867881775,1.4800197934176684e-05,,,,,,,,,,,
85,0.109,0.0279,0.5370243787765503,1.5004956252044514e-05,,,,,,,,,,,
90,0.116,0.0309,0.9464672207832336,1.5198007529218637e-05,,,,,,,,,,,
95,0.122,0.0252,1.016991376876831,1.5380618371932186e-05,,,,,,,,,,,
100,0.129,0.0262,0.4740777015686035,1.55538603380181e-05,,,,,,,,,,,
105,0.135,0.0252,0.37601983547210693,1.5718648037215253e-05,,,,,,,,,,,
110,0.142,0.0242,0.4230456054210663,1.5875768360001393e-05,,,,,,,,,,,
115,0.148,0.0183,0.4033912718296051,1.6025903203857795e-05,,,,,,,,,,,
120,0.154,0.018,0.47656694054603577,1.61696473592256e-05,,,,,,,,,,,
125,0.161,0.0317,0.6583884358406067,1.6307522741859515e-05,,,,,,,,,,,
130,0.167,0.0261,2.1599338054656982,1.6439989832131163e-05,,,,,,,,,,,
135,0.174,0.0257,2.7885384559631348,1.6567456954267552e-05,,,,,,,,,,,
140,0.18,0.0187,0.4200145900249481,1.6690287867222218e-05,,,,,,,,,,,
145,0.187,0.0219,0.5589900612831116,1.6808808022911993e-05,,,,,,,,,,,
150,0.193,0.0215,0.8423142433166504,1.6923309763067014e-05,,,,,,,,,,,
155,0.199,0.0172,0.29771968722343445,1.7034056663637364e-05,,,,,,,,,,,
160,0.206,0.0171,0.5690580010414124,1.7141287189232564e-05,,,,,,,,,,,
165,0.212,0.0218,0.7033184766769409,1.7245217785050307e-05,,,,,,,,,,,
170,0.219,0.0245,0.2632910907268524,1.7346045507100393e-05,,,,,,,,,,,
175,0.225,0.0223,0.43175551295280457,1.7443950271063636e-05,,,,,,,,,,,
180,0.232,0.0184,0.3881779611110687,1.7539096784274516e-05,,,,,,,,,,,
185,0.238,0.0156,0.2927233874797821,1.7631636212941787e-05,,,,,,,,,,,
190,0.245,0.0163,0.24213506281375885,1.7721707626988064e-05,,,,,,,,,,,
195,0.251,0.019,0.4522957503795624,1.780943925718008e-05,,,,,,,,,,,
200,0.257,0.0136,0.2320210188627243,1.7894949593073975e-05,,,,,,,,,,,
205,0.264,0.0154,0.2506970167160034,1.797834834536765e-05,,,,,,,,,,,
210,0.27,0.0142,0.3023441731929779,1.8059737292271135e-05,,,,,,,,,,,
215,0.277,0.0131,0.3753707706928253,1.8139211026274675e-05,,,,,,,,,,,
220,0.283,0.0125,0.3461777865886688,1.821685761505727e-05,,,,,,,,,,,
225,0.29,0.0156,0.23662753403186798,1.829275918811593e-05,,,,,,,,,,,
230,0.296,0.0142,0.36767131090164185,1.8366992458913676e-05,,,,,,,,,,,
235,0.302,0.0105,0.26757195591926575,1.843962919086886e-05,,,,,,,,,,,
240,0.309,0.0161,0.31007346510887146,1.851073661428148e-05,,,,,,,,,,,
245,0.315,0.0136,0.48515424132347107,1.8580377800267753e-05,,,,,,,,,,,
250,0.322,0.0147,0.5155043601989746,1.864861199691539e-05,,,,,,,,,,,
255,0.328,0.0146,0.5454288721084595,1.8715494932149304e-05,,,,,,,,,,,
260,0.335,0.0153,0.3487052023410797,1.878107908718704e-05,,,,,,,,,,,
265,0.341,0.015,0.505352795124054,1.884541394394586e-05,,,,,,,,,,,
270,0.347,0.0116,0.35612666606903076,1.8908546209323433e-05,,,,,,,,,,,
275,0.354,0.0123,0.31075963377952576,1.8970520018898686e-05,,,,,,,,,,,
280,0.36,0.0145,0.33552026748657227,1.9031377122278096e-05,,,,,,,,,,,
285,0.367,0.0162,0.4705450236797333,1.9091157052036978e-05,,,,,,,,,,,
290,0.373,0.016,0.23897802829742432,1.914989727796787e-05,,,,,,,,,,,
295,0.38,0.0145,0.6341022849082947,1.9207633348143327e-05,,,,,,,,,,,
300,0.386,0.0147,0.7159207463264465,1.9264399018122892e-05,,,,,,,,,,,
305,0.393,0.0129,0.47971123456954956,1.9320226369480355e-05,,,,,,,,,,,
310,0.399,0.0125,0.33226725459098816,1.9375145918693242e-05,,,,,,,,,,,
315,0.405,0.0125,0.2231740653514862,1.9429186717320048e-05,,,,,,,,,,,
320,0.412,0.0109,0.19447168707847595,1.948237644428844e-05,,,,,,,,,,,
325,0.418,0.012,0.4339066743850708,1.9534741491028455e-05,,,,,,,,,,,
330,0.425,0.0098,0.331537127494812,1.9586307040106185e-05,,,,,,,,,,,
335,0.431,0.0131,0.2855006456375122,1.9637097137944473e-05,,,,,,,,,,,
340,0.438,0.01,0.20800675451755524,1.968713476215627e-05,,,,,,,,,,,
345,0.444,0.0108,0.22457818686962128,1.9736441883962593e-05,,,,,,,,,,,
350,0.45,0.0082,0.21842899918556213,1.978503952611951e-05,,,,,,,,,,,
355,0.457,0.0096,0.7152213454246521,1.983294781673642e-05,,,,,,,,,,,
360,0.463,0.0113,0.1763332188129425,1.9880186039330394e-05,,,,,,,,,,,
365,0.47,0.0109,0.28471097350120544,1.9926772679428174e-05,,,,,,,,,,,
370,0.476,0.0103,0.4693813920021057,1.9972725467997668e-05,,,,,,,,,,,
375,0.483,0.0085,0.21565699577331543,1.9997765612780698e-05,,,,,,,,,,,
380,0.489,0.0074,0.12263772636651993,1.9986593676684173e-05,,,,,,,,,,,
385,0.495,0.0109,0.17409397661685944,1.9975421740587648e-05,,,,,,,,,,,
388,0.499,,,,0.8589473683706965,0.8589473683706965,15.5255,68.275,0.386,,,,,,
390,0.502,0.0092,0.22656719386577606,1.996424980449112e-05,,,,,,,,,,,
395,0.508,0.0094,0.15223656594753265,1.9953077868394594e-05,,,,,,,,,,,
400,0.515,0.0078,0.295152872800827,1.994190593229807e-05,,,,,,,,,,,
405,0.521,0.0103,0.3607836365699768,1.9930733996201544e-05,,,,,,,,,,,
410,0.528,0.0111,0.2970940172672272,1.991956206010502e-05,,,,,,,,,,,
415,0.534,0.0085,0.4050291180610657,1.9908390124008493e-05,,,,,,,,,,,
420,0.541,0.0086,0.4755043387413025,1.9897218187911968e-05,,,,,,,,,,,
425,0.547,0.0102,0.2765456736087799,1.988604625181544e-05,,,,,,,,,,,
430,0.553,0.0095,0.33723294734954834,1.9874874315718914e-05,,,,,,,,,,,
435,0.56,0.0084,0.21054990589618683,1.986370237962239e-05,,,,,,,,,,,
440,0.566,0.0091,0.20644687116146088,1.9852530443525864e-05,,,,,,,,,,,
445,0.573,0.0092,0.2571243345737457,1.984135850742934e-05,,,,,,,,,,,
450,0.579,0.0107,0.22282546758651733,1.9830186571332814e-05,,,,,,,,,,,
455,0.586,0.0072,0.19259966909885406,1.981901463523629e-05,,,,,,,,,,,
460,0.592,0.0078,0.5510101914405823,1.9807842699139763e-05,,,,,,,,,,,
465,0.598,0.0092,0.18118973076343536,1.9796670763043238e-05,,,,,,,,,,,
470,0.605,0.0123,0.31962183117866516,1.9785498826946713e-05,,,,,,,,,,,
475,0.611,0.011,0.4828815758228302,1.9774326890850188e-05,,,,,,,,,,,
