step,epoch,loss,grad_norm,learning_rate,eval_mit-restaurant,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.009,2.1142,23.576337814331055,5.768873987190341e-06,,,,,,,,,,,
10,0.018,0.9108,15.303291320800781,8.253392779952611e-06,,,,,,,,,,,
15,0.027,0.305,4.504581451416016,9.706743106055534e-06,,,,,,,,,,,
20,0.036,0.1908,1.7617136240005493,1.0737911572714876e-05,,,,,,,,,,,
25,0.045,0.1501,3.2589199542999268,1.1537747974380681e-05,,,,,,,,,,,
30,0.054,0.1235,1.2227206230163574,1.21912618988178e-05,,,,,,,,,,,
35,0.064,0.1144,2.3277320861816406,1.2743800048996109e-05,,,,,,,,,,,
40,0.073,0.0993,2.167254686355591,1.3222430365477144e-05,,,,,,,,,,,
45,0.082,0.0851,1.6059236526489258,1.3644612224920727e-05,,,,,,,,,,,
50,0.091,0.0693,2.4944260120391846,1.4022266767142951e-05,,,,,,,,,,,
55,0.1,0.0652,1.5653150081634521,1.4363896855970699e-05,,,,,,,,,,,
60,0.109,0.0566,1.5354472398757935,1.4675780691580068e-05,,,,,,,,,,,
65,0.118,0.0492,0.8337519764900208,1.4962686008395792e-05,,,,,,,,,,,
70,0.127,0.0421,0.8944461345672607,1.522831884175838e-05,,,,,,,,,,,
75,0.136,0.0413,0.6062368750572205,1.5475617093245874e-05,,,,,,,,,,,
80,0.145,0.0331,1.302154779434204,1.570694915823941e-05,,,,,,,,,,,
85,0.154,0.0385,2.0854029655456543,1.5924252230994265e-05,,,,,,,,,,,
90,0.163,0.0358,1.0960756540298462,1.6129131017682994e-05,,,,,,,,,,,
95,0.172,0.031,1.277592420578003,1.6322929724632822e-05,,,,,,,,,,,
100,0.181,0.0314,0.9085513353347778,1.6506785559905222e-05,,,,,,,,,,,
105,0.191,0.0255,0.5602444410324097,1.66816691678613e-05,,,,,,,,,,,
110,0.2,0.0272,0.39280420541763306,1.6848415648732967e-05,,,,,,,,,,,
115,0.209,0.0262,0.5506317019462585,1.7007748677238435e-05,,,,,,,,,,,
120,0.218,0.0324,0.4361584186553955,1.7160299484342336e-05,,,,,,,,,,,
125,0.227,0.0278,0.6036231517791748,1.7306621961571025e-05,,,,,,,,,,,
130,0.236,0.0268,0.9687416553497314,1.7447204801158062e-05,,,,,,,,,,,
135,0.245,0.0279,0.7736989259719849,1.7582481343785917e-05,,,,,,,,,,,
140,0.254,0.0286,1.4705283641815186,1.7712837634520643e-05,,,,,,,,,,,
145,0.263,0.0254,0.8356305360794067,1.7838619064466737e-05,,,,,,,,,,,
150,0.272,0.0201,0.3594553470611572,1.7960135886008142e-05,,,,,,,,,,,
155,0.281,0.0229,0.4266125559806824,1.8077667823380024e-05,,,,,,,,,,,
160,0.29,0.0263,0.4218854308128357,1.819146795100168e-05,,,,,,,,,,,
165,0.299,0.0226,0.48226121068000793,1.8301765974835886e-05,,,,,,,,,,,
170,0.309,0.0212,0.35921359062194824,1.8408771023756533e-05,,,,,,,,,,,
