step,epoch,eval_crossner_music,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,loss,grad_norm,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
2,0.5,0.0,0.0,45.429,2.201,0.022,,,,,,,,,
4,1.0,0.0,0.0,43.8013,2.283,0.023,,,,,,,,,
5,1.25,,,,,,0.8668,4.027635097503662,2e-05,,,,,,
6,1.5,0.0,0.0,20.9441,4.775,0.048,,,,,,,,,
8,2.0,0.0,0.0,18.6352,5.366,0.054,,,,,,,,,
10,2.5,,,,,,0.495,1.383545160293579,2e-05,,,,,,
10,2.5,0.029729729713697216,0.029729729713697216,18.6429,5.364,0.054,,,,,,,,,
12,3.0,0.07503234150435945,0.07503234150435945,18.6053,5.375,0.054,,,,,,,,,
14,3.5,0.07888631087087897,0.07888631087087897,18.7117,5.344,0.053,,,,,,,,,
15,3.75,,,,,,0.2683,1.0116106271743774,2e-05,,,,,,
16,4.0,0.16308243722815466,0.16308243722815466,18.6487,5.362,0.054,,,,,,,,,
18,4.5,0.2008438818074756,0.2008438818074756,18.4549,5.419,0.054,,,,,,,,,
20,5.0,,,,,,0.1802,0.5853526592254639,2e-05,,,,,,
20,5.0,0.24564183830202668,0.24564183830202668,18.5025,5.405,0.054,,,,,,,,,
22,5.5,0.2701062214977882,0.2701062214977882,18.4443,5.422,0.054,,,,,,,,,
24,6.0,0.34247590803000855,0.34247590803000855,18.4977,5.406,0.054,,,,,,,,,
25,6.25,,,,,,0.1338,0.5003804564476013,2e-05,,,,,,
26,6.5,0.40211640206636207,0.40211640206636207,18.4388,5.423,0.054,,,,,,,,,
28,7.0,0.46001523224242963,0.46001523224242963,18.6129,5.373,0.054,,,,,,,,,
30,7.5,,,,,,0.1116,0.3917793333530426,2e-05,,,,,,
30,7.5,0.4930662557281244,0.4930662557281244,18.6566,5.36,0.054,,,,,,,,,
32,8.0,0.52351097173692,0.52351097173692,18.783,5.324,0.053,,,,,,,,,
34,8.5,0.5676100628431805,0.5676100628431805,18.6337,5.367,0.054,,,,,,,,,
35,8.75,,,,,,0.0932,0.4051112234592438,2e-05,,,,,,
36,9.0,0.5845674200591644,0.5845674200591644,18.4539,5.419,0.054,,,,,,,,,
38,9.5,0.5803921568128271,0.5803921568128271,18.4697,5.414,0.054,,,,,,,,,
40,10.0,,,,,,0.0777,0.36236289143562317,2e-05,,,,,,
40,10.0,0.6128526645268746,0.6128526645268746,18.4552,5.419,0.054,,,,,,,,,
42,10.5,0.6098514463925919,0.6098514463925919,18.6804,5.353,0.054,,,,,,,,,
44,11.0,0.6202036021427052,0.6202036021427052,18.4249,5.427,0.054,,,,,,,,,
45,11.25,,,,,,0.0719,0.3130532205104828,2e-05,,,,,,
46,11.5,0.6345256609142553,0.6345256609142553,18.5496,5.391,0.054,,,,,,,,,
48,12.0,0.625294579682999,0.625294579682999,18.6401,5.365,0.054,,,,,,,,,
48,12.0,,,,,,,,,522.5597,2.296,0.092,1749570950266880.0,1.74957095026688,0.24284744262695312
