step,epoch,loss,grad_norm,learning_rate,eval_crossner_ai,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.042,1.5793,9.59870719909668,7.927400573059717e-06,,,,,,,,,,,
10,0.084,1.3332,6.510406970977783,1.1341546166334124e-05,,,,,,,,,,,
15,0.126,0.8457,3.0512351989746094,1.3338693310402031e-05,,,,,,,,,,,
20,0.168,0.5287,1.7057836055755615,1.4755691759608524e-05,,,,,,,,,,,
25,0.21,0.3487,1.042123794555664,1.5854801146119433e-05,,,,,,,,,,,
30,0.252,0.2582,0.863094687461853,1.6752838903676433e-05,,,,,,,,,,,
35,0.294,0.1736,0.6425329446792603,1.751211900895989e-05,,,,,,,,,,,
40,0.336,0.1231,0.6283445954322815,1.8169837352882926e-05,,,,,,,,,,,
45,0.378,0.0978,0.34280362725257874,1.8749986047744344e-05,,,,,,,,,,,
50,0.42,0.0782,0.27790743112564087,1.926894673939384e-05,,,,,,,,,,,
55,0.462,0.071,0.26897871494293213,1.9738403789064383e-05,,,,,,,,,,,
60,0.504,0.0668,0.3808208405971527,2e-05,,,,,,,,,,,
60,0.504,,,,0.0,0.0,170.0861,19.061,0.1,,,,,,
65,0.546,0.0629,0.2696901559829712,2e-05,,,,,,,,,,,
70,0.588,0.0605,0.22275294363498688,2e-05,,,,,,,,,,,
75,0.63,0.0557,0.2900972366333008,2e-05,,,,,,,,,,,
80,0.672,0.0571,0.2466745376586914,2e-05,,,,,,,,,,,
85,0.714,0.0512,0.2538141906261444,2e-05,,,,,,,,,,,
90,0.756,0.0496,0.1896793395280838,2e-05,,,,,,,,,,,
95,0.798,0.0485,0.21519392728805542,2e-05,,,,,,,,,,,
100,0.84,0.0459,0.23000948131084442,2e-05,,,,,,,,,,,
105,0.882,0.0457,0.2029918134212494,2e-05,,,,,,,,,,,
110,0.924,0.0442,0.195700541138649,2e-05,,,,,,,,,,,
115,0.966,0.0404,0.17847244441509247,2e-05,,,,,,,,,,,
119,1.0,,,,0.127572016427213,0.127572016427213,116.1405,27.914,0.146,,,,,,
120,1.008,0.0382,0.24484531581401825,2e-05,,,,,,,,,,,
125,1.05,0.0312,0.1338520050048828,2e-05,,,,,,,,,,,
130,1.092,0.0341,0.27606818079948425,2e-05,,,,,,,,,,,
135,1.134,0.0326,0.1756463348865509,2e-05,,,,,,,,,,,
140,1.176,0.0312,0.24594354629516602,2e-05,,,,,,,,,,,
145,1.218,0.0271,0.17792488634586334,2e-05,,,,,,,,,,,
150,1.261,0.0265,0.22881338000297546,2e-05,,,,,,,,,,,
155,1.303,0.0278,0.1949298083782196,2e-05,,,,,,,,,,,
160,1.345,0.025,0.16053706407546997,2e-05,,,,,,,,,,,
165,1.387,0.022,0.14411740005016327,2e-05,,,,,,,,,,,
170,1.429,0.0216,0.14026138186454773,2e-05,,,,,,,,,,,
175,1.471,0.0241,0.16229091584682465,2e-05,,,,,,,,,,,
178,1.496,,,,0.1917098445095412,0.1917098445095412,118.4449,27.371,0.144,,,,,,
180,1.513,0.0223,0.11729393154382706,2e-05,,,,,,,,,,,
185,1.555,0.0219,0.21098117530345917,2e-05,,,,,,,,,,,
190,1.597,0.0193,0.13496363162994385,2e-05,,,,,,,,,,,
195,1.639,0.0193,0.1772419810295105,2e-05,,,,,,,,,,,
200,1.681,0.0217,0.15173278748989105,2e-05,,,,,,,,,,,
205,1.723,0.0186,0.16017328202724457,2e-05,,,,,,,,,,,
210,1.765,0.0205,0.24255536496639252,2e-05,,,,,,,,,,,
215,1.807,0.0184,0.1812688112258911,2e-05,,,,,,,,,,,
220,1.849,0.0208,0.13399429619312286,2e-05,,,,,,,,,,,
225,1.891,0.019,0.2512644827365875,2e-05,,,,,,,,,,,
230,1.933,0.0169,0.12535181641578674,2e-05,,,,,,,,,,,
235,1.975,0.0177,0.24945759773254395,2e-05,,,,,,,,,,,
238,2.0,,,,0.19447779106674296,0.19447779106674296,105.2585,30.8,0.162,,,,,,
240,2.017,0.0176,0.17440801858901978,2e-05,,,,,,,,,,,
245,2.059,0.0173,0.10148703306913376,2e-05,,,,,,,,,,,
250,2.101,0.0172,0.16032764315605164,2e-05,,,,,,,,,,,
255,2.143,0.0167,0.1778988540172577,2e-05,,,,,,,,,,,
260,2.185,0.0172,0.0845128521323204,2e-05,,,,,,,,,,,
