step,epoch,loss,grad_norm,learning_rate,eval_crossner_music,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.041,1.573,9.9037446975708,7.861760963081327e-06,,,,,,,,,,,
10,0.081,1.4375,6.991330146789551,1.1247637115056958e-05,,,,,,,,,,,
15,0.122,0.8742,3.4895482063293457,1.3228247696048747e-05,,,,,,,,,,,
20,0.163,0.4871,1.5742294788360596,1.4633513267032583e-05,,,,,,,,,,,
25,0.203,0.3388,1.0832151174545288,1.5723521926162654e-05,,,,,,,,,,,
30,0.244,0.2326,0.9549205303192139,1.6614123848024376e-05,,,,,,,,,,,
35,0.285,0.1551,0.6096320748329163,1.736711704380757e-05,,,,,,,,,,,
40,0.325,0.1234,0.4184729754924774,1.8019389419008214e-05,,,,,,,,,,,
45,0.366,0.093,0.3298717737197876,1.8594734429016163e-05,,,,,,,,,,,
50,0.407,0.076,0.3512933850288391,1.9109398078138283e-05,,,,,,,,,,,
55,0.447,0.0709,0.3867780268192291,1.9574967980015803e-05,,,,,,,,,,,
60,0.488,0.0641,0.2772924304008484,2e-05,,,,,,,,,,,
62,0.504,,,,0.0,0.0,175.4525,23.836,0.12,,,,,,
65,0.528,0.064,0.20982491970062256,2e-05,,,,,,,,,,,
70,0.569,0.0554,0.23670241236686707,2e-05,,,,,,,,,,,
75,0.61,0.0579,0.26387545466423035,2e-05,,,,,,,,,,,
80,0.65,0.0556,0.31132227182388306,2e-05,,,,,,,,,,,
85,0.691,0.0516,0.18552716076374054,2e-05,,,,,,,,,,,
90,0.732,0.0471,0.1764785647392273,2e-05,,,,,,,,,,,
95,0.772,0.0493,0.22223185002803802,2e-05,,,,,,,,,,,
100,0.813,0.0459,0.20823097229003906,2e-05,,,,,,,,,,,
105,0.854,0.0419,0.31762316823005676,2e-05,,,,,,,,,,,
110,0.894,0.0424,0.1794579178094864,2e-05,,,,,,,,,,,
115,0.935,0.036,0.17415514588356018,2e-05,,,,,,,,,,,
120,0.976,0.0355,0.21020278334617615,2e-05,,,,,,,,,,,
123,1.0,,,,0.13370786512144217,0.13370786512144217,209.3863,19.973,0.1,,,,,,
125,1.016,0.0344,0.21377721428871155,2e-05,,,,,,,,,,,
130,1.057,0.0359,0.18971672654151917,2e-05,,,,,,,,,,,
135,1.098,0.0296,0.19772037863731384,2e-05,,,,,,,,,,,
140,1.138,0.028,0.15802524983882904,2e-05,,,,,,,,,,,
145,1.179,0.0279,0.2378600388765335,2e-05,,,,,,,,,,,
150,1.22,0.0249,0.21489804983139038,2e-05,,,,,,,,,,,
155,1.26,0.0262,0.20084834098815918,2e-05,,,,,,,,,,,
160,1.301,0.0238,0.19119694828987122,2e-05,,,,,,,,,,,
165,1.341,0.0247,0.16553854942321777,2e-05,,,,,,,,,,,
170,1.382,0.0234,0.19401830434799194,2e-05,,,,,,,,,,,
175,1.423,0.0218,0.1655036360025406,2e-05,,,,,,,,,,,
180,1.463,0.023,0.15594036877155304,2e-05,,,,,,,,,,,
184,1.496,,,,0.21205597411948454,0.21205597411948454,153.9433,27.166,0.136,,,,,,
185,1.504,0.0199,0.1966661810874939,2e-05,,,,,,,,,,,
190,1.545,0.0227,0.18336616456508636,2e-05,,,,,,,,,,,
195,1.585,0.0217,0.14010661840438843,2e-05,,,,,,,,,,,
200,1.626,0.0188,0.4838826656341553,2e-05,,,,,,,,,,,
205,1.667,0.0195,0.22102448344230652,2e-05,,,,,,,,,,,
210,1.707,0.0162,0.13767246901988983,2e-05,,,,,,,,,,,
215,1.748,0.0211,0.18762244284152985,2e-05,,,,,,,,,,,
