step,epoch,loss,grad_norm,learning_rate,eval_crossner_politics,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.019,1.3918,8.536079406738281,6.655682788551919e-06,,,,,,,,,,,
10,0.038,1.2582,6.98887300491333,9.522129343553784e-06,,,,,,,,,,,
15,0.057,0.8627,3.362880229949951,1.1198893088551218e-05,,,,,,,,,,,
20,0.076,0.5128,1.5837769508361816,1.2388575898555646e-05,,,,,,,,,,,
25,0.095,0.348,1.1771094799041748,1.3311365577103839e-05,,,,,,,,,,,
30,0.115,0.2486,0.824501097202301,1.4065339643553083e-05,,,,,,,,,,,
35,0.134,0.1765,0.5865049958229065,1.4702815633551465e-05,,,,,,,,,,,
40,0.153,0.1362,0.554237961769104,1.525502245355751e-05,,,,,,,,,,,
45,0.172,0.102,0.4233092665672302,1.5742103388550514e-05,,,,,,,,,,,
50,0.191,0.0942,0.383127361536026,1.6177812132105704e-05,,,,,,,,,,,
55,0.21,0.0735,0.28434276580810547,1.657195863405932e-05,,,,,,,,,,,
60,0.229,0.0652,0.24744053184986115,1.6931786198554942e-05,,,,,,,,,,,
65,0.248,0.0582,0.25464484095573425,1.726279547060952e-05,,,,,,,,,,,
70,0.267,0.0557,0.22188928723335266,1.756926218855333e-05,,,,,,,,,,,
75,0.286,0.0563,0.4934532940387726,1.7854575877103134e-05,,,,,,,,,,,
80,0.305,0.0527,0.3336416780948639,1.8121469008559374e-05,,,,,,,,,,,
85,0.324,0.0526,0.28388991951942444,1.8372176568552083e-05,,,,,,,,,,,
90,0.344,0.0478,0.3734501004219055,1.8608549943552376e-05,,,,,,,,,,,
95,0.363,0.0453,0.2160145342350006,1.8832139975359918e-05,,,,,,,,,,,
100,0.382,0.0461,0.17290574312210083,1.904425868710757e-05,,,,,,,,,,,
105,0.401,0.0393,0.21641230583190918,1.924602593355076e-05,,,,,,,,,,,
110,0.42,0.0385,0.24802927672863007,1.9438405189061186e-05,,,,,,,,,,,
115,0.439,0.0369,0.3555113971233368,1.9622231373829038e-05,,,,,,,,,,,
120,0.458,0.0358,0.2159074991941452,1.9798232753556807e-05,,,,,,,,,,,
125,0.477,0.0341,0.21280008554458618,1.996704836565576e-05,,,,,,,,,,,
130,0.496,0.0345,0.20378397405147552,2e-05,,,,,,,,,,,
131,0.5,,,,0.08191808187000213,0.08191808187000213,236.1224,18.681,0.097,,,,,,
135,0.515,0.0326,0.19845589995384216,2e-05,,,,,,,,,,,
140,0.534,0.0302,0.3225608766078949,2e-05,,,,,,,,,,,
145,0.553,0.0248,0.21890965104103088,2e-05,,,,,,,,,,,
150,0.573,0.0217,0.15263807773590088,2e-05,,,,,,,,,,,
155,0.592,0.0226,0.23142874240875244,2e-05,,,,,,,,,,,
160,0.611,0.0228,0.15049445629119873,2e-05,,,,,,,,,,,
165,0.63,0.0217,0.1813330054283142,2e-05,,,,,,,,,,,
170,0.649,0.0266,0.16802272200584412,2e-05,,,,,,,,,,,
175,0.668,0.022,0.21395540237426758,2e-05,,,,,,,,,,,
180,0.687,0.0241,0.2842140793800354,2e-05,,,,,,,,,,,
185,0.706,0.0216,0.204104945063591,2e-05,,,,,,,,,,,
190,0.725,0.0196,0.1290137767791748,2e-05,,,,,,,,,,,
195,0.744,0.0176,0.2091791033744812,2e-05,,,,,,,,,,,
200,0.763,0.0199,0.24274130165576935,2e-05,,,,,,,,,,,
205,0.782,0.0203,0.18926779925823212,2e-05,,,,,,,,,,,
210,0.802,0.0182,0.22364047169685364,2e-05,,,,,,,,,,,
215,0.821,0.019,0.15760938823223114,2e-05,,,,,,,,,,,
220,0.84,0.0195,0.21504732966423035,2e-05,,,,,,,,,,,
225,0.859,0.0179,0.14928001165390015,2e-05,,,,,,,,,,,
230,0.878,0.0169,0.2298119217157364,2e-05,,,,,,,,,,,
235,0.897,0.0189,0.13336867094039917,2e-05,,,,,,,,,,,
240,0.916,0.0145,0.16080735623836517,2e-05,,,,,,,,,,,
245,0.935,0.0152,0.14295923709869385,2e-05,,,,,,,,,,,
250,0.954,0.0165,0.15319401025772095,2e-05,,,,,,,,,,,
255,0.973,0.0149,0.12009454518556595,2e-05,,,,,,,,,,,
260,0.992,0.0143,0.12090206146240234,2e-05,,,,,,,,,,,
262,1.0,,,,0.12980466283893605,0.12980466283893605,168.2788,26.212,0.137,,,,,,
265,1.011,0.0167,0.20449143648147583,2e-05,,,,,,,,,,,
270,1.031,0.0151,0.17170999944210052,2e-05,,,,,,,,,,,
275,1.05,0.016,0.1400449424982071,2e-05,,,,,,,,,,,
280,1.069,0.0135,0.1503024846315384,2e-05,,,,,,,,,,,
285,1.088,0.0162,0.13325655460357666,2e-05,,,,,,,,,,,
290,1.107,0.0149,0.10434069484472275,2e-05,,,,,,,,,,,
295,1.126,0.012,0.11531555652618408,2e-05,,,,,,,,,,,
300,1.145,0.0167,0.14168837666511536,2e-05,,,,,,,,,,,
305,1.164,0.0129,0.11725436896085739,2e-05,,,,,,,,,,,
310,1.183,0.0126,0.5112956166267395,2e-05,,,,,,,,,,,
315,1.202,0.0128,0.09201784431934357,2e-05,,,,,,,,,,,
320,1.221,0.0137,0.12526081502437592,2e-05,,,,,,,,,,,
325,1.24,0.0155,0.15827342867851257,2e-05,,,,,,,,,,,
330,1.26,0.012,0.19840098917484283,2e-05,,,,,,,,,,,
335,1.279,0.0136,0.13097229599952698,2e-05,,,,,,,,,,,
340,1.298,0.0143,0.09521456062793732,2e-05,,,,,,,,,,,
345,1.317,0.0131,0.11196468770503998,2e-05,,,,,,,,,,,
350,1.336,0.0133,0.1587587296962738,2e-05,,,,,,,,,,,
355,1.355,0.01,0.13613006472587585,2e-05,,,,,,,,,,,
360,1.374,0.0128,0.26185736060142517,2e-05,,,,,,,,,,,
365,1.393,0.0127,0.20774486660957336,2e-05,,,,,,,,,,,
370,1.412,0.011,0.08736710250377655,2e-05,,,,,,,,,,,
375,1.431,0.0122,0.17885467410087585,2e-05,,,,,,,,,,,
380,1.45,0.0128,0.06941208988428116,2e-05,,,,,,,,,,,
385,1.469,0.0117,0.10675578564405441,2e-05,,,,,,,,,,,
390,1.489,0.0106,0.08955053240060806,2e-05,,,,,,,,,,,
393,1.5,,,,0.31739130429864976,0.31739130429864976,155.132,28.434,0.148,,,,,,
395,1.508,0.0133,0.13767358660697937,2e-05,,,,,,,,,,,
400,1.527,0.0118,0.12272165715694427,2e-05,,,,,,,,,,,
405,1.546,0.0132,0.1370754837989807,2e-05,,,,,,,,,,,
410,1.565,0.0132,0.10132357478141785,2e-05,,,,,,,,,,,
415,1.584,0.0101,0.14163005352020264,2e-05,,,,,,,,,,,
420,1.603,0.0125,0.08895689249038696,2e-05,,,,,,,,,,,
425,1.622,0.0099,0.12347900122404099,2e-05,,,,,,,,,,,
430,1.641,0.0116,0.1345551311969757,2e-05,,,,,,,,,,,
435,1.66,0.0101,0.13742217421531677,2e-05,,,,,,,,,,,
440,1.679,0.0123,0.18510179221630096,2e-05,,,,,,,,,,,
445,1.698,0.0099,0.08086809515953064,2e-05,,,,,,,,,,,
450,1.718,0.0119,0.1060180738568306,2e-05,,,,,,,,,,,
455,1.737,0.0114,0.16314376890659332,2e-05,,,,,,,,,,,
460,1.756,0.0107,0.10069653391838074,2e-05,,,,,,,,,,,
465,1.775,0.0112,0.126073956489563,2e-05,,,,,,,,,,,
470,1.794,0.0091,0.07333797216415405,2e-05,,,,,,,,,,,
475,1.813,0.0099,0.054212234914302826,2e-05,,,,,,,,,,,
480,1.832,0.0112,0.16086527705192566,2e-05,,,,,,,,,,,
485,1.851,0.0111,0.13640332221984863,2e-05,,,,,,,,,,,
490,1.87,0.0099,0.07820424437522888,2e-05,,,,,,,,,,,
495,1.889,0.0096,0.09512488543987274,2e-05,,,,,,,,,,,
500,1.908,0.0094,0.058254752308130264,2e-05,,,,,,,,,,,
505,1.927,0.0093,0.12058617174625397,2e-05,,,,,,,,,,,
510,1.947,0.0112,0.19121159613132477,2e-05,,,,,,,,,,,
515,1.966,0.0103,0.07992887496948242,2e-05,,,,,,,,,,,
520,1.985,0.0125,0.14678874611854553,2e-05,,,,,,,,,,,
524,2.0,,,,0.3586206896066331,0.3586206896066331,154.4808,28.554,0.149,,,,,,
525,2.004,0.0098,0.08677739650011063,2e-05,,,,,,,,,,,
530,2.023,0.0104,0.07994920760393143,2e-05,,,,,,,,,,,
