step,epoch,loss,grad_norm,learning_rate,eval_mit-movie,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.006,2.5921,15.633940696716309,5.43584091395317e-06,,,,,,,,,,,
10,0.013,2.4466,11.569300651550293,7.77693016900905e-06,,,,,,,,,,,
15,0.019,1.8425,6.17140007019043,9.146379594057966e-06,,,,,,,,,,,
20,0.026,1.2038,3.0559582710266113,1.0118019424064926e-05,,,,,,,,,,,
25,0.032,0.7708,2.5757107734680176,1.087168182790634e-05,,,,,,,,,,,
30,0.039,0.5921,1.7969807386398315,1.1487468849113843e-05,,,,,,,,,,,
35,0.045,0.3552,1.0690137147903442,1.200810935711046e-05,,,,,,,,,,,
40,0.051,0.2486,0.8091481328010559,1.2459108679120806e-05,,,,,,,,,,,
45,0.058,0.212,0.4944137632846832,1.2856918274162757e-05,,,,,,,,,,,
50,0.064,0.1763,0.49188509583473206,1.3212771082962219e-05,,,,,,,,,,,
55,0.071,0.151,0.4218999743461609,1.3534679104945514e-05,,,,,,,,,,,
60,0.077,0.1313,0.33482468128204346,1.382855810416972e-05,,,,,,,,,,,
65,0.084,0.1047,0.3442789912223816,1.4098900577075285e-05,,,,,,,,,,,
70,0.09,0.0861,0.33461621403694153,1.4349198612166341e-05,,,,,,,,,,,
75,0.097,0.0759,0.28320154547691345,1.4582220508011133e-05,,,,,,,,,,,
80,0.103,0.0679,0.4158780872821808,1.4800197934176684e-05,,,,,,,,,,,
85,0.109,0.0561,0.2766418159008026,1.5004956252044514e-05,,,,,,,,,,,
90,0.116,0.055,0.27419227361679077,1.5198007529218637e-05,,,,,,,,,,,
95,0.122,0.0504,0.23952004313468933,1.5380618371932186e-05,,,,,,,,,,,
100,0.129,0.0522,0.2460794299840927,1.55538603380181e-05,,,,,,,,,,,
105,0.135,0.0483,0.27076104283332825,1.5718648037215253e-05,,,,,,,,,,,
110,0.142,0.0485,0.21278832852840424,1.5875768360001393e-05,,,,,,,,,,,
115,0.148,0.0425,0.23364649713039398,1.6025903203857795e-05,,,,,,,,,,,
120,0.154,0.0428,0.19936834275722504,1.61696473592256e-05,,,,,,,,,,,
125,0.161,0.0445,0.22000958025455475,1.6307522741859515e-05,,,,,,,,,,,
130,0.167,0.0439,0.2559203505516052,1.6439989832131163e-05,,,,,,,,,,,
135,0.174,0.0414,0.21758288145065308,1.6567456954267552e-05,,,,,,,,,,,
140,0.18,0.0401,0.1684211790561676,1.6690287867222218e-05,,,,,,,,,,,
145,0.187,0.0382,0.2093246430158615,1.6808808022911993e-05,,,,,,,,,,,
150,0.193,0.0348,0.20234273374080658,1.6923309763067014e-05,,,,,,,,,,,
155,0.199,0.0371,0.18554134666919708,1.7034056663637364e-05,,,,,,,,,,,
160,0.206,0.0355,0.22114157676696777,1.7141287189232564e-05,,,,,,,,,,,
165,0.212,0.0346,0.20372048020362854,1.7245217785050307e-05,,,,,,,,,,,
170,0.219,0.0357,0.20560236275196075,1.7346045507100393e-05,,,,,,,,,,,
175,0.225,0.0371,0.2339378446340561,1.7443950271063636e-05,,,,,,,,,,,
180,0.232,0.0364,0.17808955907821655,1.7539096784274516e-05,,,,,,,,,,,
185,0.238,0.0312,0.2017407864332199,1.7631636212941787e-05,,,,,,,,,,,
190,0.245,0.0282,0.14020945131778717,1.7721707626988064e-05,,,,,,,,,,,
195,0.251,0.0306,0.13580887019634247,1.780943925718008e-05,,,,,,,,,,,
200,0.257,0.0276,0.16314269602298737,1.7894949593073975e-05,,,,,,,,,,,
205,0.264,0.0316,0.1960073560476303,1.797834834536765e-05,,,,,,,,,,,
210,0.27,0.0264,0.16727189719676971,1.8059737292271135e-05,,,,,,,,,,,
215,0.277,0.0283,0.1450156718492508,1.8139211026274675e-05,,,,,,,,,,,
220,0.283,0.0267,0.14713521301746368,1.821685761505727e-05,,,,,,,,,,,
225,0.29,0.0259,0.13086433708667755,1.829275918811593e-05,,,,,,,,,,,
230,0.296,0.0255,0.1590341478586197,1.8366992458913676e-05,,,,,,,,,,,
235,0.302,0.026,0.11987689137458801,1.843962919086886e-05,,,,,,,,,,,
240,0.309,0.0243,0.14590050280094147,1.851073661428148e-05,,,,,,,,,,,
245,0.315,0.0219,0.1327773630619049,1.8580377800267753e-05,,,,,,,,,,,
250,0.322,0.0276,0.1901692897081375,1.864861199691539e-05,,,,,,,,,,,
255,0.328,0.0224,0.1611863672733307,1.8715494932149304e-05,,,,,,,,,,,
260,0.335,0.0258,0.13753919303417206,1.878107908718704e-05,,,,,,,,,,,
265,0.341,0.0241,0.1584177166223526,1.884541394394586e-05,,,,,,,,,,,
270,0.347,0.0241,0.1309364289045334,1.8908546209323433e-05,,,,,,,,,,,
275,0.354,0.0239,0.12725502252578735,1.8970520018898686e-05,,,,,,,,,,,
280,0.36,0.0227,0.171010360121727,1.9031377122278096e-05,,,,,,,,,,,
285,0.367,0.022,0.11024778336286545,1.9091157052036978e-05,,,,,,,,,,,
290,0.373,0.0248,0.14113517105579376,1.914989727796787e-05,,,,,,,,,,,
295,0.38,0.0187,0.16237851977348328,1.9207633348143327e-05,,,,,,,,,,,
300,0.386,0.0247,0.15664544701576233,1.9264399018122892e-05,,,,,,,,,,,
305,0.393,0.022,0.253109872341156,1.9320226369480355e-05,,,,,,,,,,,
310,0.399,0.0228,0.15231624245643616,1.9375145918693242e-05,,,,,,,,,,,
315,0.405,0.0231,0.1475648134946823,1.9429186717320048e-05,,,,,,,,,,,
320,0.412,0.0207,0.1489751785993576,1.948237644428844e-05,,,,,,,,,,,
325,0.418,0.0206,0.15320226550102234,1.9534741491028455e-05,,,,,,,,,,,
330,0.425,0.0196,0.09620627015829086,1.9586307040106185e-05,,,,,,,,,,,
335,0.431,0.019,0.17366425693035126,1.9637097137944473e-05,,,,,,,,,,,
340,0.438,0.0177,0.18239843845367432,1.968713476215627e-05,,,,,,,,,,,
345,0.444,0.0188,0.15125635266304016,1.9736441883962593e-05,,,,,,,,,,,
350,0.45,0.0198,0.14912931621074677,1.978503952611951e-05,,,,,,,,,,,
355,0.457,0.02,0.1759341061115265,1.983294781673642e-05,,,,,,,,,,,
360,0.463,0.0184,0.11634115874767303,1.9880186039330394e-05,,,,,,,,,,,
365,0.47,0.0184,0.17987138032913208,1.9926772679428174e-05,,,,,,,,,,,
370,0.476,0.0206,0.11238790303468704,1.9972725467997668e-05,,,,,,,,,,,
375,0.483,0.0186,0.13364779949188232,2e-05,,,,,,,,,,,
380,0.489,0.0163,0.1165311336517334,2e-05,,,,,,,,,,,
385,0.495,0.0193,0.1084311231970787,2e-05,,,,,,,,,,,
388,0.499,,,,0.7357723576733781,0.7357723576733781,13.6634,77.58,0.439,,,,,,
390,0.502,0.0199,0.11836705356836319,2e-05,,,,,,,,,,,
395,0.508,0.0189,0.1715521663427353,2e-05,,,,,,,,,,,
400,0.515,0.0175,0.10072190314531326,2e-05,,,,,,,,,,,
405,0.521,0.0192,0.1276170015335083,2e-05,,,,,,,,,,,
410,0.528,0.0185,0.15027868747711182,2e-05,,,,,,,,,,,
415,0.534,0.0167,0.11033453792333603,2e-05,,,,,,,,,,,
420,0.541,0.0151,0.1411687433719635,2e-05,,,,,,,,,,,
425,0.547,0.017,0.09364066272974014,2e-05,,,,,,,,,,,
430,0.553,0.0174,0.097792848944664,2e-05,,,,,,,,,,,
435,0.56,0.0179,0.12073680758476257,2e-05,,,,,,,,,,,
440,0.566,0.0166,0.14124427735805511,2e-05,,,,,,,,,,,
445,0.573,0.0138,0.07645755261182785,2e-05,,,,,,,,,,,
450,0.579,0.0167,0.1430196762084961,2e-05,,,,,,,,,,,
455,0.586,0.015,0.1258407086133957,2e-05,,,,,,,,,,,
460,0.592,0.0163,0.20405729115009308,2e-05,,,,,,,,,,,
465,0.598,0.0162,0.1076207309961319,2e-05,,,,,,,,,,,
470,0.605,0.0173,0.12341774255037308,2e-05,,,,,,,,,,,
475,0.611,0.0147,0.14018061757087708,2e-05,,,,,,,,,,,
480,0.618,0.0154,0.10774961113929749,2e-05,,,,,,,,,,,
485,0.624,0.0148,0.12830881774425507,2e-05,,,,,,,,,,,
490,0.631,0.0157,0.13257218897342682,2e-05,,,,,,,,,,,
495,0.637,0.0156,0.09792397916316986,2e-05,,,,,,,,,,,
500,0.644,0.0161,0.11648876965045929,2e-05,,,,,,,,,,,
505,0.65,0.015,0.1495114415884018,2e-05,,,,,,,,,,,
510,0.656,0.0158,0.10178032517433167,2e-05,,,,,,,,,,,
515,0.663,0.0156,0.12299158424139023,2e-05,,,,,,,,,,,
520,0.669,0.0145,0.09472335875034332,2e-05,,,,,,,,,,,
525,0.676,0.0145,0.11629356443881989,2e-05,,,,,,,,,,,
530,0.682,0.016,0.13432669639587402,2e-05,,,,,,,,,,,
535,0.689,0.0143,0.11359599232673645,2e-05,,,,,,,,,,,
540,0.695,0.0143,0.1055644303560257,2e-05,,,,,,,,,,,
545,0.701,0.0139,0.1490091234445572,2e-05,,,,,,,,,,,
550,0.708,0.013,0.09774865955114365,2e-05,,,,,,,,,,,
555,0.714,0.0147,0.1062583178281784,2e-05,,,,,,,,,,,
560,0.721,0.0144,0.09792157262563705,2e-05,,,,,,,,,,,
565,0.727,0.0149,0.11962378025054932,2e-05,,,,,,,,,,,
570,0.734,0.0137,0.07684651762247086,2e-05,,,,,,,,,,,
575,0.74,0.013,0.17947788536548615,2e-05,,,,,,,,,,,
580,0.746,0.0127,0.1343219131231308,2e-05,,,,,,,,,,,
585,0.753,0.0155,0.16378620266914368,2e-05,,,,,,,,,,,
590,0.759,0.012,0.0700947567820549,2e-05,,,,,,,,,,,
595,0.766,0.0125,0.13238607347011566,2e-05,,,,,,,,,,,
600,0.772,0.014,0.14774924516677856,2e-05,,,,,,,,,,,
605,0.779,0.0145,0.0874967873096466,2e-05,,,,,,,,,,,
610,0.785,0.0126,0.08618131279945374,2e-05,,,,,,,,,,,
615,0.792,0.0118,0.12268741428852081,2e-05,,,,,,,,,,,
620,0.798,0.0129,0.11253926157951355,2e-05,,,,,,,,,,,
625,0.804,0.0127,0.11999284476041794,2e-05,,,,,,,,,,,
630,0.811,0.0134,0.09772923588752747,2e-05,,,,,,,,,,,
635,0.817,0.0136,0.09342654049396515,2e-05,,,,,,,,,,,
640,0.824,0.0135,0.10540120303630829,2e-05,,,,,,,,,,,
645,0.83,0.0114,0.0990372821688652,2e-05,,,,,,,,,,,
650,0.837,0.0126,0.1156013160943985,2e-05,,,,,,,,,,,
655,0.843,0.0106,0.06973683834075928,2e-05,,,,,,,,,,,
660,0.849,0.0127,0.1651313602924347,2e-05,,,,,,,,,,,
665,0.856,0.0125,0.07237216085195541,2e-05,,,,,,,,,,,
670,0.862,0.0124,0.10685819387435913,2e-05,,,,,,,,,,,
675,0.869,0.0141,0.10401050001382828,2e-05,,,,,,,,,,,
680,0.875,0.0097,0.07520124316215515,2e-05,,,,,,,,,,,
685,0.882,0.0116,0.06836012750864029,2e-05,,,,,,,,,,,
690,0.888,0.0144,0.17143723368644714,2e-05,,,,,,,,,,,
695,0.894,0.0116,0.12176460772752762,2e-05,,,,,,,,,,,
700,0.901,0.0119,0.06294474750757217,2e-05,,,,,,,,,,,
705,0.907,0.0112,0.06912775337696075,2e-05,,,,,,,,,,,
710,0.914,0.0094,0.09536860138177872,2e-05,,,,,,,,,,,
715,0.92,0.0136,0.11661414057016373,2e-05,,,,,,,,,,,
720,0.927,0.011,0.06563222408294678,2e-05,,,,,,,,,,,
725,0.933,0.0119,0.09709477424621582,2e-05,,,,,,,,,,,
730,0.94,0.0109,0.11172895133495331,2e-05,,,,,,,,,,,
735,0.946,0.0116,0.24901048839092255,2e-05,,,,,,,,,,,
740,0.952,0.0097,0.06222020834684372,2e-05,,,,,,,,,,,
745,0.959,0.0128,0.0749516561627388,2e-05,,,,,,,,,,,
750,0.965,0.0109,0.08129356801509857,2e-05,,,,,,,,,,,
755,0.972,0.0096,0.08266211301088333,2e-05,,,,,,,,,,,
760,0.978,0.0119,0.10276100784540176,2e-05,,,,,,,,,,,
765,0.985,0.011,0.10342969000339508,2e-05,,,,,,,,,,,
770,0.991,0.0107,0.12953786551952362,2e-05,,,,,,,,,,,
775,0.997,0.0121,0.07467154413461685,2e-05,,,,,,,,,,,
777,1.0,,,,0.8487394957479707,0.8487394957479707,13.8646,76.454,0.433,,,,,,
780,1.004,0.0116,0.09087605774402618,2e-05,,,,,,,,,,,
785,1.01,0.012,0.10870961844921112,2e-05,,,,,,,,,,,
790,1.017,0.0108,0.09278681129217148,2e-05,,,,,,,,,,,
795,1.023,0.0102,0.07352223247289658,2e-05,,,,,,,,,,,
