step,epoch,loss,grad_norm,learning_rate,eval_crossner_ai,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.042,1.691,8.485625267028809,7.927400573059717e-06,,,,,,,,,,,
10,0.084,1.4922,6.316924571990967,1.1341546166334124e-05,,,,,,,,,,,
15,0.126,1.0449,3.1678810119628906,1.3338693310402031e-05,,,,,,,,,,,
20,0.168,0.7342,2.3972108364105225,1.4755691759608524e-05,,,,,,,,,,,
25,0.21,0.5245,1.526777982711792,1.5854801146119433e-05,,,,,,,,,,,
30,0.252,0.4127,1.2668181657791138,1.6752838903676433e-05,,,,,,,,,,,
35,0.294,0.2861,0.7630768418312073,1.751211900895989e-05,,,,,,,,,,,
40,0.336,0.2127,0.6214448809623718,1.8169837352882926e-05,,,,,,,,,,,
45,0.378,0.1727,0.5720267295837402,1.8749986047744344e-05,,,,,,,,,,,
50,0.42,0.1483,0.4255501627922058,1.926894673939384e-05,,,,,,,,,,,
55,0.462,0.1382,0.41795939207077026,1.9738403789064383e-05,,,,,,,,,,,
60,0.504,0.1221,0.36387020349502563,2e-05,,,,,,,,,,,
60,0.504,,,,0.005208333332294379,0.005208333332294379,146.64,22.109,0.116,,,,,,
65,0.546,0.1177,0.33570343255996704,2e-05,,,,,,,,,,,
70,0.588,0.1063,0.3739495277404785,2e-05,,,,,,,,,,,
75,0.63,0.0991,0.27269721031188965,2e-05,,,,,,,,,,,
80,0.672,0.101,0.3752826452255249,2e-05,,,,,,,,,,,
85,0.714,0.0948,0.2991688549518585,2e-05,,,,,,,,,,,
90,0.756,0.0921,0.3864995241165161,2e-05,,,,,,,,,,,
95,0.798,0.0797,0.23318220674991608,2e-05,,,,,,,,,,,
100,0.84,0.0866,0.29084378480911255,2e-05,,,,,,,,,,,
105,0.882,0.0793,0.3850989043712616,2e-05,,,,,,,,,,,
110,0.924,0.0791,0.2148805856704712,2e-05,,,,,,,,,,,
115,0.966,0.0753,0.328075647354126,2e-05,,,,,,,,,,,
119,1.0,,,,0.025252525245691767,0.025252525245691767,158.1001,20.506,0.108,,,,,,
120,1.008,0.0747,0.2602316737174988,2e-05,,,,,,,,,,,
125,1.05,0.0744,0.17616616189479828,2e-05,,,,,,,,,,,
130,1.092,0.0705,0.25699788331985474,2e-05,,,,,,,,,,,
135,1.134,0.0713,0.1726619154214859,2e-05,,,,,,,,,,,
140,1.176,0.0695,0.22278358042240143,2e-05,,,,,,,,,,,
145,1.218,0.0656,0.2240704894065857,2e-05,,,,,,,,,,,
150,1.261,0.0649,0.2185015082359314,2e-05,,,,,,,,,,,
155,1.303,0.0643,0.290979266166687,2e-05,,,,,,,,,,,
160,1.345,0.062,0.2804824709892273,2e-05,,,,,,,,,,,
165,1.387,0.0615,0.20576709508895874,2e-05,,,,,,,,,,,
170,1.429,0.0599,0.24176909029483795,2e-05,,,,,,,,,,,
175,1.471,0.06,0.21588020026683807,2e-05,,,,,,,,,,,
178,1.496,,,,0.23327615775919905,0.23327615775919905,142.8909,22.689,0.119,,,,,,
180,1.513,0.0535,0.2216712087392807,2e-05,,,,,,,,,,,
185,1.555,0.0587,0.2733655273914337,2e-05,,,,,,,,,,,
190,1.597,0.0542,0.18231238424777985,2e-05,,,,,,,,,,,
195,1.639,0.0526,0.22533750534057617,2e-05,,,,,,,,,,,
200,1.681,0.0494,0.20200878381729126,2e-05,,,,,,,,,,,
205,1.723,0.0533,0.28501060605049133,2e-05,,,,,,,,,,,
210,1.765,0.0531,0.22340761125087738,2e-05,,,,,,,,,,,
215,1.807,0.0473,0.20607870817184448,2e-05,,,,,,,,,,,
220,1.849,0.0557,0.29006335139274597,2e-05,,,,,,,,,,,
225,1.891,0.047,0.19323435425758362,2e-05,,,,,,,,,,,
230,1.933,0.0504,0.1905820071697235,2e-05,,,,,,,,,,,
235,1.975,0.047,0.25516265630722046,2e-05,,,,,,,,,,,
238,2.0,,,,0.3762376237124314,0.3762376237124314,122.2868,26.511,0.139,,,,,,
240,2.017,0.0486,0.2691510319709778,2e-05,,,,,,,,,,,
245,2.059,0.0485,0.2381109744310379,2e-05,,,,,,,,,,,
250,2.101,0.0484,0.34043776988983154,2e-05,,,,,,,,,,,
255,2.143,0.0443,0.2278331071138382,2e-05,,,,,,,,,,,
260,2.185,0.0419,0.19746151566505432,2e-05,,,,,,,,,,,
265,2.227,0.0445,0.2489842176437378,2e-05,,,,,,,,,,,
270,2.269,0.0429,0.2401985228061676,2e-05,,,,,,,,,,,
275,2.311,0.0434,0.18151021003723145,2e-05,,,,,,,,,,,
280,2.353,0.0422,0.2259884476661682,2e-05,,,,,,,,,,,
285,2.395,0.0439,0.280627578496933,2e-05,,,,,,,,,,,
290,2.437,0.0413,0.17787910997867584,2e-05,,,,,,,,,,,
295,2.479,0.0414,0.1809810996055603,2e-05,,,,,,,,,,,
298,2.504,,,,0.42696629208573766,0.42696629208573766,123.4702,26.257,0.138,,,,,,
300,2.521,0.0414,0.24559566378593445,2e-05,,,,,,,,,,,
305,2.563,0.041,0.19495807588100433,2e-05,,,,,,,,,,,
310,2.605,0.0415,0.16786667704582214,2e-05,,,,,,,,,,,
315,2.647,0.0417,0.28367358446121216,2e-05,,,,,,,,,,,
320,2.689,0.0387,0.2036341428756714,2e-05,,,,,,,,,,,
325,2.731,0.0391,0.22107143700122833,2e-05,,,,,,,,,,,
330,2.773,0.037,0.2607634365558624,2e-05,,,,,,,,,,,
335,2.815,0.0384,0.19004982709884644,2e-05,,,,,,,,,,,
340,2.857,0.0408,0.18449266254901886,2e-05,,,,,,,,,,,
345,2.899,0.0362,0.22763653099536896,2e-05,,,,,,,,,,,
350,2.941,0.0353,0.27478039264678955,2e-05,,,,,,,,,,,
355,2.983,0.036,0.17028312385082245,2e-05,,,,,,,,,,,
357,3.0,,,,0.4785276073120415,0.4785276073120415,134.073,24.181,0.127,,,,,,
360,3.025,0.0367,0.16179829835891724,2e-05,,,,,,,,,,,
365,3.067,0.0366,0.28295841813087463,2e-05,,,,,,,,,,,
370,3.109,0.0354,0.20414520800113678,2e-05,,,,,,,,,,,
375,3.151,0.035,0.32189780473709106,2e-05,,,,,,,,,,,
380,3.193,0.034,0.19161851704120636,2e-05,,,,,,,,,,,
385,3.235,0.0337,0.20831944048404694,2e-05,,,,,,,,,,,
390,3.277,0.0313,0.28322112560272217,2e-05,,,,,,,,,,,
395,3.319,0.0362,0.20500843226909637,2e-05,,,,,,,,,,,
400,3.361,0.0336,0.1476287543773651,2e-05,,,,,,,,,,,
405,3.403,0.0336,0.20238779485225677,2e-05,,,,,,,,,,,
410,3.445,0.0371,0.22160594165325165,2e-05,,,,,,,,,,,
415,3.487,0.0343,0.3036258816719055,2e-05,,,,,,,,,,,
416,3.496,,,,0.47429906537102756,0.47429906537102756,123.4521,26.261,0.138,,,,,,
420,3.529,0.031,0.2726820111274719,2e-05,,,,,,,,,,,
425,3.571,0.0309,0.2326785773038864,2e-05,,,,,,,,,,,
430,3.613,0.0324,0.22319205105304718,2e-05,,,,,,,,,,,
435,3.655,0.0299,0.2809009253978729,2e-05,,,,,,,,,,,
440,3.697,0.0316,0.22770768404006958,2e-05,,,,,,,,,,,
445,3.739,0.0331,0.25543466210365295,2e-05,,,,,,,,,,,
450,3.782,0.0308,0.270550936460495,2e-05,,,,,,,,,,,
455,3.824,0.0267,0.2400653213262558,2e-05,,,,,,,,,,,
460,3.866,0.0324,0.20803005993366241,2e-05,,,,,,,,,,,
465,3.908,0.0297,0.23299527168273926,2e-05,,,,,,,,,,,
470,3.95,0.0266,0.11563453823328018,2e-05,,,,,,,,,,,
475,3.992,0.0281,0.21481125056743622,2e-05,,,,,,,,,,,
476,4.0,,,,0.5179190750950706,0.5179190750950706,111.878,28.978,0.152,,,,,,
480,4.034,0.0298,0.17956304550170898,2e-05,,,,,,,,,,,
485,4.076,0.0277,0.21005909144878387,2e-05,,,,,,,,,,,
490,4.118,0.0286,0.14845356345176697,2e-05,,,,,,,,,,,
495,4.16,0.0303,0.17041146755218506,2e-05,,,,,,,,,,,
500,4.202,0.0282,0.447748601436615,2e-05,,,,,,,,,,,
505,4.244,0.0272,0.13964012265205383,2e-05,,,,,,,,,,,
510,4.286,0.0286,0.17014671862125397,2e-05,,,,,,,,,,,
515,4.328,0.0286,0.3270871043205261,2e-05,,,,,,,,,,,
520,4.37,0.0291,0.46237674355506897,2e-05,,,,,,,,,,,
525,4.412,0.0277,0.7171668410301208,2e-05,,,,,,,,,,,
530,4.454,0.0289,0.4335240423679352,2e-05,,,,,,,,,,,
535,4.496,0.0271,0.22248074412345886,2e-05,,,,,,,,,,,
536,4.504,,,,0.5458768872908099,0.5458768872908099,123.5798,26.234,0.138,,,,,,
540,4.538,0.027,0.3540429174900055,2e-05,,,,,,,,,,,
545,4.58,0.0275,0.24675975739955902,2e-05,,,,,,,,,,,
550,4.622,0.0252,0.24972572922706604,2e-05,,,,,,,,,,,
555,4.664,0.0245,0.216838538646698,2e-05,,,,,,,,,,,
560,4.706,0.0263,0.15323249995708466,2e-05,,,,,,,,,,,
565,4.748,0.0277,0.20208927989006042,2e-05,,,,,,,,,,,
570,4.79,0.0245,0.1413407027721405,2e-05,,,,,,,,,,,
575,4.832,0.024,0.16608506441116333,2e-05,,,,,,,,,,,
580,4.874,0.0243,0.21846529841423035,2e-05,,,,,,,,,,,
585,4.916,0.024,0.23306067287921906,2e-05,,,,,,,,,,,
590,4.958,0.0234,0.23641161620616913,2e-05,,,,,,,,,,,
595,5.0,0.0243,0.1407664716243744,2e-05,,,,,,,,,,,
595,5.0,,,,0.5071090046896657,0.5071090046896657,123.6155,26.226,0.138,,,,,,
600,5.042,0.0224,0.2759087383747101,2e-05,,,,,,,,,,,
605,5.084,0.0214,0.18638738989830017,2e-05,,,,,,,,,,,
610,5.126,0.0242,0.2506701350212097,2e-05,,,,,,,,,,,
615,5.168,0.0266,0.27493754029273987,2e-05,,,,,,,,,,,
620,5.21,0.025,0.29357385635375977,2e-05,,,,,,,,,,,
625,5.252,0.0238,0.3028152287006378,2e-05,,,,,,,,,,,
630,5.294,0.0229,0.21230779588222504,2e-05,,,,,,,,,,,
635,5.336,0.0233,0.16053873300552368,2e-05,,,,,,,,,,,
640,5.378,0.0281,0.515369176864624,2e-05,,,,,,,,,,,
645,5.42,0.0227,0.21508018672466278,2e-05,,,,,,,,,,,
650,5.462,0.0213,0.20449917018413544,2e-05,,,,,,,,,,,
654,5.496,,,,0.5342789597612181,0.5342789597612181,123.348,26.283,0.138,,,,,,
655,5.504,0.0226,0.16147969663143158,2e-05,,,,,,,,,,,
660,5.546,0.0214,0.15222197771072388,2e-05,,,,,,,,,,,
665,5.588,0.0222,0.14206065237522125,2e-05,,,,,,,,,,,
670,5.63,0.022,0.2307908982038498,2e-05,,,,,,,,,,,
675,5.672,0.0216,0.2886660099029541,2e-05,,,,,,,,,,,
680,5.714,0.0223,0.25285279750823975,2e-05,,,,,,,,,,,
685,5.756,0.0209,0.20417581498622894,2e-05,,,,,,,,,,,
690,5.798,0.0208,0.19558699429035187,2e-05,,,,,,,,,,,
695,5.84,0.0189,0.16160987317562103,2e-05,,,,,,,,,,,
700,5.882,0.022,0.1225867047905922,2e-05,,,,,,,,,,,
705,5.924,0.0209,0.15251921117305756,2e-05,,,,,,,,,,,
710,5.966,0.019,0.15898945927619934,2e-05,,,,,,,,,,,
714,6.0,,,,0.5265643446965187,0.5265643446965187,122.4089,26.485,0.139,,,,,,
715,6.008,0.0229,0.2267514020204544,2e-05,,,,,,,,,,,
720,6.05,0.0212,0.14431244134902954,2e-05,,,,,,,,,,,
725,6.092,0.0177,0.16165129840373993,2e-05,,,,,,,,,,,
730,6.134,0.0197,0.2521597445011139,2e-05,,,,,,,,,,,
735,6.176,0.0207,0.5138698816299438,2e-05,,,,,,,,,,,
740,6.218,0.0223,0.21618013083934784,2e-05,,,,,,,,,,,
745,6.261,0.0207,0.17074452340602875,2e-05,,,,,,,,,,,
750,6.303,0.0195,0.15362372994422913,2e-05,,,,,,,,,,,
755,6.345,0.0188,0.16277553141117096,2e-05,,,,,,,,,,,
760,6.387,0.0186,0.12649503350257874,2e-05,,,,,,,,,,,
765,6.429,0.0182,0.14334455132484436,2e-05,,,,,,,,,,,
770,6.471,0.0185,0.12887078523635864,2e-05,,,,,,,,,,,
774,6.504,,,,0.5704307333614218,0.5704307333614218,111.9942,28.948,0.152,,,,,,
775,6.513,0.0188,0.1527075171470642,2e-05,,,,,,,,,,,
780,6.555,0.0171,0.18456700444221497,2e-05,,,,,,,,,,,
785,6.597,0.0185,0.2875865399837494,2e-05,,,,,,,,,,,
790,6.639,0.0167,0.2256593555212021,2e-05,,,,,,,,,,,
795,6.681,0.0177,0.3192262649536133,2e-05,,,,,,,,,,,
800,6.723,0.0196,0.3199820816516876,2e-05,,,,,,,,,,,
805,6.765,0.0181,0.2929157018661499,2e-05,,,,,,,,,,,
810,6.807,0.0184,0.178950235247612,2e-05,,,,,,,,,,,
815,6.849,0.0167,0.12675726413726807,2e-05,,,,,,,,,,,
820,6.891,0.0197,0.22135595977306366,2e-05,,,,,,,,,,,
825,6.933,0.0183,0.2294442355632782,2e-05,,,,,,,,,,,
830,6.975,0.0182,0.23214060068130493,2e-05,,,,,,,,,,,
833,7.0,,,,0.5628742514472327,0.5628742514472327,124.1467,26.114,0.137,,,,,,
835,7.017,0.0181,0.20177605748176575,2e-05,,,,,,,,,,,
840,7.059,0.0166,0.18968677520751953,2e-05,,,,,,,,,,,
845,7.101,0.0178,0.17240938544273376,2e-05,,,,,,,,,,,
850,7.143,0.0156,0.2908547520637512,2e-05,,,,,,,,,,,
855,7.185,0.0143,0.10873368382453918,2e-05,,,,,,,,,,,
860,7.227,0.0139,0.11014644801616669,2e-05,,,,,,,,,,,
865,7.269,0.0158,0.17378902435302734,2e-05,,,,,,,,,,,
870,7.311,0.0181,0.11265759915113449,2e-05,,,,,,,,,,,
875,7.353,0.0147,0.13684161007404327,2e-05,,,,,,,,,,,
880,7.395,0.0173,0.1616305261850357,2e-05,,,,,,,,,,,
885,7.437,0.017,0.14309892058372498,2e-05,,,,,,,,,,,
890,7.479,0.013,0.17409946024417877,2e-05,,,,,,,,,,,
892,7.496,,,,0.5701149424793468,0.5701149424793468,112.7503,28.754,0.151,,,,,,
895,7.521,0.0162,0.19825010001659393,2e-05,,,,,,,,,,,
900,7.563,0.0156,0.16616301238536835,2e-05,,,,,,,,,,,
905,7.605,0.0171,0.16901476681232452,2e-05,,,,,,,,,,,
910,7.647,0.0138,0.12612932920455933,2e-05,,,,,,,,,,,
915,7.689,0.017,0.14532090723514557,2e-05,,,,,,,,,,,
920,7.731,0.0171,0.22417590022087097,2e-05,,,,,,,,,,,
925,7.773,0.0163,0.19588732719421387,2e-05,,,,,,,,,,,
930,7.815,0.0159,0.2030470073223114,2e-05,,,,,,,,,,,
935,7.857,0.014,0.12363750487565994,2e-05,,,,,,,,,,,
940,7.899,0.0156,0.12390758097171783,2e-05,,,,,,,,,,,
945,7.941,0.0152,0.1603544056415558,2e-05,,,,,,,,,,,
