step,epoch,loss,grad_norm,learning_rate,eval_crossner_music,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.041,1.7305,9.03703784942627,7.861760963081327e-06,,,,,,,,,,,
10,0.081,1.6199,6.574773788452148,1.1247637115056958e-05,,,,,,,,,,,
15,0.122,1.0979,3.542914867401123,1.3228247696048747e-05,,,,,,,,,,,
20,0.163,0.7158,2.195208787918091,1.4633513267032583e-05,,,,,,,,,,,
25,0.203,0.5005,1.4484360218048096,1.5723521926162654e-05,,,,,,,,,,,
30,0.244,0.3626,0.9233853816986084,1.6614123848024376e-05,,,,,,,,,,,
35,0.285,0.2547,0.7069695591926575,1.736711704380757e-05,,,,,,,,,,,
40,0.325,0.2004,0.7296134829521179,1.8019389419008214e-05,,,,,,,,,,,
45,0.366,0.1764,0.6999964714050293,1.8594734429016163e-05,,,,,,,,,,,
50,0.407,0.146,0.41227447986602783,1.9109398078138283e-05,,,,,,,,,,,
55,0.447,0.1321,0.3890565037727356,1.9574967980015803e-05,,,,,,,,,,,
60,0.488,0.1182,0.3731939196586609,2e-05,,,,,,,,,,,
62,0.504,,,,0.0029498525064927212,0.0029498525064927212,249.6025,16.755,0.084,,,,,,
65,0.528,0.1158,0.4051758646965027,2e-05,,,,,,,,,,,
70,0.569,0.1063,0.32182079553604126,2e-05,,,,,,,,,,,
75,0.61,0.1033,0.33355069160461426,2e-05,,,,,,,,,,,
80,0.65,0.0951,0.5340381264686584,2e-05,,,,,,,,,,,
85,0.691,0.0934,0.30496951937675476,2e-05,,,,,,,,,,,
90,0.732,0.0899,0.3015103340148926,2e-05,,,,,,,,,,,
95,0.772,0.0859,0.2812531590461731,2e-05,,,,,,,,,,,
100,0.813,0.0842,0.2916962504386902,2e-05,,,,,,,,,,,
105,0.854,0.0797,0.3485371768474579,2e-05,,,,,,,,,,,
110,0.894,0.0804,0.21132144331932068,2e-05,,,,,,,,,,,
115,0.935,0.0812,0.23737592995166779,2e-05,,,,,,,,,,,
120,0.976,0.0739,0.2990630269050598,2e-05,,,,,,,,,,,
123,1.0,,,,0.05471956222933934,0.05471956222933934,153.663,27.215,0.137,,,,,,
125,1.016,0.0738,0.2680402398109436,2e-05,,,,,,,,,,,
130,1.057,0.0749,0.2766954302787781,2e-05,,,,,,,,,,,
135,1.098,0.072,0.2238897681236267,2e-05,,,,,,,,,,,
140,1.138,0.0659,0.30891871452331543,2e-05,,,,,,,,,,,
145,1.179,0.0638,0.24317054450511932,2e-05,,,,,,,,,,,
150,1.22,0.0643,0.29068925976753235,2e-05,,,,,,,,,,,
155,1.26,0.0653,0.3390044569969177,2e-05,,,,,,,,,,,
160,1.301,0.0626,0.2521056532859802,2e-05,,,,,,,,,,,
165,1.341,0.0622,0.20231769979000092,2e-05,,,,,,,,,,,
170,1.382,0.0557,0.29269352555274963,2e-05,,,,,,,,,,,
175,1.423,0.0557,0.17568007111549377,2e-05,,,,,,,,,,,
180,1.463,0.0575,0.27832573652267456,2e-05,,,,,,,,,,,
184,1.496,,,,0.3480519480033129,0.3480519480033129,161.9974,25.815,0.13,,,,,,
185,1.504,0.0512,0.2583242356777191,2e-05,,,,,,,,,,,
190,1.545,0.0556,0.3020669221878052,2e-05,,,,,,,,,,,
195,1.585,0.0557,0.19372893869876862,2e-05,,,,,,,,,,,
200,1.626,0.049,0.1816335767507553,2e-05,,,,,,,,,,,
205,1.667,0.0511,0.28028228878974915,2e-05,,,,,,,,,,,
210,1.707,0.0548,0.22773334383964539,2e-05,,,,,,,,,,,
215,1.748,0.0512,0.25825199484825134,2e-05,,,,,,,,,,,
220,1.789,0.0459,0.20853616297245026,2e-05,,,,,,,,,,,
225,1.829,0.0505,0.22992628812789917,2e-05,,,,,,,,,,,
230,1.87,0.0476,0.2593412697315216,2e-05,,,,,,,,,,,
235,1.911,0.0496,0.32985320687294006,2e-05,,,,,,,,,,,
240,1.951,0.0427,0.22125732898712158,2e-05,,,,,,,,,,,
245,1.992,0.05,0.3406994342803955,2e-05,,,,,,,,,,,
246,2.0,,,,0.49640287764781166,0.49640287764781166,151.2419,27.651,0.139,,,,,,
250,2.033,0.0432,0.19445836544036865,2e-05,,,,,,,,,,,
255,2.073,0.044,0.2582992911338806,2e-05,,,,,,,,,,,
260,2.114,0.0429,0.2562175393104553,2e-05,,,,,,,,,,,
265,2.154,0.0449,0.3050265312194824,2e-05,,,,,,,,,,,
