step,epoch,loss,grad_norm,learning_rate,eval_mit-movie,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.006,2.6104,13.46938419342041,5.43584091395317e-06,,,,,,,,,,,
10,0.013,2.475,9.850923538208008,7.77693016900905e-06,,,,,,,,,,,
15,0.019,2.0021,5.640233516693115,9.146379594057966e-06,,,,,,,,,,,
20,0.026,1.4342,3.3848845958709717,1.0118019424064926e-05,,,,,,,,,,,
25,0.032,0.9802,2.702132225036621,1.087168182790634e-05,,,,,,,,,,,
30,0.039,0.7805,1.8211191892623901,1.1487468849113843e-05,,,,,,,,,,,
35,0.045,0.5263,1.0668587684631348,1.200810935711046e-05,,,,,,,,,,,
40,0.051,0.4164,0.804621696472168,1.2459108679120806e-05,,,,,,,,,,,
45,0.058,0.3576,0.6583232879638672,1.2856918274162757e-05,,,,,,,,,,,
50,0.064,0.3077,0.5104030966758728,1.3212771082962219e-05,,,,,,,,,,,
55,0.071,0.2596,0.4747132658958435,1.3534679104945514e-05,,,,,,,,,,,
60,0.077,0.242,0.4101099371910095,1.382855810416972e-05,,,,,,,,,,,
65,0.084,0.2273,0.4170129597187042,1.4098900577075285e-05,,,,,,,,,,,
70,0.09,0.2116,0.3374238610267639,1.4349198612166341e-05,,,,,,,,,,,
75,0.097,0.1992,0.3410373628139496,1.4582220508011133e-05,,,,,,,,,,,
80,0.103,0.1906,0.33102884888648987,1.4800197934176684e-05,,,,,,,,,,,
85,0.109,0.1797,0.33983564376831055,1.5004956252044514e-05,,,,,,,,,,,
90,0.116,0.1759,0.35041940212249756,1.5198007529218637e-05,,,,,,,,,,,
95,0.122,0.1643,0.2842371463775635,1.5380618371932186e-05,,,,,,,,,,,
100,0.129,0.1602,0.3010937571525574,1.55538603380181e-05,,,,,,,,,,,
105,0.135,0.1569,0.32709282636642456,1.5718648037215253e-05,,,,,,,,,,,
110,0.142,0.1509,0.34926271438598633,1.5875768360001393e-05,,,,,,,,,,,
115,0.148,0.1393,0.3047128915786743,1.6025903203857795e-05,,,,,,,,,,,
120,0.154,0.135,0.35362714529037476,1.61696473592256e-05,,,,,,,,,,,
125,0.161,0.1362,0.33734744787216187,1.6307522741859515e-05,,,,,,,,,,,
130,0.167,0.1294,0.2740999162197113,1.6439989832131163e-05,,,,,,,,,,,
135,0.174,0.1291,0.31813323497772217,1.6567456954267552e-05,,,,,,,,,,,
140,0.18,0.1197,0.3334558606147766,1.6690287867222218e-05,,,,,,,,,,,
145,0.187,0.1162,0.2644234001636505,1.6808808022911993e-05,,,,,,,,,,,
150,0.193,0.108,0.27486345171928406,1.6923309763067014e-05,,,,,,,,,,,
155,0.199,0.1029,0.2644108533859253,1.7034056663637364e-05,,,,,,,,,,,
160,0.206,0.0996,0.31753087043762207,1.7141287189232564e-05,,,,,,,,,,,
165,0.212,0.0989,0.2944336235523224,1.7245217785050307e-05,,,,,,,,,,,
170,0.219,0.1001,0.34895989298820496,1.7346045507100393e-05,,,,,,,,,,,
175,0.225,0.0944,0.30087608098983765,1.7443950271063636e-05,,,,,,,,,,,
180,0.232,0.0942,0.27731209993362427,1.7539096784274516e-05,,,,,,,,,,,
185,0.238,0.0901,0.34519898891448975,1.7631636212941787e-05,,,,,,,,,,,
190,0.245,0.0894,0.23039287328720093,1.7721707626988064e-05,,,,,,,,,,,
195,0.251,0.0888,0.2591349184513092,1.780943925718008e-05,,,,,,,,,,,
200,0.257,0.0799,0.28628599643707275,1.7894949593073975e-05,,,,,,,,,,,
