step,epoch,loss,grad_norm,learning_rate,eval_mit-restaurant,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.009,1.831,9.02487564086914,5.768873987190341e-06,,,,,,,,,,,
10,0.018,1.7338,7.274317264556885,8.253392779952611e-06,,,,,,,,,,,
15,0.027,1.3034,4.078654766082764,9.706743106055534e-06,,,,,,,,,,,
20,0.036,0.9375,2.129926919937134,1.0737911572714876e-05,,,,,,,,,,,
25,0.045,0.6309,1.632506012916565,1.1537747974380681e-05,,,,,,,,,,,
30,0.054,0.4888,1.2007218599319458,1.21912618988178e-05,,,,,,,,,,,
35,0.064,0.3419,0.7603976130485535,1.2743800048996109e-05,,,,,,,,,,,
40,0.073,0.2656,0.5331178903579712,1.3222430365477144e-05,,,,,,,,,,,
45,0.082,0.2208,0.49547702074050903,1.3644612224920727e-05,,,,,,,,,,,
50,0.091,0.1866,0.5168899893760681,1.4022266767142951e-05,,,,,,,,,,,
55,0.1,0.1569,0.35911184549331665,1.4363896855970699e-05,,,,,,,,,,,
60,0.109,0.1337,0.39124011993408203,1.4675780691580068e-05,,,,,,,,,,,
65,0.118,0.1191,0.30960339307785034,1.4962686008395792e-05,,,,,,,,,,,
70,0.127,0.1143,0.30541056394577026,1.522831884175838e-05,,,,,,,,,,,
75,0.136,0.114,0.33365771174430847,1.5475617093245874e-05,,,,,,,,,,,
80,0.145,0.0989,0.25263774394989014,1.570694915823941e-05,,,,,,,,,,,
85,0.154,0.0954,0.22613292932510376,1.5924252230994265e-05,,,,,,,,,,,
90,0.163,0.0914,0.254372239112854,1.6129131017682994e-05,,,,,,,,,,,
95,0.172,0.0893,0.23342007398605347,1.6322929724632822e-05,,,,,,,,,,,
100,0.181,0.081,0.2905322015285492,1.6506785559905222e-05,,,,,,,,,,,
105,0.191,0.0801,0.22909878194332123,1.66816691678613e-05,,,,,,,,,,,
110,0.2,0.077,0.2886912226676941,1.6848415648732967e-05,,,,,,,,,,,
115,0.209,0.072,0.19845695793628693,1.7007748677238435e-05,,,,,,,,,,,
120,0.218,0.0716,0.16623085737228394,1.7160299484342336e-05,,,,,,,,,,,
125,0.227,0.0687,0.26524463295936584,1.7306621961571025e-05,,,,,,,,,,,
130,0.236,0.0672,0.2194940596818924,1.7447204801158062e-05,,,,,,,,,,,
135,0.245,0.0655,0.20711101591587067,1.7582481343785917e-05,,,,,,,,,,,
140,0.254,0.0606,0.2336677759885788,1.7712837634520643e-05,,,,,,,,,,,
145,0.263,0.0623,0.19854378700256348,1.7838619064466737e-05,,,,,,,,,,,
150,0.272,0.0604,0.16172704100608826,1.7960135886008142e-05,,,,,,,,,,,
155,0.281,0.0595,0.18249453604221344,1.8077667823380024e-05,,,,,,,,,,,
160,0.29,0.0629,0.2162580043077469,1.819146795100168e-05,,,,,,,,,,,
165,0.299,0.0559,0.1590755581855774,1.8301765974835886e-05,,,,,,,,,,,
