step,epoch,eval_crossner_ai,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,loss,grad_norm,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
2,0.5,0.0,0.0,42.5852,2.348,0.023,,,,,,,,,
4,1.0,0.0,0.0,18.6084,5.374,0.054,,,,,,,,,
5,1.25,,,,,,0.8846,3.8784713745117188,2e-05,,,,,,
6,1.5,0.0,0.0,44.4529,2.25,0.022,,,,,,,,,
8,2.0,0.0,0.0,18.7582,5.331,0.053,,,,,,,,,
10,2.5,,,,,,0.5431,1.6864910125732422,2e-05,,,,,,
10,2.5,0.005025125620421202,0.005025125620421202,18.6996,5.348,0.053,,,,,,,,,
12,3.0,0.01860465114294862,0.01860465114294862,19.1213,5.23,0.052,,,,,,,,,
14,3.5,0.0417536534123596,0.0417536534123596,18.7331,5.338,0.053,,,,,,,,,
15,3.75,,,,,,0.3144,0.8821422457695007,2e-05,,,,,,
16,4.0,0.08502772639099633,0.08502772639099633,18.7173,5.343,0.053,,,,,,,,,
18,4.5,0.17977528085137984,0.17977528085137984,18.7045,5.346,0.053,,,,,,,,,
20,5.0,,,,,,0.2192,0.7554097771644592,2e-05,,,,,,
20,5.0,0.22799422794468702,0.22799422794468702,18.4342,5.425,0.054,,,,,,,,,
22,5.5,0.2637954239069003,0.2637954239069003,18.4867,5.409,0.054,,,,,,,,,
24,6.0,0.3208279430288371,0.3208279430288371,18.4411,5.423,0.054,,,,,,,,,
25,6.25,,,,,,0.1654,0.4705885648727417,2e-05,,,,,,
26,6.5,0.3572327043525018,0.3572327043525018,18.4413,5.423,0.054,,,,,,,,,
28,7.0,0.3702770780356204,0.3702770780356204,18.5145,5.401,0.054,,,,,,,,,
30,7.5,,,,,,0.1378,0.4960227310657501,2e-05,,,,,,
30,7.5,0.3645443195505151,0.3645443195505151,11.1693,8.953,0.09,,,,,,,,,
32,8.0,0.39951278923150785,0.39951278923150785,11.7758,8.492,0.085,,,,,,,,,
34,8.5,0.4094292803470565,0.4094292803470565,11.8265,8.456,0.085,,,,,,,,,
35,8.75,,,,,,0.1128,0.4744989275932312,2e-05,,,,,,
36,9.0,0.4433617539087201,0.4433617539087201,11.6807,8.561,0.086,,,,,,,,,
38,9.5,0.48076923071944916,0.48076923071944916,11.7237,8.53,0.085,,,,,,,,,
40,10.0,,,,,,0.0977,0.47833091020584106,2e-05,,,,,,
40,10.0,0.49757281548412496,0.49757281548412496,12.4246,8.049,0.08,,,,,,,,,
42,10.5,0.5080147964975149,0.5080147964975149,18.4933,5.407,0.054,,,,,,,,,
44,11.0,0.5092707045235764,0.5092707045235764,11.7132,8.537,0.085,,,,,,,,,
45,11.25,,,,,,0.0828,0.37123778462409973,2e-05,,,,,,
46,11.5,0.5043478260369609,0.5043478260369609,18.429,5.426,0.054,,,,,,,,,
48,12.0,0.528535980098888,0.528535980098888,18.5031,5.404,0.054,,,,,,,,,
48,12.0,,,,,,,,,472.5678,2.539,0.102,1822567308460032.0,1.822567308460032,0.2711334228515625
