step,epoch,loss,grad_norm,learning_rate,eval_crossner_science,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.023,2.6473,21.78862190246582,6.8884950399405484e-06,,,,,,,,,,,
10,0.045,2.1246,19.995094299316406,9.855208374047785e-06,,,,,,,,,,,
15,0.068,1.6417,12.083807945251465,1.159062442488995e-05,,,,,,,,,,,
20,0.09,1.2133,7.6773834228515625,1.2821921708155018e-05,,,,,,,,,,,
25,0.113,0.7431,6.043457508087158,1.3776990079881097e-05,,,,,,,,,,,
30,0.135,0.6881,4.845739364624023,1.4557337758997188e-05,,,,,,,,,,,
35,0.158,0.6716,4.005527973175049,1.521711232078042e-05,,,,,,,,,,,
40,0.18,0.5114,2.8549115657806396,1.5788635042262254e-05,,,,,,,,,,,
45,0.203,0.399,3.234856367111206,1.6292753809839353e-05,,,,,,,,,,,
50,0.225,0.4462,3.309009075164795,1.6743703413988334e-05,,,,,,,,,,,
55,0.248,0.3303,2.696457862854004,1.7151636951383997e-05,,,,,,,,,,,
60,0.27,0.3786,4.508601188659668,1.752405109310442e-05,,,,,,,,,,,
65,0.293,0.3057,2.4020094871520996,1.7866638893809745e-05,,,,,,,,,,,
70,0.315,0.2877,2.2639706134796143,1.818382565488766e-05,,,,,,,,,,,
75,0.338,0.2732,3.709374189376831,1.8479119464830498e-05,,,,,,,,,,,
80,0.36,0.3667,3.1452455520629883,1.875534837636949e-05,,,,,,,,,,,
85,0.383,0.3488,2.3659262657165527,1.9014825553745778e-05,,,,,,,,,,,
90,0.405,0.3249,3.7863430976867676,1.9259467143946592e-05,,,,,,,,,,,
95,0.428,0.3015,3.4213483333587646,1.9490878236394627e-05,,,,,,,,,,,
100,0.45,0.293,2.551384210586548,1.971041674809557e-05,,,,,,,,,,,
105,0.473,0.2466,2.2631759643554688,1.9919241705729823e-05,,,,,,,,,,,
110,0.495,0.3056,2.8095932006835938,2e-05,,,,,,,,,,,
111,0.5,,,,0.26390197921658914,0.26390197921658914,10.5703,308.694,1.608,,,,,,
115,0.518,0.2854,1.9815596342086792,2e-05,,,,,,,,,,,
120,0.541,0.2524,2.3324737548828125,2e-05,,,,,,,,,,,
125,0.563,0.264,3.8061771392822266,2e-05,,,,,,,,,,,
130,0.586,0.2252,2.3610167503356934,2e-05,,,,,,,,,,,
135,0.608,0.2192,2.7500407695770264,2e-05,,,,,,,,,,,
140,0.631,0.1949,4.85027551651001,2e-05,,,,,,,,,,,
145,0.653,0.1711,2.888427495956421,2e-05,,,,,,,,,,,
150,0.676,0.2347,3.707489490509033,2e-05,,,,,,,,,,,
155,0.698,0.2675,3.6601994037628174,2e-05,,,,,,,,,,,
160,0.721,0.1768,2.3258473873138428,2e-05,,,,,,,,,,,
165,0.743,0.1689,1.9695730209350586,2e-05,,,,,,,,,,,
170,0.766,0.2027,1.8047930002212524,2e-05,,,,,,,,,,,
175,0.788,0.1993,2.595832347869873,2e-05,,,,,,,,,,,
180,0.811,0.2436,4.166644096374512,2e-05,,,,,,,,,,,
185,0.833,0.2687,3.420837879180908,2e-05,,,,,,,,,,,
190,0.856,0.254,2.6954448223114014,2e-05,,,,,,,,,,,
195,0.878,0.18,3.3915350437164307,2e-05,,,,,,,,,,,
200,0.901,0.2119,3.002864360809326,2e-05,,,,,,,,,,,
205,0.923,0.1524,1.8978900909423828,2e-05,,,,,,,,,,,
210,0.946,0.2093,1.3699638843536377,2e-05,,,,,,,,,,,
215,0.968,0.2401,2.0730044841766357,2e-05,,,,,,,,,,,
220,0.991,0.2173,2.2613766193389893,2e-05,,,,,,,,,,,
222,1.0,,,,0.3307839387660492,0.3307839387660492,7.7639,420.278,2.19,,,,,,
225,1.014,0.1843,2.807384967803955,2e-05,,,,,,,,,,,
230,1.036,0.2431,1.726075291633606,2e-05,,,,,,,,,,,
235,1.059,0.1619,2.128814935684204,2e-05,,,,,,,,,,,
240,1.081,0.2072,2.0658633708953857,2e-05,,,,,,,,,,,
245,1.104,0.2152,3.2518351078033447,2e-05,,,,,,,,,,,
250,1.126,0.1754,2.8456368446350098,2e-05,,,,,,,,,,,
255,1.149,0.1764,1.8528410196304321,2e-05,,,,,,,,,,,
260,1.171,0.2047,3.0055816173553467,2e-05,,,,,,,,,,,
265,1.194,0.1525,1.9031693935394287,2e-05,,,,,,,,,,,
270,1.216,0.2272,2.593620777130127,2e-05,,,,,,,,,,,
275,1.239,0.1507,2.9487953186035156,2e-05,,,,,,,,,,,
280,1.261,0.228,1.2744266986846924,2e-05,,,,,,,,,,,
285,1.284,0.1852,1.4601376056671143,2e-05,,,,,,,,,,,
290,1.306,0.1533,1.6606425046920776,2e-05,,,,,,,,,,,
295,1.329,0.1766,1.8251783847808838,2e-05,,,,,,,,,,,
300,1.351,0.1981,2.097561836242676,2e-05,,,,,,,,,,,
305,1.374,0.1205,1.1383824348449707,2e-05,,,,,,,,,,,
310,1.396,0.178,2.471384286880493,2e-05,,,,,,,,,,,
315,1.419,0.1898,1.4774426221847534,2e-05,,,,,,,,,,,
320,1.441,0.1642,2.8355913162231445,2e-05,,,,,,,,,,,
325,1.464,0.2059,2.7415831089019775,2e-05,,,,,,,,,,,
330,1.486,0.1526,2.5559000968933105,2e-05,,,,,,,,,,,
333,1.5,,,,0.4169960473818756,0.4169960473818756,7.7334,421.935,2.198,,,,,,
335,1.509,0.1149,1.1649967432022095,2e-05,,,,,,,,,,,
340,1.532,0.1392,2.657581329345703,2e-05,,,,,,,,,,,
345,1.554,0.2041,2.7791104316711426,2e-05,,,,,,,,,,,
350,1.577,0.1077,2.245082139968872,2e-05,,,,,,,,,,,
355,1.599,0.1201,2.957592725753784,2e-05,,,,,,,,,,,
360,1.622,0.1563,3.1249470710754395,2e-05,,,,,,,,,,,
365,1.644,0.1744,1.6898267269134521,2e-05,,,,,,,,,,,
370,1.667,0.2352,2.7914016246795654,2e-05,,,,,,,,,,,
375,1.689,0.144,1.7034653425216675,2e-05,,,,,,,,,,,
380,1.712,0.2002,2.3739891052246094,2e-05,,,,,,,,,,,
385,1.734,0.151,2.314044237136841,2e-05,,,,,,,,,,,
390,1.757,0.1294,1.170686960220337,2e-05,,,,,,,,,,,
395,1.779,0.1234,3.2933273315429688,2e-05,,,,,,,,,,,
400,1.802,0.1733,0.5303710699081421,2e-05,,,,,,,,,,,
405,1.824,0.1287,2.378978967666626,2e-05,,,,,,,,,,,
410,1.847,0.1616,3.432035207748413,2e-05,,,,,,,,,,,
415,1.869,0.149,2.043558120727539,2e-05,,,,,,,,,,,
420,1.892,0.115,2.8215644359588623,2e-05,,,,,,,,,,,
425,1.914,0.1344,1.2965128421783447,2e-05,,,,,,,,,,,
430,1.937,0.1556,2.122114658355713,2e-05,,,,,,,,,,,
435,1.959,0.1946,1.9610551595687866,2e-05,,,,,,,,,,,
440,1.982,0.1414,2.8825788497924805,2e-05,,,,,,,,,,,
444,2.0,,,,0.620985010656819,0.620985010656819,7.7461,421.246,2.195,,,,,,
445,2.005,0.1237,1.420151710510254,2e-05,,,,,,,,,,,
450,2.027,0.1484,2.267364025115967,2e-05,,,,,,,,,,,
455,2.05,0.1199,0.8888060450553894,2e-05,,,,,,,,,,,
460,2.072,0.1626,2.9227516651153564,2e-05,,,,,,,,,,,
465,2.095,0.1444,1.790008783340454,2e-05,,,,,,,,,,,
470,2.117,0.1042,0.536776602268219,2e-05,,,,,,,,,,,
475,2.14,0.152,1.357133150100708,2e-05,,,,,,,,,,,
480,2.162,0.1111,2.2061593532562256,2e-05,,,,,,,,,,,
485,2.185,0.1113,2.2611615657806396,2e-05,,,,,,,,,,,
490,2.207,0.1479,2.5322139263153076,2e-05,,,,,,,,,,,
495,2.23,0.1263,1.7538245916366577,2e-05,,,,,,,,,,,
500,2.252,0.1409,2.4011218547821045,2e-05,,,,,,,,,,,
505,2.275,0.1297,2.008643865585327,2e-05,,,,,,,,,,,
510,2.297,0.1815,2.3144521713256836,2e-05,,,,,,,,,,,
515,2.32,0.1485,1.9072235822677612,2e-05,,,,,,,,,,,
520,2.342,0.1017,1.6761077642440796,2e-05,,,,,,,,,,,
525,2.365,0.1103,1.4283218383789062,2e-05,,,,,,,,,,,
530,2.387,0.1261,1.430285096168518,2e-05,,,,,,,,,,,
535,2.41,0.15,1.169722318649292,2e-05,,,,,,,,,,,
540,2.432,0.1275,1.608183741569519,2e-05,,,,,,,,,,,
545,2.455,0.1177,1.6485363245010376,2e-05,,,,,,,,,,,
550,2.477,0.1101,2.0838747024536133,2e-05,,,,,,,,,,,
555,2.5,0.118,1.5167289972305298,2e-05,,,,,,,,,,,
555,2.5,,,,0.6177105831034683,0.6177105831034683,7.9567,410.097,2.137,,,,,,
560,2.523,0.1183,1.713582158088684,2e-05,,,,,,,,,,,
565,2.545,0.1341,3.009556531906128,2e-05,,,,,,,,,,,
570,2.568,0.1237,1.7357873916625977,2e-05,,,,,,,,,,,
575,2.59,0.1195,1.9366258382797241,2e-05,,,,,,,,,,,
580,2.613,0.106,2.344050884246826,2e-05,,,,,,,,,,,
585,2.635,0.1089,1.652078628540039,2e-05,,,,,,,,,,,
590,2.658,0.1065,1.6569174528121948,2e-05,,,,,,,,,,,
595,2.68,0.1406,1.9128772020339966,2e-05,,,,,,,,,,,
600,2.703,0.1455,4.685920715332031,2e-05,,,,,,,,,,,
605,2.725,0.0884,1.982936143875122,2e-05,,,,,,,,,,,
610,2.748,0.1153,1.5023233890533447,2e-05,,,,,,,,,,,
615,2.77,0.0895,1.5572062730789185,2e-05,,,,,,,,,,,
620,2.793,0.1034,1.3350976705551147,2e-05,,,,,,,,,,,
625,2.815,0.1071,2.1813347339630127,2e-05,,,,,,,,,,,
630,2.838,0.1036,1.621116042137146,2e-05,,,,,,,,,,,
635,2.86,0.1349,1.9008984565734863,2e-05,,,,,,,,,,,
640,2.883,0.1577,2.3715946674346924,2e-05,,,,,,,,,,,
645,2.905,0.1275,1.3174992799758911,2e-05,,,,,,,,,,,
650,2.928,0.1008,2.064666986465454,2e-05,,,,,,,,,,,
655,2.95,0.0791,1.371748447418213,2e-05,,,,,,,,,,,
660,2.973,0.0795,1.548814296722412,2e-05,,,,,,,,,,,
665,2.995,0.0653,0.9383348226547241,2e-05,,,,,,,,,,,
666,3.0,,,,0.670201484573787,0.670201484573787,7.8138,417.596,2.176,,,,,,
670,3.018,0.0985,3.131373405456543,2e-05,,,,,,,,,,,
675,3.041,0.0699,1.4703391790390015,2e-05,,,,,,,,,,,
680,3.063,0.0774,2.4453232288360596,2e-05,,,,,,,,,,,
685,3.086,0.1062,0.4973386526107788,2e-05,,,,,,,,,,,
690,3.108,0.0634,2.9443750381469727,2e-05,,,,,,,,,,,
695,3.131,0.1174,0.6601060628890991,2e-05,,,,,,,,,,,
700,3.153,0.0666,2.350836753845215,2e-05,,,,,,,,,,,
705,3.176,0.0873,0.4926856458187103,2e-05,,,,,,,,,,,
710,3.198,0.0913,0.750571608543396,2e-05,,,,,,,,,,,
715,3.221,0.0949,1.8575899600982666,2e-05,,,,,,,,,,,
720,3.243,0.077,1.3756788969039917,2e-05,,,,,,,,,,,
725,3.266,0.0579,1.9058380126953125,2e-05,,,,,,,,,,,
730,3.288,0.0989,1.1208739280700684,2e-05,,,,,,,,,,,
735,3.311,0.0852,2.1653027534484863,2e-05,,,,,,,,,,,
740,3.333,0.0599,2.5663278102874756,2e-05,,,,,,,,,,,
745,3.356,0.0721,1.2197644710540771,2e-05,,,,,,,,,,,
750,3.378,0.0576,1.261155605316162,2e-05,,,,,,,,,,,
755,3.401,0.0958,1.9030299186706543,2e-05,,,,,,,,,,,
760,3.423,0.0913,2.9303438663482666,2e-05,,,,,,,,,,,
765,3.446,0.1005,2.268643379211426,2e-05,,,,,,,,,,,
770,3.468,0.0997,2.24337100982666,2e-05,,,,,,,,,,,
775,3.491,0.0768,1.362945556640625,2e-05,,,,,,,,,,,
777,3.5,,,,0.6715481171051754,0.6715481171051754,7.7471,421.19,2.194,,,,,,
