step,epoch,loss,grad_norm,learning_rate,eval_crossner_ai,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.042,1.6566,8.838706970214844,7.927400573059717e-06,,,,,,,,,,,
10,0.084,1.4543,6.312753677368164,1.1341546166334124e-05,,,,,,,,,,,
15,0.126,1.0008,3.054861545562744,1.3338693310402031e-05,,,,,,,,,,,
20,0.168,0.6713,2.2313451766967773,1.4755691759608524e-05,,,,,,,,,,,
25,0.21,0.4742,1.2380948066711426,1.5854801146119433e-05,,,,,,,,,,,
30,0.252,0.355,0.870315432548523,1.6752838903676433e-05,,,,,,,,,,,
35,0.294,0.2457,0.6809893846511841,1.751211900895989e-05,,,,,,,,,,,
40,0.336,0.1813,0.5456950664520264,1.8169837352882926e-05,,,,,,,,,,,
45,0.378,0.1444,0.47937723994255066,1.8749986047744344e-05,,,,,,,,,,,
50,0.42,0.129,0.4162023365497589,1.926894673939384e-05,,,,,,,,,,,
55,0.462,0.1194,0.3326244056224823,1.9738403789064383e-05,,,,,,,,,,,
60,0.504,0.1104,0.3353053331375122,2e-05,,,,,,,,,,,
60,0.504,,,,0.0,0.0,143.2985,22.624,0.119,,,,,,
65,0.546,0.1022,0.3780668079853058,2e-05,,,,,,,,,,,
70,0.588,0.0961,0.21480752527713776,2e-05,,,,,,,,,,,
75,0.63,0.0902,0.6213780641555786,2e-05,,,,,,,,,,,
80,0.672,0.0882,0.48734402656555176,2e-05,,,,,,,,,,,
85,0.714,0.0801,0.25127434730529785,2e-05,,,,,,,,,,,
90,0.756,0.0801,0.34500566124916077,2e-05,,,,,,,,,,,
95,0.798,0.0746,0.3468759059906006,2e-05,,,,,,,,,,,
100,0.84,0.0776,0.3377801477909088,2e-05,,,,,,,,,,,
105,0.882,0.0716,0.33378875255584717,2e-05,,,,,,,,,,,
110,0.924,0.0679,0.22511227428913116,2e-05,,,,,,,,,,,
115,0.966,0.0671,0.2762940526008606,2e-05,,,,,,,,,,,
119,1.0,,,,0.17612524458058296,0.17612524458058296,118.3896,27.384,0.144,,,,,,
