step,epoch,loss,grad_norm,learning_rate,eval_crossner_literature,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.042,1.6645,9.570293426513672,7.927400573059717e-06,,,,,,,,,,,
10,0.084,1.4449,6.892688274383545,1.1341546166334124e-05,,,,,,,,,,,
15,0.126,0.9814,3.6167309284210205,1.3338693310402031e-05,,,,,,,,,,,
20,0.168,0.5962,2.038681983947754,1.4755691759608524e-05,,,,,,,,,,,
25,0.21,0.4619,1.4661399126052856,1.5854801146119433e-05,,,,,,,,,,,
30,0.252,0.3093,0.877826988697052,1.6752838903676433e-05,,,,,,,,,,,
35,0.294,0.2276,0.6383438110351562,1.751211900895989e-05,,,,,,,,,,,
40,0.336,0.1651,0.48854413628578186,1.8169837352882926e-05,,,,,,,,,,,
45,0.378,0.1475,0.5356207489967346,1.8749986047744344e-05,,,,,,,,,,,
50,0.42,0.1318,0.5318503975868225,1.926894673939384e-05,,,,,,,,,,,
55,0.462,0.1171,0.4313915967941284,1.9738403789064383e-05,,,,,,,,,,,
60,0.504,0.104,0.32392260432243347,2e-05,,,,,,,,,,,
60,0.504,,,,0.0,0.0,118.5191,29.295,0.152,,,,,,
65,0.546,0.1007,0.3366641700267792,2e-05,,,,,,,,,,,
70,0.588,0.0939,0.3333040475845337,2e-05,,,,,,,,,,,
75,0.63,0.0899,0.2154698222875595,2e-05,,,,,,,,,,,
80,0.672,0.0842,0.24953345954418182,2e-05,,,,,,,,,,,
85,0.714,0.0811,0.28399381041526794,2e-05,,,,,,,,,,,
90,0.756,0.0778,0.31823432445526123,2e-05,,,,,,,,,,,
95,0.798,0.0764,0.24749508500099182,2e-05,,,,,,,,,,,
100,0.84,0.0716,0.2587220370769501,2e-05,,,,,,,,,,,
105,0.882,0.0676,0.2774452269077301,2e-05,,,,,,,,,,,
110,0.924,0.0682,0.2339879721403122,2e-05,,,,,,,,,,,
115,0.966,0.062,0.21346524357795715,2e-05,,,,,,,,,,,
119,1.0,,,,0.24711316392223598,0.24711316392223598,106.2769,32.669,0.169,,,,,,
120,1.008,0.0644,0.2565697729587555,2e-05,,,,,,,,,,,
125,1.05,0.064,0.3044220209121704,2e-05,,,,,,,,,,,
130,1.092,0.0598,0.23026184737682343,2e-05,,,,,,,,,,,
135,1.134,0.0581,0.2810826003551483,2e-05,,,,,,,,,,,
140,1.176,0.0604,0.2667168378829956,2e-05,,,,,,,,,,,
145,1.218,0.0546,0.21187889575958252,2e-05,,,,,,,,,,,
150,1.261,0.0549,0.25755250453948975,2e-05,,,,,,,,,,,
155,1.303,0.0521,0.3541329503059387,2e-05,,,,,,,,,,,
160,1.345,0.0524,0.29630598425865173,2e-05,,,,,,,,,,,
165,1.387,0.0477,0.2309935837984085,2e-05,,,,,,,,,,,
170,1.429,0.0489,0.2360990345478058,2e-05,,,,,,,,,,,
175,1.471,0.0444,0.3395557701587677,2e-05,,,,,,,,,,,
178,1.496,,,,0.33401221990978136,0.33401221990978136,106.1813,32.699,0.17,,,,,,
180,1.513,0.0478,0.34885653853416443,2e-05,,,,,,,,,,,
185,1.555,0.0469,0.18516314029693604,2e-05,,,,,,,,,,,
190,1.597,0.0465,0.1822877824306488,2e-05,,,,,,,,,,,
