step,epoch,loss,grad_norm,learning_rate,eval_mit-movie,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.006,2.6918,14.207860946655273,5.43584091395317e-06,,,,,,,,,,,
10,0.013,2.521,10.366467475891113,7.77693016900905e-06,,,,,,,,,,,
15,0.019,2.0063,5.910594463348389,9.146379594057966e-06,,,,,,,,,,,
20,0.026,1.422,3.335904121398926,1.0118019424064926e-05,,,,,,,,,,,
25,0.032,0.9698,2.8530168533325195,1.087168182790634e-05,,,,,,,,,,,
30,0.039,0.7588,1.9860965013504028,1.1487468849113843e-05,,,,,,,,,,,
35,0.045,0.4963,1.1697571277618408,1.200810935711046e-05,,,,,,,,,,,
40,0.051,0.3855,0.7799496054649353,1.2459108679120806e-05,,,,,,,,,,,
45,0.058,0.3298,0.7001959681510925,1.2856918274162757e-05,,,,,,,,,,,
50,0.064,0.2826,0.6373696327209473,1.3212771082962219e-05,,,,,,,,,,,
55,0.071,0.2443,0.5294617414474487,1.3534679104945514e-05,,,,,,,,,,,
60,0.077,0.233,0.4830217957496643,1.382855810416972e-05,,,,,,,,,,,
65,0.084,0.2109,0.3581186532974243,1.4098900577075285e-05,,,,,,,,,,,
70,0.09,0.1904,0.36772462725639343,1.4349198612166341e-05,,,,,,,,,,,
75,0.097,0.184,0.3903997242450714,1.4582220508011133e-05,,,,,,,,,,,
80,0.103,0.1782,0.4803294837474823,1.4800197934176684e-05,,,,,,,,,,,
85,0.109,0.1552,0.4145320951938629,1.5004956252044514e-05,,,,,,,,,,,
90,0.116,0.1463,0.31981903314590454,1.5198007529218637e-05,,,,,,,,,,,
95,0.122,0.1362,0.3265959620475769,1.5380618371932186e-05,,,,,,,,,,,
100,0.129,0.1297,0.38969287276268005,1.55538603380181e-05,,,,,,,,,,,
105,0.135,0.1254,0.31946659088134766,1.5718648037215253e-05,,,,,,,,,,,
110,0.142,0.1172,0.43574801087379456,1.5875768360001393e-05,,,,,,,,,,,
115,0.148,0.1068,0.28522324562072754,1.6025903203857795e-05,,,,,,,,,,,
120,0.154,0.1009,0.3440473675727844,1.61696473592256e-05,,,,,,,,,,,
125,0.161,0.1008,0.34430813789367676,1.6307522741859515e-05,,,,,,,,,,,
130,0.167,0.0976,0.36892789602279663,1.6439989832131163e-05,,,,,,,,,,,
135,0.174,0.0965,0.2579011917114258,1.6567456954267552e-05,,,,,,,,,,,
140,0.18,0.0859,0.30225870013237,1.6690287867222218e-05,,,,,,,,,,,
