step,epoch,loss,grad_norm,learning_rate,eval_mit-restaurant,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.009,2.6611,12.59981918334961,5.768873987190341e-06,,,,,,,,,,,
10,0.018,2.5492,10.634895324707031,8.253392779952611e-06,,,,,,,,,,,
15,0.027,1.9615,5.569644451141357,9.706743106055534e-06,,,,,,,,,,,
20,0.036,1.4691,3.1755526065826416,1.0737911572714876e-05,,,,,,,,,,,
25,0.045,1.014,2.4207522869110107,1.1537747974380681e-05,,,,,,,,,,,
30,0.054,0.8,1.6812721490859985,1.21912618988178e-05,,,,,,,,,,,
35,0.064,0.5284,1.1100016832351685,1.2743800048996109e-05,,,,,,,,,,,
40,0.073,0.4195,0.7474004030227661,1.3222430365477144e-05,,,,,,,,,,,
45,0.082,0.3526,0.6875486373901367,1.3644612224920727e-05,,,,,,,,,,,
50,0.091,0.2985,0.5057140588760376,1.4022266767142951e-05,,,,,,,,,,,
55,0.1,0.2726,0.44652029871940613,1.4363896855970699e-05,,,,,,,,,,,
60,0.109,0.2413,0.45806437730789185,1.4675780691580068e-05,,,,,,,,,,,
65,0.118,0.2283,0.4436209797859192,1.4962686008395792e-05,,,,,,,,,,,
70,0.127,0.217,0.403105765581131,1.522831884175838e-05,,,,,,,,,,,
75,0.136,0.2109,0.35486117005348206,1.5475617093245874e-05,,,,,,,,,,,
80,0.145,0.1904,0.3490627110004425,1.570694915823941e-05,,,,,,,,,,,
85,0.154,0.1867,0.3362332582473755,1.5924252230994265e-05,,,,,,,,,,,
90,0.163,0.1809,0.3817858397960663,1.6129131017682994e-05,,,,,,,,,,,
95,0.172,0.169,0.33397549390792847,1.6322929724632822e-05,,,,,,,,,,,
100,0.181,0.1653,0.33769848942756653,1.6506785559905222e-05,,,,,,,,,,,
105,0.191,0.1552,0.36962276697158813,1.66816691678613e-05,,,,,,,,,,,
110,0.2,0.1531,0.32903173565864563,1.6848415648732967e-05,,,,,,,,,,,
115,0.209,0.1452,0.25826168060302734,1.7007748677238435e-05,,,,,,,,,,,
120,0.218,0.1435,0.3296827971935272,1.7160299484342336e-05,,,,,,,,,,,
125,0.227,0.1326,0.31058409810066223,1.7306621961571025e-05,,,,,,,,,,,
130,0.236,0.1319,0.3011103868484497,1.7447204801158062e-05,,,,,,,,,,,
135,0.245,0.124,0.33442020416259766,1.7582481343785917e-05,,,,,,,,,,,
140,0.254,0.1247,0.2773779034614563,1.7712837634520643e-05,,,,,,,,,,,
145,0.263,0.1096,0.29733872413635254,1.7838619064466737e-05,,,,,,,,,,,
150,0.272,0.1143,0.2791600823402405,1.7960135886008142e-05,,,,,,,,,,,
155,0.281,0.1059,0.2739410698413849,1.8077667823380024e-05,,,,,,,,,,,
160,0.29,0.1077,0.3024067282676697,1.819146795100168e-05,,,,,,,,,,,
165,0.299,0.0989,0.23200474679470062,1.8301765974835886e-05,,,,,,,,,,,
170,0.309,0.0971,0.2899055480957031,1.8408771023756533e-05,,,,,,,,,,,
175,0.318,0.096,0.3308922350406647,1.8512674036186452e-05,,,,,,,,,,,
180,0.327,0.0908,0.3640218675136566,1.861364981044526e-05,,,,,,,,,,,
185,0.336,0.092,0.314822256565094,1.871185877411411e-05,,,,,,,,,,,
190,0.345,0.0916,0.30891498923301697,1.8807448517395087e-05,,,,,,,,,,,
195,0.354,0.0881,0.3454696238040924,1.8900555127260988e-05,,,,,,,,,,,
200,0.363,0.0836,0.25884371995925903,1.8991304352667487e-05,,,,,,,,,,,
205,0.372,0.0812,0.3020300269126892,1.907981262586513e-05,,,,,,,,,,,
210,0.381,0.0826,0.28708046674728394,1.916618796062357e-05,,,,,,,,,,,
215,0.39,0.0801,0.29888951778411865,1.925053074475124e-05,,,,,,,,,,,
220,0.399,0.0765,0.2287082076072693,1.9332934441495235e-05,,,,,,,,,,,
225,0.408,0.075,0.3032928705215454,1.9413486212111068e-05,,,,,,,,,,,
230,0.417,0.0776,0.3190608620643616,1.9492267470000703e-05,,,,,,,,,,,
235,0.426,0.0702,0.26420941948890686,1.956935437525122e-05,,,,,,,,,,,
240,0.436,0.0756,0.3647856116294861,1.9644818277104604e-05,,,,,,,,,,,
245,0.445,0.0717,0.3398418128490448,1.971872611080188e-05,,,,,,,,,,,
250,0.454,0.0738,0.24250945448875427,1.9791140754333293e-05,,,,,,,,,,,
255,0.463,0.0685,0.24550095200538635,1.9862121349859452e-05,,,,,,,,,,,
260,0.472,0.0702,0.26542383432388306,1.993172359392033e-05,,,,,,,,,,,
265,0.481,0.0658,0.2577957510948181,1.9999999999999998e-05,,,,,,,,,,,
270,0.49,0.0675,0.6412729024887085,2e-05,,,,,,,,,,,
275,0.499,0.0698,0.477101594209671,2e-05,,,,,,,,,,,
276,0.501,,,,0.6770601335801966,0.6770601335801966,11.5593,81.752,0.433,,,,,,
280,0.508,0.0638,0.31482475996017456,2e-05,,,,,,,,,,,
285,0.517,0.0661,0.22369380295276642,2e-05,,,,,,,,,,,
