step,epoch,loss,grad_norm,learning_rate,eval_crossner_literature,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.042,1.1084,5.581713676452637,7.927400573059717e-06,,,,,,,,,,,
10,0.084,0.9564,4.062047481536865,1.1341546166334124e-05,,,,,,,,,,,
15,0.126,0.657,2.198371410369873,1.3338693310402031e-05,,,,,,,,,,,
20,0.168,0.4308,1.3847030401229858,1.4755691759608524e-05,,,,,,,,,,,
25,0.21,0.3271,0.9245290160179138,1.5854801146119433e-05,,,,,,,,,,,
30,0.252,0.2279,0.663484513759613,1.6752838903676433e-05,,,,,,,,,,,
35,0.294,0.175,0.5183572173118591,1.751211900895989e-05,,,,,,,,,,,
40,0.336,0.1505,0.4377044141292572,1.8169837352882926e-05,,,,,,,,,,,
45,0.378,0.1276,0.424056738615036,1.8749986047744344e-05,,,,,,,,,,,
50,0.42,0.1064,0.400113046169281,1.926894673939384e-05,,,,,,,,,,,
55,0.462,0.0871,0.38777047395706177,1.9738403789064383e-05,,,,,,,,,,,
60,0.504,0.0853,0.3600492775440216,2e-05,,,,,,,,,,,
60,0.504,,,,0.5618221257634516,0.5618221257634516,167.7972,20.692,0.107,,,,,,
65,0.546,0.0762,0.2943720519542694,2e-05,,,,,,,,,,,
70,0.588,0.0716,0.2751418352127075,2e-05,,,,,,,,,,,
75,0.63,0.0654,0.36781761050224304,2e-05,,,,,,,,,,,
80,0.672,0.0616,0.2290010303258896,2e-05,,,,,,,,,,,
85,0.714,0.0526,0.29633834958076477,2e-05,,,,,,,,,,,
90,0.756,0.0524,0.2218509465456009,2e-05,,,,,,,,,,,
95,0.798,0.0504,0.21521280705928802,2e-05,,,,,,,,,,,
100,0.84,0.0475,0.2587767243385315,2e-05,,,,,,,,,,,
105,0.882,0.045,0.25313273072242737,2e-05,,,,,,,,,,,
110,0.924,0.0451,0.3526894748210907,2e-05,,,,,,,,,,,
115,0.966,0.0402,0.21169552206993103,2e-05,,,,,,,,,,,
119,1.0,,,,0.6353711789892579,0.6353711789892579,162.0978,21.419,0.111,,,,,,
120,1.008,0.0388,0.19674766063690186,2e-05,,,,,,,,,,,
125,1.05,0.0335,0.1783088892698288,2e-05,,,,,,,,,,,
130,1.092,0.0349,0.1994789093732834,2e-05,,,,,,,,,,,
135,1.134,0.031,0.23887449502944946,2e-05,,,,,,,,,,,
140,1.176,0.034,0.2247341126203537,2e-05,,,,,,,,,,,
145,1.218,0.033,0.24133102595806122,2e-05,,,,,,,,,,,
150,1.261,0.0322,0.2019323855638504,2e-05,,,,,,,,,,,
155,1.303,0.0274,0.2012925148010254,2e-05,,,,,,,,,,,
160,1.345,0.0274,0.1777830719947815,2e-05,,,,,,,,,,,
165,1.387,0.0241,0.19074353575706482,2e-05,,,,,,,,,,,
170,1.429,0.0247,0.2562653124332428,2e-05,,,,,,,,,,,
175,1.471,0.0244,0.16103142499923706,2e-05,,,,,,,,,,,
178,1.496,,,,0.6386192016760114,0.6386192016760114,161.4895,21.5,0.111,,,,,,
180,1.513,0.0245,0.17393505573272705,2e-05,,,,,,,,,,,
185,1.555,0.0214,0.15505968034267426,2e-05,,,,,,,,,,,
190,1.597,0.0198,0.1975788176059723,2e-05,,,,,,,,,,,
195,1.639,0.0227,0.19960738718509674,2e-05,,,,,,,,,,,
200,1.681,0.0193,0.1705384999513626,2e-05,,,,,,,,,,,
205,1.723,0.0176,0.13352344930171967,2e-05,,,,,,,,,,,
210,1.765,0.0177,0.17602238059043884,2e-05,,,,,,,,,,,
215,1.807,0.0198,0.18104706704616547,2e-05,,,,,,,,,,,
220,1.849,0.0155,0.13019879162311554,2e-05,,,,,,,,,,,
225,1.891,0.0152,0.18981388211250305,2e-05,,,,,,,,,,,
230,1.933,0.018,0.12173566222190857,2e-05,,,,,,,,,,,
235,1.975,0.0169,0.2577548921108246,2e-05,,,,,,,,,,,
238,2.0,,,,0.6501614638897429,0.6501614638897429,153.3398,22.643,0.117,,,,,,
240,2.017,0.0169,0.17721855640411377,2e-05,,,,,,,,,,,
245,2.059,0.0148,0.21369624137878418,2e-05,,,,,,,,,,,
250,2.101,0.0149,0.27826327085494995,2e-05,,,,,,,,,,,
255,2.143,0.0131,0.1372976005077362,2e-05,,,,,,,,,,,
260,2.185,0.0133,0.1490079015493393,2e-05,,,,,,,,,,,
265,2.227,0.0123,0.16569802165031433,2e-05,,,,,,,,,,,
270,2.269,0.0125,0.11397779732942581,2e-05,,,,,,,,,,,
275,2.311,0.0117,0.09222281724214554,2e-05,,,,,,,,,,,
280,2.353,0.0121,0.1528041660785675,2e-05,,,,,,,,,,,
285,2.395,0.0116,0.14538779854774475,2e-05,,,,,,,,,,,
290,2.437,0.0107,0.17991216480731964,2e-05,,,,,,,,,,,
295,2.479,0.0097,0.13282617926597595,2e-05,,,,,,,,,,,
298,2.504,,,,0.6595059075762412,0.6595059075762412,152.4271,22.778,0.118,,,,,,
300,2.521,0.0095,0.13094604015350342,2e-05,,,,,,,,,,,
305,2.563,0.0103,0.16273652017116547,2e-05,,,,,,,,,,,
310,2.605,0.0083,0.14101120829582214,2e-05,,,,,,,,,,,
315,2.647,0.0099,0.17170338332653046,2e-05,,,,,,,,,,,
320,2.689,0.0103,0.22251379489898682,2e-05,,,,,,,,,,,
325,2.731,0.0094,0.10225722193717957,2e-05,,,,,,,,,,,
330,2.773,0.008,0.11248721927404404,2e-05,,,,,,,,,,,
335,2.815,0.0071,0.12164921313524246,2e-05,,,,,,,,,,,
340,2.857,0.0063,0.13809353113174438,2e-05,,,,,,,,,,,
345,2.899,0.0081,0.1440286785364151,2e-05,,,,,,,,,,,
350,2.941,0.0084,0.12591791152954102,2e-05,,,,,,,,,,,
355,2.983,0.0066,0.09618029743432999,2e-05,,,,,,,,,,,
357,3.0,,,,0.6724324323824273,0.6724324323824273,152.9844,22.695,0.118,,,,,,
360,3.025,0.0069,0.12916189432144165,2e-05,,,,,,,,,,,
365,3.067,0.0066,0.13298217952251434,2e-05,,,,,,,,,,,
370,3.109,0.0073,0.09978259354829788,2e-05,,,,,,,,,,,
375,3.151,0.007,0.17965859174728394,2e-05,,,,,,,,,,,
380,3.193,0.0064,0.1123601496219635,2e-05,,,,,,,,,,,
385,3.235,0.0062,0.07607488334178925,2e-05,,,,,,,,,,,
390,3.277,0.007,0.1477716714143753,2e-05,,,,,,,,,,,
395,3.319,0.0062,0.1502571403980255,2e-05,,,,,,,,,,,
400,3.361,0.0062,0.13685406744480133,2e-05,,,,,,,,,,,
405,3.403,0.006,0.11694078892469406,2e-05,,,,,,,,,,,
410,3.445,0.005,0.08231838047504425,2e-05,,,,,,,,,,,
415,3.487,0.0053,0.180220365524292,2e-05,,,,,,,,,,,
416,3.496,,,,0.6709816612229299,0.6709816612229299,151.7869,22.874,0.119,,,,,,
420,3.529,0.0054,0.15283772349357605,2e-05,,,,,,,,,,,
425,3.571,0.0053,0.1010541170835495,2e-05,,,,,,,,,,,
430,3.613,0.0045,0.1329699009656906,2e-05,,,,,,,,,,,
435,3.655,0.0042,0.08317621052265167,2e-05,,,,,,,,,,,
440,3.697,0.0046,0.09994813054800034,2e-05,,,,,,,,,,,
445,3.739,0.0049,0.2150828093290329,2e-05,,,,,,,,,,,
450,3.782,0.0037,0.06697489321231842,2e-05,,,,,,,,,,,
455,3.824,0.0041,0.0926872119307518,2e-05,,,,,,,,,,,
460,3.866,0.0037,0.07925830781459808,2e-05,,,,,,,,,,,
465,3.908,0.0032,0.1531519740819931,2e-05,,,,,,,,,,,
470,3.95,0.0043,0.08662949502468109,2e-05,,,,,,,,,,,
475,3.992,0.0036,0.07799273729324341,2e-05,,,,,,,,,,,
476,4.0,,,,0.6895787139188465,0.6895787139188465,152.0479,22.835,0.118,,,,,,
