step,epoch,loss,grad_norm,learning_rate,eval_crossner_music,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.041,1.0449,5.2921295166015625,7.861760963081327e-06,,,,,,,,,,,
10,0.081,0.9492,3.789466619491577,1.1247637115056958e-05,,,,,,,,,,,
15,0.122,0.6313,2.1092634201049805,1.3228247696048747e-05,,,,,,,,,,,
20,0.163,0.3903,1.175797939300537,1.4633513267032583e-05,,,,,,,,,,,
25,0.203,0.2712,0.7623715996742249,1.5723521926162654e-05,,,,,,,,,,,
30,0.244,0.1981,0.6508661508560181,1.6614123848024376e-05,,,,,,,,,,,
35,0.285,0.1557,0.5226055979728699,1.736711704380757e-05,,,,,,,,,,,
40,0.325,0.1283,0.4257422685623169,1.8019389419008214e-05,,,,,,,,,,,
45,0.366,0.1106,0.4811142683029175,1.8594734429016163e-05,,,,,,,,,,,
50,0.407,0.0867,0.3469013571739197,1.9109398078138283e-05,,,,,,,,,,,
55,0.447,0.0758,0.33008548617362976,1.9574967980015803e-05,,,,,,,,,,,
60,0.488,0.0657,0.3098773956298828,2e-05,,,,,,,,,,,
62,0.504,,,,0.6134699853086286,0.6134699853086286,315.1302,13.271,0.067,,,,,,
65,0.528,0.0632,0.5423892140388489,2e-05,,,,,,,,,,,
70,0.569,0.0555,0.283996045589447,2e-05,,,,,,,,,,,
75,0.61,0.0544,0.31355515122413635,2e-05,,,,,,,,,,,
80,0.65,0.0485,0.2446056753396988,2e-05,,,,,,,,,,,
85,0.691,0.0464,0.22254465520381927,2e-05,,,,,,,,,,,
90,0.732,0.0412,0.18999996781349182,2e-05,,,,,,,,,,,
95,0.772,0.0414,0.27640050649642944,2e-05,,,,,,,,,,,
100,0.813,0.043,0.23318690061569214,2e-05,,,,,,,,,,,
105,0.854,0.0383,0.2270238846540451,2e-05,,,,,,,,,,,
110,0.894,0.035,0.17133836448192596,2e-05,,,,,,,,,,,
115,0.935,0.0307,0.21070915460586548,2e-05,,,,,,,,,,,
120,0.976,0.0345,0.2116624116897583,2e-05,,,,,,,,,,,
123,1.0,,,,0.7097242379760424,0.7097242379760424,250.3781,16.703,0.084,,,,,,
125,1.016,0.0296,0.2353706955909729,2e-05,,,,,,,,,,,
130,1.057,0.0288,0.16305327415466309,2e-05,,,,,,,,,,,
135,1.098,0.0293,0.2410801649093628,2e-05,,,,,,,,,,,
140,1.138,0.0271,0.22468042373657227,2e-05,,,,,,,,,,,
145,1.179,0.0275,0.15900918841362,2e-05,,,,,,,,,,,
150,1.22,0.0254,0.1606825739145279,2e-05,,,,,,,,,,,
155,1.26,0.0259,0.15051227807998657,2e-05,,,,,,,,,,,
160,1.301,0.0247,0.18318864703178406,2e-05,,,,,,,,,,,
165,1.341,0.0232,0.1879977285861969,2e-05,,,,,,,,,,,
170,1.382,0.0207,0.17888879776000977,2e-05,,,,,,,,,,,
175,1.423,0.0223,0.1973060667514801,2e-05,,,,,,,,,,,
180,1.463,0.0215,0.18569816648960114,2e-05,,,,,,,,,,,
184,1.496,,,,0.7496318114373729,0.7496318114373729,228.2681,18.321,0.092,,,,,,
185,1.504,0.0191,0.1427590698003769,2e-05,,,,,,,,,,,
190,1.545,0.0155,0.1339828073978424,2e-05,,,,,,,,,,,
195,1.585,0.0182,0.1793617457151413,2e-05,,,,,,,,,,,
200,1.626,0.0159,0.17700576782226562,2e-05,,,,,,,,,,,
205,1.667,0.019,0.19393695890903473,2e-05,,,,,,,,,,,
210,1.707,0.016,0.15591342747211456,2e-05,,,,,,,,,,,
215,1.748,0.0133,0.15794715285301208,2e-05,,,,,,,,,,,
220,1.789,0.0137,0.1967509537935257,2e-05,,,,,,,,,,,
225,1.829,0.0135,0.16448350250720978,2e-05,,,,,,,,,,,
230,1.87,0.014,0.15259572863578796,2e-05,,,,,,,,,,,
235,1.911,0.0145,0.11091260612010956,2e-05,,,,,,,,,,,
240,1.951,0.014,0.2009619027376175,2e-05,,,,,,,,,,,
245,1.992,0.011,0.12585324048995972,2e-05,,,,,,,,,,,
246,2.0,,,,0.7900146842376998,0.7900146842376998,228.6667,18.289,0.092,,,,,,
250,2.033,0.0126,0.14876627922058105,2e-05,,,,,,,,,,,
255,2.073,0.0113,0.13156521320343018,2e-05,,,,,,,,,,,
260,2.114,0.0098,0.29996731877326965,2e-05,,,,,,,,,,,
265,2.154,0.0112,0.1394975632429123,2e-05,,,,,,,,,,,
270,2.195,0.0104,0.10354645550251007,2e-05,,,,,,,,,,,
275,2.236,0.0107,0.15122243762016296,2e-05,,,,,,,,,,,
280,2.276,0.0105,0.13027305901050568,2e-05,,,,,,,,,,,
285,2.317,0.0098,0.10973028093576431,2e-05,,,,,,,,,,,
290,2.358,0.0097,0.10883785039186478,2e-05,,,,,,,,,,,
295,2.398,0.0096,0.19148142635822296,2e-05,,,,,,,,,,,
300,2.439,0.0083,0.11191630363464355,2e-05,,,,,,,,,,,
305,2.48,0.0088,0.09361935406923294,2e-05,,,,,,,,,,,
308,2.504,,,,0.7807407406906252,0.7807407406906252,227.5305,18.38,0.092,,,,,,
310,2.52,0.01,0.11440471559762955,2e-05,,,,,,,,,,,
315,2.561,0.0101,0.11767826229333878,2e-05,,,,,,,,,,,
320,2.602,0.0064,0.09377308189868927,2e-05,,,,,,,,,,,
325,2.642,0.0082,0.19600452482700348,2e-05,,,,,,,,,,,
330,2.683,0.0077,0.09787643700838089,2e-05,,,,,,,,,,,
335,2.724,0.0056,0.07951202243566513,2e-05,,,,,,,,,,,
340,2.764,0.0064,0.1188189759850502,2e-05,,,,,,,,,,,
345,2.805,0.0058,0.2312709242105484,2e-05,,,,,,,,,,,
350,2.846,0.0066,0.14859068393707275,2e-05,,,,,,,,,,,
355,2.886,0.0046,0.07608595490455627,2e-05,,,,,,,,,,,
360,2.927,0.0064,0.11584591120481491,2e-05,,,,,,,,,,,
365,2.967,0.0062,0.12312812358140945,2e-05,,,,,,,,,,,
