step,epoch,loss,grad_norm,learning_rate,eval_mit-restaurant,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.083,2.766,17.743038177490234,9.559230870669094e-06,,,,,,,,,,,
10,0.167,2.5324,11.9693603515625,1.3676167519877784e-05,,,,,,,,,,,
15,0.25,1.9021,5.685779571533203,1.6084421077509477e-05,,,,,,,,,,,
20,0.333,1.3436,4.506529331207275,1.779310416908647e-05,,,,,,,,,,,
25,0.417,0.9521,2.471039295196533,1.9118461741338187e-05,,,,,,,,,,,
30,0.5,0.693,1.5797364711761475,2e-05,,,,,,,,,,,
30,0.5,,,,0.0,0.0,14.0137,7.136,0.071,,,,,,
35,0.583,0.5436,1.1055667400360107,2e-05,,,,,,,,,,,
40,0.667,0.4064,0.9614560604095459,2e-05,,,,,,,,,,,
45,0.75,0.3353,0.7161650061607361,2e-05,,,,,,,,,,,
50,0.833,0.2828,0.6288090944290161,2e-05,,,,,,,,,,,
55,0.917,0.2465,0.5949540734291077,2e-05,,,,,,,,,,,
60,1.0,0.2222,0.5006918907165527,2e-05,,,,,,,,,,,
60,1.0,,,,0.21917808214279602,0.21917808214279602,9.7528,10.253,0.103,,,,,,
65,1.083,0.1971,0.4414771497249603,2e-05,,,,,,,,,,,
70,1.167,0.1795,0.43887022137641907,2e-05,,,,,,,,,,,
75,1.25,0.1697,0.36427897214889526,2e-05,,,,,,,,,,,
80,1.333,0.1553,0.3758912980556488,2e-05,,,,,,,,,,,
85,1.417,0.1537,0.3021746575832367,2e-05,,,,,,,,,,,
90,1.5,0.1408,0.43132442235946655,2e-05,,,,,,,,,,,
90,1.5,,,,0.3792207791709955,0.3792207791709955,9.757,10.249,0.102,,,,,,
95,1.583,0.1347,0.3493059575557709,2e-05,,,,,,,,,,,
100,1.667,0.1273,0.40424561500549316,2e-05,,,,,,,,,,,
105,1.75,0.1249,0.3364064395427704,2e-05,,,,,,,,,,,
110,1.833,0.1178,0.33847925066947937,2e-05,,,,,,,,,,,
115,1.917,0.1109,0.32902979850769043,2e-05,,,,,,,,,,,
120,2.0,0.1139,0.35518598556518555,2e-05,,,,,,,,,,,
120,2.0,,,,0.5188916876073372,0.5188916876073372,9.7505,10.256,0.103,,,,,,
125,2.083,0.1087,0.269599586725235,2e-05,,,,,,,,,,,
130,2.167,0.1058,0.44737544655799866,2e-05,,,,,,,,,,,
135,2.25,0.1056,0.27988922595977783,2e-05,,,,,,,,,,,
