step,epoch,loss,grad_norm,learning_rate,eval_crossner_politics,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.019,3.0187,25.9387149810791,6.655682788551919e-06,,,,,,,,,,,
10,0.038,3.2875,24.299421310424805,9.522129343553784e-06,,,,,,,,,,,
15,0.057,2.4893,22.259355545043945,1.1198893088551218e-05,,,,,,,,,,,
20,0.076,2.0316,16.543174743652344,1.2388575898555646e-05,,,,,,,,,,,
25,0.095,1.601,13.312000274658203,1.3311365577103839e-05,,,,,,,,,,,
30,0.115,1.465,10.882694244384766,1.4065339643553083e-05,,,,,,,,,,,
35,0.134,1.2146,6.4711456298828125,1.4702815633551465e-05,,,,,,,,,,,
40,0.153,1.1006,7.866702556610107,1.525502245355751e-05,,,,,,,,,,,
45,0.172,0.8615,7.111114978790283,1.5742103388550514e-05,,,,,,,,,,,
50,0.191,0.7929,5.132080554962158,1.6177812132105704e-05,,,,,,,,,,,
55,0.21,0.6708,5.7286248207092285,1.657195863405932e-05,,,,,,,,,,,
60,0.229,0.5837,4.12375020980835,1.6931786198554942e-05,,,,,,,,,,,
65,0.248,0.6127,4.810063362121582,1.726279547060952e-05,,,,,,,,,,,
70,0.267,0.5646,4.742728233337402,1.756926218855333e-05,,,,,,,,,,,
75,0.286,0.6388,4.437986373901367,1.7854575877103134e-05,,,,,,,,,,,
80,0.305,0.5084,4.147296905517578,1.8121469008559374e-05,,,,,,,,,,,
85,0.324,0.4651,3.644864797592163,1.8372176568552083e-05,,,,,,,,,,,
90,0.344,0.4598,2.8574392795562744,1.8608549943552376e-05,,,,,,,,,,,
95,0.363,0.3756,3.1114323139190674,1.8832139975359918e-05,,,,,,,,,,,
100,0.382,0.4953,3.4023208618164062,1.904425868710757e-05,,,,,,,,,,,
105,0.401,0.3868,3.572749614715576,1.924602593355076e-05,,,,,,,,,,,
110,0.42,0.3905,3.399808883666992,1.9438405189061186e-05,,,,,,,,,,,
115,0.439,0.3784,3.123905897140503,1.9622231373829038e-05,,,,,,,,,,,
120,0.458,0.3628,4.0573296546936035,1.9798232753556807e-05,,,,,,,,,,,
125,0.477,0.3406,3.288471221923828,1.996704836565576e-05,,,,,,,,,,,
130,0.496,0.2844,3.249864339828491,2e-05,,,,,,,,,,,
131,0.5,,,,0.31925554755297314,0.31925554755297314,7.2029,612.39,3.193,,,,,,
135,0.515,0.2898,3.350320339202881,2e-05,,,,,,,,,,,
140,0.534,0.2903,3.973264217376709,2e-05,,,,,,,,,,,
145,0.553,0.2633,3.2541725635528564,2e-05,,,,,,,,,,,
150,0.573,0.2905,3.3070037364959717,2e-05,,,,,,,,,,,
155,0.592,0.3534,2.5842700004577637,2e-05,,,,,,,,,,,
160,0.611,0.3122,2.478675127029419,2e-05,,,,,,,,,,,
165,0.63,0.3042,2.3279216289520264,2e-05,,,,,,,,,,,
170,0.649,0.3844,3.659406900405884,2e-05,,,,,,,,,,,
175,0.668,0.2664,3.193203926086426,2e-05,,,,,,,,,,,
180,0.687,0.2532,3.3905539512634277,2e-05,,,,,,,,,,,
185,0.706,0.2773,4.533707618713379,2e-05,,,,,,,,,,,
190,0.725,0.2755,4.2066144943237305,2e-05,,,,,,,,,,,
195,0.744,0.2379,3.6418795585632324,2e-05,,,,,,,,,,,
200,0.763,0.2668,3.601591110229492,2e-05,,,,,,,,,,,
205,0.782,0.2662,4.704037189483643,2e-05,,,,,,,,,,,
210,0.802,0.2854,4.497993469238281,2e-05,,,,,,,,,,,
215,0.821,0.2752,2.753164529800415,2e-05,,,,,,,,,,,
220,0.84,0.2378,3.3204503059387207,2e-05,,,,,,,,,,,
225,0.859,0.289,4.454944133758545,2e-05,,,,,,,,,,,
230,0.878,0.2708,2.438286542892456,2e-05,,,,,,,,,,,
235,0.897,0.2366,4.439267635345459,2e-05,,,,,,,,,,,
240,0.916,0.2335,3.6489365100860596,2e-05,,,,,,,,,,,
245,0.935,0.2636,2.646148204803467,2e-05,,,,,,,,,,,
250,0.954,0.1952,2.390676736831665,2e-05,,,,,,,,,,,
255,0.973,0.2492,2.787088394165039,2e-05,,,,,,,,,,,
260,0.992,0.2511,2.883725166320801,2e-05,,,,,,,,,,,
262,1.0,,,,0.24938875300978805,0.24938875300978805,19.6808,224.127,1.169,,,,,,
265,1.011,0.264,3.083268404006958,2e-05,,,,,,,,,,,
270,1.031,0.2397,4.150279998779297,2e-05,,,,,,,,,,,
275,1.05,0.218,1.9893332719802856,2e-05,,,,,,,,,,,
280,1.069,0.1889,2.2423503398895264,2e-05,,,,,,,,,,,
285,1.088,0.2481,2.6784942150115967,2e-05,,,,,,,,,,,
290,1.107,0.256,3.6205976009368896,2e-05,,,,,,,,,,,
295,1.126,0.2369,2.5443649291992188,2e-05,,,,,,,,,,,
300,1.145,0.2614,3.788208246231079,2e-05,,,,,,,,,,,
305,1.164,0.1911,2.964785099029541,2e-05,,,,,,,,,,,
310,1.183,0.1942,1.8750765323638916,2e-05,,,,,,,,,,,
315,1.202,0.2605,2.717228412628174,2e-05,,,,,,,,,,,
320,1.221,0.1894,2.283292293548584,2e-05,,,,,,,,,,,
325,1.24,0.2144,2.5911619663238525,2e-05,,,,,,,,,,,
330,1.26,0.1408,1.9642953872680664,2e-05,,,,,,,,,,,
335,1.279,0.2005,2.406893253326416,2e-05,,,,,,,,,,,
340,1.298,0.2045,1.7259740829467773,2e-05,,,,,,,,,,,
345,1.317,0.2298,2.542414426803589,2e-05,,,,,,,,,,,
350,1.336,0.1994,2.3100032806396484,2e-05,,,,,,,,,,,
355,1.355,0.2119,2.5851190090179443,2e-05,,,,,,,,,,,
360,1.374,0.1984,2.7978739738464355,2e-05,,,,,,,,,,,
365,1.393,0.1731,2.2144174575805664,2e-05,,,,,,,,,,,
