step,epoch,loss,grad_norm,learning_rate,eval_mit-movie,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.006,4.8369,34.297054290771484,5.43584091395317e-06,,,,,,,,,,,
10,0.013,4.7078,28.091169357299805,7.77693016900905e-06,,,,,,,,,,,
15,0.019,4.283,19.86941146850586,9.146379594057966e-06,,,,,,,,,,,
20,0.026,3.7064,15.502975463867188,1.0118019424064926e-05,,,,,,,,,,,
25,0.032,2.9785,9.031905174255371,1.087168182790634e-05,,,,,,,,,,,
30,0.039,2.6869,7.927265644073486,1.1487468849113843e-05,,,,,,,,,,,
35,0.045,2.108,6.122568130493164,1.200810935711046e-05,,,,,,,,,,,
40,0.051,1.7393,5.639077186584473,1.2459108679120806e-05,,,,,,,,,,,
45,0.058,1.3647,6.952420234680176,1.2856918274162757e-05,,,,,,,,,,,
50,0.064,0.9498,6.166777610778809,1.3212771082962219e-05,,,,,,,,,,,
55,0.071,0.7418,4.361767292022705,1.3534679104945514e-05,,,,,,,,,,,
60,0.077,0.6071,3.1236138343811035,1.382855810416972e-05,,,,,,,,,,,
65,0.084,0.5402,2.253865957260132,1.4098900577075285e-05,,,,,,,,,,,
70,0.09,0.46,1.968275785446167,1.4349198612166341e-05,,,,,,,,,,,
75,0.097,0.4444,1.7070951461791992,1.4582220508011133e-05,,,,,,,,,,,
80,0.103,0.4328,1.8672027587890625,1.4800197934176684e-05,,,,,,,,,,,
85,0.109,0.3863,2.16957688331604,1.5004956252044514e-05,,,,,,,,,,,
90,0.116,0.3501,1.7008211612701416,1.5198007529218637e-05,,,,,,,,,,,
95,0.122,0.3249,1.1764678955078125,1.5380618371932186e-05,,,,,,,,,,,
100,0.129,0.3203,1.1579339504241943,1.55538603380181e-05,,,,,,,,,,,
105,0.135,0.314,1.2633110284805298,1.5718648037215253e-05,,,,,,,,,,,
110,0.142,0.2769,1.2299869060516357,1.5875768360001393e-05,,,,,,,,,,,
115,0.148,0.2638,1.1934267282485962,1.6025903203857795e-05,,,,,,,,,,,
120,0.154,0.2634,1.029901146888733,1.61696473592256e-05,,,,,,,,,,,
125,0.161,0.2614,1.167033314704895,1.6307522741859515e-05,,,,,,,,,,,
130,0.167,0.2416,0.9698778986930847,1.6439989832131163e-05,,,,,,,,,,,
135,0.174,0.2356,1.114336609840393,1.6567456954267552e-05,,,,,,,,,,,
140,0.18,0.2266,0.909207820892334,1.6690287867222218e-05,,,,,,,,,,,
145,0.187,0.2165,0.8627604246139526,1.6808808022911993e-05,,,,,,,,,,,
150,0.193,0.1922,0.8296928405761719,1.6923309763067014e-05,,,,,,,,,,,
155,0.199,0.2048,0.8892223238945007,1.7034056663637364e-05,,,,,,,,,,,
160,0.206,0.2145,0.8446216583251953,1.7141287189232564e-05,,,,,,,,,,,
165,0.212,0.1998,0.8907635807991028,1.7245217785050307e-05,,,,,,,,,,,
170,0.219,0.1935,0.8490861654281616,1.7346045507100393e-05,,,,,,,,,,,
175,0.225,0.1849,1.1096299886703491,1.7443950271063636e-05,,,,,,,,,,,
180,0.232,0.194,1.067461371421814,1.7539096784274516e-05,,,,,,,,,,,
185,0.238,0.1847,0.938833475112915,1.7631636212941787e-05,,,,,,,,,,,
190,0.245,0.1755,0.9454424977302551,1.7721707626988064e-05,,,,,,,,,,,
195,0.251,0.1683,0.6483368873596191,1.780943925718008e-05,,,,,,,,,,,
200,0.257,0.1538,1.0671199560165405,1.7894949593073975e-05,,,,,,,,,,,
205,0.264,0.1799,0.7621769309043884,1.797834834536765e-05,,,,,,,,,,,
210,0.27,0.1633,0.7561573386192322,1.8059737292271135e-05,,,,,,,,,,,
215,0.277,0.1387,0.6993095874786377,1.8139211026274675e-05,,,,,,,,,,,
220,0.283,0.159,0.7812310457229614,1.821685761505727e-05,,,,,,,,,,,
225,0.29,0.1414,0.782015323638916,1.829275918811593e-05,,,,,,,,,,,
230,0.296,0.1456,1.154581904411316,1.8366992458913676e-05,,,,,,,,,,,
235,0.302,0.1483,0.7130274176597595,1.843962919086886e-05,,,,,,,,,,,
240,0.309,0.1438,0.6206069588661194,1.851073661428148e-05,,,,,,,,,,,
245,0.315,0.1387,0.8729945421218872,1.8580377800267753e-05,,,,,,,,,,,
250,0.322,0.1459,0.6836855411529541,1.864861199691539e-05,,,,,,,,,,,
255,0.328,0.1279,0.7767876386642456,1.8715494932149304e-05,,,,,,,,,,,
260,0.335,0.1498,0.6468207836151123,1.878107908718704e-05,,,,,,,,,,,
265,0.341,0.1406,0.6471706628799438,1.884541394394586e-05,,,,,,,,,,,
270,0.347,0.1336,0.6712052226066589,1.8908546209323433e-05,,,,,,,,,,,
275,0.354,0.1466,0.7828805446624756,1.8970520018898686e-05,,,,,,,,,,,
280,0.36,0.1231,0.771081268787384,1.9031377122278096e-05,,,,,,,,,,,
285,0.367,0.1303,0.5685356855392456,1.9091157052036978e-05,,,,,,,,,,,
290,0.373,0.1317,0.5436683297157288,1.914989727796787e-05,,,,,,,,,,,
295,0.38,0.1241,0.7541230320930481,1.9207633348143327e-05,,,,,,,,,,,
