step,epoch,loss,grad_norm,learning_rate,eval_crossner_literature,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.042,2.4398,16.709545135498047,7.927400573059717e-06,,,,,,,,,,,
10,0.084,2.2758,12.89710521697998,1.1341546166334124e-05,,,,,,,,,,,
15,0.126,1.7965,9.085271835327148,1.3338693310402031e-05,,,,,,,,,,,
20,0.168,1.1729,5.128995418548584,1.4755691759608524e-05,,,,,,,,,,,
25,0.21,0.8764,3.0782535076141357,1.5854801146119433e-05,,,,,,,,,,,
30,0.252,0.5794,2.0560991764068604,1.6752838903676433e-05,,,,,,,,,,,
35,0.294,0.4411,1.3674993515014648,1.751211900895989e-05,,,,,,,,,,,
40,0.336,0.3185,1.0522236824035645,1.8169837352882926e-05,,,,,,,,,,,
45,0.378,0.2541,0.9842140078544617,1.8749986047744344e-05,,,,,,,,,,,
50,0.42,0.1908,0.8819039463996887,1.926894673939384e-05,,,,,,,,,,,
55,0.462,0.1542,0.8531466722488403,1.9738403789064383e-05,,,,,,,,,,,
60,0.504,0.1371,0.6348081231117249,2e-05,,,,,,,,,,,
60,0.504,,,,0.0,0.0,65.0382,53.384,0.277,,,,,,
65,0.546,0.1134,0.44480136036872864,2e-05,,,,,,,,,,,
70,0.588,0.1049,0.5492057204246521,2e-05,,,,,,,,,,,
75,0.63,0.0933,0.3877725303173065,2e-05,,,,,,,,,,,
80,0.672,0.0915,0.4390600621700287,2e-05,,,,,,,,,,,
85,0.714,0.09,0.3858659863471985,2e-05,,,,,,,,,,,
90,0.756,0.0795,0.31502294540405273,2e-05,,,,,,,,,,,
95,0.798,0.0801,0.33825936913490295,2e-05,,,,,,,,,,,
100,0.84,0.0759,0.35747280716896057,2e-05,,,,,,,,,,,
105,0.882,0.074,0.431647390127182,2e-05,,,,,,,,,,,
110,0.924,0.0779,0.44848641753196716,2e-05,,,,,,,,,,,
115,0.966,0.0717,0.2617495357990265,2e-05,,,,,,,,,,,
119,1.0,,,,0.0,0.0,64.4736,53.852,0.279,,,,,,
120,1.008,0.0675,0.43259578943252563,2e-05,,,,,,,,,,,
125,1.05,0.0638,0.24377194046974182,2e-05,,,,,,,,,,,
130,1.092,0.0664,0.2643577754497528,2e-05,,,,,,,,,,,
135,1.134,0.0649,0.3865794837474823,2e-05,,,,,,,,,,,
140,1.176,0.0633,0.44935664534568787,2e-05,,,,,,,,,,,
145,1.218,0.0582,0.3648473024368286,2e-05,,,,,,,,,,,
150,1.261,0.0659,0.2241445779800415,2e-05,,,,,,,,,,,
155,1.303,0.0601,0.2613075077533722,2e-05,,,,,,,,,,,
160,1.345,0.0587,0.27022379636764526,2e-05,,,,,,,,,,,
165,1.387,0.0548,0.30752846598625183,2e-05,,,,,,,,,,,
170,1.429,0.0565,0.2761959433555603,2e-05,,,,,,,,,,,
175,1.471,0.0554,0.27549102902412415,2e-05,,,,,,,,,,,
178,1.496,,,,0.0,0.0,63.9828,54.265,0.281,,,,,,
180,1.513,0.0545,0.1693165898323059,2e-05,,,,,,,,,,,
185,1.555,0.0537,0.30413854122161865,2e-05,,,,,,,,,,,
190,1.597,0.0526,0.29401007294654846,2e-05,,,,,,,,,,,
195,1.639,0.0514,0.2642258107662201,2e-05,,,,,,,,,,,
200,1.681,0.0467,0.2801266610622406,2e-05,,,,,,,,,,,
205,1.723,0.0495,0.3210860788822174,2e-05,,,,,,,,,,,
210,1.765,0.0509,0.27607107162475586,2e-05,,,,,,,,,,,
215,1.807,0.0486,0.23967112600803375,2e-05,,,,,,,,,,,
220,1.849,0.0459,0.182449072599411,2e-05,,,,,,,,,,,
225,1.891,0.0447,0.21048110723495483,2e-05,,,,,,,,,,,
230,1.933,0.0448,0.24975065886974335,2e-05,,,,,,,,,,,
235,1.975,0.0412,0.4968293011188507,2e-05,,,,,,,,,,,
238,2.0,,,,0.0,0.0,64.8993,53.498,0.277,,,,,,
240,2.017,0.0447,0.291973739862442,2e-05,,,,,,,,,,,
245,2.059,0.0416,0.3359481990337372,2e-05,,,,,,,,,,,
250,2.101,0.0381,0.31217506527900696,2e-05,,,,,,,,,,,
255,2.143,0.0351,0.24622365832328796,2e-05,,,,,,,,,,,
260,2.185,0.0351,0.27238595485687256,2e-05,,,,,,,,,,,
265,2.227,0.0344,0.3173001706600189,2e-05,,,,,,,,,,,
270,2.269,0.0302,0.23246128857135773,2e-05,,,,,,,,,,,
275,2.311,0.0345,0.21613052487373352,2e-05,,,,,,,,,,,
280,2.353,0.0348,0.5058408975601196,2e-05,,,,,,,,,,,
285,2.395,0.0329,0.3947196304798126,2e-05,,,,,,,,,,,
290,2.437,0.0319,0.2759196162223816,2e-05,,,,,,,,,,,
295,2.479,0.0319,0.31314894556999207,2e-05,,,,,,,,,,,
298,2.504,,,,0.03971119130261701,0.03971119130261701,72.5256,47.873,0.248,,,,,,
300,2.521,0.0277,0.23813499510288239,2e-05,,,,,,,,,,,
305,2.563,0.0296,0.19094961881637573,2e-05,,,,,,,,,,,
