step,epoch,loss,grad_norm,learning_rate,eval_mit-restaurant,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.009,2.7787,15.648768424987793,5.768873987190341e-06,,,,,,,,,,,
10,0.018,2.6303,12.74195384979248,8.253392779952611e-06,,,,,,,,,,,
15,0.027,1.9042,6.280756950378418,9.706743106055534e-06,,,,,,,,,,,
20,0.036,1.3095,3.2432162761688232,1.0737911572714876e-05,,,,,,,,,,,
25,0.045,0.8438,2.5373716354370117,1.1537747974380681e-05,,,,,,,,,,,
30,0.054,0.6342,1.9978313446044922,1.21912618988178e-05,,,,,,,,,,,
35,0.064,0.3833,1.2197433710098267,1.2743800048996109e-05,,,,,,,,,,,
40,0.073,0.2778,0.6838428974151611,1.3222430365477144e-05,,,,,,,,,,,
45,0.082,0.2142,0.6985822319984436,1.3644612224920727e-05,,,,,,,,,,,
50,0.091,0.18,0.609449028968811,1.4022266767142951e-05,,,,,,,,,,,
55,0.1,0.1453,0.3472742736339569,1.4363896855970699e-05,,,,,,,,,,,
60,0.109,0.1232,0.4678206145763397,1.4675780691580068e-05,,,,,,,,,,,
65,0.118,0.1034,0.39781641960144043,1.4962686008395792e-05,,,,,,,,,,,
70,0.127,0.0826,0.34951353073120117,1.522831884175838e-05,,,,,,,,,,,
75,0.136,0.0763,0.32748496532440186,1.5475617093245874e-05,,,,,,,,,,,
80,0.145,0.0613,0.25487691164016724,1.570694915823941e-05,,,,,,,,,,,
85,0.154,0.0592,0.37322303652763367,1.5924252230994265e-05,,,,,,,,,,,
90,0.163,0.0619,0.2897062599658966,1.6129131017682994e-05,,,,,,,,,,,
95,0.172,0.0526,0.25426265597343445,1.6322929724632822e-05,,,,,,,,,,,
100,0.181,0.0547,0.23293225467205048,1.6506785559905222e-05,,,,,,,,,,,
105,0.191,0.0503,0.26658502221107483,1.66816691678613e-05,,,,,,,,,,,
110,0.2,0.0501,0.3481764495372772,1.6848415648732967e-05,,,,,,,,,,,
115,0.209,0.046,0.22783592343330383,1.7007748677238435e-05,,,,,,,,,,,
120,0.218,0.0473,0.1939135044813156,1.7160299484342336e-05,,,,,,,,,,,
125,0.227,0.0429,0.22922001779079437,1.7306621961571025e-05,,,,,,,,,,,
130,0.236,0.0417,0.3424142301082611,1.7447204801158062e-05,,,,,,,,,,,
135,0.245,0.0433,0.18153274059295654,1.7582481343785917e-05,,,,,,,,,,,
140,0.254,0.0389,0.22896432876586914,1.7712837634520643e-05,,,,,,,,,,,
145,0.263,0.038,0.1869492083787918,1.7838619064466737e-05,,,,,,,,,,,
150,0.272,0.0414,0.23366999626159668,1.7960135886008142e-05,,,,,,,,,,,
155,0.281,0.0365,0.17116597294807434,1.8077667823380024e-05,,,,,,,,,,,
160,0.29,0.037,0.2252064347267151,1.819146795100168e-05,,,,,,,,,,,
165,0.299,0.0342,0.15708105266094208,1.8301765974835886e-05,,,,,,,,,,,
170,0.309,0.0314,0.152967631816864,1.8408771023756533e-05,,,,,,,,,,,
175,0.318,0.0364,0.17868077754974365,1.8512674036186452e-05,,,,,,,,,,,
180,0.327,0.0303,0.18717406690120697,1.861364981044526e-05,,,,,,,,,,,
185,0.336,0.0298,0.13559997081756592,1.871185877411411e-05,,,,,,,,,,,
190,0.345,0.0299,0.15663564205169678,1.8807448517395087e-05,,,,,,,,,,,
195,0.354,0.0307,0.21869412064552307,1.8900555127260988e-05,,,,,,,,,,,
200,0.363,0.0299,0.14251182973384857,1.8991304352667487e-05,,,,,,,,,,,
205,0.372,0.0282,0.15448230504989624,1.907981262586513e-05,,,,,,,,,,,
210,0.381,0.0281,0.23063699901103973,1.916618796062357e-05,,,,,,,,,,,
215,0.39,0.0273,0.17426444590091705,1.925053074475124e-05,,,,,,,,,,,
220,0.399,0.0258,0.16809993982315063,1.9332934441495235e-05,,,,,,,,,,,
225,0.408,0.0282,0.17153483629226685,1.9413486212111068e-05,,,,,,,,,,,
230,0.417,0.0288,0.18528784811496735,1.9492267470000703e-05,,,,,,,,,,,
235,0.426,0.025,0.1193639412522316,1.956935437525122e-05,,,,,,,,,,,
240,0.436,0.0257,0.202162504196167,1.9644818277104604e-05,,,,,,,,,,,
245,0.445,0.0266,0.1766325980424881,1.971872611080188e-05,,,,,,,,,,,
250,0.454,0.0264,0.21661865711212158,1.9791140754333293e-05,,,,,,,,,,,
255,0.463,0.0243,0.24623103439807892,1.9862121349859452e-05,,,,,,,,,,,
260,0.472,0.0274,0.16047735512256622,1.993172359392033e-05,,,,,,,,,,,
265,0.481,0.0241,0.14850132167339325,1.9999999999999998e-05,,,,,,,,,,,
270,0.49,0.0257,0.16925622522830963,2e-05,,,,,,,,,,,
275,0.499,0.0248,0.11587802320718765,2e-05,,,,,,,,,,,
276,0.501,,,,0.4944812361531376,0.4944812361531376,9.8142,96.289,0.509,,,,,,
280,0.508,0.0249,0.1859717220067978,2e-05,,,,,,,,,,,
285,0.517,0.025,0.1808919608592987,2e-05,,,,,,,,,,,
290,0.526,0.0243,0.11421087384223938,2e-05,,,,,,,,,,,
295,0.535,0.0268,0.11447583138942719,2e-05,,,,,,,,,,,
300,0.544,0.0256,0.13542751967906952,2e-05,,,,,,,,,,,
305,0.554,0.0233,0.2422041893005371,2e-05,,,,,,,,,,,
310,0.563,0.0272,0.17712272703647614,2e-05,,,,,,,,,,,
315,0.572,0.0212,0.18305069208145142,2e-05,,,,,,,,,,,
320,0.581,0.0225,0.10826801508665085,2e-05,,,,,,,,,,,
325,0.59,0.0193,0.1309310644865036,2e-05,,,,,,,,,,,
330,0.599,0.0228,0.14304304122924805,2e-05,,,,,,,,,,,
335,0.608,0.0213,0.2435070276260376,2e-05,,,,,,,,,,,
340,0.617,0.0226,0.168768972158432,2e-05,,,,,,,,,,,
345,0.626,0.0201,0.13995349407196045,2e-05,,,,,,,,,,,
350,0.635,0.0197,0.1609707623720169,2e-05,,,,,,,,,,,
355,0.644,0.0221,0.12168660014867783,2e-05,,,,,,,,,,,
360,0.653,0.022,0.17487835884094238,2e-05,,,,,,,,,,,
365,0.662,0.02,0.09099509567022324,2e-05,,,,,,,,,,,
370,0.672,0.0198,0.15402068197727203,2e-05,,,,,,,,,,,
375,0.681,0.0205,0.13476797938346863,2e-05,,,,,,,,,,,
380,0.69,0.0188,0.09321500360965729,2e-05,,,,,,,,,,,
385,0.699,0.0211,0.2240196019411087,2e-05,,,,,,,,,,,
390,0.708,0.0173,0.12196429073810577,2e-05,,,,,,,,,,,
395,0.717,0.0243,0.11168049275875092,2e-05,,,,,,,,,,,
400,0.726,0.0196,0.10571715235710144,2e-05,,,,,,,,,,,
405,0.735,0.0178,0.12340160459280014,2e-05,,,,,,,,,,,
410,0.744,0.0168,0.1896914541721344,2e-05,,,,,,,,,,,
415,0.753,0.0207,0.14922474324703217,2e-05,,,,,,,,,,,
420,0.762,0.0187,0.12277939170598984,2e-05,,,,,,,,,,,
425,0.771,0.0198,0.15483273565769196,2e-05,,,,,,,,,,,
430,0.78,0.0177,0.11201553046703339,2e-05,,,,,,,,,,,
435,0.789,0.0182,0.10821768641471863,2e-05,,,,,,,,,,,
440,0.799,0.0203,0.10054077953100204,2e-05,,,,,,,,,,,
