step,epoch,loss,grad_norm,learning_rate,eval_crossner_ai,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.042,2.6227,14.181371688842773,7.927400573059717e-06,,,,,,,,,,,
10,0.084,2.4312,12.308032035827637,1.1341546166334124e-05,,,,,,,,,,,
15,0.126,1.9941,8.787044525146484,1.3338693310402031e-05,,,,,,,,,,,
20,0.168,1.441,5.191939830780029,1.4755691759608524e-05,,,,,,,,,,,
25,0.21,1.0779,3.455479145050049,1.5854801146119433e-05,,,,,,,,,,,
30,0.252,0.8363,2.3590242862701416,1.6752838903676433e-05,,,,,,,,,,,
35,0.294,0.6412,1.549174189567566,1.751211900895989e-05,,,,,,,,,,,
40,0.336,0.4829,1.2050467729568481,1.8169837352882926e-05,,,,,,,,,,,
45,0.378,0.3754,1.0129098892211914,1.8749986047744344e-05,,,,,,,,,,,
50,0.42,0.2929,0.8655379414558411,1.926894673939384e-05,,,,,,,,,,,
55,0.462,0.2493,0.800326943397522,1.9738403789064383e-05,,,,,,,,,,,
60,0.504,0.2061,0.7522040009498596,2e-05,,,,,,,,,,,
60,0.504,,,,0.0,0.0,61.2784,52.906,0.277,,,,,,
65,0.546,0.191,0.5696509480476379,2e-05,,,,,,,,,,,
70,0.588,0.1789,0.7562574744224548,2e-05,,,,,,,,,,,
75,0.63,0.1518,0.6169790029525757,2e-05,,,,,,,,,,,
80,0.672,0.1545,0.4204236567020416,2e-05,,,,,,,,,,,
85,0.714,0.1346,0.46005067229270935,2e-05,,,,,,,,,,,
90,0.756,0.1367,0.4620262384414673,2e-05,,,,,,,,,,,
95,0.798,0.1275,0.3765859603881836,2e-05,,,,,,,,,,,
100,0.84,0.1247,0.43357446789741516,2e-05,,,,,,,,,,,
105,0.882,0.1187,0.5626350045204163,2e-05,,,,,,,,,,,
110,0.924,0.1167,0.42938435077667236,2e-05,,,,,,,,,,,
115,0.966,0.1128,0.415934681892395,2e-05,,,,,,,,,,,
119,1.0,,,,0.0,0.0,59.9675,54.063,0.283,,,,,,
120,1.008,0.1121,0.5324059128761292,2e-05,,,,,,,,,,,
125,1.05,0.1081,0.320069819688797,2e-05,,,,,,,,,,,
130,1.092,0.1063,0.3118356764316559,2e-05,,,,,,,,,,,
135,1.134,0.1083,0.2842644155025482,2e-05,,,,,,,,,,,
140,1.176,0.1035,0.48576661944389343,2e-05,,,,,,,,,,,
145,1.218,0.0942,0.3104383647441864,2e-05,,,,,,,,,,,
150,1.261,0.0922,0.291032612323761,2e-05,,,,,,,,,,,
155,1.303,0.0936,0.4823271334171295,2e-05,,,,,,,,,,,
