step,epoch,loss,grad_norm,learning_rate,eval_crossner_literature,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.042,2.493,16.515419006347656,7.927400573059717e-06,,,,,,,,,,,
10,0.084,2.332,11.796650886535645,1.1341546166334124e-05,,,,,,,,,,,
15,0.126,1.873,8.557631492614746,1.3338693310402031e-05,,,,,,,,,,,
20,0.168,1.307,4.95437479019165,1.4755691759608524e-05,,,,,,,,,,,
25,0.21,1.0078,3.4090354442596436,1.5854801146119433e-05,,,,,,,,,,,
30,0.252,0.6895,2.147428512573242,1.6752838903676433e-05,,,,,,,,,,,
35,0.294,0.561,1.6180471181869507,1.751211900895989e-05,,,,,,,,,,,
40,0.336,0.4268,1.1453216075897217,1.8169837352882926e-05,,,,,,,,,,,
45,0.378,0.3444,1.0580246448516846,1.8749986047744344e-05,,,,,,,,,,,
50,0.42,0.2822,0.9128791689872742,1.926894673939384e-05,,,,,,,,,,,
55,0.462,0.2351,0.9255507588386536,1.9738403789064383e-05,,,,,,,,,,,
60,0.504,0.1938,0.634046196937561,2e-05,,,,,,,,,,,
60,0.504,,,,0.0,0.0,65.8365,52.737,0.273,,,,,,
65,0.546,0.1794,0.5881624221801758,2e-05,,,,,,,,,,,
70,0.588,0.1595,0.5429961085319519,2e-05,,,,,,,,,,,
75,0.63,0.1467,0.43009820580482483,2e-05,,,,,,,,,,,
80,0.672,0.1419,0.48326414823532104,2e-05,,,,,,,,,,,
85,0.714,0.1349,0.40240195393562317,2e-05,,,,,,,,,,,
90,0.756,0.1278,0.40673884749412537,2e-05,,,,,,,,,,,
95,0.798,0.1231,0.6243070363998413,2e-05,,,,,,,,,,,
100,0.84,0.1216,0.43836116790771484,2e-05,,,,,,,,,,,
105,0.882,0.1116,0.4582487940788269,2e-05,,,,,,,,,,,
110,0.924,0.1153,0.48634153604507446,2e-05,,,,,,,,,,,
115,0.966,0.1089,0.32654765248298645,2e-05,,,,,,,,,,,
