step,epoch,loss,grad_norm,learning_rate,eval_crossner_science,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.023,2.4602,14.547404289245605,6.8884950399405484e-06,,,,,,,,,,,
10,0.045,2.2578,11.370488166809082,9.855208374047785e-06,,,,,,,,,,,
15,0.068,1.9172,8.865641593933105,1.159062442488995e-05,,,,,,,,,,,
20,0.09,1.4629,5.063190937042236,1.2821921708155018e-05,,,,,,,,,,,
25,0.113,1.0898,4.199252605438232,1.3776990079881097e-05,,,,,,,,,,,
30,0.135,0.8146,2.4510622024536133,1.4557337758997188e-05,,,,,,,,,,,
35,0.158,0.6584,1.9391695261001587,1.521711232078042e-05,,,,,,,,,,,
40,0.18,0.5136,1.510084867477417,1.5788635042262254e-05,,,,,,,,,,,
45,0.203,0.4257,1.0245206356048584,1.6292753809839353e-05,,,,,,,,,,,
50,0.225,0.3431,0.964664876461029,1.6743703413988334e-05,,,,,,,,,,,
55,0.248,0.2718,0.8378249406814575,1.7151636951383997e-05,,,,,,,,,,,
60,0.27,0.2483,0.8896859288215637,1.752405109310442e-05,,,,,,,,,,,
65,0.293,0.2084,0.7194106578826904,1.7866638893809745e-05,,,,,,,,,,,
70,0.315,0.1823,0.550400972366333,1.818382565488766e-05,,,,,,,,,,,
75,0.338,0.1663,0.5198255181312561,1.8479119464830498e-05,,,,,,,,,,,
80,0.36,0.1626,0.5249704122543335,1.875534837636949e-05,,,,,,,,,,,
85,0.383,0.1543,0.5212683081626892,1.9014825553745778e-05,,,,,,,,,,,
90,0.405,0.1386,0.46736475825309753,1.9259467143946592e-05,,,,,,,,,,,
95,0.428,0.1299,0.39218756556510925,1.9490878236394627e-05,,,,,,,,,,,
100,0.45,0.135,0.4151640832424164,1.971041674809557e-05,,,,,,,,,,,
105,0.473,0.1329,0.43877866864204407,1.9919241705729823e-05,,,,,,,,,,,
110,0.495,0.1251,0.5353814959526062,2e-05,,,,,,,,,,,
111,0.5,,,,0.0,0.0,59.4449,54.891,0.286,,,,,,
115,0.518,0.1182,0.4417005181312561,2e-05,,,,,,,,,,,
120,0.541,0.1177,0.40431249141693115,2e-05,,,,,,,,,,,
125,0.563,0.1177,0.4332626163959503,2e-05,,,,,,,,,,,
130,0.586,0.1116,0.45878317952156067,2e-05,,,,,,,,,,,
135,0.608,0.1096,0.4196585714817047,2e-05,,,,,,,,,,,
140,0.631,0.1095,0.4631845951080322,2e-05,,,,,,,,,,,
145,0.653,0.0965,0.3772312104701996,2e-05,,,,,,,,,,,
150,0.676,0.1013,0.37647372484207153,2e-05,,,,,,,,,,,
155,0.698,0.1011,0.36381375789642334,2e-05,,,,,,,,,,,
160,0.721,0.0938,0.3168136477470398,2e-05,,,,,,,,,,,
165,0.743,0.0917,0.40062215924263,2e-05,,,,,,,,,,,
170,0.766,0.0891,0.3021091818809509,2e-05,,,,,,,,,,,
175,0.788,0.0894,0.41589707136154175,2e-05,,,,,,,,,,,
180,0.811,0.0867,0.38539761304855347,2e-05,,,,,,,,,,,
185,0.833,0.0869,0.33105143904685974,2e-05,,,,,,,,,,,
190,0.856,0.0887,0.3289933502674103,2e-05,,,,,,,,,,,
195,0.878,0.0822,0.4235875606536865,2e-05,,,,,,,,,,,
200,0.901,0.0814,0.35152193903923035,2e-05,,,,,,,,,,,
205,0.923,0.0783,0.3419867753982544,2e-05,,,,,,,,,,,
210,0.946,0.0792,0.26814037561416626,2e-05,,,,,,,,,,,
215,0.968,0.075,0.2692806124687195,2e-05,,,,,,,,,,,
