step,epoch,loss,grad_norm,learning_rate,eval_crossner_music,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.041,2.5938,14.917974472045898,7.861760963081327e-06,,,,,,,,,,,
10,0.081,2.5664,12.285167694091797,1.1247637115056958e-05,,,,,,,,,,,
15,0.122,2.0441,8.364079475402832,1.3228247696048747e-05,,,,,,,,,,,
20,0.163,1.5027,5.825857162475586,1.4633513267032583e-05,,,,,,,,,,,
25,0.203,1.1129,3.440297842025757,1.5723521926162654e-05,,,,,,,,,,,
30,0.244,0.8293,2.5492663383483887,1.6614123848024376e-05,,,,,,,,,,,
35,0.285,0.6703,1.8213332891464233,1.736711704380757e-05,,,,,,,,,,,
40,0.325,0.5084,1.2541338205337524,1.8019389419008214e-05,,,,,,,,,,,
45,0.366,0.3967,1.1344490051269531,1.8594734429016163e-05,,,,,,,,,,,
50,0.407,0.314,0.965463399887085,1.9109398078138283e-05,,,,,,,,,,,
55,0.447,0.2661,0.8743337988853455,1.9574967980015803e-05,,,,,,,,,,,
60,0.488,0.2319,0.6811284422874451,2e-05,,,,,,,,,,,
62,0.504,,,,0.0,0.0,87.3271,47.889,0.24,,,,,,
65,0.528,0.212,0.6816095113754272,2e-05,,,,,,,,,,,
70,0.569,0.185,0.6127747893333435,2e-05,,,,,,,,,,,
75,0.61,0.1738,0.6443365216255188,2e-05,,,,,,,,,,,
80,0.65,0.1647,0.5000379681587219,2e-05,,,,,,,,,,,
85,0.691,0.1496,0.5695979595184326,2e-05,,,,,,,,,,,
90,0.732,0.1454,0.4287184476852417,2e-05,,,,,,,,,,,
95,0.772,0.1393,0.5328071117401123,2e-05,,,,,,,,,,,
100,0.813,0.1333,0.4772554039955139,2e-05,,,,,,,,,,,
105,0.854,0.1225,0.39293938875198364,2e-05,,,,,,,,,,,
110,0.894,0.128,0.4021652936935425,2e-05,,,,,,,,,,,
115,0.935,0.126,0.4327547252178192,2e-05,,,,,,,,,,,
120,0.976,0.1173,0.39778265357017517,2e-05,,,,,,,,,,,
123,1.0,,,,0.0,0.0,80.6458,51.856,0.26,,,,,,
125,1.016,0.1163,0.3556194305419922,2e-05,,,,,,,,,,,
130,1.057,0.1172,0.4028344750404358,2e-05,,,,,,,,,,,
135,1.098,0.1128,0.37724682688713074,2e-05,,,,,,,,,,,
140,1.138,0.1089,0.7379881143569946,2e-05,,,,,,,,,,,
145,1.179,0.1012,0.2981991767883301,2e-05,,,,,,,,,,,
150,1.22,0.1017,0.35824424028396606,2e-05,,,,,,,,,,,
155,1.26,0.1062,0.4961016774177551,2e-05,,,,,,,,,,,
160,1.301,0.0977,0.39268746972084045,2e-05,,,,,,,,,,,
165,1.341,0.0993,0.3681652843952179,2e-05,,,,,,,,,,,
170,1.382,0.0966,0.36573803424835205,2e-05,,,,,,,,,,,
175,1.423,0.0938,0.4863422214984894,2e-05,,,,,,,,,,,
180,1.463,0.0926,0.359781950712204,2e-05,,,,,,,,,,,
184,1.496,,,,0.0,0.0,81.1495,51.535,0.259,,,,,,
185,1.504,0.0892,0.34265318512916565,2e-05,,,,,,,,,,,
190,1.545,0.092,0.31180205941200256,2e-05,,,,,,,,,,,
195,1.585,0.0911,0.2716608941555023,2e-05,,,,,,,,,,,
200,1.626,0.0835,0.47877541184425354,2e-05,,,,,,,,,,,
205,1.667,0.086,0.3510502278804779,2e-05,,,,,,,,,,,
210,1.707,0.0896,0.31247901916503906,2e-05,,,,,,,,,,,
215,1.748,0.0854,0.3497442603111267,2e-05,,,,,,,,,,,
220,1.789,0.0831,0.30090218782424927,2e-05,,,,,,,,,,,
225,1.829,0.0817,0.3413974642753601,2e-05,,,,,,,,,,,
230,1.87,0.0828,0.2741018831729889,2e-05,,,,,,,,,,,
235,1.911,0.0819,0.43244364857673645,2e-05,,,,,,,,,,,
240,1.951,0.0775,0.447430819272995,2e-05,,,,,,,,,,,
245,1.992,0.0822,0.29735180735588074,2e-05,,,,,,,,,,,
246,2.0,,,,0.0,0.0,80.9186,51.682,0.26,,,,,,
250,2.033,0.0747,0.33720141649246216,2e-05,,,,,,,,,,,
255,2.073,0.0714,0.2596967816352844,2e-05,,,,,,,,,,,
260,2.114,0.0726,0.24697665870189667,2e-05,,,,,,,,,,,
265,2.154,0.0753,0.34951844811439514,2e-05,,,,,,,,,,,
270,2.195,0.075,0.6437551975250244,2e-05,,,,,,,,,,,
275,2.236,0.0751,0.2845894396305084,2e-05,,,,,,,,,,,
280,2.276,0.0744,0.2995453178882599,2e-05,,,,,,,,,,,
285,2.317,0.0706,0.26581910252571106,2e-05,,,,,,,,,,,
290,2.358,0.0732,0.25381073355674744,2e-05,,,,,,,,,,,
295,2.398,0.0719,0.2612151801586151,2e-05,,,,,,,,,,,
300,2.439,0.0727,0.23643557727336884,2e-05,,,,,,,,,,,
305,2.48,0.067,0.2185651808977127,2e-05,,,,,,,,,,,
308,2.504,,,,0.0,0.0,80.9622,51.654,0.259,,,,,,
310,2.52,0.0761,0.2898010313510895,2e-05,,,,,,,,,,,
315,2.561,0.0714,0.23501035571098328,2e-05,,,,,,,,,,,
320,2.602,0.0689,0.22030463814735413,2e-05,,,,,,,,,,,
325,2.642,0.0674,0.38547611236572266,2e-05,,,,,,,,,,,
330,2.683,0.0708,0.2835388481616974,2e-05,,,,,,,,,,,
335,2.724,0.0686,0.34727925062179565,2e-05,,,,,,,,,,,
340,2.764,0.069,0.37977248430252075,2e-05,,,,,,,,,,,
345,2.805,0.0635,0.2581450641155243,2e-05,,,,,,,,,,,
350,2.846,0.0669,0.31227248907089233,2e-05,,,,,,,,,,,
355,2.886,0.0664,0.29238495230674744,2e-05,,,,,,,,,,,
360,2.927,0.0659,0.3946532905101776,2e-05,,,,,,,,,,,
365,2.967,0.0663,0.2206733673810959,2e-05,,,,,,,,,,,
369,3.0,,,,0.0,0.0,80.2494,52.113,0.262,,,,,,
370,3.008,0.0641,0.2799799144268036,2e-05,,,,,,,,,,,
375,3.049,0.0621,0.29027238488197327,2e-05,,,,,,,,,,,
380,3.089,0.0638,0.26311543583869934,2e-05,,,,,,,,,,,
385,3.13,0.0633,0.3018777668476105,2e-05,,,,,,,,,,,
390,3.171,0.0649,0.377204567193985,2e-05,,,,,,,,,,,
395,3.211,0.0609,0.2260945588350296,2e-05,,,,,,,,,,,
400,3.252,0.0611,0.253141313791275,2e-05,,,,,,,,,,,
405,3.293,0.0634,0.22151653468608856,2e-05,,,,,,,,,,,
410,3.333,0.0614,0.19834871590137482,2e-05,,,,,,,,,,,
415,3.374,0.0611,0.23558712005615234,2e-05,,,,,,,,,,,
420,3.415,0.0601,0.2782084345817566,2e-05,,,,,,,,,,,
425,3.455,0.0602,0.20356200635433197,2e-05,,,,,,,,,,,
430,3.496,0.0583,0.25312724709510803,2e-05,,,,,,,,,,,
430,3.496,,,,0.0,0.0,82.0243,50.985,0.256,,,,,,
435,3.537,0.0597,0.20722225308418274,2e-05,,,,,,,,,,,
440,3.577,0.0573,0.17155341804027557,2e-05,,,,,,,,,,,
445,3.618,0.0603,0.20407389104366302,2e-05,,,,,,,,,,,
450,3.659,0.0571,0.2254124879837036,2e-05,,,,,,,,,,,
455,3.699,0.0579,0.2526707947254181,2e-05,,,,,,,,,,,
460,3.74,0.0568,0.28527820110321045,2e-05,,,,,,,,,,,
465,3.78,0.056,0.2401660531759262,2e-05,,,,,,,,,,,
470,3.821,0.0538,0.21493187546730042,2e-05,,,,,,,,,,,
475,3.862,0.054,0.21315963566303253,2e-05,,,,,,,,,,,
480,3.902,0.0547,0.20369844138622284,2e-05,,,,,,,,,,,
485,3.943,0.0582,0.25162801146507263,2e-05,,,,,,,,,,,
490,3.984,0.0548,0.2950459122657776,2e-05,,,,,,,,,,,
492,4.0,,,,0.0,0.0,80.862,51.718,0.26,,,,,,
495,4.024,0.0547,0.2569531798362732,2e-05,,,,,,,,,,,
500,4.065,0.0533,0.23378486931324005,2e-05,,,,,,,,,,,
505,4.106,0.0542,0.2533259689807892,2e-05,,,,,,,,,,,
510,4.146,0.0542,0.2648494839668274,2e-05,,,,,,,,,,,
515,4.187,0.055,0.23185323178768158,2e-05,,,,,,,,,,,
520,4.228,0.0587,0.25111404061317444,2e-05,,,,,,,,,,,
525,4.268,0.0565,0.25344687700271606,2e-05,,,,,,,,,,,
530,4.309,0.0518,0.24762466549873352,2e-05,,,,,,,,,,,
535,4.35,0.0533,0.37224653363227844,2e-05,,,,,,,,,,,
540,4.39,0.0536,0.2167324721813202,2e-05,,,,,,,,,,,
545,4.431,0.0498,0.19556695222854614,2e-05,,,,,,,,,,,
550,4.472,0.0528,0.2644517421722412,2e-05,,,,,,,,,,,
554,4.504,,,,0.0,0.0,80.5995,51.886,0.261,,,,,,
555,4.512,0.0522,0.2366180270910263,2e-05,,,,,,,,,,,
560,4.553,0.0514,0.2658640742301941,2e-05,,,,,,,,,,,
565,4.593,0.0504,0.2583627998828888,2e-05,,,,,,,,,,,
570,4.634,0.049,0.18207652866840363,2e-05,,,,,,,,,,,
575,4.675,0.0557,0.3326418101787567,2e-05,,,,,,,,,,,
580,4.715,0.053,0.271695613861084,2e-05,,,,,,,,,,,
585,4.756,0.0496,0.2559257447719574,2e-05,,,,,,,,,,,
590,4.797,0.0505,0.18025130033493042,2e-05,,,,,,,,,,,
595,4.837,0.0514,0.2956843972206116,2e-05,,,,,,,,,,,
600,4.878,0.0485,0.1991165727376938,2e-05,,,,,,,,,,,
605,4.919,0.0481,0.195535346865654,2e-05,,,,,,,,,,,
610,4.959,0.0503,0.26022598147392273,2e-05,,,,,,,,,,,
615,5.0,0.0486,0.2337006777524948,2e-05,,,,,,,,,,,
615,5.0,,,,0.0,0.0,81.4784,51.326,0.258,,,,,,
620,5.041,0.0505,0.20225889980793,2e-05,,,,,,,,,,,
625,5.081,0.0473,0.20126454532146454,2e-05,,,,,,,,,,,
630,5.122,0.0481,0.3291555345058441,2e-05,,,,,,,,,,,
635,5.163,0.0498,0.2349967509508133,2e-05,,,,,,,,,,,
640,5.203,0.048,0.20983442664146423,2e-05,,,,,,,,,,,
645,5.244,0.0484,0.24702604115009308,2e-05,,,,,,,,,,,
650,5.285,0.0474,0.20276789367198944,2e-05,,,,,,,,,,,
655,5.325,0.0474,0.19003130495548248,2e-05,,,,,,,,,,,
660,5.366,0.047,0.3221266567707062,2e-05,,,,,,,,,,,
665,5.407,0.047,0.2195693850517273,2e-05,,,,,,,,,,,
670,5.447,0.0473,0.23649518191814423,2e-05,,,,,,,,,,,
675,5.488,0.0434,0.18741019070148468,2e-05,,,,,,,,,,,
676,5.496,,,,0.008759124084711597,0.008759124084711597,81.4108,51.369,0.258,,,,,,
680,5.528,0.0497,0.31351152062416077,2e-05,,,,,,,,,,,
685,5.569,0.0465,0.31508612632751465,2e-05,,,,,,,,,,,
690,5.61,0.0474,0.39510250091552734,2e-05,,,,,,,,,,,
695,5.65,0.0481,0.49299532175064087,2e-05,,,,,,,,,,,
700,5.691,0.0479,0.27116629481315613,2e-05,,,,,,,,,,,
705,5.732,0.0438,0.18779519200325012,2e-05,,,,,,,,,,,
710,5.772,0.0463,0.3817025125026703,2e-05,,,,,,,,,,,
715,5.813,0.0434,0.2868078351020813,2e-05,,,,,,,,,,,
720,5.854,0.046,0.23363012075424194,2e-05,,,,,,,,,,,
