step,epoch,loss,grad_norm,learning_rate,eval_crossner_politics,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.019,2.3594,12.668172836303711,6.655682788551919e-06,,,,,,,,,,,
10,0.038,2.2805,11.115669250488281,9.522129343553784e-06,,,,,,,,,,,
15,0.057,1.9211,7.588685035705566,1.1198893088551218e-05,,,,,,,,,,,
20,0.076,1.4469,5.1994099617004395,1.2388575898555646e-05,,,,,,,,,,,
25,0.095,1.1398,3.6324570178985596,1.3311365577103839e-05,,,,,,,,,,,
30,0.115,0.8721,2.500108003616333,1.4065339643553083e-05,,,,,,,,,,,
35,0.134,0.6822,1.9100035429000854,1.4702815633551465e-05,,,,,,,,,,,
40,0.153,0.5938,1.5780572891235352,1.525502245355751e-05,,,,,,,,,,,
45,0.172,0.4439,1.2005891799926758,1.5742103388550514e-05,,,,,,,,,,,
50,0.191,0.3818,1.1601004600524902,1.6177812132105704e-05,,,,,,,,,,,
55,0.21,0.3037,0.8655254244804382,1.657195863405932e-05,,,,,,,,,,,
60,0.229,0.2595,0.6822790503501892,1.6931786198554942e-05,,,,,,,,,,,
65,0.248,0.2137,0.7337175607681274,1.726279547060952e-05,,,,,,,,,,,
70,0.267,0.2083,0.6039884090423584,1.756926218855333e-05,,,,,,,,,,,
75,0.286,0.1851,0.7560597062110901,1.7854575877103134e-05,,,,,,,,,,,
80,0.305,0.1773,0.4943055212497711,1.8121469008559374e-05,,,,,,,,,,,
85,0.324,0.1617,0.46392586827278137,1.8372176568552083e-05,,,,,,,,,,,
90,0.344,0.152,0.5102996230125427,1.8608549943552376e-05,,,,,,,,,,,
95,0.363,0.1484,0.6290552616119385,1.8832139975359918e-05,,,,,,,,,,,
100,0.382,0.1352,0.5084245800971985,1.904425868710757e-05,,,,,,,,,,,
105,0.401,0.1301,0.4696131944656372,1.924602593355076e-05,,,,,,,,,,,
110,0.42,0.1279,0.41560742259025574,1.9438405189061186e-05,,,,,,,,,,,
115,0.439,0.1243,0.4672585427761078,1.9622231373829038e-05,,,,,,,,,,,
120,0.458,0.1199,0.4871062934398651,1.9798232753556807e-05,,,,,,,,,,,
125,0.477,0.1121,0.43879058957099915,1.996704836565576e-05,,,,,,,,,,,
130,0.496,0.1154,0.4735535979270935,2e-05,,,,,,,,,,,
131,0.5,,,,0.0,0.0,88.3713,49.914,0.26,,,,,,
135,0.515,0.1114,0.5029564499855042,2e-05,,,,,,,,,,,
140,0.534,0.1066,0.4487234354019165,2e-05,,,,,,,,,,,
145,0.553,0.1041,0.4359317719936371,2e-05,,,,,,,,,,,
150,0.573,0.0996,0.382753849029541,2e-05,,,,,,,,,,,
155,0.592,0.0979,0.38957610726356506,2e-05,,,,,,,,,,,
160,0.611,0.0928,0.3931768238544464,2e-05,,,,,,,,,,,
165,0.63,0.0988,0.28740713000297546,2e-05,,,,,,,,,,,
170,0.649,0.0968,0.32356008887290955,2e-05,,,,,,,,,,,
175,0.668,0.0869,0.2900644540786743,2e-05,,,,,,,,,,,
180,0.687,0.0913,0.3404884934425354,2e-05,,,,,,,,,,,
185,0.706,0.0906,0.2775842249393463,2e-05,,,,,,,,,,,
190,0.725,0.0881,0.2941640615463257,2e-05,,,,,,,,,,,
195,0.744,0.0856,0.37840262055397034,2e-05,,,,,,,,,,,
200,0.763,0.087,0.34468409419059753,2e-05,,,,,,,,,,,
205,0.782,0.0867,0.3024056553840637,2e-05,,,,,,,,,,,
210,0.802,0.0834,0.3477639853954315,2e-05,,,,,,,,,,,
215,0.821,0.0781,0.263858824968338,2e-05,,,,,,,,,,,
220,0.84,0.0821,0.3030279874801636,2e-05,,,,,,,,,,,
225,0.859,0.0751,0.39535224437713623,2e-05,,,,,,,,,,,
230,0.878,0.0779,0.26495546102523804,2e-05,,,,,,,,,,,
235,0.897,0.0792,0.336556077003479,2e-05,,,,,,,,,,,
240,0.916,0.0773,0.36379730701446533,2e-05,,,,,,,,,,,
245,0.935,0.0756,0.39732450246810913,2e-05,,,,,,,,,,,
250,0.954,0.0735,0.3570631146430969,2e-05,,,,,,,,,,,
255,0.973,0.0718,0.4142450988292694,2e-05,,,,,,,,,,,
260,0.992,0.0715,0.3523750305175781,2e-05,,,,,,,,,,,
262,1.0,,,,0.0,0.0,87.4618,50.433,0.263,,,,,,
265,1.011,0.072,0.2893791198730469,2e-05,,,,,,,,,,,
270,1.031,0.069,0.5829025506973267,2e-05,,,,,,,,,,,
275,1.05,0.0721,0.32387933135032654,2e-05,,,,,,,,,,,
280,1.069,0.0714,0.28981634974479675,2e-05,,,,,,,,,,,
285,1.088,0.0718,0.2724382281303406,2e-05,,,,,,,,,,,
290,1.107,0.0714,0.2804819941520691,2e-05,,,,,,,,,,,
295,1.126,0.0643,0.34424567222595215,2e-05,,,,,,,,,,,
300,1.145,0.0663,0.3045651316642761,2e-05,,,,,,,,,,,
305,1.164,0.0675,0.39680027961730957,2e-05,,,,,,,,,,,
310,1.183,0.0654,0.23667240142822266,2e-05,,,,,,,,,,,
315,1.202,0.0619,0.2633795142173767,2e-05,,,,,,,,,,,
320,1.221,0.0671,0.2837377190589905,2e-05,,,,,,,,,,,
325,1.24,0.0635,0.23212788999080658,2e-05,,,,,,,,,,,
330,1.26,0.0591,0.23357322812080383,2e-05,,,,,,,,,,,
335,1.279,0.0602,0.2666842043399811,2e-05,,,,,,,,,,,
340,1.298,0.0628,0.4369105100631714,2e-05,,,,,,,,,,,
345,1.317,0.0629,0.25447049736976624,2e-05,,,,,,,,,,,
350,1.336,0.0613,0.29653283953666687,2e-05,,,,,,,,,,,
355,1.355,0.0598,0.3367314040660858,2e-05,,,,,,,,,,,
360,1.374,0.0612,0.1874077022075653,2e-05,,,,,,,,,,,
365,1.393,0.0583,0.2626189589500427,2e-05,,,,,,,,,,,
370,1.412,0.0585,0.26896044611930847,2e-05,,,,,,,,,,,
375,1.431,0.0561,0.3736247718334198,2e-05,,,,,,,,,,,
380,1.45,0.059,0.3572865128517151,2e-05,,,,,,,,,,,
385,1.469,0.0597,0.40496280789375305,2e-05,,,,,,,,,,,
390,1.489,0.0598,0.28080880641937256,2e-05,,,,,,,,,,,
393,1.5,,,,0.0,0.0,87.4395,50.446,0.263,,,,,,
395,1.508,0.0571,0.26539111137390137,2e-05,,,,,,,,,,,
400,1.527,0.0564,0.2758692800998688,2e-05,,,,,,,,,,,
405,1.546,0.056,0.3468988537788391,2e-05,,,,,,,,,,,
410,1.565,0.0557,0.3514823317527771,2e-05,,,,,,,,,,,
415,1.584,0.0538,0.2263885885477066,2e-05,,,,,,,,,,,
420,1.603,0.0571,0.33216193318367004,2e-05,,,,,,,,,,,
425,1.622,0.0555,0.26885294914245605,2e-05,,,,,,,,,,,
430,1.641,0.0544,0.26167982816696167,2e-05,,,,,,,,,,,
435,1.66,0.0546,0.23738709092140198,2e-05,,,,,,,,,,,
440,1.679,0.056,0.24628673493862152,2e-05,,,,,,,,,,,
445,1.698,0.0524,0.2770891487598419,2e-05,,,,,,,,,,,
450,1.718,0.0516,0.18857616186141968,2e-05,,,,,,,,,,,
455,1.737,0.0528,0.3048388957977295,2e-05,,,,,,,,,,,
460,1.756,0.0496,0.37242603302001953,2e-05,,,,,,,,,,,
465,1.775,0.055,0.34458720684051514,2e-05,,,,,,,,,,,
470,1.794,0.0538,0.28649356961250305,2e-05,,,,,,,,,,,
475,1.813,0.0541,0.2865666449069977,2e-05,,,,,,,,,,,
480,1.832,0.0553,0.20963172614574432,2e-05,,,,,,,,,,,
485,1.851,0.0516,0.2571190893650055,2e-05,,,,,,,,,,,
490,1.87,0.0524,0.18462933599948883,2e-05,,,,,,,,,,,
495,1.889,0.0461,0.19437243044376373,2e-05,,,,,,,,,,,
