step,epoch,eval_crossner_ai,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,loss,grad_norm,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
2,0.5,0.0,0.0,13.823,7.234,0.072,,,,,,,,,
4,1.0,0.0,0.0,9.9127,10.088,0.101,,,,,,,,,
5,1.25,,,,,,1.6395,7.138360023498535,2e-05,,,,,,
6,1.5,0.0,0.0,9.8451,10.157,0.102,,,,,,,,,
8,2.0,0.0,0.0,9.8313,10.172,0.102,,,,,,,,,
10,2.5,,,,,,1.2367,3.3469960689544678,2e-05,,,,,,
10,2.5,0.0,0.0,9.8264,10.177,0.102,,,,,,,,,
12,3.0,0.0,0.0,9.8447,10.158,0.102,,,,,,,,,
14,3.5,0.0,0.0,9.8278,10.175,0.102,,,,,,,,,
15,3.75,,,,,,0.8377,2.4123177528381348,2e-05,,,,,,
16,4.0,0.0,0.0,9.842,10.161,0.102,,,,,,,,,
18,4.5,0.0,0.0,10.2704,9.737,0.097,,,,,,,,,
20,5.0,,,,,,0.6056,1.5531225204467773,2e-05,,,,,,
20,5.0,0.0,0.0,9.8644,10.137,0.101,,,,,,,,,
22,5.5,0.0,0.0,9.8553,10.147,0.101,,,,,,,,,
24,6.0,0.0,0.0,9.8496,10.153,0.102,,,,,,,,,
25,6.25,,,,,,0.488,1.2494053840637207,2e-05,,,,,,
26,6.5,0.0,0.0,9.8415,10.161,0.102,,,,,,,,,
28,7.0,0.0,0.0,9.8175,10.186,0.102,,,,,,,,,
30,7.5,,,,,,0.3842,1.0919257402420044,2e-05,,,,,,
30,7.5,0.0,0.0,9.8565,10.146,0.101,,,,,,,,,
32,8.0,0.0,0.0,9.8571,10.145,0.101,,,,,,,,,
34,8.5,0.023980815332332695,0.023980815332332695,9.853,10.149,0.101,,,,,,,,,
35,8.75,,,,,,0.3168,0.8916934728622437,2e-05,,,,,,
36,9.0,0.027777777757295955,0.027777777757295955,9.8405,10.162,0.102,,,,,,,,,
38,9.5,0.0588235293882742,0.0588235293882742,9.8363,10.166,0.102,,,,,,,,,
40,10.0,,,,,,0.2654,0.9143803119659424,2e-05,,,,,,
40,10.0,0.07488986781468883,0.07488986781468883,9.7629,10.243,0.102,,,,,,,,,
42,10.5,0.10650887570245053,0.10650887570245053,9.7621,10.244,0.102,,,,,,,,,
44,11.0,0.12110091738922178,0.12110091738922178,9.8246,10.179,0.102,,,,,,,,,
45,11.25,,,,,,0.2308,0.6402976512908936,2e-05,,,,,,
46,11.5,0.12141652609239666,0.12141652609239666,9.7603,10.246,0.102,,,,,,,,,
48,12.0,0.11935483866233611,0.11935483866233611,9.7665,10.239,0.102,,,,,,,,,
48,12.0,,,,,,,,,251.4573,4.772,0.191,541493265694720.0,0.54149326569472,0.638336181640625
