step,epoch,eval_crossner_music,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,loss,grad_norm,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
2,0.5,0.0,0.0,13.2838,7.528,0.075,,,,,,,,,
4,1.0,0.0,0.0,9.7415,10.265,0.103,,,,,,,,,
5,1.25,,,,,,1.6406,7.094620704650879,2e-05,,,,,,
6,1.5,0.0,0.0,9.7196,10.288,0.103,,,,,,,,,
8,2.0,0.0,0.0,9.7416,10.265,0.103,,,,,,,,,
10,2.5,,,,,,1.2215,3.601590394973755,2e-05,,,,,,
10,2.5,0.0,0.0,9.7625,10.243,0.102,,,,,,,,,
12,3.0,0.0,0.0,9.7262,10.282,0.103,,,,,,,,,
14,3.5,0.0,0.0,9.7463,10.26,0.103,,,,,,,,,
15,3.75,,,,,,0.7887,2.548048973083496,2e-05,,,,,,
16,4.0,0.0,0.0,10.0729,9.928,0.099,,,,,,,,,
18,4.5,0.0,0.0,9.7691,10.236,0.102,,,,,,,,,
20,5.0,,,,,,0.5611,1.7047771215438843,2e-05,,,,,,
20,5.0,0.0,0.0,9.7486,10.258,0.103,,,,,,,,,
22,5.5,0.0,0.0,9.7659,10.24,0.102,,,,,,,,,
24,6.0,0.0,0.0,9.7862,10.219,0.102,,,,,,,,,
25,6.25,,,,,,0.4357,1.18812894821167,2e-05,,,,,,
26,6.5,0.0,0.0,9.7443,10.262,0.103,,,,,,,,,
28,7.0,0.0,0.0,9.7643,10.241,0.102,,,,,,,,,
30,7.5,,,,,,0.3421,0.9926196336746216,2e-05,,,,,,
30,7.5,0.00836820082578853,0.00836820082578853,9.7546,10.252,0.103,,,,,,,,,
32,8.0,0.0455696202282772,0.0455696202282772,9.7753,10.23,0.102,,,,,,,,,
34,8.5,0.13852813848873638,0.13852813848873638,9.8272,10.176,0.102,,,,,,,,,
35,8.75,,,,,,0.2668,0.852968692779541,2e-05,,,,,,
36,9.0,0.1892430278443467,0.1892430278443467,9.756,10.25,0.103,,,,,,,,,
38,9.5,0.2157598498596998,0.2157598498596998,9.7429,10.264,0.103,,,,,,,,,
40,10.0,,,,,,0.2231,0.7346624135971069,2e-05,,,,,,
40,10.0,0.24626209317950382,0.24626209317950382,9.7561,10.25,0.102,,,,,,,,,
42,10.5,0.27705627700765423,0.27705627700765423,9.7418,10.265,0.103,,,,,,,,,
44,11.0,0.2943650125665106,0.2943650125665106,9.7474,10.259,0.103,,,,,,,,,
45,11.25,,,,,,0.197,0.6690787672996521,2e-05,,,,,,
46,11.5,0.3242798353415104,0.3242798353415104,9.7553,10.251,0.103,,,,,,,,,
48,12.0,0.33934426224559405,0.33934426224559405,9.7679,10.238,0.102,,,,,,,,,
48,12.0,,,,,,,,,249.4239,4.811,0.192,519805723475968.0,0.519805723475968,0.6026865641276041
