step,epoch,eval_crossner_science,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,loss,grad_norm,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
4,0.571,0.0,0.0,14.1127,7.086,0.071,,,,,,,,,
5,0.714,,,,,,1.5527,7.661091327667236,2e-05,,,,,,
7,1.0,0.0,0.0,9.8588,10.143,0.101,,,,,,,,,
10,1.429,,,,,,1.1871,3.6445302963256836,2e-05,,,,,,
10,1.429,0.0,0.0,9.8612,10.141,0.101,,,,,,,,,
14,2.0,0.0,0.0,9.9828,10.017,0.1,,,,,,,,,
15,2.143,,,,,,0.7861,2.3732032775878906,2e-05,,,,,,
18,2.571,0.0,0.0,9.882,10.119,0.101,,,,,,,,,
20,2.857,,,,,,0.5659,1.652878999710083,2e-05,,,,,,
21,3.0,0.0,0.0,9.9359,10.064,0.101,,,,,,,,,
24,3.429,0.0,0.0,9.8383,10.164,0.102,,,,,,,,,
25,3.571,,,,,,0.4567,1.2861851453781128,2e-05,,,,,,
28,4.0,0.0,0.0,9.8363,10.166,0.102,,,,,,,,,
30,4.286,,,,,,0.349,0.9828333854675293,2e-05,,,,,,
32,4.571,0.0,0.0,9.856,10.146,0.101,,,,,,,,,
35,5.0,,,,,,0.2727,0.760482668876648,2e-05,,,,,,
35,5.0,0.032323232300405264,0.032323232300405264,9.8846,10.117,0.101,,,,,,,,,
38,5.429,0.1527531083119952,0.1527531083119952,9.8675,10.134,0.101,,,,,,,,,
40,5.714,,,,,,0.2368,0.728424608707428,2e-05,,,,,,
42,6.0,0.29112081509136833,0.29112081509136833,9.8845,10.117,0.101,,,,,,,,,
45,6.429,,,,,,0.1996,0.7452566027641296,2e-05,,,,,,
46,6.571,0.34530386735498386,0.34530386735498386,9.867,10.135,0.101,,,,,,,,,
49,7.0,0.33606557372192886,0.33606557372192886,10.1354,9.866,0.099,,,,,,,,,
50,7.143,,,,,,0.1822,0.5835745930671692,2e-05,,,,,,
52,7.429,0.39892183283525406,0.39892183283525406,10.1386,9.863,0.099,,,,,,,,,
55,7.857,,,,,,0.1638,0.6065452694892883,2e-05,,,,,,
56,8.0,0.42257217842840633,0.42257217842840633,9.8701,10.132,0.101,,,,,,,,,
60,8.571,,,,,,0.1441,0.5221311450004578,2e-05,,,,,,
60,8.571,0.41914618365039563,0.41914618365039563,10.0154,9.985,0.1,,,,,,,,,
63,9.0,0.44783715007755576,0.44783715007755576,9.8746,10.127,0.101,,,,,,,,,
65,9.286,,,,,,0.137,0.541076123714447,2e-05,,,,,,
66,9.429,0.48553459114518066,0.48553459114518066,9.8505,10.152,0.102,,,,,,,,,
70,10.0,,,,,,0.1244,0.4824555516242981,2e-05,,,,,,
70,10.0,0.4688644688144797,0.4688644688144797,9.976,10.024,0.1,,,,,,,,,
74,10.571,0.4767726160869346,0.4767726160869346,9.8612,10.141,0.101,,,,,,,,,
75,10.714,,,,,,0.1155,0.4818592071533203,2e-05,,,,,,
77,11.0,0.4722891565764576,0.4722891565764576,6.9235,14.444,0.144,,,,,,,,,
80,11.429,,,,,,0.1094,0.48815464973449707,2e-05,,,,,,
80,11.429,0.47101449270358414,0.47101449270358414,8.5276,11.727,0.117,,,,,,,,,
84,12.0,0.480676328452374,0.480676328452374,7.3027,13.694,0.137,,,,,,,,,
84,12.0,,,,,,,,,254.7348,9.422,0.33,984862961958912.0,0.984862961958912,0.3964756556919643
