step,epoch,loss,grad_norm,learning_rate,eval_crossner_science,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.023,4.6063,30.433624267578125,6.8884950399405484e-06,,,,,,,,,,,
10,0.045,4.5141,36.8704719543457,9.855208374047785e-06,,,,,,,,,,,
15,0.068,3.9156,20.04465675354004,1.159062442488995e-05,,,,,,,,,,,
20,0.09,3.4742,10.297045707702637,1.2821921708155018e-05,,,,,,,,,,,
25,0.113,2.9289,9.835614204406738,1.3776990079881097e-05,,,,,,,,,,,
30,0.135,2.582,8.534431457519531,1.4557337758997188e-05,,,,,,,,,,,
35,0.158,2.1063,7.390418529510498,1.521711232078042e-05,,,,,,,,,,,
40,0.18,1.7891,6.849173545837402,1.5788635042262254e-05,,,,,,,,,,,
45,0.203,1.348,6.9778151512146,1.6292753809839353e-05,,,,,,,,,,,
50,0.225,0.979,7.321842670440674,1.6743703413988334e-05,,,,,,,,,,,
55,0.248,0.6844,4.985363483428955,1.7151636951383997e-05,,,,,,,,,,,
60,0.27,0.6059,3.850170135498047,1.752405109310442e-05,,,,,,,,,,,
65,0.293,0.5133,3.244126558303833,1.7866638893809745e-05,,,,,,,,,,,
70,0.315,0.4555,3.509786605834961,1.818382565488766e-05,,,,,,,,,,,
75,0.338,0.3952,3.161778211593628,1.8479119464830498e-05,,,,,,,,,,,
80,0.36,0.4708,2.9629383087158203,1.875534837636949e-05,,,,,,,,,,,
85,0.383,0.3727,2.6054821014404297,1.9014825553745778e-05,,,,,,,,,,,
90,0.405,0.3538,2.867363691329956,1.9259467143946592e-05,,,,,,,,,,,
95,0.428,0.317,2.1638400554656982,1.9490878236394627e-05,,,,,,,,,,,
100,0.45,0.305,2.125304937362671,1.971041674809557e-05,,,,,,,,,,,
105,0.473,0.3114,2.2970798015594482,1.9919241705729823e-05,,,,,,,,,,,
110,0.495,0.2562,2.0959279537200928,2e-05,,,,,,,,,,,
111,0.5,,,,0.04149377591434376,0.04149377591434376,6.8625,475.484,2.477,,,,,,
115,0.518,0.2688,2.190903663635254,2e-05,,,,,,,,,,,
120,0.541,0.289,2.168937921524048,2e-05,,,,,,,,,,,
125,0.563,0.2845,3.509779214859009,2e-05,,,,,,,,,,,
130,0.586,0.2549,1.9561978578567505,2e-05,,,,,,,,,,,
135,0.608,0.2217,2.0484325885772705,2e-05,,,,,,,,,,,
140,0.631,0.2007,2.3367197513580322,2e-05,,,,,,,,,,,
145,0.653,0.1972,1.9545176029205322,2e-05,,,,,,,,,,,
