step,epoch,loss,grad_norm,learning_rate,eval_mit-restaurant,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.009,3.8787,22.897798538208008,5.768873987190341e-06,,,,,,,,,,,
10,0.018,3.8469,20.748035430908203,8.253392779952611e-06,,,,,,,,,,,
15,0.027,3.2652,15.217690467834473,9.706743106055534e-06,,,,,,,,,,,
20,0.036,2.6906,8.21429443359375,1.0737911572714876e-05,,,,,,,,,,,
25,0.045,2.0308,6.188073635101318,1.1537747974380681e-05,,,,,,,,,,,
30,0.054,1.7141,4.950647830963135,1.21912618988178e-05,,,,,,,,,,,
35,0.064,1.3239,3.516885995864868,1.2743800048996109e-05,,,,,,,,,,,
40,0.073,1.0734,2.5412657260894775,1.3222430365477144e-05,,,,,,,,,,,
45,0.082,0.8609,2.0254602432250977,1.3644612224920727e-05,,,,,,,,,,,
50,0.091,0.6493,1.4130553007125854,1.4022266767142951e-05,,,,,,,,,,,
55,0.1,0.525,1.125322937965393,1.4363896855970699e-05,,,,,,,,,,,
60,0.109,0.4415,1.056887149810791,1.4675780691580068e-05,,,,,,,,,,,
65,0.118,0.3968,0.8097701072692871,1.4962686008395792e-05,,,,,,,,,,,
70,0.127,0.3589,0.8066485524177551,1.522831884175838e-05,,,,,,,,,,,
75,0.136,0.3312,0.5367631912231445,1.5475617093245874e-05,,,,,,,,,,,
80,0.145,0.3026,0.5212205648422241,1.570694915823941e-05,,,,,,,,,,,
85,0.154,0.2972,0.5462809205055237,1.5924252230994265e-05,,,,,,,,,,,
90,0.163,0.2837,0.6083517074584961,1.6129131017682994e-05,,,,,,,,,,,
95,0.172,0.262,0.5195969343185425,1.6322929724632822e-05,,,,,,,,,,,
100,0.181,0.2562,0.505127489566803,1.6506785559905222e-05,,,,,,,,,,,
105,0.191,0.2435,0.4463876783847809,1.66816691678613e-05,,,,,,,,,,,
110,0.2,0.2385,0.4755329191684723,1.6848415648732967e-05,,,,,,,,,,,
115,0.209,0.2308,0.3837372064590454,1.7007748677238435e-05,,,,,,,,,,,
120,0.218,0.2313,0.4314396381378174,1.7160299484342336e-05,,,,,,,,,,,
125,0.227,0.2131,0.39168763160705566,1.7306621961571025e-05,,,,,,,,,,,
130,0.236,0.2153,0.4035393297672272,1.7447204801158062e-05,,,,,,,,,,,
135,0.245,0.2126,0.39253881573677063,1.7582481343785917e-05,,,,,,,,,,,
140,0.254,0.1987,0.39779552817344666,1.7712837634520643e-05,,,,,,,,,,,
145,0.263,0.1869,0.3668718636035919,1.7838619064466737e-05,,,,,,,,,,,
150,0.272,0.1893,0.40204107761383057,1.7960135886008142e-05,,,,,,,,,,,
155,0.281,0.1729,0.4394044578075409,1.8077667823380024e-05,,,,,,,,,,,
160,0.29,0.1765,0.3891139030456543,1.819146795100168e-05,,,,,,,,,,,
165,0.299,0.1651,0.3582281172275543,1.8301765974835886e-05,,,,,,,,,,,
170,0.309,0.1565,0.4688386023044586,1.8408771023756533e-05,,,,,,,,,,,
