step,epoch,loss,grad_norm,learning_rate,eval_mit-movie,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.006,3.7596,23.435272216796875,5.43584091395317e-06,,,,,,,,,,,
10,0.013,3.6496,19.6995849609375,7.77693016900905e-06,,,,,,,,,,,
15,0.019,3.2535,14.78613567352295,9.146379594057966e-06,,,,,,,,,,,
20,0.026,2.6514,10.46574592590332,1.0118019424064926e-05,,,,,,,,,,,
25,0.032,1.9914,6.842433929443359,1.087168182790634e-05,,,,,,,,,,,
30,0.039,1.7269,5.00778341293335,1.1487468849113843e-05,,,,,,,,,,,
35,0.045,1.3276,3.4397192001342773,1.200810935711046e-05,,,,,,,,,,,
40,0.051,1.0983,2.6141159534454346,1.2459108679120806e-05,,,,,,,,,,,
45,0.058,0.9224,2.2126543521881104,1.2856918274162757e-05,,,,,,,,,,,
50,0.064,0.7115,1.597234845161438,1.3212771082962219e-05,,,,,,,,,,,
55,0.071,0.5569,1.2174450159072876,1.3534679104945514e-05,,,,,,,,,,,
60,0.077,0.4963,1.0711586475372314,1.382855810416972e-05,,,,,,,,,,,
65,0.084,0.4464,0.8669585585594177,1.4098900577075285e-05,,,,,,,,,,,
70,0.09,0.3958,0.7764779925346375,1.4349198612166341e-05,,,,,,,,,,,
75,0.097,0.363,0.6757071018218994,1.4582220508011133e-05,,,,,,,,,,,
80,0.103,0.3383,0.6912302374839783,1.4800197934176684e-05,,,,,,,,,,,
85,0.109,0.3044,0.5976575016975403,1.5004956252044514e-05,,,,,,,,,,,
90,0.116,0.2922,0.47435200214385986,1.5198007529218637e-05,,,,,,,,,,,
95,0.122,0.2652,0.5305065512657166,1.5380618371932186e-05,,,,,,,,,,,
100,0.129,0.255,0.45663249492645264,1.55538603380181e-05,,,,,,,,,,,
105,0.135,0.2543,0.5220106244087219,1.5718648037215253e-05,,,,,,,,,,,
110,0.142,0.2421,0.5090185403823853,1.5875768360001393e-05,,,,,,,,,,,
115,0.148,0.2263,0.43657949566841125,1.6025903203857795e-05,,,,,,,,,,,
120,0.154,0.2235,0.45511266589164734,1.61696473592256e-05,,,,,,,,,,,
125,0.161,0.2196,0.4330545961856842,1.6307522741859515e-05,,,,,,,,,,,
130,0.167,0.2172,0.3852058947086334,1.6439989832131163e-05,,,,,,,,,,,
135,0.174,0.2141,0.41254469752311707,1.6567456954267552e-05,,,,,,,,,,,
140,0.18,0.2059,0.4007743299007416,1.6690287867222218e-05,,,,,,,,,,,
145,0.187,0.194,0.3881012499332428,1.6808808022911993e-05,,,,,,,,,,,
150,0.193,0.1934,0.4165481925010681,1.6923309763067014e-05,,,,,,,,,,,
155,0.199,0.1889,0.3743728995323181,1.7034056663637364e-05,,,,,,,,,,,
160,0.206,0.1815,0.39312899112701416,1.7141287189232564e-05,,,,,,,,,,,
165,0.212,0.1835,0.319539874792099,1.7245217785050307e-05,,,,,,,,,,,
170,0.219,0.1838,0.33044713735580444,1.7346045507100393e-05,,,,,,,,,,,
175,0.225,0.173,0.37811732292175293,1.7443950271063636e-05,,,,,,,,,,,
180,0.232,0.1779,0.4068295359611511,1.7539096784274516e-05,,,,,,,,,,,
185,0.238,0.1672,0.33358100056648254,1.7631636212941787e-05,,,,,,,,,,,
190,0.245,0.173,0.3556063771247864,1.7721707626988064e-05,,,,,,,,,,,
195,0.251,0.1719,0.3503425121307373,1.780943925718008e-05,,,,,,,,,,,
200,0.257,0.1615,0.34486210346221924,1.7894949593073975e-05,,,,,,,,,,,
205,0.264,0.1637,0.3459714949131012,1.797834834536765e-05,,,,,,,,,,,
210,0.27,0.1585,0.35080379247665405,1.8059737292271135e-05,,,,,,,,,,,
215,0.277,0.1521,0.31754252314567566,1.8139211026274675e-05,,,,,,,,,,,
220,0.283,0.1509,0.29030051827430725,1.821685761505727e-05,,,,,,,,,,,
225,0.29,0.1513,0.33598917722702026,1.829275918811593e-05,,,,,,,,,,,
230,0.296,0.1483,0.31102320551872253,1.8366992458913676e-05,,,,,,,,,,,
235,0.302,0.1432,0.32258278131484985,1.843962919086886e-05,,,,,,,,,,,
240,0.309,0.1439,0.3521591126918793,1.851073661428148e-05,,,,,,,,,,,
245,0.315,0.1457,0.35216453671455383,1.8580377800267753e-05,,,,,,,,,,,
250,0.322,0.1479,0.3124837875366211,1.864861199691539e-05,,,,,,,,,,,
255,0.328,0.1351,0.31707763671875,1.8715494932149304e-05,,,,,,,,,,,
260,0.335,0.1377,0.29845890402793884,1.878107908718704e-05,,,,,,,,,,,
265,0.341,0.139,0.3346248269081116,1.884541394394586e-05,,,,,,,,,,,
270,0.347,0.1374,0.3672105371952057,1.8908546209323433e-05,,,,,,,,,,,
275,0.354,0.1336,0.25533756613731384,1.8970520018898686e-05,,,,,,,,,,,
