step,epoch,loss,grad_norm,learning_rate,eval_crossner_ai,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.042,2.6852,13.674850463867188,7.927400573059717e-06,,,,,,,,,,,
10,0.084,2.4664,11.650391578674316,1.1341546166334124e-05,,,,,,,,,,,
15,0.126,2.0738,7.93001651763916,1.3338693310402031e-05,,,,,,,,,,,
20,0.168,1.559,5.063446044921875,1.4755691759608524e-05,,,,,,,,,,,
25,0.21,1.1793,3.301215171813965,1.5854801146119433e-05,,,,,,,,,,,
30,0.252,0.9471,2.524343729019165,1.6752838903676433e-05,,,,,,,,,,,
35,0.294,0.7271,1.8900055885314941,1.751211900895989e-05,,,,,,,,,,,
40,0.336,0.5515,1.3562257289886475,1.8169837352882926e-05,,,,,,,,,,,
45,0.378,0.4395,1.1075538396835327,1.8749986047744344e-05,,,,,,,,,,,
50,0.42,0.3549,0.9887135624885559,1.926894673939384e-05,,,,,,,,,,,
55,0.462,0.3025,1.0823973417282104,1.9738403789064383e-05,,,,,,,,,,,
60,0.504,0.2628,0.704535722732544,2e-05,,,,,,,,,,,
60,0.504,,,,0.0,0.0,60.7268,53.387,0.28,,,,,,
65,0.546,0.2373,0.7706161141395569,2e-05,,,,,,,,,,,
70,0.588,0.2054,0.5677128434181213,2e-05,,,,,,,,,,,
75,0.63,0.1833,0.6926305294036865,2e-05,,,,,,,,,,,
80,0.672,0.1849,0.6028063893318176,2e-05,,,,,,,,,,,
85,0.714,0.164,0.5417371392250061,2e-05,,,,,,,,,,,
90,0.756,0.1639,0.4928935766220093,2e-05,,,,,,,,,,,
95,0.798,0.1471,0.5204722285270691,2e-05,,,,,,,,,,,
100,0.84,0.149,0.4537196159362793,2e-05,,,,,,,,,,,
105,0.882,0.1375,0.6708217859268188,2e-05,,,,,,,,,,,
110,0.924,0.1412,0.47329747676849365,2e-05,,,,,,,,,,,
115,0.966,0.1295,0.40800097584724426,2e-05,,,,,,,,,,,
119,1.0,,,,0.0,0.0,59.3461,54.629,0.286,,,,,,
120,1.008,0.1236,0.4980730414390564,2e-05,,,,,,,,,,,
125,1.05,0.1272,0.41442805528640747,2e-05,,,,,,,,,,,
130,1.092,0.1208,0.3051939010620117,2e-05,,,,,,,,,,,
135,1.134,0.1202,0.33149057626724243,2e-05,,,,,,,,,,,
140,1.176,0.118,0.6181972026824951,2e-05,,,,,,,,,,,
145,1.218,0.1126,0.3051142692565918,2e-05,,,,,,,,,,,
150,1.261,0.1083,0.39765259623527527,2e-05,,,,,,,,,,,
155,1.303,0.1115,0.3621165454387665,2e-05,,,,,,,,,,,
160,1.345,0.1066,0.4299505352973938,2e-05,,,,,,,,,,,
165,1.387,0.1093,0.3878868520259857,2e-05,,,,,,,,,,,
170,1.429,0.099,0.39334601163864136,2e-05,,,,,,,,,,,
175,1.471,0.1041,0.4127456247806549,2e-05,,,,,,,,,,,
178,1.496,,,,0.0,0.0,60.2507,53.809,0.282,,,,,,
180,1.513,0.0965,0.3974325656890869,2e-05,,,,,,,,,,,
185,1.555,0.0977,0.4599608778953552,2e-05,,,,,,,,,,,
190,1.597,0.0946,0.3643859028816223,2e-05,,,,,,,,,,,
195,1.639,0.0906,0.3989953398704529,2e-05,,,,,,,,,,,
200,1.681,0.0871,0.3205376863479614,2e-05,,,,,,,,,,,
205,1.723,0.0882,0.36352938413619995,2e-05,,,,,,,,,,,
210,1.765,0.0932,0.39274272322654724,2e-05,,,,,,,,,,,
215,1.807,0.0856,0.3838036358356476,2e-05,,,,,,,,,,,
220,1.849,0.0967,0.4247227609157562,2e-05,,,,,,,,,,,
225,1.891,0.0819,0.25643596053123474,2e-05,,,,,,,,,,,
230,1.933,0.0866,0.3281900882720947,2e-05,,,,,,,,,,,
235,1.975,0.0853,0.32653045654296875,2e-05,,,,,,,,,,,
238,2.0,,,,0.0,0.0,60.3277,53.74,0.282,,,,,,
240,2.017,0.0908,0.4794383645057678,2e-05,,,,,,,,,,,
245,2.059,0.0857,0.34875187277793884,2e-05,,,,,,,,,,,
250,2.101,0.0786,0.36624979972839355,2e-05,,,,,,,,,,,
255,2.143,0.0804,0.26009640097618103,2e-05,,,,,,,,,,,
260,2.185,0.0778,0.2627696990966797,2e-05,,,,,,,,,,,
265,2.227,0.0808,0.27714696526527405,2e-05,,,,,,,,,,,
270,2.269,0.0753,0.31575268507003784,2e-05,,,,,,,,,,,
275,2.311,0.0769,0.2440294772386551,2e-05,,,,,,,,,,,
280,2.353,0.081,0.29540351033210754,2e-05,,,,,,,,,,,
285,2.395,0.0795,0.3960295617580414,2e-05,,,,,,,,,,,
290,2.437,0.0726,0.28109294176101685,2e-05,,,,,,,,,,,
295,2.479,0.0716,0.3093469440937042,2e-05,,,,,,,,,,,
298,2.504,,,,0.0,0.0,60.1968,53.857,0.282,,,,,,
300,2.521,0.077,0.26639580726623535,2e-05,,,,,,,,,,,
305,2.563,0.0746,0.2960909605026245,2e-05,,,,,,,,,,,
310,2.605,0.0715,0.2776558995246887,2e-05,,,,,,,,,,,
315,2.647,0.0732,0.25747910141944885,2e-05,,,,,,,,,,,
320,2.689,0.0642,0.2808132767677307,2e-05,,,,,,,,,,,
325,2.731,0.0685,0.23982630670070648,2e-05,,,,,,,,,,,
330,2.773,0.0713,0.3899519145488739,2e-05,,,,,,,,,,,
335,2.815,0.069,0.28885704278945923,2e-05,,,,,,,,,,,
340,2.857,0.0718,0.30378296971321106,2e-05,,,,,,,,,,,
345,2.899,0.0659,0.2947954535484314,2e-05,,,,,,,,,,,
350,2.941,0.0694,0.3733847439289093,2e-05,,,,,,,,,,,
355,2.983,0.0664,0.33010566234588623,2e-05,,,,,,,,,,,
357,3.0,,,,0.0,0.0,59.686,54.318,0.285,,,,,,
360,3.025,0.0666,0.2946240305900574,2e-05,,,,,,,,,,,
365,3.067,0.0644,0.24037714302539825,2e-05,,,,,,,,,,,
370,3.109,0.0687,0.29447463154792786,2e-05,,,,,,,,,,,
375,3.151,0.0665,0.24761615693569183,2e-05,,,,,,,,,,,
380,3.193,0.0677,0.295513778924942,2e-05,,,,,,,,,,,
385,3.235,0.068,0.2847592830657959,2e-05,,,,,,,,,,,
390,3.277,0.0644,0.30558907985687256,2e-05,,,,,,,,,,,
395,3.319,0.0668,0.27156758308410645,2e-05,,,,,,,,,,,
400,3.361,0.0618,0.2672393321990967,2e-05,,,,,,,,,,,
405,3.403,0.064,0.273249089717865,2e-05,,,,,,,,,,,
410,3.445,0.0687,0.30626076459884644,2e-05,,,,,,,,,,,
415,3.487,0.0637,0.30970776081085205,2e-05,,,,,,,,,,,
416,3.496,,,,0.0,0.0,59.9104,54.114,0.284,,,,,,
420,3.529,0.0576,0.228831946849823,2e-05,,,,,,,,,,,
425,3.571,0.0621,0.2500796318054199,2e-05,,,,,,,,,,,
430,3.613,0.0577,0.29394203424453735,2e-05,,,,,,,,,,,
435,3.655,0.0624,0.23813965916633606,2e-05,,,,,,,,,,,
440,3.697,0.0602,0.3344544768333435,2e-05,,,,,,,,,,,
445,3.739,0.0642,0.2807842791080475,2e-05,,,,,,,,,,,
450,3.782,0.0609,0.23426158726215363,2e-05,,,,,,,,,,,
455,3.824,0.0576,0.3770844042301178,2e-05,,,,,,,,,,,
460,3.866,0.0601,0.3089205324649811,2e-05,,,,,,,,,,,
465,3.908,0.058,0.18404266238212585,2e-05,,,,,,,,,,,
470,3.95,0.0578,0.2505362629890442,2e-05,,,,,,,,,,,
475,3.992,0.0594,0.3115059435367584,2e-05,,,,,,,,,,,
476,4.0,,,,0.0,0.0,59.7902,54.223,0.284,,,,,,
480,4.034,0.0605,0.4414653182029724,2e-05,,,,,,,,,,,
485,4.076,0.0602,0.3156643509864807,2e-05,,,,,,,,,,,
490,4.118,0.06,0.3895051181316376,2e-05,,,,,,,,,,,
495,4.16,0.0564,0.23836933076381683,2e-05,,,,,,,,,,,
500,4.202,0.0598,0.4278954565525055,2e-05,,,,,,,,,,,
505,4.244,0.0589,0.20335662364959717,2e-05,,,,,,,,,,,
510,4.286,0.0614,0.32943999767303467,2e-05,,,,,,,,,,,
515,4.328,0.0578,0.19337154924869537,2e-05,,,,,,,,,,,
520,4.37,0.0563,0.1890379786491394,2e-05,,,,,,,,,,,
525,4.412,0.0521,0.20662854611873627,2e-05,,,,,,,,,,,
530,4.454,0.0564,0.4123607575893402,2e-05,,,,,,,,,,,
535,4.496,0.0545,0.22147220373153687,2e-05,,,,,,,,,,,
536,4.504,,,,0.0,0.0,60.0237,54.012,0.283,,,,,,
540,4.538,0.0554,0.26893720030784607,2e-05,,,,,,,,,,,
545,4.58,0.0547,0.31401047110557556,2e-05,,,,,,,,,,,
550,4.622,0.0536,0.3147049844264984,2e-05,,,,,,,,,,,
555,4.664,0.0547,0.25614866614341736,2e-05,,,,,,,,,,,
560,4.706,0.0483,0.22088991105556488,2e-05,,,,,,,,,,,
565,4.748,0.0519,0.33957865834236145,2e-05,,,,,,,,,,,
570,4.79,0.0564,0.48279228806495667,2e-05,,,,,,,,,,,
575,4.832,0.0536,0.3262103497982025,2e-05,,,,,,,,,,,
580,4.874,0.0558,0.315079003572464,2e-05,,,,,,,,,,,
585,4.916,0.0536,0.291157066822052,2e-05,,,,,,,,,,,
590,4.958,0.0552,0.2905561923980713,2e-05,,,,,,,,,,,
595,5.0,0.053,0.22161513566970825,2e-05,,,,,,,,,,,
595,5.0,,,,0.0,0.0,60.7678,53.351,0.28,,,,,,
600,5.042,0.0532,0.23848654329776764,2e-05,,,,,,,,,,,
605,5.084,0.0492,0.2935017943382263,2e-05,,,,,,,,,,,
610,5.126,0.0547,0.351494163274765,2e-05,,,,,,,,,,,
615,5.168,0.0539,0.22743986546993256,2e-05,,,,,,,,,,,
620,5.21,0.0566,0.26271161437034607,2e-05,,,,,,,,,,,
625,5.252,0.051,0.20507776737213135,2e-05,,,,,,,,,,,
630,5.294,0.0506,0.24515515565872192,2e-05,,,,,,,,,,,
635,5.336,0.05,0.37408894300460815,2e-05,,,,,,,,,,,
640,5.378,0.0517,0.27240732312202454,2e-05,,,,,,,,,,,
645,5.42,0.0514,0.23904766142368317,2e-05,,,,,,,,,,,
650,5.462,0.0514,0.25666970014572144,2e-05,,,,,,,,,,,
654,5.496,,,,0.0,0.0,59.8987,54.125,0.284,,,,,,
655,5.504,0.0502,0.316938579082489,2e-05,,,,,,,,,,,
660,5.546,0.0534,0.22504183650016785,2e-05,,,,,,,,,,,
665,5.588,0.0471,0.4602735638618469,2e-05,,,,,,,,,,,
670,5.63,0.0489,0.3033742904663086,2e-05,,,,,,,,,,,
675,5.672,0.0504,0.35284245014190674,2e-05,,,,,,,,,,,
680,5.714,0.0476,0.1931595355272293,2e-05,,,,,,,,,,,
685,5.756,0.0499,0.3001691997051239,2e-05,,,,,,,,,,,
690,5.798,0.0521,0.2772594690322876,2e-05,,,,,,,,,,,
695,5.84,0.0478,0.25034141540527344,2e-05,,,,,,,,,,,
700,5.882,0.0513,0.4510224759578705,2e-05,,,,,,,,,,,
705,5.924,0.0476,0.2040976881980896,2e-05,,,,,,,,,,,
710,5.966,0.0477,0.4409238398075104,2e-05,,,,,,,,,,,
714,6.0,,,,0.0,0.0,59.701,54.304,0.285,,,,,,
715,6.008,0.0526,0.4852711856365204,2e-05,,,,,,,,,,,
720,6.05,0.0508,0.19106288254261017,2e-05,,,,,,,,,,,
725,6.092,0.0467,0.23622292280197144,2e-05,,,,,,,,,,,
730,6.134,0.0508,0.19583478569984436,2e-05,,,,,,,,,,,
735,6.176,0.0486,0.1912914663553238,2e-05,,,,,,,,,,,
740,6.218,0.0518,0.290496826171875,2e-05,,,,,,,,,,,
745,6.261,0.0507,0.3607819676399231,2e-05,,,,,,,,,,,
750,6.303,0.048,0.21544955670833588,2e-05,,,,,,,,,,,
755,6.345,0.0461,0.4421943724155426,2e-05,,,,,,,,,,,
760,6.387,0.0441,0.2596757411956787,2e-05,,,,,,,,,,,
765,6.429,0.0469,0.4450942277908325,2e-05,,,,,,,,,,,
770,6.471,0.0505,0.28663843870162964,2e-05,,,,,,,,,,,
774,6.504,,,,0.0,0.0,59.4245,54.557,0.286,,,,,,
775,6.513,0.0488,0.19350449740886688,2e-05,,,,,,,,,,,
780,6.555,0.0449,0.2359619289636612,2e-05,,,,,,,,,,,
785,6.597,0.0468,0.18599584698677063,2e-05,,,,,,,,,,,
790,6.639,0.047,0.2743149697780609,2e-05,,,,,,,,,,,
795,6.681,0.0443,0.5117591023445129,2e-05,,,,,,,,,,,
800,6.723,0.0474,0.5093194842338562,2e-05,,,,,,,,,,,
805,6.765,0.0475,0.4986584484577179,2e-05,,,,,,,,,,,
810,6.807,0.047,0.23001398146152496,2e-05,,,,,,,,,,,
815,6.849,0.0452,0.2730005085468292,2e-05,,,,,,,,,,,
820,6.891,0.0476,0.3186081647872925,2e-05,,,,,,,,,,,
825,6.933,0.0456,0.15658603608608246,2e-05,,,,,,,,,,,
830,6.975,0.0435,0.2011052668094635,2e-05,,,,,,,,,,,
833,7.0,,,,0.0,0.0,60.3427,53.727,0.282,,,,,,
835,7.017,0.0454,0.26360228657722473,2e-05,,,,,,,,,,,
840,7.059,0.0441,0.18028202652931213,2e-05,,,,,,,,,,,
845,7.101,0.0432,0.2264491319656372,2e-05,,,,,,,,,,,
850,7.143,0.0451,0.17061911523342133,2e-05,,,,,,,,,,,
855,7.185,0.0447,0.19321675598621368,2e-05,,,,,,,,,,,
860,7.227,0.0439,0.23430736362934113,2e-05,,,,,,,,,,,
865,7.269,0.0437,0.23700909316539764,2e-05,,,,,,,,,,,
870,7.311,0.0451,0.22307337820529938,2e-05,,,,,,,,,,,
