step,epoch,loss,grad_norm,learning_rate,eval_crossner_politics,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.019,2.4008,11.733993530273438,6.655682788551919e-06,,,,,,,,,,,
10,0.038,2.2695,10.923604011535645,9.522129343553784e-06,,,,,,,,,,,
15,0.057,1.9324,7.593108177185059,1.1198893088551218e-05,,,,,,,,,,,
20,0.076,1.5027,4.6847453117370605,1.2388575898555646e-05,,,,,,,,,,,
25,0.095,1.1795,4.138334274291992,1.3311365577103839e-05,,,,,,,,,,,
30,0.115,0.9191,2.6395890712738037,1.4065339643553083e-05,,,,,,,,,,,
35,0.134,0.7188,1.9309709072113037,1.4702815633551465e-05,,,,,,,,,,,
40,0.153,0.6172,1.581710696220398,1.525502245355751e-05,,,,,,,,,,,
45,0.172,0.4751,1.2581695318222046,1.5742103388550514e-05,,,,,,,,,,,
50,0.191,0.3877,1.0629299879074097,1.6177812132105704e-05,,,,,,,,,,,
55,0.21,0.3269,0.8531804084777832,1.657195863405932e-05,,,,,,,,,,,
60,0.229,0.28,0.8836641311645508,1.6931786198554942e-05,,,,,,,,,,,
65,0.248,0.2353,0.7187895774841309,1.726279547060952e-05,,,,,,,,,,,
70,0.267,0.2157,0.682311475276947,1.756926218855333e-05,,,,,,,,,,,
75,0.286,0.197,0.6425549983978271,1.7854575877103134e-05,,,,,,,,,,,
80,0.305,0.1823,0.6617428064346313,1.8121469008559374e-05,,,,,,,,,,,
85,0.324,0.167,0.5005927681922913,1.8372176568552083e-05,,,,,,,,,,,
90,0.344,0.1587,0.5345889925956726,1.8608549943552376e-05,,,,,,,,,,,
95,0.363,0.1508,0.5894193649291992,1.8832139975359918e-05,,,,,,,,,,,
100,0.382,0.1513,0.48044082522392273,1.904425868710757e-05,,,,,,,,,,,
105,0.401,0.1365,0.5240259170532227,1.924602593355076e-05,,,,,,,,,,,
110,0.42,0.1316,0.5294397473335266,1.9438405189061186e-05,,,,,,,,,,,
115,0.439,0.1272,0.43620535731315613,1.9622231373829038e-05,,,,,,,,,,,
120,0.458,0.1213,0.34005463123321533,1.9798232753556807e-05,,,,,,,,,,,
125,0.477,0.1179,0.4537122845649719,1.996704836565576e-05,,,,,,,,,,,
130,0.496,0.1196,0.37685951590538025,2e-05,,,,,,,,,,,
131,0.5,,,,0.0,0.0,88.0573,50.092,0.261,,,,,,
135,0.515,0.1107,0.4662802815437317,2e-05,,,,,,,,,,,
140,0.534,0.1082,0.40921926498413086,2e-05,,,,,,,,,,,
145,0.553,0.1106,0.44492390751838684,2e-05,,,,,,,,,,,
150,0.573,0.1017,0.4349220395088196,2e-05,,,,,,,,,,,
155,0.592,0.1024,0.4358995854854584,2e-05,,,,,,,,,,,
160,0.611,0.1005,0.3938463032245636,2e-05,,,,,,,,,,,
165,0.63,0.0985,0.3858039081096649,2e-05,,,,,,,,,,,
170,0.649,0.0926,0.4543479084968567,2e-05,,,,,,,,,,,
175,0.668,0.092,0.283483624458313,2e-05,,,,,,,,,,,
180,0.687,0.0965,0.3601462244987488,2e-05,,,,,,,,,,,
185,0.706,0.09,0.2833152711391449,2e-05,,,,,,,,,,,
190,0.725,0.09,0.41045835614204407,2e-05,,,,,,,,,,,
195,0.744,0.091,0.3483366072177887,2e-05,,,,,,,,,,,
200,0.763,0.0866,0.4015597999095917,2e-05,,,,,,,,,,,
205,0.782,0.0836,0.49290892481803894,2e-05,,,,,,,,,,,
210,0.802,0.0785,0.3130858242511749,2e-05,,,,,,,,,,,
215,0.821,0.0844,0.26273420453071594,2e-05,,,,,,,,,,,
220,0.84,0.0856,0.31323176622390747,2e-05,,,,,,,,,,,
225,0.859,0.0762,0.4248911738395691,2e-05,,,,,,,,,,,
230,0.878,0.0813,0.28188440203666687,2e-05,,,,,,,,,,,
235,0.897,0.0804,0.3665567636489868,2e-05,,,,,,,,,,,
240,0.916,0.0792,0.2851063907146454,2e-05,,,,,,,,,,,
245,0.935,0.079,0.316022664308548,2e-05,,,,,,,,,,,
250,0.954,0.0755,0.2772880494594574,2e-05,,,,,,,,,,,
255,0.973,0.0715,0.3125675320625305,2e-05,,,,,,,,,,,
260,0.992,0.0727,0.35279515385627747,2e-05,,,,,,,,,,,
262,1.0,,,,0.0,0.0,87.1553,50.611,0.264,,,,,,
265,1.011,0.0779,0.35711216926574707,2e-05,,,,,,,,,,,
270,1.031,0.0732,0.4896520972251892,2e-05,,,,,,,,,,,
275,1.05,0.0792,0.25556352734565735,2e-05,,,,,,,,,,,
280,1.069,0.0724,0.34392789006233215,2e-05,,,,,,,,,,,
285,1.088,0.0706,0.32047712802886963,2e-05,,,,,,,,,,,
290,1.107,0.0678,0.38482666015625,2e-05,,,,,,,,,,,
295,1.126,0.0696,0.23227863013744354,2e-05,,,,,,,,,,,
300,1.145,0.067,0.2380838692188263,2e-05,,,,,,,,,,,
305,1.164,0.0662,0.33641475439071655,2e-05,,,,,,,,,,,
310,1.183,0.0685,0.3266814351081848,2e-05,,,,,,,,,,,
315,1.202,0.0616,0.2545129358768463,2e-05,,,,,,,,,,,
320,1.221,0.065,0.34466347098350525,2e-05,,,,,,,,,,,
325,1.24,0.0642,0.4173164963722229,2e-05,,,,,,,,,,,
330,1.26,0.061,0.3382292091846466,2e-05,,,,,,,,,,,
335,1.279,0.0596,0.315698504447937,2e-05,,,,,,,,,,,
340,1.298,0.0639,0.32920920848846436,2e-05,,,,,,,,,,,
345,1.317,0.0675,0.21741683781147003,2e-05,,,,,,,,,,,
350,1.336,0.0626,0.3080613315105438,2e-05,,,,,,,,,,,
355,1.355,0.0624,0.25990232825279236,2e-05,,,,,,,,,,,
360,1.374,0.0628,0.2690388262271881,2e-05,,,,,,,,,,,
365,1.393,0.0592,0.2221565842628479,2e-05,,,,,,,,,,,
370,1.412,0.0642,0.2618332505226135,2e-05,,,,,,,,,,,
375,1.431,0.0598,0.29173099994659424,2e-05,,,,,,,,,,,
380,1.45,0.0596,0.21329745650291443,2e-05,,,,,,,,,,,
385,1.469,0.0595,0.36154189705848694,2e-05,,,,,,,,,,,
390,1.489,0.0595,0.24089503288269043,2e-05,,,,,,,,,,,
393,1.5,,,,0.0,0.0,86.9399,50.736,0.265,,,,,,
395,1.508,0.0642,0.33406734466552734,2e-05,,,,,,,,,,,
400,1.527,0.0551,0.3089423179626465,2e-05,,,,,,,,,,,
405,1.546,0.06,0.6822682619094849,2e-05,,,,,,,,,,,
410,1.565,0.0588,0.28693240880966187,2e-05,,,,,,,,,,,
415,1.584,0.0575,0.26887744665145874,2e-05,,,,,,,,,,,
420,1.603,0.0581,0.19106371700763702,2e-05,,,,,,,,,,,
425,1.622,0.057,0.2490433156490326,2e-05,,,,,,,,,,,
430,1.641,0.0551,0.26625797152519226,2e-05,,,,,,,,,,,
435,1.66,0.0566,0.41124024987220764,2e-05,,,,,,,,,,,
440,1.679,0.0601,0.2745895981788635,2e-05,,,,,,,,,,,
445,1.698,0.0544,0.2287062257528305,2e-05,,,,,,,,,,,
450,1.718,0.0553,0.33104172348976135,2e-05,,,,,,,,,,,
455,1.737,0.0567,0.23722024261951447,2e-05,,,,,,,,,,,
460,1.756,0.0535,0.3570179045200348,2e-05,,,,,,,,,,,
465,1.775,0.0558,0.32668566703796387,2e-05,,,,,,,,,,,
470,1.794,0.056,0.3279479444026947,2e-05,,,,,,,,,,,
475,1.813,0.0552,0.23599456250667572,2e-05,,,,,,,,,,,
480,1.832,0.0586,0.28517961502075195,2e-05,,,,,,,,,,,
485,1.851,0.0532,0.33784008026123047,2e-05,,,,,,,,,,,
490,1.87,0.0542,0.2090645730495453,2e-05,,,,,,,,,,,
495,1.889,0.0491,0.22411233186721802,2e-05,,,,,,,,,,,
500,1.908,0.0516,0.2717837989330292,2e-05,,,,,,,,,,,
505,1.927,0.0532,0.2742580473423004,2e-05,,,,,,,,,,,
510,1.947,0.0551,0.3075557351112366,2e-05,,,,,,,,,,,
515,1.966,0.0541,0.33388665318489075,2e-05,,,,,,,,,,,
520,1.985,0.0528,0.3349301517009735,2e-05,,,,,,,,,,,
524,2.0,,,,0.0,0.0,87.8626,50.203,0.262,,,,,,
525,2.004,0.0495,0.26897379755973816,2e-05,,,,,,,,,,,
530,2.023,0.0547,0.45454272627830505,2e-05,,,,,,,,,,,
535,2.042,0.0514,0.301335871219635,2e-05,,,,,,,,,,,
540,2.061,0.0543,0.37569043040275574,2e-05,,,,,,,,,,,
545,2.08,0.0517,0.32689887285232544,2e-05,,,,,,,,,,,
550,2.099,0.0505,0.22108399868011475,2e-05,,,,,,,,,,,
555,2.118,0.0498,0.3621859848499298,2e-05,,,,,,,,,,,
560,2.137,0.0508,0.2231435477733612,2e-05,,,,,,,,,,,
565,2.156,0.0516,0.2638895809650421,2e-05,,,,,,,,,,,
570,2.176,0.0514,0.1638217717409134,2e-05,,,,,,,,,,,
575,2.195,0.0524,0.2496669739484787,2e-05,,,,,,,,,,,
580,2.214,0.0454,0.20640990138053894,2e-05,,,,,,,,,,,
585,2.233,0.0497,0.25079259276390076,2e-05,,,,,,,,,,,
590,2.252,0.0482,0.24890224635601044,2e-05,,,,,,,,,,,
595,2.271,0.049,0.316548228263855,2e-05,,,,,,,,,,,
600,2.29,0.0502,0.23718133568763733,2e-05,,,,,,,,,,,
605,2.309,0.0478,0.2084231972694397,2e-05,,,,,,,,,,,
610,2.328,0.0496,0.23748333752155304,2e-05,,,,,,,,,,,
615,2.347,0.0479,0.2319408506155014,2e-05,,,,,,,,,,,
620,2.366,0.0477,0.24777190387248993,2e-05,,,,,,,,,,,
625,2.385,0.0479,0.24744799733161926,2e-05,,,,,,,,,,,
630,2.405,0.0469,0.24502351880073547,2e-05,,,,,,,,,,,
635,2.424,0.048,0.29460015892982483,2e-05,,,,,,,,,,,
640,2.443,0.047,0.3304128050804138,2e-05,,,,,,,,,,,
645,2.462,0.0484,0.3170474171638489,2e-05,,,,,,,,,,,
650,2.481,0.0458,0.20398807525634766,2e-05,,,,,,,,,,,
655,2.5,0.0449,0.2472555935382843,2e-05,,,,,,,,,,,
655,2.5,,,,0.0,0.0,87.7752,50.253,0.262,,,,,,
660,2.519,0.0458,0.33248692750930786,2e-05,,,,,,,,,,,
665,2.538,0.0464,0.3683035671710968,2e-05,,,,,,,,,,,
670,2.557,0.0459,0.28558987379074097,2e-05,,,,,,,,,,,
675,2.576,0.0467,0.24461595714092255,2e-05,,,,,,,,,,,
680,2.595,0.0427,0.2451319396495819,2e-05,,,,,,,,,,,
685,2.615,0.0455,0.2728175222873688,2e-05,,,,,,,,,,,
690,2.634,0.0484,0.4078792333602905,2e-05,,,,,,,,,,,
695,2.653,0.0478,0.4358936548233032,2e-05,,,,,,,,,,,
700,2.672,0.0487,0.3765649199485779,2e-05,,,,,,,,,,,
705,2.691,0.0446,0.33249539136886597,2e-05,,,,,,,,,,,
710,2.71,0.0454,0.2427501380443573,2e-05,,,,,,,,,,,
715,2.729,0.0481,0.36307400465011597,2e-05,,,,,,,,,,,
720,2.748,0.0465,0.3781411051750183,2e-05,,,,,,,,,,,
725,2.767,0.0468,0.4279865622520447,2e-05,,,,,,,,,,,
730,2.786,0.0464,0.34837591648101807,2e-05,,,,,,,,,,,
735,2.805,0.0455,0.2752111852169037,2e-05,,,,,,,,,,,
740,2.824,0.0439,0.20232297480106354,2e-05,,,,,,,,,,,
745,2.844,0.0464,0.18872687220573425,2e-05,,,,,,,,,,,
750,2.863,0.0422,0.2877071797847748,2e-05,,,,,,,,,,,
755,2.882,0.0433,0.22357089817523956,2e-05,,,,,,,,,,,
760,2.901,0.0441,0.25205492973327637,2e-05,,,,,,,,,,,
765,2.92,0.0446,0.23654304444789886,2e-05,,,,,,,,,,,
770,2.939,0.0463,0.33953550457954407,2e-05,,,,,,,,,,,
775,2.958,0.0441,0.1696530282497406,2e-05,,,,,,,,,,,
780,2.977,0.0397,0.2297130525112152,2e-05,,,,,,,,,,,
