step,epoch,loss,grad_norm,learning_rate,eval_crossner_science,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.023,2.5109,13.699270248413086,6.8884950399405484e-06,,,,,,,,,,,
10,0.045,2.3211,10.425886154174805,9.855208374047785e-06,,,,,,,,,,,
15,0.068,1.9781,8.088787078857422,1.159062442488995e-05,,,,,,,,,,,
20,0.09,1.5668,4.7634196281433105,1.2821921708155018e-05,,,,,,,,,,,
25,0.113,1.1957,4.288379192352295,1.3776990079881097e-05,,,,,,,,,,,
30,0.135,0.8984,2.8024048805236816,1.4557337758997188e-05,,,,,,,,,,,
35,0.158,0.7504,2.02264404296875,1.521711232078042e-05,,,,,,,,,,,
40,0.18,0.5918,1.5145090818405151,1.5788635042262254e-05,,,,,,,,,,,
45,0.203,0.4853,1.1517480611801147,1.6292753809839353e-05,,,,,,,,,,,
50,0.225,0.4032,1.1811426877975464,1.6743703413988334e-05,,,,,,,,,,,
55,0.248,0.3265,0.977837324142456,1.7151636951383997e-05,,,,,,,,,,,
60,0.27,0.2943,0.8344925045967102,1.752405109310442e-05,,,,,,,,,,,
65,0.293,0.2498,0.8410731554031372,1.7866638893809745e-05,,,,,,,,,,,
70,0.315,0.2175,0.5660907626152039,1.818382565488766e-05,,,,,,,,,,,
75,0.338,0.1979,0.6056317090988159,1.8479119464830498e-05,,,,,,,,,,,
80,0.36,0.2075,0.6119916439056396,1.875534837636949e-05,,,,,,,,,,,
85,0.383,0.1814,0.5696719884872437,1.9014825553745778e-05,,,,,,,,,,,
90,0.405,0.1583,0.47623172402381897,1.9259467143946592e-05,,,,,,,,,,,
95,0.428,0.1558,0.4468139410018921,1.9490878236394627e-05,,,,,,,,,,,
100,0.45,0.1585,0.5348764657974243,1.971041674809557e-05,,,,,,,,,,,
105,0.473,0.1427,0.5217790603637695,1.9919241705729823e-05,,,,,,,,,,,
110,0.495,0.137,0.6400412917137146,2e-05,,,,,,,,,,,
111,0.5,,,,0.0,0.0,58.5255,55.753,0.29,,,,,,
115,0.518,0.1442,0.48786696791648865,2e-05,,,,,,,,,,,
120,0.541,0.1307,0.4068407118320465,2e-05,,,,,,,,,,,
125,0.563,0.1284,0.37102365493774414,2e-05,,,,,,,,,,,
130,0.586,0.1228,0.4692162275314331,2e-05,,,,,,,,,,,
135,0.608,0.1216,0.44544804096221924,2e-05,,,,,,,,,,,
140,0.631,0.1193,0.48237261176109314,2e-05,,,,,,,,,,,
145,0.653,0.1125,0.5548636317253113,2e-05,,,,,,,,,,,
150,0.676,0.1109,0.3322783410549164,2e-05,,,,,,,,,,,
155,0.698,0.1117,0.6343305110931396,2e-05,,,,,,,,,,,
160,0.721,0.1009,0.5186089873313904,2e-05,,,,,,,,,,,
165,0.743,0.106,0.43568119406700134,2e-05,,,,,,,,,,,
170,0.766,0.102,0.3692399859428406,2e-05,,,,,,,,,,,
175,0.788,0.1031,0.49394047260284424,2e-05,,,,,,,,,,,
180,0.811,0.1007,0.37867316603660583,2e-05,,,,,,,,,,,
185,0.833,0.0981,0.3940108120441437,2e-05,,,,,,,,,,,
190,0.856,0.1001,0.5195404291152954,2e-05,,,,,,,,,,,
195,0.878,0.0945,0.38128527998924255,2e-05,,,,,,,,,,,
200,0.901,0.0928,0.42179247736930847,2e-05,,,,,,,,,,,
205,0.923,0.0926,0.334643691778183,2e-05,,,,,,,,,,,
210,0.946,0.0881,0.2864720821380615,2e-05,,,,,,,,,,,
215,0.968,0.0875,0.35624754428863525,2e-05,,,,,,,,,,,
220,0.991,0.0925,0.36520683765411377,2e-05,,,,,,,,,,,
222,1.0,,,,0.0,0.0,58.1954,56.07,0.292,,,,,,
225,1.014,0.0845,0.3393956422805786,2e-05,,,,,,,,,,,
230,1.036,0.0882,0.348847895860672,2e-05,,,,,,,,,,,
235,1.059,0.0802,0.3469257950782776,2e-05,,,,,,,,,,,
240,1.081,0.0909,0.40933653712272644,2e-05,,,,,,,,,,,
245,1.104,0.0812,0.6238601803779602,2e-05,,,,,,,,,,,
250,1.126,0.0816,0.30632999539375305,2e-05,,,,,,,,,,,
255,1.149,0.0789,0.27834925055503845,2e-05,,,,,,,,,,,
260,1.171,0.0792,0.2869967222213745,2e-05,,,,,,,,,,,
265,1.194,0.0799,0.30583855509757996,2e-05,,,,,,,,,,,
270,1.216,0.0821,0.347606897354126,2e-05,,,,,,,,,,,
275,1.239,0.075,0.38581815361976624,2e-05,,,,,,,,,,,
280,1.261,0.0799,0.2963618040084839,2e-05,,,,,,,,,,,
285,1.284,0.0732,0.22833727300167084,2e-05,,,,,,,,,,,
