step,epoch,loss,grad_norm,learning_rate,eval_mit-movie,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.006,2.9668,18.614728927612305,5.43584091395317e-06,,,,,,,,,,,
10,0.013,2.8814,16.267566680908203,7.77693016900905e-06,,,,,,,,,,,
15,0.019,2.523,11.691513061523438,9.146379594057966e-06,,,,,,,,,,,
20,0.026,2.0232,8.064657211303711,1.0118019424064926e-05,,,,,,,,,,,
25,0.032,1.5007,5.722875118255615,1.087168182790634e-05,,,,,,,,,,,
30,0.039,1.2835,4.108304977416992,1.1487468849113843e-05,,,,,,,,,,,
35,0.045,1.0049,2.7255518436431885,1.200810935711046e-05,,,,,,,,,,,
40,0.051,0.8427,1.8492978811264038,1.2459108679120806e-05,,,,,,,,,,,
45,0.058,0.7052,1.5076842308044434,1.2856918274162757e-05,,,,,,,,,,,
50,0.064,0.5511,1.2951685190200806,1.3212771082962219e-05,,,,,,,,,,,
55,0.071,0.42,1.0088868141174316,1.3534679104945514e-05,,,,,,,,,,,
60,0.077,0.3574,1.0174511671066284,1.382855810416972e-05,,,,,,,,,,,
65,0.084,0.3,0.7719468474388123,1.4098900577075285e-05,,,,,,,,,,,
70,0.09,0.2618,0.6649042963981628,1.4349198612166341e-05,,,,,,,,,,,
75,0.097,0.225,0.6663773655891418,1.4582220508011133e-05,,,,,,,,,,,
80,0.103,0.1984,0.6036347150802612,1.4800197934176684e-05,,,,,,,,,,,
85,0.109,0.1769,0.46434512734413147,1.5004956252044514e-05,,,,,,,,,,,
90,0.116,0.1607,0.43253135681152344,1.5198007529218637e-05,,,,,,,,,,,
95,0.122,0.1484,0.4736229479312897,1.5380618371932186e-05,,,,,,,,,,,
100,0.129,0.1389,0.4244694411754608,1.55538603380181e-05,,,,,,,,,,,
105,0.135,0.1342,0.39683589339256287,1.5718648037215253e-05,,,,,,,,,,,
110,0.142,0.1328,0.3627665638923645,1.5875768360001393e-05,,,,,,,,,,,
115,0.148,0.1189,0.40250474214553833,1.6025903203857795e-05,,,,,,,,,,,
120,0.154,0.1141,0.35777708888053894,1.61696473592256e-05,,,,,,,,,,,
125,0.161,0.1191,0.42789801955223083,1.6307522741859515e-05,,,,,,,,,,,
130,0.167,0.1096,0.36286935210227966,1.6439989832131163e-05,,,,,,,,,,,
135,0.174,0.1142,0.33309730887413025,1.6567456954267552e-05,,,,,,,,,,,
140,0.18,0.102,0.3087231516838074,1.6690287867222218e-05,,,,,,,,,,,
145,0.187,0.1025,0.30880630016326904,1.6808808022911993e-05,,,,,,,,,,,
150,0.193,0.0991,0.3199526071548462,1.6923309763067014e-05,,,,,,,,,,,
155,0.199,0.089,0.31153687834739685,1.7034056663637364e-05,,,,,,,,,,,
160,0.206,0.0889,0.2750355005264282,1.7141287189232564e-05,,,,,,,,,,,
165,0.212,0.0931,0.30952468514442444,1.7245217785050307e-05,,,,,,,,,,,
170,0.219,0.0868,0.2646216154098511,1.7346045507100393e-05,,,,,,,,,,,
175,0.225,0.084,0.3248592019081116,1.7443950271063636e-05,,,,,,,,,,,
180,0.232,0.0857,0.2535216212272644,1.7539096784274516e-05,,,,,,,,,,,
185,0.238,0.0787,0.2542722523212433,1.7631636212941787e-05,,,,,,,,,,,
190,0.245,0.0853,0.26698213815689087,1.7721707626988064e-05,,,,,,,,,,,
195,0.251,0.0816,0.3278217017650604,1.780943925718008e-05,,,,,,,,,,,
200,0.257,0.0765,0.2874389588832855,1.7894949593073975e-05,,,,,,,,,,,
205,0.264,0.0749,0.2660588026046753,1.797834834536765e-05,,,,,,,,,,,
210,0.27,0.0756,0.2717396914958954,1.8059737292271135e-05,,,,,,,,,,,
215,0.277,0.0687,0.2773009240627289,1.8139211026274675e-05,,,,,,,,,,,
220,0.283,0.0667,0.20663072168827057,1.821685761505727e-05,,,,,,,,,,,
225,0.29,0.0697,0.20776577293872833,1.829275918811593e-05,,,,,,,,,,,
230,0.296,0.0672,0.23247870802879333,1.8366992458913676e-05,,,,,,,,,,,
235,0.302,0.0653,0.20496636629104614,1.843962919086886e-05,,,,,,,,,,,
240,0.309,0.0676,0.26810821890830994,1.851073661428148e-05,,,,,,,,,,,
245,0.315,0.0637,0.2962125539779663,1.8580377800267753e-05,,,,,,,,,,,
250,0.322,0.0677,0.21164484322071075,1.864861199691539e-05,,,,,,,,,,,
255,0.328,0.0648,0.2751861810684204,1.8715494932149304e-05,,,,,,,,,,,
260,0.335,0.0664,0.20885951817035675,1.878107908718704e-05,,,,,,,,,,,
265,0.341,0.0625,0.19309812784194946,1.884541394394586e-05,,,,,,,,,,,
270,0.347,0.0615,0.2289935052394867,1.8908546209323433e-05,,,,,,,,,,,
275,0.354,0.0613,0.22221018373966217,1.8970520018898686e-05,,,,,,,,,,,
280,0.36,0.0609,0.26994043588638306,1.9031377122278096e-05,,,,,,,,,,,
285,0.367,0.0609,0.19910185039043427,1.9091157052036978e-05,,,,,,,,,,,
290,0.373,0.0585,0.21320034563541412,1.914989727796787e-05,,,,,,,,,,,
295,0.38,0.0568,0.25652793049812317,1.9207633348143327e-05,,,,,,,,,,,
300,0.386,0.0582,0.23843100666999817,1.9264399018122892e-05,,,,,,,,,,,
305,0.393,0.0583,0.19899146258831024,1.9320226369480355e-05,,,,,,,,,,,
310,0.399,0.0563,0.2427445650100708,1.9375145918693242e-05,,,,,,,,,,,
315,0.405,0.0559,0.21926024556159973,1.9429186717320048e-05,,,,,,,,,,,
320,0.412,0.0537,0.24171939492225647,1.948237644428844e-05,,,,,,,,,,,
325,0.418,0.055,0.16064581274986267,1.9534741491028455e-05,,,,,,,,,,,
330,0.425,0.0535,0.20712856948375702,1.9586307040106185e-05,,,,,,,,,,,
335,0.431,0.0561,0.21371042728424072,1.9637097137944473e-05,,,,,,,,,,,
340,0.438,0.0507,0.2202608734369278,1.968713476215627e-05,,,,,,,,,,,
345,0.444,0.0524,0.17822954058647156,1.9736441883962593e-05,,,,,,,,,,,
350,0.45,0.046,0.18011556565761566,1.978503952611951e-05,,,,,,,,,,,
355,0.457,0.0496,0.21825693547725677,1.983294781673642e-05,,,,,,,,,,,
360,0.463,0.0491,0.18732154369354248,1.9880186039330394e-05,,,,,,,,,,,
365,0.47,0.046,0.1631072759628296,1.9926772679428174e-05,,,,,,,,,,,
370,0.476,0.05,0.19563189148902893,1.9972725467997668e-05,,,,,,,,,,,
375,0.483,0.0488,0.19293788075447083,2e-05,,,,,,,,,,,
380,0.489,0.0463,0.16499482095241547,2e-05,,,,,,,,,,,
385,0.495,0.0477,0.17239771783351898,2e-05,,,,,,,,,,,
388,0.499,,,,0.8227848100762387,0.8227848100762387,11.8242,89.646,0.507,,,,,,
390,0.502,0.0507,0.18886233866214752,2e-05,,,,,,,,,,,
395,0.508,0.0468,0.21464575827121735,2e-05,,,,,,,,,,,
400,0.515,0.0434,0.1516301929950714,2e-05,,,,,,,,,,,
405,0.521,0.0508,0.24793322384357452,2e-05,,,,,,,,,,,
410,0.528,0.0439,0.14399400353431702,2e-05,,,,,,,,,,,
415,0.534,0.0424,0.18079639971256256,2e-05,,,,,,,,,,,
420,0.541,0.0425,0.1612921506166458,2e-05,,,,,,,,,,,
425,0.547,0.0435,0.23714236915111542,2e-05,,,,,,,,,,,
430,0.553,0.0421,0.18064697086811066,2e-05,,,,,,,,,,,
435,0.56,0.0435,0.15905994176864624,2e-05,,,,,,,,,,,
440,0.566,0.045,0.23921775817871094,2e-05,,,,,,,,,,,
445,0.573,0.0449,0.1637287586927414,2e-05,,,,,,,,,,,
450,0.579,0.0447,0.17677800357341766,2e-05,,,,,,,,,,,
455,0.586,0.043,0.17886021733283997,2e-05,,,,,,,,,,,
460,0.592,0.0427,0.16030071675777435,2e-05,,,,,,,,,,,
465,0.598,0.0423,0.184121772646904,2e-05,,,,,,,,,,,
470,0.605,0.0432,0.21217280626296997,2e-05,,,,,,,,,,,
475,0.611,0.0396,0.16030317544937134,2e-05,,,,,,,,,,,
480,0.618,0.0404,0.14826154708862305,2e-05,,,,,,,,,,,
485,0.624,0.0398,0.32187220454216003,2e-05,,,,,,,,,,,
490,0.631,0.0421,0.17071573436260223,2e-05,,,,,,,,,,,
495,0.637,0.0395,0.15263612568378448,2e-05,,,,,,,,,,,
500,0.644,0.0401,0.1575072705745697,2e-05,,,,,,,,,,,
505,0.65,0.0403,0.14645150303840637,2e-05,,,,,,,,,,,
510,0.656,0.0411,0.20205824077129364,2e-05,,,,,,,,,,,
515,0.663,0.0409,0.1627221405506134,2e-05,,,,,,,,,,,
520,0.669,0.0432,0.16220831871032715,2e-05,,,,,,,,,,,
525,0.676,0.0417,0.1668526530265808,2e-05,,,,,,,,,,,
530,0.682,0.0399,0.18236112594604492,2e-05,,,,,,,,,,,
535,0.689,0.0385,0.1709406077861786,2e-05,,,,,,,,,,,
540,0.695,0.0369,0.15694957971572876,2e-05,,,,,,,,,,,
545,0.701,0.037,0.20321904122829437,2e-05,,,,,,,,,,,
550,0.708,0.0342,0.16513462364673615,2e-05,,,,,,,,,,,
555,0.714,0.041,0.22071263194084167,2e-05,,,,,,,,,,,
560,0.721,0.039,0.15445256233215332,2e-05,,,,,,,,,,,
565,0.727,0.0386,0.15322060883045197,2e-05,,,,,,,,,,,
570,0.734,0.0369,0.1632905751466751,2e-05,,,,,,,,,,,
575,0.74,0.0374,0.141258105635643,2e-05,,,,,,,,,,,
580,0.746,0.0385,0.1389392465353012,2e-05,,,,,,,,,,,
585,0.753,0.036,0.14653144776821136,2e-05,,,,,,,,,,,
590,0.759,0.0363,0.15941548347473145,2e-05,,,,,,,,,,,
595,0.766,0.0359,0.14424610137939453,2e-05,,,,,,,,,,,
600,0.772,0.0389,0.14842617511749268,2e-05,,,,,,,,,,,
605,0.779,0.0322,0.13108085095882416,2e-05,,,,,,,,,,,
610,0.785,0.0366,0.1564497947692871,2e-05,,,,,,,,,,,
615,0.792,0.0356,0.15022313594818115,2e-05,,,,,,,,,,,
620,0.798,0.0343,0.16270878911018372,2e-05,,,,,,,,,,,
625,0.804,0.0339,0.14456693828105927,2e-05,,,,,,,,,,,
630,0.811,0.0346,0.13968166708946228,2e-05,,,,,,,,,,,
635,0.817,0.0381,0.14126130938529968,2e-05,,,,,,,,,,,
640,0.824,0.0348,0.14300408959388733,2e-05,,,,,,,,,,,
645,0.83,0.0332,0.15714597702026367,2e-05,,,,,,,,,,,
650,0.837,0.0341,0.22052060067653656,2e-05,,,,,,,,,,,
655,0.843,0.0349,0.13613876700401306,2e-05,,,,,,,,,,,
660,0.849,0.0316,0.15464259684085846,2e-05,,,,,,,,,,,
665,0.856,0.0332,0.12762953341007233,2e-05,,,,,,,,,,,
670,0.862,0.0331,0.16488851606845856,2e-05,,,,,,,,,,,
675,0.869,0.0332,0.1325189173221588,2e-05,,,,,,,,,,,
680,0.875,0.0325,0.12539805471897125,2e-05,,,,,,,,,,,
685,0.882,0.0306,0.1336199939250946,2e-05,,,,,,,,,,,
690,0.888,0.0355,0.13610641658306122,2e-05,,,,,,,,,,,
695,0.894,0.0334,0.14451362192630768,2e-05,,,,,,,,,,,
700,0.901,0.0328,0.12836457788944244,2e-05,,,,,,,,,,,
705,0.907,0.0308,0.11157027631998062,2e-05,,,,,,,,,,,
710,0.914,0.0332,0.18299134075641632,2e-05,,,,,,,,,,,
715,0.92,0.0318,0.13883966207504272,2e-05,,,,,,,,,,,
720,0.927,0.0295,0.11261343210935593,2e-05,,,,,,,,,,,
725,0.933,0.0311,0.12065458297729492,2e-05,,,,,,,,,,,
730,0.94,0.0307,0.16633377969264984,2e-05,,,,,,,,,,,
735,0.946,0.0332,0.14972706139087677,2e-05,,,,,,,,,,,
740,0.952,0.0313,0.1681472808122635,2e-05,,,,,,,,,,,
745,0.959,0.0338,0.13910603523254395,2e-05,,,,,,,,,,,
750,0.965,0.0298,0.10472861677408218,2e-05,,,,,,,,,,,
755,0.972,0.0278,0.14602923393249512,2e-05,,,,,,,,,,,
760,0.978,0.0318,0.11512279510498047,2e-05,,,,,,,,,,,
765,0.985,0.0346,0.13897356390953064,2e-05,,,,,,,,,,,
770,0.991,0.033,0.13718582689762115,2e-05,,,,,,,,,,,
775,0.997,0.0305,0.1508568972349167,2e-05,,,,,,,,,,,
777,1.0,,,,0.8607594936205265,0.8607594936205265,12.0555,87.927,0.498,,,,,,
780,1.004,0.0284,0.2266400158405304,2e-05,,,,,,,,,,,
785,1.01,0.0346,0.18529094755649567,2e-05,,,,,,,,,,,
790,1.017,0.0325,0.15501196682453156,2e-05,,,,,,,,,,,
