step,epoch,loss,grad_norm,learning_rate,eval_mit-movie,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.066,1.6193,26.413789749145508,8.914286900836977e-06,,,,,,,,,,,
10,0.132,0.3405,9.03945541381836,1.2753461300968181e-05,,,,,,,,,,,
15,0.197,0.2036,4.903631687164307,1.4999234358773573e-05,,,,,,,,,,,
20,0.263,0.092,10.24038028717041,1.6592635701099386e-05,,,,,,,,,,,
25,0.329,0.0592,1.2849475145339966,1.7828573801673954e-05,,,,,,,,,,,
30,0.395,0.0478,1.0426234006881714,1.8838408758904777e-05,,,,,,,,,,,
35,0.461,0.0407,1.4493738412857056,1.969221204968286e-05,,,,,,,,,,,
38,0.5,,,,0.8768898487617277,0.8768898487617277,2.5021,39.967,0.4,,,,,,
40,0.526,0.0375,1.0424662828445435,1.9954285714285715e-05,,,,,,,,,,,
45,0.592,0.0384,1.9725366830825806,1.9840000000000003e-05,,,,,,,,,,,
50,0.658,0.0332,2.0783846378326416,1.9725714285714288e-05,,,,,,,,,,,
55,0.724,0.0374,1.1197257041931152,1.9611428571428572e-05,,,,,,,,,,,
60,0.789,0.033,1.1057610511779785,1.949714285714286e-05,,,,,,,,,,,
65,0.855,0.0329,0.6694461703300476,1.9382857142857144e-05,,,,,,,,,,,
70,0.921,0.0293,0.9538773894309998,1.926857142857143e-05,,,,,,,,,,,
75,0.987,0.0326,0.6175447106361389,1.9154285714285716e-05,,,,,,,,,,,
76,1.0,,,,0.8755186721488378,0.8755186721488378,1.8096,55.26,0.553,,,,,,
80,1.053,0.0321,1.340104341506958,1.9062857142857144e-05,,,,,,,,,,,
85,1.118,0.0245,0.6745810508728027,1.8948571428571428e-05,,,,,,,,,,,
90,1.184,0.0203,0.521740734577179,1.8834285714285716e-05,,,,,,,,,,,
95,1.25,0.0267,0.8292240500450134,1.8720000000000004e-05,,,,,,,,,,,
100,1.316,0.0211,0.5890035033226013,1.8605714285714288e-05,,,,,,,,,,,
105,1.382,0.0236,0.5016956329345703,1.8491428571428573e-05,,,,,,,,,,,
110,1.447,0.0233,0.40955108404159546,1.8377142857142857e-05,,,,,,,,,,,
114,1.5,,,,0.9110169491021574,0.9110169491021574,1.8065,55.354,0.554,,,,,,
115,1.513,0.0203,0.5873063206672668,1.8262857142857145e-05,,,,,,,,,,,
120,1.579,0.0212,0.5164510011672974,1.8148571428571432e-05,,,,,,,,,,,
125,1.645,0.0253,0.5283434391021729,1.8034285714285717e-05,,,,,,,,,,,
130,1.711,0.0193,0.4862418472766876,1.792e-05,,,,,,,,,,,
135,1.776,0.0196,0.4497530162334442,1.7805714285714286e-05,,,,,,,,,,,
140,1.842,0.0223,0.9115433096885681,1.7691428571428573e-05,,,,,,,,,,,
145,1.908,0.0214,0.42728641629219055,1.7577142857142858e-05,,,,,,,,,,,
150,1.974,0.0223,0.6105000376701355,1.7462857142857142e-05,,,,,,,,,,,
152,2.0,,,,0.9175475686599734,0.9175475686599734,1.807,55.342,0.553,,,,,,
155,2.039,0.0181,0.4324893057346344,1.734857142857143e-05,,,,,,,,,,,
160,2.105,0.0131,0.5573416352272034,1.7234285714285718e-05,,,,,,,,,,,
165,2.171,0.0148,0.41281917691230774,1.7120000000000002e-05,,,,,,,,,,,
170,2.237,0.014,0.3573972284793854,1.7005714285714286e-05,,,,,,,,,,,
175,2.303,0.0142,0.6475750803947449,1.689142857142857e-05,,,,,,,,,,,
180,2.368,0.0127,0.4346926808357239,1.677714285714286e-05,,,,,,,,,,,
185,2.434,0.0144,0.8197380900382996,1.6662857142857146e-05,,,,,,,,,,,
190,2.5,0.0118,0.3728318214416504,1.654857142857143e-05,,,,,,,,,,,
190,2.5,,,,0.9250535331401842,0.9250535331401842,1.8747,53.342,0.533,,,,,,
195,2.566,0.0151,0.46233904361724854,1.6434285714285715e-05,,,,,,,,,,,
200,2.632,0.0153,0.5631435513496399,1.632e-05,,,,,,,,,,,
205,2.697,0.0185,0.6751347184181213,1.6205714285714287e-05,,,,,,,,,,,
210,2.763,0.0162,0.5985718369483948,1.6091428571428572e-05,,,,,,,,,,,
215,2.829,0.0151,0.3348831236362457,1.5977142857142856e-05,,,,,,,,,,,
220,2.895,0.0158,0.809229850769043,1.5862857142857144e-05,,,,,,,,,,,
225,2.961,0.0138,0.9611583948135376,1.5748571428571432e-05,,,,,,,,,,,
228,3.0,,,,0.9171974521789101,0.9171974521789101,1.7687,56.539,0.565,,,,,,
230,3.026,0.0157,0.5828083753585815,1.5634285714285716e-05,,,,,,,,,,,
235,3.092,0.008,0.18058927357196808,1.5542857142857144e-05,,,,,,,,,,,
240,3.158,0.0098,0.25040876865386963,1.542857142857143e-05,,,,,,,,,,,
245,3.224,0.0077,0.28451666235923767,1.5314285714285716e-05,,,,,,,,,,,
250,3.289,0.0085,0.6290639042854309,1.5200000000000002e-05,,,,,,,,,,,
255,3.355,0.0107,0.42235323786735535,1.5085714285714288e-05,,,,,,,,,,,
260,3.421,0.0099,0.47879576683044434,1.4971428571428572e-05,,,,,,,,,,,
265,3.487,0.0085,0.39713016152381897,1.4857142857142858e-05,,,,,,,,,,,
266,3.5,,,,0.9087048831767907,0.9087048831767907,1.7693,56.52,0.565,,,,,,
270,3.553,0.0094,0.5239266157150269,1.4742857142857143e-05,,,,,,,,,,,
275,3.618,0.0083,0.27874755859375,1.462857142857143e-05,,,,,,,,,,,
280,3.684,0.0114,0.43067824840545654,1.4514285714285717e-05,,,,,,,,,,,
285,3.75,0.01,0.38864633440971375,1.4400000000000001e-05,,,,,,,,,,,
290,3.816,0.0088,0.3608544170856476,1.4285714285714287e-05,,,,,,,,,,,
295,3.882,0.0098,0.21632829308509827,1.4171428571428572e-05,,,,,,,,,,,
300,3.947,0.011,0.4172523021697998,1.4057142857142858e-05,,,,,,,,,,,
304,4.0,,,,0.9110169491021574,0.9110169491021574,1.8356,54.478,0.545,,,,,,
305,4.013,0.0111,0.31887829303741455,1.3942857142857145e-05,,,,,,,,,,,
310,4.079,0.0086,0.23003463447093964,1.382857142857143e-05,,,,,,,,,,,
315,4.145,0.0073,0.3516896367073059,1.3714285714285716e-05,,,,,,,,,,,
320,4.211,0.0049,0.22701337933540344,1.3600000000000002e-05,,,,,,,,,,,
325,4.276,0.0069,0.30857667326927185,1.3485714285714286e-05,,,,,,,,,,,
330,4.342,0.0068,0.423066109418869,1.3371428571428572e-05,,,,,,,,,,,
335,4.408,0.0067,0.3127838373184204,1.3257142857142857e-05,,,,,,,,,,,
340,4.474,0.0056,0.18748846650123596,1.3142857142857145e-05,,,,,,,,,,,
342,4.5,,,,0.9191489361198217,0.9191489361198217,1.8439,54.232,0.542,,,,,,
345,4.539,0.0049,0.24148505926132202,1.302857142857143e-05,,,,,,,,,,,
350,4.605,0.0056,0.3082480728626251,1.2914285714285715e-05,,,,,,,,,,,
355,4.671,0.0071,0.49403953552246094,1.2800000000000001e-05,,,,,,,,,,,
360,4.737,0.007,0.34402233362197876,1.2685714285714286e-05,,,,,,,,,,,
365,4.803,0.0074,0.3833915591239929,1.2571428571428572e-05,,,,,,,,,,,
370,4.868,0.0052,0.2646966576576233,1.245714285714286e-05,,,,,,,,,,,
375,4.934,0.0067,0.36426737904548645,1.2342857142857144e-05,,,,,,,,,,,
380,5.0,0.007,0.4527509808540344,1.222857142857143e-05,,,,,,,,,,,
380,5.0,,,,0.912579957305688,0.912579957305688,1.8477,54.121,0.541,,,,,,
385,5.066,0.0065,0.4290647804737091,1.2137142857142859e-05,,,,,,,,,,,
390,5.132,0.0025,0.5005813837051392,1.2022857142857143e-05,,,,,,,,,,,
395,5.197,0.0037,0.2623269855976105,1.190857142857143e-05,,,,,,,,,,,
400,5.263,0.0038,0.6121252179145813,1.1794285714285716e-05,,,,,,,,,,,
405,5.329,0.004,0.5896669030189514,1.168e-05,,,,,,,,,,,
410,5.395,0.0031,0.47498518228530884,1.1565714285714286e-05,,,,,,,,,,,
415,5.461,0.0038,0.31142276525497437,1.1451428571428574e-05,,,,,,,,,,,
418,5.5,,,,0.922413793053059,0.922413793053059,1.767,56.593,0.566,,,,,,
420,5.526,0.0042,0.31716910004615784,1.1337142857142858e-05,,,,,,,,,,,
425,5.592,0.0049,0.5651649236679077,1.1222857142857144e-05,,,,,,,,,,,
430,5.658,0.0042,1.8909622430801392,1.1108571428571429e-05,,,,,,,,,,,
435,5.724,0.0046,0.23086762428283691,1.0994285714285715e-05,,,,,,,,,,,
440,5.789,0.0043,0.4465654492378235,1.0880000000000001e-05,,,,,,,,,,,
445,5.855,0.0049,1.1115972995758057,1.0765714285714285e-05,,,,,,,,,,,
450,5.921,0.0039,0.40084564685821533,1.0651428571428573e-05,,,,,,,,,,,
455,5.987,0.0055,0.5624491572380066,1.0537142857142857e-05,,,,,,,,,,,
456,6.0,,,,0.9260042282794202,0.9260042282794202,1.8066,55.353,0.554,,,,,,
460,6.053,0.005,0.4025055170059204,1.0422857142857143e-05,,,,,,,,,,,
465,6.118,0.0028,0.15566924214363098,1.030857142857143e-05,,,,,,,,,,,
470,6.184,0.003,0.15554822981357574,1.0194285714285714e-05,,,,,,,,,,,
475,6.25,0.0022,0.15622682869434357,1.008e-05,,,,,,,,,,,
480,6.316,0.0034,0.49567341804504395,9.965714285714286e-06,,,,,,,,,,,
485,6.382,0.0022,0.22621892392635345,9.851428571428572e-06,,,,,,,,,,,
490,6.447,0.0027,0.2564738392829895,9.737142857142858e-06,,,,,,,,,,,
494,6.5,,,,0.9256900211810297,0.9256900211810297,1.8122,55.181,0.552,,,,,,
495,6.513,0.0019,0.47058114409446716,9.622857142857144e-06,,,,,,,,,,,
500,6.579,0.0031,0.5172223448753357,9.508571428571429e-06,,,,,,,,,,,
505,6.645,0.0015,0.2523499131202698,9.394285714285715e-06,,,,,,,,,,,
510,6.711,0.0021,0.28106454014778137,9.280000000000001e-06,,,,,,,,,,,
515,6.776,0.0029,0.5782006978988647,9.165714285714287e-06,,,,,,,,,,,
